Disease,Cases,Count,Fullname,Shortname,Group,Including,Forecasting,Label
Anthrax,0,36,Anthrax,Anthrax,Vector-borne and zoonotic ID,1,0,Insufficient cases
Avian Influenza,0,10,Avian influenza,AIV,Respiratory ID,1,0,Insufficient cases
Botulism,28,24,Botulism,Botulism,Gastrointestinal ID,1,0,Insufficient cases
Brucellosis,112,22,Brucellosis,Brucellosis,Vector-borne and zoonotic ID,1,0,Insufficient cases
Tetanus exc.Neo,1441,36,Tetanus,Other tetanus,Vaccine preventable ID,1,0,Insufficient cases
HepatitisD,1484,36,Hepatitis D,HDV,Sexually ID,1,1,Insufficient cases
Pertussis,2089,36,Pertussis,Pertussis,Vaccine preventable ID,1,0,Insufficient cases
Leprosy,2554,36,Leprosy,Leprosy,Respiratory ID,1,0,Insufficient cases
Eosinophilic Meningitis,2602,36,Eosinophilic meningitis,EM,Vector-borne and zoonotic ID,1,0,Insufficient cases
D.H.F,601450,36,Dengue hemorrhagic fever,DHF,Vector-borne and zoonotic ID,0,0,Duplication
D.H.F.shock syndrome,20779,36,Dengue shock syndrome,DSS,Vector-borne and zoonotic ID,0,0,Duplication
Cholera,3714,36,Cholera,Cholera,Gastrointestinal ID,1,0,Insufficient cases
Diphtheria,406,36,Diphtheria,Diphtheria,Vaccine preventable ID,1,0,Insufficient cases
Streptococcus suis,4748,24,Streptococcus suis,Streptococcus suis,Vector-borne and zoonotic ID,1,1,
Paratyphoid,4790,36,Paratyphoid,Paratyphoid,Gastrointestinal ID,1,0,Insufficient cases
Encephalitis uns,11980,36,Unspecifed encephalitis,Other encephalitis,Others,1,0,Unspecifed disease
Enterovirus Fever,866,12,Enterovirus,Enterovirus,Gastrointestinal ID,1,0,Insufficient cases
Rubella,5421,36,Rubella,Rubella,Vaccine preventable ID,1,1,
Filariasis,227,36,Filariasis,Filariasis,Vector-borne and zoonotic ID,1,0,Insufficient cases
Food_Poisoning,1917661,36,Food poisoning,Food poisoning,Others,1,0,Uninfectious disease
T.B.meningitis,6710,36,Tuberculous meningitis,TBM,Respiratory ID,1,1,
Genital Molluscum Contagiosum,774,12,Genital molluscum contagiosum,MC,Sexually ID,1,0,Insufficient cases
Liver fluke,8136,36,Liver fluke,Liver fluke,Gastrointestinal ID,1,1,
