"Shortname","PrimaryStatus","PrimaryStatusLabel","Pr_RP","Pr_BP","Pr_NoDeficit","PrimaryStatusProb","RP_MedianMonths","RP_Q025Months","RP_Q975Months","BP_MedianMonths","BP_Q025Months","BP_Q975Months","Scenario","n_paths","bsts_niter","seed","Group"
"Pneumonia","Debt Repaid","Balanced",1,0.835,0,0.835,34,26,54,59,43,70,"primary",5000,1000,20251209,"Respiratory IDs"
"Influenza","Recovered","Recovered but not balanced",0.998,0.195,0,0.803,43,42,68,69,55,71,"primary",5000,1000,20251209,"Respiratory IDs"
"Chickenpox","Suppressed","Suppressed",0.537,0,0,0.463,61,54,67,NA,NA,NA,"primary",5000,1000,20251209,"Respiratory IDs"
"Mumps","Recovered","Recovered but not balanced",0.645,0.07,0,0.575,58,28,68,66,36,71,"primary",5000,1000,20251209,"Respiratory IDs"
"Scarlet fever","Recovered","Recovered but not balanced",0.812,0.332,0.002,0.48,60,6,66,65,34.525,71,"primary",5000,1000,20251209,"Respiratory IDs"
"Rubella","Suppressed","Suppressed",0.313,0.025,0,0.687,30,6,55,39,6,58,"primary",5000,1000,20251209,"Respiratory IDs"
"Dengue fever","Recovered","Recovered but not balanced",0.723,0.339,0.062,0.383,30,2,46,42,3,65,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Malaria","No Deficit","No deficit",0.419,0.419,0.581,0.581,3,0,23,4,1,33,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Scrub Typhus","No Deficit","No deficit",0.309,0.233,0.467,0.467,13,0,57,19,1,64,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Leptospirosis","Debt Repaid","Balanced",1,1,0,1,28,4,30,33,32,35,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"Melioidosis","Debt Repaid","Balanced",1,1,0,1,28,6,30,41,35,45,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"S. suis","Debt Repaid","Balanced",0.972,0.932,0.027,0.932,5,4,20,7,4,56,"primary",5000,1000,20251209,"Vector-borne and zoonotic IDs"
"HFMD","Debt Repaid","Balanced",1,1,0,1,9,9,9,33,32,48,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Amebiasis","Debt Repaid","Balanced",0.707,0.628,0.267,0.628,29,4,48,38,24,63,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Shigellosis","Recovered","Recovered but not balanced",0.729,0.324,0.02,0.405,13,3,67,19,4,66,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Typhoid","Debt Repaid","Balanced",1,1,0,1,31,28,36,55,52,61,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"HAV","Recovered","Recovered but not balanced",0.964,0,0,0.964,47,1,61,NA,NA,NA,"primary",5000,1000,20251209,"Gastrointestinal IDs"
"Gonorrhoea","Debt Repaid","Balanced",0.999,0.822,0,0.822,36,8,48,56,43,70,"primary",5000,1000,20251209,"Sexually IDs"
"Syphilis","Debt Repaid","Balanced",0.488,0.37,0.375,0.37,34,0,60,38,14,65,"primary",5000,1000,20251209,"Sexually IDs"
"HBV","Debt Repaid","Balanced",1,1,0,1,38,36,41,52,52,53,"primary",5000,1000,20251209,"Sexually IDs"
"CA (HPV)","Debt Repaid","Balanced",0.988,0.846,0.008,0.846,43,2,50,55,39,70,"primary",5000,1000,20251209,"Sexually IDs"
"Genital herpes","Debt Repaid","Balanced",1,1,0,1,36,31,41,52,51,53,"primary",5000,1000,20251209,"Sexually IDs"
"Chancroid","Debt Repaid","Balanced",1,1,0,1,40,36,48,66,63,68,"primary",5000,1000,20251209,"Sexually IDs"
"HCV","Debt Repaid","Balanced",0.944,0.932,0.055,0.932,25,1,42,38,1,56.4749999999995,"primary",5000,1000,20251209,"Sexually IDs"
