"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"57","Gonorrhoea","Neural Network","2017-2019",2018-09-01,801.965506672835,NA,NA,NA,NA
"58","Gonorrhoea","Neural Network","2017-2019",2018-10-01,800.019952371937,NA,NA,NA,NA
"59","Gonorrhoea","Neural Network","2017-2019",2018-11-01,798.891354713889,NA,NA,NA,NA
"60","Gonorrhoea","Neural Network","2017-2019",2018-12-01,795.570503350795,NA,NA,NA,NA
"61","Gonorrhoea","Neural Network","2017-2019",2019-01-01,808.010502788664,NA,NA,NA,NA
"62","Gonorrhoea","Neural Network","2017-2019",2019-02-01,803.57550539462,NA,NA,NA,NA
"63","Gonorrhoea","Neural Network","2017-2019",2019-03-01,804.945109992718,NA,NA,NA,NA
"64","Gonorrhoea","Neural Network","2017-2019",2019-04-01,802.98669761254,NA,NA,NA,NA
"65","Gonorrhoea","Neural Network","2017-2019",2019-05-01,802.004458725594,NA,NA,NA,NA
"66","Gonorrhoea","Neural Network","2017-2019",2019-06-01,800.9885765272,NA,NA,NA,NA
"67","Gonorrhoea","Neural Network","2017-2019",2019-07-01,800.295279700863,NA,NA,NA,NA
"68","Gonorrhoea","Neural Network","2017-2019",2019-08-01,800.002663259217,NA,NA,NA,NA
"69","Gonorrhoea","Neural Network","2017-2019",2019-09-01,799.275069422189,NA,NA,NA,NA
"70","Gonorrhoea","Neural Network","2017-2019",2019-10-01,798.62324175766,NA,NA,NA,NA
"71","Gonorrhoea","Neural Network","2017-2019",2019-11-01,798.060143775546,NA,NA,NA,NA
"72","Gonorrhoea","Neural Network","2017-2019",2019-12-01,797.160527016438,NA,NA,NA,NA
"73","Gonorrhoea","Hybrid","2019",2019-01-01,956.54665437333,823.331812088182,861.722534387839,1058.38223789397,1097.82838302692
"74","Gonorrhoea","Hybrid","2019",2019-02-01,868.666430847617,717.306486584334,764.964504123194,963.480347665624,1007.49219741099
"75","Gonorrhoea","Hybrid","2019",2019-03-01,905.237211393832,723.404013990141,767.676297382353,1031.13547593859,1087.81926160036
"76","Gonorrhoea","Hybrid","2019",2019-04-01,863.341430778235,687.905364597458,731.774990313893,994.589920954015,1056.024466248
"77","Gonorrhoea","Hybrid","2019",2019-05-01,856.270057024914,702.283461263754,753.394886560497,989.007473020101,1053.05431558998
"78","Gonorrhoea","Hybrid","2019",2019-06-01,897.714943008319,716.063400510918,762.892590832517,1075.97575559497,1148.54259039935
"79","Gonorrhoea","Hybrid","2019",2019-07-01,847.814395620661,674.523787040461,723.276197408879,1030.62466001031,1105.21241375719
"80","Gonorrhoea","Hybrid","2019",2019-08-01,864.116226065983,692.728768310829,741.729352648711,1024.07595724043,1101.56618208486
"81","Gonorrhoea","Hybrid","2019",2019-09-01,828.926969976719,648.941102507723,706.641477722096,986.798785558182,1062.69310129618
"82","Gonorrhoea","Hybrid","2019",2019-10-01,836.897342039751,644.719793320145,710.746167940473,989.246713764384,1070.64962257181
"83","Gonorrhoea","Hybrid","2019",2019-11-01,798.735257565013,608.684384883982,667.11810721732,961.368259614709,1043.84605437209
"84","Gonorrhoea","Hybrid","2019",2019-12-01,725.503660180817,513.331072565189,575.881958331587,908.67914302439,956.150241966373
"85","Gonorrhoea","Hybrid","2018-2019",2018-01-01,925.354352788982,821.00746622231,858.303584527306,1022.86558549358,1067.7256308094
"86","Gonorrhoea","Hybrid","2018-2019",2018-02-01,849.388553374078,718.729642389181,758.012886324236,969.984769216815,1013.99706548244
"87","Gonorrhoea","Hybrid","2018-2019",2018-03-01,905.004916721521,755.804631529177,801.347974419214,1054.79660922074,1114.24647726561
"88","Gonorrhoea","Hybrid","2018-2019",2018-04-01,850.343170360273,673.204375571847,720.70987874423,986.256419000427,1050.85038764859
"89","Gonorrhoea","Hybrid","2018-2019",2018-05-01,831.984181468546,680.01598718092,732.701216558648,982.620171588121,1052.97993185485
"90","Gonorrhoea","Hybrid","2018-2019",2018-06-01,893.120964100697,689.761596533328,745.871308621918,1063.12588945443,1141.81043417591
"91","Gonorrhoea","Hybrid","2018-2019",2018-07-01,842.758067732956,645.385907049928,703.215816576083,1044.20471416543,1127.48185559181
"92","Gonorrhoea","Hybrid","2018-2019",2018-08-01,854.385516361635,645.01462426438,706.156240741268,1051.11830036956,1139.63665093272
"93","Gonorrhoea","Hybrid","2018-2019",2018-09-01,818.291428668442,616.050725407324,678.933265833104,1001.30108254188,1092.3404286266
"94","Gonorrhoea","Hybrid","2018-2019",2018-10-01,834.889074487388,600.13698703711,665.147388715116,1025.47486355104,1122.03549683986
"95","Gonorrhoea","Hybrid","2018-2019",2018-11-01,785.020803592853,562.252033650339,627.953508401474,1025.66614465736,1126.50292811678
"96","Gonorrhoea","Hybrid","2018-2019",2018-12-01,694.861906199217,472.651427573731,535.459139708302,930.268455129076,1030.3316962047
"97","Gonorrhoea","Hybrid","2018-2019",2019-01-01,954.030089003564,702.99326000246,781.97711927014,1242.91566083744,1365.52838669468
"98","Gonorrhoea","Hybrid","2018-2019",2019-02-01,871.815020212847,603.601318589948,679.479672828736,1138.1971861645,1261.17507345916
"99","Gonorrhoea","Hybrid","2018-2019",2019-03-01,931.639759933969,644.363783297556,725.225871599143,1254.33892982762,1388.72137507632
"100","Gonorrhoea","Hybrid","2018-2019",2019-04-01,885.048066567572,573.511578589686,652.269413744854,1199.2239414191,1336.07277193557
"101","Gonorrhoea","Hybrid","2018-2019",2019-05-01,857.68148703321,584.98914489092,666.801520356961,1165.63666338059,1305.65370664275
"102","Gonorrhoea","Hybrid","2018-2019",2019-06-01,925.330905699077,597.198324949947,682.092589709953,1277.95182699541,1429.45699812432
"103","Gonorrhoea","Hybrid","2018-2019",2019-07-01,870.525224911084,559.263025388636,643.648242283344,1243.98541699466,1398.40997651734
"104","Gonorrhoea","Hybrid","2018-2019",2019-08-01,883.327833043603,561.855895332668,648.526821741724,1234.1551433056,1392.71563162659
"105","Gonorrhoea","Hybrid","2018-2019",2019-09-01,841.292309978512,537.420960352218,624.265177139698,1179.937650565,1339.58841046174
"106","Gonorrhoea","Hybrid","2018-2019",2019-10-01,851.019551496088,524.864028517018,612.674197838257,1194.54624091443,1359.57098340224
"107","Gonorrhoea","Hybrid","2018-2019",2019-11-01,795.961857129521,491.499669969086,578.436175611092,1170.55455020495,1338.24150514424
"108","Gonorrhoea","Hybrid","2018-2019",2019-12-01,705.652177998456,409.672067231747,491.024300615253,1057.85120449866,1221.52288607832
"109","Gonorrhoea","Hybrid","2017-2019",2017-01-01,952.624939581048,788.16288960921,822.613840731645,1074.58396387124,1117.14543503437
