"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"1","Scrub Typhus","Neural Network","2019",2019-01-01,581.425266884268,NA,NA,NA,NA
"2","Scrub Typhus","Neural Network","2019",2019-02-01,500.609266292107,NA,NA,NA,NA
"3","Scrub Typhus","Neural Network","2019",2019-03-01,452.879977800413,NA,NA,NA,NA
"4","Scrub Typhus","Neural Network","2019",2019-04-01,420.557303973922,NA,NA,NA,NA
"5","Scrub Typhus","Neural Network","2019",2019-05-01,588.655278270857,NA,NA,NA,NA
"6","Scrub Typhus","Neural Network","2019",2019-06-01,894.301059498018,NA,NA,NA,NA
"7","Scrub Typhus","Neural Network","2019",2019-07-01,1011.25184088396,NA,NA,NA,NA
"8","Scrub Typhus","Neural Network","2019",2019-08-01,1064.9582469812,NA,NA,NA,NA
"9","Scrub Typhus","Neural Network","2019",2019-09-01,1097.55333836609,NA,NA,NA,NA
"10","Scrub Typhus","Neural Network","2019",2019-10-01,1110.64412402093,NA,NA,NA,NA
"11","Scrub Typhus","Neural Network","2019",2019-11-01,1054.47607773245,NA,NA,NA,NA
"12","Scrub Typhus","Neural Network","2019",2019-12-01,868.742004508329,NA,NA,NA,NA
"13","Scrub Typhus","Neural Network","2018-2019",2018-01-01,557.792522808854,NA,NA,NA,NA
"14","Scrub Typhus","Neural Network","2018-2019",2018-02-01,491.431927361728,NA,NA,NA,NA
"15","Scrub Typhus","Neural Network","2018-2019",2018-03-01,404.774342887356,NA,NA,NA,NA
"16","Scrub Typhus","Neural Network","2018-2019",2018-04-01,350.030510698839,NA,NA,NA,NA
"17","Scrub Typhus","Neural Network","2018-2019",2018-05-01,400.792896653355,NA,NA,NA,NA
"18","Scrub Typhus","Neural Network","2018-2019",2018-06-01,606.341107833366,NA,NA,NA,NA
"19","Scrub Typhus","Neural Network","2018-2019",2018-07-01,795.288363919732,NA,NA,NA,NA
"20","Scrub Typhus","Neural Network","2018-2019",2018-08-01,833.121765530155,NA,NA,NA,NA
"21","Scrub Typhus","Neural Network","2018-2019",2018-09-01,805.155321194717,NA,NA,NA,NA
"22","Scrub Typhus","Neural Network","2018-2019",2018-10-01,857.399037758119,NA,NA,NA,NA
"23","Scrub Typhus","Neural Network","2018-2019",2018-11-01,787.780609059667,NA,NA,NA,NA
"24","Scrub Typhus","Neural Network","2018-2019",2018-12-01,682.825852324803,NA,NA,NA,NA
"25","Scrub Typhus","Neural Network","2018-2019",2019-01-01,650.985689919169,NA,NA,NA,NA
"26","Scrub Typhus","Neural Network","2018-2019",2019-02-01,595.240382691535,NA,NA,NA,NA
"27","Scrub Typhus","Neural Network","2018-2019",2019-03-01,508.70207346651,NA,NA,NA,NA
"28","Scrub Typhus","Neural Network","2018-2019",2019-04-01,434.190296530704,NA,NA,NA,NA
"29","Scrub Typhus","Neural Network","2018-2019",2019-05-01,434.146673985009,NA,NA,NA,NA
"30","Scrub Typhus","Neural Network","2018-2019",2019-06-01,556.574833265036,NA,NA,NA,NA
"31","Scrub Typhus","Neural Network","2018-2019",2019-07-01,722.818830242087,NA,NA,NA,NA
"32","Scrub Typhus","Neural Network","2018-2019",2019-08-01,785.962922036743,NA,NA,NA,NA
"33","Scrub Typhus","Neural Network","2018-2019",2019-09-01,795.260199265392,NA,NA,NA,NA
"34","Scrub Typhus","Neural Network","2018-2019",2019-10-01,820.409342996597,NA,NA,NA,NA
"35","Scrub Typhus","Neural Network","2018-2019",2019-11-01,801.738988685558,NA,NA,NA,NA
"36","Scrub Typhus","Neural Network","2018-2019",2019-12-01,748.797157712238,NA,NA,NA,NA
"37","Scrub Typhus","Neural Network","2017-2019",2017-01-01,519.304906634337,NA,NA,NA,NA
"38","Scrub Typhus","Neural Network","2017-2019",2017-02-01,476.253635704644,NA,NA,NA,NA
"39","Scrub Typhus","Neural Network","2017-2019",2017-03-01,490.26602276945,NA,NA,NA,NA
"40","Scrub Typhus","Neural Network","2017-2019",2017-04-01,378.941233827901,NA,NA,NA,NA
"41","Scrub Typhus","Neural Network","2017-2019",2017-05-01,363.79988069853,NA,NA,NA,NA
"42","Scrub Typhus","Neural Network","2017-2019",2017-06-01,398.956350263677,NA,NA,NA,NA
"43","Scrub Typhus","Neural Network","2017-2019",2017-07-01,647.591223142493,NA,NA,NA,NA
"44","Scrub Typhus","Neural Network","2017-2019",2017-08-01,744.475219291077,NA,NA,NA,NA
"45","Scrub Typhus","Neural Network","2017-2019",2017-09-01,785.427282431967,NA,NA,NA,NA
"46","Scrub Typhus","Neural Network","2017-2019",2017-10-01,831.789376871258,NA,NA,NA,NA
"47","Scrub Typhus","Neural Network","2017-2019",2017-11-01,835.304203012151,NA,NA,NA,NA
"48","Scrub Typhus","Neural Network","2017-2019",2017-12-01,701.292660773893,NA,NA,NA,NA
"49","Scrub Typhus","Neural Network","2017-2019",2018-01-01,648.594316377016,NA,NA,NA,NA
"50","Scrub Typhus","Neural Network","2017-2019",2018-02-01,591.741091278443,NA,NA,NA,NA
"51","Scrub Typhus","Neural Network","2017-2019",2018-03-01,570.890795309602,NA,NA,NA,NA
"52","Scrub Typhus","Neural Network","2017-2019",2018-04-01,480.596152497399,NA,NA,NA,NA
"53","Scrub Typhus","Neural Network","2017-2019",2018-05-01,428.642932484307,NA,NA,NA,NA
"54","Scrub Typhus","Neural Network","2017-2019",2018-06-01,426.290776422341,NA,NA,NA,NA
"55","Scrub Typhus","Neural Network","2017-2019",2018-07-01,574.901058526328,NA,NA,NA,NA
"56","Scrub Typhus","Neural Network","2017-2019",2018-08-01,711.143244706969,NA,NA,NA,NA
"57","Scrub Typhus","Neural Network","2017-2019",2018-09-01,747.452124942042,NA,NA,NA,NA
"58","Scrub Typhus","Neural Network","2017-2019",2018-10-01,785.506480733314,NA,NA,NA,NA
"59","Scrub Typhus","Neural Network","2017-2019",2018-11-01,805.393119239669,NA,NA,NA,NA
"60","Scrub Typhus","Neural Network","2017-2019",2018-12-01,754.752522775592,NA,NA,NA,NA
"61","Scrub Typhus","Neural Network","2017-2019",2019-01-01,706.714693554888,NA,NA,NA,NA
