"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"63","HBV","Neural Network","2017-2019",2019-03-01,628.182367267227,NA,NA,NA,NA
"64","HBV","Neural Network","2017-2019",2019-04-01,537.607776603331,NA,NA,NA,NA
"65","HBV","Neural Network","2017-2019",2019-05-01,529.295136296229,NA,NA,NA,NA
"66","HBV","Neural Network","2017-2019",2019-06-01,506.362959081575,NA,NA,NA,NA
"67","HBV","Neural Network","2017-2019",2019-07-01,501.308690005656,NA,NA,NA,NA
"68","HBV","Neural Network","2017-2019",2019-08-01,499.903380660728,NA,NA,NA,NA
"69","HBV","Neural Network","2017-2019",2019-09-01,499.968806994728,NA,NA,NA,NA
"70","HBV","Neural Network","2017-2019",2019-10-01,500.538680845947,NA,NA,NA,NA
"71","HBV","Neural Network","2017-2019",2019-11-01,500.537486330479,NA,NA,NA,NA
"72","HBV","Neural Network","2017-2019",2019-12-01,493.39106501858,NA,NA,NA,NA
"73","HBV","Hybrid","2019",2019-01-01,831.207954808935,692.749908633405,732.178571126648,934.088148252133,983.025432270361
"74","HBV","Hybrid","2019",2019-02-01,665.2191001027,492.801796148922,530.96803316034,748.054505040197,783.225676271245
"75","HBV","Hybrid","2019",2019-03-01,709.118384536475,578.338830028311,608.630610256187,794.781725663198,832.417677679054
"76","HBV","Hybrid","2019",2019-04-01,587.06679358856,464.299168822034,495.109528968349,668.920475081453,705.545418497956
"77","HBV","Hybrid","2019",2019-05-01,631.219164636972,512.600126513761,545.55126153302,763.409800239203,807.09774991453
"78","HBV","Hybrid","2019",2019-06-01,603.339965104791,486.615550879815,517.835696872584,692.710552446115,730.933213916051
"79","HBV","Hybrid","2019",2019-07-01,552.674228251397,435.648717180241,463.815948621994,625.731450927473,664.678217921775
"80","HBV","Hybrid","2019",2019-08-01,606.593630669753,475.152383391083,510.863138375277,698.834118199759,737.513544808642
"81","HBV","Hybrid","2019",2019-09-01,572.386662947039,447.144889759785,479.007628013721,663.700910195315,706.946132495208
"82","HBV","Hybrid","2019",2019-10-01,616.178604743542,469.889913403844,507.078180976308,719.643641840944,757.202783841974
"83","HBV","Hybrid","2019",2019-11-01,531.836480190456,416.873117080014,450.676334846422,618.422475855361,650.503754760941
"84","HBV","Hybrid","2019",2019-12-01,468.112037230159,356.054406432238,385.608122777139,556.360328437579,591.097135520223
"85","HBV","Hybrid","2018-2019",2018-01-01,802.211593511641,692.685125357971,724.512053586546,888.663585450855,924.057425566963
"86","HBV","Hybrid","2018-2019",2018-02-01,676.422204450547,552.087684139173,582.348664847555,809.037666674683,843.74975602773
"87","HBV","Hybrid","2018-2019",2018-03-01,703.748272136576,581.135040619677,613.924977918239,835.488392926243,875.089281262757
"88","HBV","Hybrid","2018-2019",2018-04-01,594.916960941583,457.387140399534,488.012804491279,770.28106705917,810.16373240392
"89","HBV","Hybrid","2018-2019",2018-05-01,613.199128224493,484.447526273735,517.41093618013,795.159931932142,826.103241388526
"90","HBV","Hybrid","2018-2019",2018-06-01,601.779551563706,465.883317020573,499.593484429885,730.520825048253,764.57540157817
"91","HBV","Hybrid","2018-2019",2018-07-01,564.96381546883,437.988426492782,471.975707411538,713.504918900217,755.118941122904
"92","HBV","Hybrid","2018-2019",2018-08-01,593.310304952803,451.860373835706,487.630134323828,704.271836649082,744.517821220806
"93","HBV","Hybrid","2018-2019",2018-09-01,567.108727677656,446.689601439466,483.469225928073,646.417623281697,684.077227601863
"94","HBV","Hybrid","2018-2019",2018-10-01,584.575204991945,444.93679205262,482.818119801984,703.434552683354,741.869575526865
"95","HBV","Hybrid","2018-2019",2018-11-01,515.422642265235,392.676359852761,429.383501334253,588.632674599994,627.410737259318
"96","HBV","Hybrid","2018-2019",2018-12-01,462.518365757071,329.711702478862,364.377693734349,564.191718087525,598.786861351507
"97","HBV","Hybrid","2018-2019",2019-01-01,811.016896354692,639.401933385535,688.623518952777,914.916305778295,958.913530193093
"98","HBV","Hybrid","2018-2019",2019-02-01,695.369448724201,506.398934727437,551.425869293623,828.642821004548,870.581387152332
"99","HBV","Hybrid","2018-2019",2019-03-01,712.560963868206,535.847530223719,583.264538454971,845.012997613289,887.854152830301
"100","HBV","Hybrid","2018-2019",2019-04-01,614.805822937509,418.592048258389,461.597529145443,822.966820270302,867.56245203971
"101","HBV","Hybrid","2018-2019",2019-05-01,625.648192716896,445.68927144323,491.019747457055,831.30575614807,875.285157882076
"102","HBV","Hybrid","2018-2019",2019-06-01,622.154810810282,428.956224909886,474.39962865214,797.959436138688,840.010516839531
"103","HBV","Hybrid","2018-2019",2019-07-01,582.551798857187,403.153395223352,448.149776691333,783.036790654226,824.899222202979
"104","HBV","Hybrid","2018-2019",2019-08-01,613.371479184683,417.353256709768,464.018615137339,775.489049909138,822.541093057015
"105","HBV","Hybrid","2018-2019",2019-09-01,585.339119444083,413.200494133262,460.523347584229,724.48401969409,776.111505246374
"106","HBV","Hybrid","2018-2019",2019-10-01,600.787910405856,412.271905922958,460.411170717801,735.230207433384,775.143669710006
"107","HBV","Hybrid","2018-2019",2019-11-01,529.296604937142,362.689491328683,408.72761384205,660.939299520263,724.726275201117
"108","HBV","Hybrid","2018-2019",2019-12-01,477.669636447027,302.850050229163,345.765275326623,591.707366594812,646.205333309274
"109","HBV","Hybrid","2017-2019",2017-01-01,754.543837695986,622.348381802909,653.57618028605,847.047861349678,881.579924709818
"110","HBV","Hybrid","2017-2019",2017-02-01,616.675085895479,513.065981115152,546.699164815071,690.404116014468,722.357539259064
"111","HBV","Hybrid","2017-2019",2017-03-01,650.190260679581,535.848453800377,567.168047708778,751.037505299567,782.703862056129
"112","HBV","Hybrid","2017-2019",2017-04-01,535.027037046335,442.149313919943,469.62466612432,596.225550214857,629.258459747093
"113","HBV","Hybrid","2017-2019",2017-05-01,549.18465081187,441.458769593923,471.413493755654,618.185169475382,647.842650400715
"114","HBV","Hybrid","2017-2019",2017-06-01,540.694597429412,437.345016453689,466.184274071615,613.160566771494,648.448260505681
"115","HBV","Hybrid","2017-2019",2017-07-01,510.953431270363,400.073103979624,429.736949921562,593.437279957751,623.99920313966
"116","HBV","Hybrid","2017-2019",2017-08-01,537.413608665312,432.989004280112,463.118948729371,615.321290813131,652.188009528171
"117","HBV","Hybrid","2017-2019",2017-09-01,523.594681575324,408.445903262575,436.809355491755,606.193877079051,637.125129488169
"118","HBV","Hybrid","2017-2019",2017-10-01,540.621174979774,438.342307231439,460.801020624291,619.538848777999,657.789630080154
"119","HBV","Hybrid","2017-2019",2017-11-01,479.05709544203,362.59509452772,392.58718641987,553.978337468938,583.755680354114
"120","HBV","Hybrid","2017-2019",2017-12-01,422.016830212955,323.256807454637,351.693397532545,496.755042881964,529.10740282063
"121","HBV","Hybrid","2017-2019",2018-01-01,749.806500693574,553.384903724111,600.295268519478,863.356903907766,900.348323050218
"122","HBV","Hybrid","2017-2019",2018-02-01,627.94331723291,480.89197183786,515.402349686303,721.080849590034,755.157965006743
"123","HBV","Hybrid","2017-2019",2018-03-01,658.006153411128,503.61485091686,540.697911956679,763.954190629251,798.791185931345
"124","HBV","Hybrid","2017-2019",2018-04-01,545.981620280307,419.563120712572,454.331480365161,622.228060469106,663.812783484443
"125","HBV","Hybrid","2017-2019",2018-05-01,552.866512875757,417.86677966315,452.518519201286,639.301044762926,671.208040926257
"126","HBV","Hybrid","2017-2019",2018-06-01,546.03340900604,415.783588532446,451.56114631715,633.56843717126,676.532101173216
"127","HBV","Hybrid","2017-2019",2018-07-01,519.011795576996,381.44847830105,415.351604290454,619.432486160722,650.847758962976
"128","HBV","Hybrid","2017-2019",2018-08-01,543.451503474189,412.330343071583,445.769824198343,632.030725667854,675.923042241221
"129","HBV","Hybrid","2017-2019",2018-09-01,532.315752129153,395.497305273046,430.770050657492,633.658462494706,665.428662746593
"130","HBV","Hybrid","2017-2019",2018-10-01,543.37094109404,416.644474196385,446.671154198308,633.922380844222,678.837508582748
"131","HBV","Hybrid","2017-2019",2018-11-01,488.181206946318,348.341406950621,382.196982944565,572.479300675337,602.696300602668
"132","HBV","Hybrid","2017-2019",2018-12-01,432.034028716617,306.604093974613,340.27990563189,533.287219098999,569.30428102281
"133","HBV","Hybrid","2017-2019",2019-01-01,746.569994899228,492.669516288002,545.568826720366,870.058706212519,908.235225401663
"134","HBV","Hybrid","2017-2019",2019-02-01,630.319441496734,450.783610314426,495.223137797969,736.049763674644,774.450900245837
"135","HBV","Hybrid","2017-2019",2019-03-01,661.348302028901,488.654268996029,530.224274370293,792.872050446721,828.39739185904
"136","HBV","Hybrid","2017-2019",2019-04-01,550.353910865428,401.655958728318,442.09774867583,633.36971791099,681.023295554365
"137","HBV","Hybrid","2017-2019",2019-05-01,557.874360823268,404.777521612709,443.406592075739,665.677310253858,698.26212660741
"138","HBV","Hybrid","2017-2019",2019-06-01,549.059652620593,398.436244059528,439.693459623406,644.288837737011,693.235808489462
"139","HBV","Hybrid","2017-2019",2019-07-01,515.380804636996,369.342899534188,406.958377737486,609.543803403412,646.531112456566
"140","HBV","Hybrid","2017-2019",2019-08-01,549.992623268289,395.495254409252,437.553367777451,646.682569574295,692.094405863022
"141","HBV","Hybrid","2017-2019",2019-09-01,528.605070074995,383.49861948952,422.488500132699,622.034759882243,672.544091167042
"142","HBV","Hybrid","2017-2019",2019-10-01,547.860485085907,401.722365979578,443.206648318274,643.940975333193,694.613480005604
"143","HBV","Hybrid","2017-2019",2019-11-01,494.093717981704,337.348567170513,374.603489563359,590.68323046073,621.816996309646
"144","HBV","Hybrid","2017-2019",2019-12-01,439.439088127107,292.786506490029,330.720202977686,546.536024299279,587.316368058164
"145","HBV","ARIMA + Fourier","2019",2019-01-01,831.385563367738,734.157669174657,767.127686202619,898.227556862942,934.657619219898
"146","HBV","ARIMA + Fourier","2019",2019-02-01,679.315915751569,589.634257291558,619.958090209402,741.386942513907,775.343661110768
"147","HBV","ARIMA + Fourier","2019",2019-03-01,716.741947405742,622.445165042831,654.33228783783,781.993893083913,817.686741907952
"148","HBV","ARIMA + Fourier","2019",2019-04-01,588.676005048206,501.693675836136,531.014842618845,649.308538477911,682.608271639683
"149","HBV","ARIMA + Fourier","2019",2019-05-01,628.988926715782,537.102122898324,568.086734005699,692.991575316298,728.127593152758
"150","HBV","ARIMA + Fourier","2019",2019-06-01,600.573210489926,509.096730450975,539.905147371017,664.470814389355,699.603478388505
"151","HBV","ARIMA + Fourier","2019",2019-07-01,571.397357655364,480.575715972377,511.123303616237,635.0300373651,670.07471243809
"152","HBV","ARIMA + Fourier","2019",2019-08-01,601.20395961936,506.243347540316,538.189411597952,667.706218201464,704.322210038252
