สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
53,53,%all%,%all%,0
53,53,แพร่,แพร่,0
53,53,เชียงใหม่,เชียงใหม่,0
53,53,อุทัยธานี,อุทัยธานี,0
53,53,อุดรธานี,อุดรธานี,0
53,53,อำนาจเจริญ,อำนาจเจริญ,0
53,53,สุรินทร์,สุรินทร์,0
53,53,สุราษฎร์ธานี,สุราษฎร์ธานี,0
53,53,สุพรรณบุรี,สุพรรณบุรี,0
53,53,สตูล,สตูล,0
53,53,สงขลา,สงขลา,0
53,53,สกลนคร,สกลนคร,0
53,53,ศรีสะเกษ,ศรีสะเกษ,0
53,53,ยโสธร,ยโสธร,0
53,53,ยะลา,ยะลา,0
53,53,มุกดาหาร,มุกดาหาร,0
53,53,มหาสารคาม,มหาสารคาม,0
53,53,พัทลุง,พัทลุง,0
53,53,พะเยา,พะเยา,0
53,53,ปัตตานี,ปัตตานี,0
53,53,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
53,53,ปทุมธานี,ปทุมธานี,0
53,53,บุรีรัมย์,บุรีรัมย์,0
53,53,บึงกาฬ,บึงกาฬ,0
53,53,นนทบุรี,นนทบุรี,0
53,53,นครราชสีมา,นครราชสีมา,0
53,53,นครพนม,นครพนม,0
53,53,ตาก,ตาก,0
53,53,ตรัง,ตรัง,0
53,53,ชัยภูมิ,ชัยภูมิ,0
53,53,ฉะเชิงเทรา,ฉะเชิงเทรา,0
53,53,จันทบุรี,จันทบุรี,0
53,53,ขอนแก่น,ขอนแก่น,0
53,53,กำแพงเพชร,กำแพงเพชร,0
53,53,กาญจนบุรี,กาญจนบุรี,0
53,53,กรุงเทพมหานคร,กรุงเทพมหานคร,0
52,52,%all%,%all%,625
52,52,ไม่ระบุ,ไม่ระบุ,2
52,52,แม่ฮ่องสอน,แม่ฮ่องสอน,6
52,52,แพร่,แพร่,5
52,52,เลย,เลย,2
52,52,เพชรบูรณ์,เพชรบูรณ์,4
52,52,เพชรบุรี,เพชรบุรี,0
52,52,เชียงใหม่,เชียงใหม่,26
52,52,เชียงราย,เชียงราย,13
52,52,อ่างทอง,อ่างทอง,4
52,52,อุบลราชธานี,อุบลราชธานี,23
52,52,อุทัยธานี,อุทัยธานี,0
52,52,อุตรดิตถ์,อุตรดิตถ์,4
52,52,อุดรธานี,อุดรธานี,5
52,52,อำนาจเจริญ,อำนาจเจริญ,0
52,52,หนองบัวลำภู,หนองบัวลำภู,1
52,52,หนองคาย,หนองคาย,5
52,52,สุโขทัย,สุโขทัย,5
52,52,สุรินทร์,สุรินทร์,10
52,52,สุราษฎร์ธานี,สุราษฎร์ธานี,23
52,52,สุพรรณบุรี,สุพรรณบุรี,4
52,52,สิงห์บุรี,สิงห์บุรี,1
52,52,สระแก้ว,สระแก้ว,3
52,52,สระบุรี,สระบุรี,7
52,52,สมุทรสาคร,สมุทรสาคร,8
52,52,สมุทรสงคราม,สมุทรสงคราม,2
52,52,สมุทรปราการ,สมุทรปราการ,12
52,52,สตูล,สตูล,9
52,52,สงขลา,สงขลา,25
52,52,สกลนคร,สกลนคร,4
52,52,ศรีสะเกษ,ศรีสะเกษ,8
52,52,ลำพูน,ลำพูน,5
52,52,ลำปาง,ลำปาง,7
52,52,ลพบุรี,ลพบุรี,1
52,52,ร้อยเอ็ด,ร้อยเอ็ด,11
52,52,ราชบุรี,ราชบุรี,5
52,52,ระยอง,ระยอง,8
52,52,ระนอง,ระนอง,3
52,52,ยโสธร,ยโสธร,6
52,52,ยะลา,ยะลา,19
52,52,มุกดาหาร,มุกดาหาร,1
52,52,มหาสารคาม,มหาสารคาม,10
52,52,ภูเก็ต,ภูเก็ต,18
52,52,พิษณุโลก,พิษณุโลก,5
52,52,พิจิตร,พิจิตร,2
52,52,พัทลุง,พัทลุง,9
52,52,พังงา,พังงา,3
52,52,พะเยา,พะเยา,3
52,52,พระนครศรีอยุธยา,พระนครศรีอยุธยา,8
52,52,ปัตตานี,ปัตตานี,6
52,52,ปราจีนบุรี,ปราจีนบุรี,4
52,52,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,2
52,52,ปทุมธานี,ปทุมธานี,10
