"Disease","Cases","Deaths","Count","YearStart","YearEnd"
"Brucellosis",126,1,144,2013,2025
"Chancroid",18713,0,216,2008,2025
"Chickenpox",909089,18,216,2008,2025
"Chikungunya",90370,1,216,2008,2025
"Cholera",2760,28,216,2008,2025
"Condyloma Acuminata",69217,0,216,2008,2025
"DHF Total",1542110,1571,216,2008,2025
"Diphtheria",349,78,216,2008,2025
"Dysentery,Amoebic",43067,4,216,2008,2025
"Dysentery,Bacillary",36377,1,216,2008,2025
"Encephalitis Total",14308,211,216,2008,2025
"Enterovirus Fever",1739,0,84,2019,2025
"Filariasis",244,0,216,2008,2025
"Genital Herpes Simplex",41556,1,216,2008,2025
"Gonorrhoea",162968,0,216,2008,2025
"HFM",961963,32,216,2008,2025
"HepatitisA",9097,1,216,2008,2025
"HepatitisB",135166,40,216,2008,2025
"HepatitisC",17378,7,216,2008,2025
"HepatitisD",1559,3,216,2008,2025
"HepatitisE",880,0,216,2008,2025
"Influenza",4077519,842,216,2008,2025
"Japanese B encephalitis",65,1,96,2018,2025
"Kala azar",23,1,216,2008,2025
"Leprosy",2353,1,216,2008,2025
"Leptospirosis",62326,880,216,2008,2025
"Liver fluke",13874,0,216,2008,2025
"Malaria",177599,155,216,2008,2025
"Measles Total",59011,56,216,2008,2025
"Melioidosis",54755,1102,216,2008,2025
"Meningitis,uns",30697,199,216,2008,2025
"Mumps",95688,0,216,2008,2025
"Paratyphoid",4790,1,216,2008,2025
"Pertussis",2554,15,216,2008,2025
"Pneumonia",4294783,12374,216,2008,2025
"Rubella",5137,0,216,2008,2025
"Scarlet fever",28794,0,216,2008,2025
"Scrub Typhus",135714,102,216,2008,2025
"Streptococcus suis",5980,324,156,2013,2025
"Syphilis",160444,19,216,2008,2025
"Trichinosis",235,1,216,2008,2025
"Typhoid",35514,1,216,2008,2025
"Zika virus",2272,0,84,2019,2025
