Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Zone:15,3954,252.38,36,2.3,1566662,2003,Pneumonia
Chumphon,1074,225.88,11,2.31,475467,2003,Pneumonia
Ranong,394,241.28,21,12.86,163298,2003,Pneumonia
Surat Thani,2486,267.92,4,0.43,927897,2003,Pneumonia
Zone:16,4699,177.82,23,0.87,2642568,2003,Pneumonia
Nakhon Si Thammarat,1632,106.49,19,1.24,1532483,2003,Pneumonia
Phatthalung,1530,303.25,3,0.59,504526,2003,Pneumonia
Trang,1537,253.82,1,0.17,605559,2003,Pneumonia
Zone:17,2130,237.8,33,3.68,895704,2003,Pneumonia
Krabi,1402,367.8,21,5.51,381184,2003,Pneumonia
Phangnga,232,96.64,2,0.83,240062,2003,Pneumonia
Phuket,496,180.72,10,3.64,274458,2003,Pneumonia
Zone:18,7033,391.17,11,0.61,1797937,2003,Pneumonia
Narathiwat,2810,399.09,2,0.28,704096,2003,Pneumonia
Pattani,1215,192.46,6,0.95,631288,2003,Pneumonia
Yala,3008,650.3,3,0.65,462553,2003,Pneumonia
Zone:19,2754,177.11,9,0.58,1555007,2003,Pneumonia
Satun,414,152.06,0,0.0,272252,2003,Pneumonia
Songkhla,2340,182.42,9,0.7,1282755,2003,Pneumonia
Total,136323,218.02,1038,1.66,62526710,2004,Pneumonia
North Region,32665,272.99,392,3.28,11965439,2004,Pneumonia
Zone:1,20068,350.82,126,2.2,5720315,2004,Pneumonia
Chiang Mai,4286,265.06,26,1.61,1616995,2004,Pneumonia
Chiang Rai,5762,474.37,53,4.36,1214659,2004,Pneumonia
Lampang,3437,436.13,5,0.63,788071,2004,Pneumonia
Lamphun,1292,317.51,5,1.23,406911,2004,Pneumonia
Mae Hong Son,2013,835.31,2,0.83,240988,2004,Pneumonia
Nan,999,208.14,12,2.5,479968,2004,Pneumonia
Phayao,1590,321.26,16,3.23,494926,2004,Pneumonia
Phrae,689,144.2,7,1.47,477797,2004,Pneumonia
Zone:2,7147,205.33,67,1.92,3480797,2004,Pneumonia
Phetchabun,1014,98.76,2,0.19,1026733,2004,Pneumonia
Phitsanulok,1207,141.26,1,0.12,854440,2004,Pneumonia
Sukhothai,1687,273.63,8,1.3,616536,2004,Pneumonia
Tak,1506,296.87,6,1.18,507296,2004,Pneumonia
Uttaradit,1733,364.23,50,10.51,475792,2004,Pneumonia
Zone:3,5450,197.15,199,7.2,2764327,2004,Pneumonia
Kamphaeng Phet,1715,228.57,109,14.53,750331,2004,Pneumonia
Nakhon Sawan,1781,161.6,68,6.17,1102099,2004,Pneumonia
Phichit,888,153.33,0,0.0,579155,2004,Pneumonia
Uthai Thani,1066,320.37,22,6.61,332742,2004,Pneumonia
Central Region,36695,177.86,489,2.37,20631429,2004,Pneumonia
Bangkok,7722,134.54,45,0.78,5739370,2004,Pneumonia
Zone:4,6135,225.47,132,4.85,2721016,2004,Pneumonia
Ang Thong,642,223.77,5,1.74,286896,2004,Pneumonia
Nonthaburi,1033,110.65,13,1.39,933591,2004,Pneumonia
P.Nakhon S.Ayutthaya,2635,353.3,60,8.04,745828,2004,Pneumonia
Pathum Thani,1825,241.82,54,7.16,754701,2004,Pneumonia
Zone:5,2857,147.53,80,4.13,1936502,2004,Pneumonia
Chai Nat,354,102.5,1,0.29,345355,2004,Pneumonia
Lop Buri,1421,187.22,79,10.41,759000,2004,Pneumonia
Saraburi,817,133.78,0,0.0,610722,2004,Pneumonia
Sing Buri,265,119.68,0,0.0,221425,2004,Pneumonia
Zone:6,6827,207.65,15,0.46,3287786,2004,Pneumonia
Kanchanaburi,2153,267.85,0,0.0,803802,2004,Pneumonia
Nakhon Pathom,1873,232.61,2,0.25,805210,2004,Pneumonia
Ratchaburi,1705,206.82,4,0.49,824406,2004,Pneumonia
Suphan Buri,1096,128.28,9,1.05,854368,2004,Pneumonia
Zone:7,2546,160.38,14,0.88,1587519,2004,Pneumonia
Phetchaburi,779,170.69,12,2.63,456384,2004,Pneumonia
Prachuap Khiri Khan,832,171.16,2,0.41,486084,2004,Pneumonia
Samut Sakhon,566,127.06,0,0.0,445443,2004,Pneumonia
Samut Songkhram,369,184.86,0,0.0,199608,2004,Pneumonia
Zone:8,6027,205.38,70,2.39,2934598,2004,Pneumonia
Chachoengsao,2374,366.38,0,0.0,647967,2004,Pneumonia
Nakhon Nayok,354,141.47,23,9.19,250235,2004,Pneumonia
Prachin Buri,1684,374.27,31,6.89,449940,2004,Pneumonia
Sa Kaeo,681,126.39,4,0.74,538823,2004,Pneumonia
Samut Prakan,934,89.15,12,1.15,1047633,2004,Pneumonia
Zone:9,4581,188.94,133,5.49,2424638,2004,Pneumonia
Chanthaburi,1372,272.88,22,4.38,502794,2004,Pneumonia
Chon Buri,989,86.0,0,0.0,1150048,2004,Pneumonia
Rayong,1724,313.28,61,11.08,550310,2004,Pneumonia
Trat,496,223.94,50,22.57,221486,2004,Pneumonia
North-Eastern Region,46562,216.94,73,0.34,21463567,2004,Pneumonia
Zone:10,5159,145.35,2,0.06,3549364,2004,Pneumonia
Loei,592,95.9,0,0.0,617280,2004,Pneumonia
Nong Bua Lam Phu,875,175.95,1,0.2,497298,2004,Pneumonia
Nong Khai,971,107.35,1,0.11,904499,2004,Pneumonia
Udon Thani,2721,177.81,0,0.0,1530287,2004,Pneumonia
Zone:11,5334,170.57,2,0.06,3127236,2004,Pneumonia
Kalasin,1256,127.78,1,0.1,982947,2004,Pneumonia
Mukdahan,710,211.42,0,0.0,335819,2004,Pneumonia
Nakhon Phanom,2443,348.6,0,0.0,700800,2004,Pneumonia
Sakon Nakhon,925,83.51,1,0.09,1107670,2004,Pneumonia
Zone:12,7288,181.65,3,0.07,4012215,2004,Pneumonia
Khon Kaen,3339,190.13,2,0.11,1756177,2004,Pneumonia
Maha Sarakham,2122,225.81,1,0.11,939718,2004,Pneumonia
Roi Et,1827,138.8,0,0.0,1316320,2004,Pneumonia
Zone:13,18010,272.0,65,0.98,6621384,2004,Pneumonia
