Areas,Age,Cases,Year,Disease
Total,Total,180,2014,STDLGV
ZONE:00,Total,3,2014,STDLGV
Bangkok,Total,3,2014,STDLGV
ZONE:01,Total,56,2014,STDLGV
Chiang Mai,Total,16,2014,STDLGV
Chiang Rai,Total,36,2014,STDLGV
Lampang,Total,0,2014,STDLGV
Lamphun,Total,1,2014,STDLGV
Mae Hong Son,Total,1,2014,STDLGV
Nan,Total,1,2014,STDLGV
Phayao,Total,0,2014,STDLGV
Phrae,Total,1,2014,STDLGV
ZONE:02,Total,7,2014,STDLGV
Phetchabun,Total,1,2014,STDLGV
Phitsanulok,Total,2,2014,STDLGV
Sukhothai,Total,0,2014,STDLGV
Tak,Total,3,2014,STDLGV
Uttaradit,Total,1,2014,STDLGV
ZONE:03,Total,7,2014,STDLGV
Chai Nat,Total,1,2014,STDLGV
Kamphaeng Phet,Total,1,2014,STDLGV
Nakhon Sawan,Total,3,2014,STDLGV
Phichit,Total,1,2014,STDLGV
Uthai Thani,Total,1,2014,STDLGV
ZONE:04,Total,5,2014,STDLGV
Ang Thong,Total,0,2014,STDLGV
Lop Buri,Total,0,2014,STDLGV
Nakhon Nayok,Total,1,2014,STDLGV
Nonthaburi,Total,1,2014,STDLGV
P.Nakhon S.Ayutthaya,Total,0,2014,STDLGV
Pathum Thani,Total,1,2014,STDLGV
Saraburi,Total,1,2014,STDLGV
Sing Buri,Total,1,2014,STDLGV
ZONE:05,Total,14,2014,STDLGV
Kanchanaburi,Total,4,2014,STDLGV
Nakhon Pathom,Total,0,2014,STDLGV
Phetchaburi,Total,0,2014,STDLGV
Prachuap Khiri Khan,Total,8,2014,STDLGV
Ratchaburi,Total,2,2014,STDLGV
Samut Sakhon,Total,0,2014,STDLGV
Samut Songkhram,Total,0,2014,STDLGV
Suphan Buri,Total,0,2014,STDLGV
ZONE:06,Total,15,2014,STDLGV
Chachoengsao,Total,3,2014,STDLGV
Chanthaburi,Total,0,2014,STDLGV
Chon Buri,Total,1,2014,STDLGV
Prachin Buri,Total,6,2014,STDLGV
Rayong,Total,3,2014,STDLGV
Sa Kaeo,Total,2,2014,STDLGV
Samut Prakan,Total,0,2014,STDLGV
Trat,Total,0,2014,STDLGV
ZONE:07,Total,7,2014,STDLGV
Kalasin,Total,0,2014,STDLGV
Khon Kaen,Total,5,2014,STDLGV
Maha Sarakham,Total,0,2014,STDLGV
Roi Et,Total,2,2014,STDLGV
ZONE:08,Total,12,2014,STDLGV
Bungkan,Total,1,2014,STDLGV
Loei,Total,1,2014,STDLGV
Nakhon Phanom,Total,4,2014,STDLGV
Nong Bua Lam Phu,Total,2,2014,STDLGV
Nong Khai,Total,1,2014,STDLGV
Sakon Nakhon,Total,1,2014,STDLGV
Udon Thani,Total,2,2014,STDLGV
ZONE:09,Total,9,2014,STDLGV
Buri Ram,Total,2,2014,STDLGV
Chaiyaphum,Total,1,2014,STDLGV
Nakhon Ratchasima,Total,2,2014,STDLGV
Surin,Total,4,2014,STDLGV
ZONE:10,Total,24,2014,STDLGV
Amnat Charoen,Total,0,2014,STDLGV
Mukdahan,Total,0,2014,STDLGV
Si Sa Ket,Total,1,2014,STDLGV
Ubon Ratchathani,Total,21,2014,STDLGV
Yasothon,Total,2,2014,STDLGV
ZONE:11,Total,10,2014,STDLGV
Chumphon,Total,0,2014,STDLGV
Krabi,Total,2,2014,STDLGV
Nakhon Si Thammarat,Total,4,2014,STDLGV
Phangnga,Total,1,2014,STDLGV
Phuket,Total,0,2014,STDLGV
Ranong,Total,0,2014,STDLGV
Surat Thani,Total,3,2014,STDLGV
ZONE:12,Total,11,2014,STDLGV
Narathiwat,Total,5,2014,STDLGV
Pattani,Total,0,2014,STDLGV
Phatthalung,Total,1,2014,STDLGV
Satun,Total,0,2014,STDLGV
Songkhla,Total,5,2014,STDLGV
Trang,Total,0,2014,STDLGV
Yala,Total,0,2014,STDLGV
Total,0,0,2014,STDLGV
ZONE:00,0,0,2014,STDLGV
Bangkok,0,0,2014,STDLGV
ZONE:01,0,0,2014,STDLGV
Chiang Mai,0,0,2014,STDLGV
Chiang Rai,0,0,2014,STDLGV
Lampang,0,0,2014,STDLGV
Lamphun,0,0,2014,STDLGV
Mae Hong Son,0,0,2014,STDLGV
Nan,0,0,2014,STDLGV
Phayao,0,0,2014,STDLGV
