Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,7133,10.9,3,0.0,65426907,2016,Scrub Typhus
ZONE:01,3760,65.04,1,0.02,5781324,2016,Scrub Typhus
Chiang Mai,1412,82.9,0,0.0,1703263,2016,Scrub Typhus
Chiang Rai,652,52.46,1,0.08,1242825,2016,Scrub Typhus
Lampang,79,10.5,0,0.0,752685,2016,Scrub Typhus
Lamphun,8,1.97,0,0.0,405927,2016,Scrub Typhus
Mae Hong Son,785,300.8,0,0.0,260971,2016,Scrub Typhus
Nan,747,155.99,0,0.0,478890,2016,Scrub Typhus
Phayao,37,7.65,0,0.0,483550,2016,Scrub Typhus
Phrae,40,8.83,0,0.0,453213,2016,Scrub Typhus
ZONE:02,714,20.41,1,0.03,3498728,2016,Scrub Typhus
Phetchabun,41,4.11,0,0.0,996397,2016,Scrub Typhus
Phitsanulok,48,5.57,0,0.0,861194,2016,Scrub Typhus
Sukhothai,15,2.49,1,0.17,602085,2016,Scrub Typhus
Tak,580,100.18,0,0.0,578968,2016,Scrub Typhus
Uttaradit,30,6.52,0,0.0,460084,2016,Scrub Typhus
ZONE:03,47,1.56,0,0.0,3011449,2016,Scrub Typhus
Chai Nat,2,0.6,0,0.0,331968,2016,Scrub Typhus
Kamphaeng Phet,23,3.15,0,0.0,729839,2016,Scrub Typhus
Nakhon Sawan,11,1.03,0,0.0,1072349,2016,Scrub Typhus
Phichit,7,1.28,0,0.0,546750,2016,Scrub Typhus
Uthai Thani,4,1.21,0,0.0,330543,2016,Scrub Typhus
ZONE:04,12,0.23,0,0.0,5221125,2016,Scrub Typhus
Ang Thong,4,1.41,0,0.0,283371,2016,Scrub Typhus
Lop Buri,2,0.26,0,0.0,758531,2016,Scrub Typhus
Nakhon Nayok,0,0.0,0,0.0,257939,2016,Scrub Typhus
Nonthaburi,2,0.17,0,0.0,1183791,2016,Scrub Typhus
P.Nakhon S.Ayutthaya,4,0.5,0,0.0,805980,2016,Scrub Typhus
Pathum Thani,0,0.0,0,0.0,1084154,2016,Scrub Typhus
Saraburi,0,0.0,0,0.0,635567,2016,Scrub Typhus
Sing Buri,0,0.0,0,0.0,211792,2016,Scrub Typhus
ZONE:05,55,1.06,0,0.0,5209561,2016,Scrub Typhus
Kanchanaburi,11,1.27,0,0.0,865172,2016,Scrub Typhus
Nakhon Pathom,6,0.67,0,0.0,895207,2016,Scrub Typhus
Phetchaburi,31,6.51,0,0.0,476391,2016,Scrub Typhus
Prachuap Khiri Khan,3,0.57,0,0.0,529912,2016,Scrub Typhus
Ratchaburi,2,0.23,0,0.0,860549,2016,Scrub Typhus
Samut Sakhon,0,0.0,0,0.0,538671,2016,Scrub Typhus
Samut Songkhram,0,0.0,0,0.0,194283,2016,Scrub Typhus
Suphan Buri,2,0.24,0,0.0,849376,2016,Scrub Typhus
ZONE:06,69,1.17,0,0.0,5880124,2016,Scrub Typhus
Chachoengsao,1,0.14,0,0.0,698190,2016,Scrub Typhus
Chanthaburi,39,7.37,0,0.0,529194,2016,Scrub Typhus
Chon Buri,13,0.9,0,0.0,1438231,2016,Scrub Typhus
Prachin Buri,3,0.62,0,0.0,480755,2016,Scrub Typhus
Rayong,8,1.17,0,0.0,681696,2016,Scrub Typhus
Sa Kaeo,3,0.54,0,0.0,554555,2016,Scrub Typhus
Samut Prakan,2,0.16,0,0.0,1270420,2016,Scrub Typhus
Trat,0,0.0,0,0.0,227083,2016,Scrub Typhus
ZONE:07,353,6.99,0,0.0,5049920,2016,Scrub Typhus
Kalasin,9,0.91,0,0.0,985055,2016,Scrub Typhus
Khon Kaen,118,6.58,0,0.0,1794032,2016,Scrub Typhus
Maha Sarakham,25,2.6,0,0.0,962592,2016,Scrub Typhus
Roi Et,201,15.36,0,0.0,1308241,2016,Scrub Typhus
ZONE:08,115,2.09,0,0.0,5511930,2016,Scrub Typhus
Bungkan,6,1.43,0,0.0,419607,2016,Scrub Typhus
Loei,79,12.41,0,0.0,636666,2016,Scrub Typhus
Nakhon Phanom,2,0.28,0,0.0,714369,2016,Scrub Typhus
Nong Bua Lam Phu,5,0.98,0,0.0,509469,2016,Scrub Typhus
Nong Khai,9,1.74,0,0.0,518420,2016,Scrub Typhus
Sakon Nakhon,6,0.53,0,0.0,1140673,2016,Scrub Typhus
Udon Thani,8,0.51,0,0.0,1572726,2016,Scrub Typhus
ZONE:09,543,8.06,0,0.0,6737604,2016,Scrub Typhus
Buri Ram,143,9.04,0,0.0,1581955,2016,Scrub Typhus
Chaiyaphum,125,10.99,0,0.0,1137651,2016,Scrub Typhus
Nakhon Ratchasima,122,4.65,0,0.0,2624668,2016,Scrub Typhus
Surin,153,10.98,0,0.0,1393330,2016,Scrub Typhus
ZONE:10,543,11.85,0,0.0,4581192,2016,Scrub Typhus
Amnat Charoen,7,1.86,0,0.0,375881,2016,Scrub Typhus
Mukdahan,2,0.58,0,0.0,347059,2016,Scrub Typhus
Si Sa Ket,320,21.81,0,0.0,1467006,2016,Scrub Typhus
Ubon Ratchathani,180,9.72,0,0.0,1851049,2016,Scrub Typhus
Yasothon,34,6.29,0,0.0,540197,2016,Scrub Typhus
ZONE:11,529,12.07,1,0.02,4383957,2016,Scrub Typhus
Chumphon,23,4.57,0,0.0,503203,2016,Scrub Typhus
Krabi,45,9.79,0,0.0,459456,2016,Scrub Typhus
Nakhon Si Thammarat,134,8.64,0,0.0,1550278,2016,Scrub Typhus
Phangnga,158,60.14,0,0.0,262721,2016,Scrub Typhus
Phuket,0,0.0,0,0.0,382485,2016,Scrub Typhus
Ranong,36,19.75,0,0.0,182313,2016,Scrub Typhus
Surat Thani,133,12.75,1,0.1,1043501,2016,Scrub Typhus
ZONE:12,376,7.73,0,0.0,4865646,2016,Scrub Typhus
Narathiwat,118,15.15,0,0.0,778941,2016,Scrub Typhus
Pattani,52,7.54,0,0.0,690104,2016,Scrub Typhus
Phatthalung,111,21.28,0,0.0,521570,2016,Scrub Typhus
Satun,7,2.23,0,0.0,314297,2016,Scrub Typhus
Songkhla,53,3.77,0,0.0,1405939,2016,Scrub Typhus
Trang,19,2.97,0,0.0,639770,2016,Scrub Typhus
Yala,16,3.11,0,0.0,515025,2016,Scrub Typhus
ZONE:13,17,0.3,0,0.0,5694347,2016,Scrub Typhus
Bangkok,17,0.3,0,0.0,5694347,2016,Scrub Typhus
Total,3264,5.21,3,0.0,62623416,2006,Scrub Typhus
North Region,1513,12.73,3,0.03,11887142,2006,Scrub Typhus
Zone:1,1196,20.8,3,0.05,5748673,2006,Scrub Typhus
Chiang Mai,214,12.94,0,0.0,1654154,2006,Scrub Typhus
Chiang Rai,304,24.81,2,0.16,1225386,2006,Scrub Typhus
Lampang,52,6.71,0,0.0,775259,2006,Scrub Typhus
Lamphun,9,2.22,0,0.0,405146,2006,Scrub Typhus
Mae Hong Son,207,81.37,1,0.39,254392,2006,Scrub Typhus
Nan,232,48.55,0,0.0,477871,2006,Scrub Typhus
Phayao,129,26.51,0,0.0,486554,2006,Scrub Typhus
Phrae,49,10.43,0,0.0,469911,2006,Scrub Typhus
Zone:2,256,7.42,0,0.0,3448091,2006,Scrub Typhus
Phetchabun,21,2.09,0,0.0,1002388,2006,Scrub Typhus
Phitsanulok,30,3.56,0,0.0,842739,2006,Scrub Typhus
Sukhothai,6,0.98,0,0.0,609591,2006,Scrub Typhus
Tak,171,32.58,0,0.0,524938,2006,Scrub Typhus
Uttaradit,28,5.98,0,0.0,468435,2006,Scrub Typhus
Zone:3,61,2.27,0,0.0,2690378,2006,Scrub Typhus
Kamphaeng Phet,24,3.3,0,0.0,728293,2006,Scrub Typhus
Nakhon Sawan,32,2.97,0,0.0,1076911,2006,Scrub Typhus
Phichit,2,0.36,0,0.0,558314,2006,Scrub Typhus
Uthai Thani,3,0.92,0,0.0,326860,2006,Scrub Typhus
Central Region,175,0.84,0,0.0,20825142,2006,Scrub Typhus
Bangkok,0,0.0,0,0.0,5677455,2006,Scrub Typhus
Zone:4,34,1.19,0,0.0,2858658,2006,Scrub Typhus
Ang Thong,5,1.76,0,0.0,283861,2006,Scrub Typhus
Nonthaburi,2,0.2,0,0.0,985669,2006,Scrub Typhus
P.Nakhon S.Ayutthaya,25,3.33,0,0.0,750757,2006,Scrub Typhus
Pathum Thani,2,0.24,0,0.0,838371,2006,Scrub Typhus
Zone:5,15,0.78,0,0.0,1915186,2006,Scrub Typhus
Chai Nat,10,2.94,0,0.0,339568,2006,Scrub Typhus
Lop Buri,1,0.13,0,0.0,752364,2006,Scrub Typhus
Saraburi,4,0.66,0,0.0,605897,2006,Scrub Typhus
Sing Buri,0,0.0,0,0.0,217357,2006,Scrub Typhus
Zone:6,29,0.87,0,0.0,3315213,2006,Scrub Typhus
Kanchanaburi,15,1.81,0,0.0,830309,2006,Scrub Typhus
Nakhon Pathom,1,0.12,0,0.0,815433,2006,Scrub Typhus
Ratchaburi,10,1.21,0,0.0,826212,2006,Scrub Typhus
Suphan Buri,3,0.36,0,0.0,843259,2006,Scrub Typhus
Zone:7,44,2.75,0,0.0,1598232,2006,Scrub Typhus
Phetchaburi,14,3.07,0,0.0,455332,2006,Scrub Typhus
Prachuap Khiri Khan,14,2.85,0,0.0,490607,2006,Scrub Typhus
Samut Sakhon,0,0.0,0,0.0,457264,2006,Scrub Typhus
Samut Songkhram,16,8.2,0,0.0,195029,2006,Scrub Typhus
Zone:8,18,0.6,0,0.0,2983258,2006,Scrub Typhus
Chachoengsao,2,0.31,0,0.0,650909,2006,Scrub Typhus
Nakhon Nayok,7,2.8,0,0.0,250392,2006,Scrub Typhus
Prachin Buri,6,1.33,0,0.0,451721,2006,Scrub Typhus
Sa Kaeo,3,0.56,0,0.0,537661,2006,Scrub Typhus
Samut Prakan,0,0.0,0,0.0,1092575,2006,Scrub Typhus
Zone:9,35,1.41,0,0.0,2477140,2006,Scrub Typhus
Chanthaburi,20,4.0,0,0.0,500275,2006,Scrub Typhus
Chon Buri,4,0.34,0,0.0,1190861,2006,Scrub Typhus
Rayong,7,1.24,0,0.0,566461,2006,Scrub Typhus
Trat,4,1.82,0,0.0,219543,2006,Scrub Typhus
North-Eastern Region,1067,5.0,0,0.0,21352480,2006,Scrub Typhus
Zone:10,185,5.24,0,0.0,3533061,2006,Scrub Typhus
Loei,134,21.86,0,0.0,612863,2006,Scrub Typhus
Nong Bua Lam Phu,11,2.21,0,0.0,496675,2006,Scrub Typhus
Nong Khai,16,1.78,0,0.0,897840,2006,Scrub Typhus
Udon Thani,24,1.57,0,0.0,1525683,2006,Scrub Typhus
Zone:11,23,0.74,0,0.0,3110390,2006,Scrub Typhus
Kalasin,10,1.03,0,0.0,974560,2006,Scrub Typhus
Mukdahan,2,0.6,0,0.0,334781,2006,Scrub Typhus
Nakhon Phanom,0,0.0,0,0.0,694473,2006,Scrub Typhus
Sakon Nakhon,11,0.99,0,0.0,1106576,2006,Scrub Typhus
Zone:12,69,1.73,0,0.0,3996666,2006,Scrub Typhus
Khon Kaen,33,1.89,0,0.0,1749021,2006,Scrub Typhus
Maha Sarakham,10,1.07,0,0.0,937285,2006,Scrub Typhus
Roi Et,26,1.98,0,0.0,1310360,2006,Scrub Typhus
Zone:13,333,5.06,0,0.0,6578271,2006,Scrub Typhus
Buri Ram,104,6.78,0,0.0,1534076,2006,Scrub Typhus
Chaiyaphum,13,1.16,0,0.0,1118040,2006,Scrub Typhus
Nakhon Ratchasima,119,4.66,0,0.0,2551176,2006,Scrub Typhus
Surin,97,7.05,0,0.0,1374979,2006,Scrub Typhus
Zone:14,457,11.05,0,0.0,4134092,2006,Scrub Typhus
Amnat Charoen,10,2.71,0,0.0,368863,2006,Scrub Typhus
Si Sa Ket,204,14.12,0,0.0,1445230,2006,Scrub Typhus
