Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,359,0.55,20,0.03,65124716,2015,Streptococcus suis
ZONE:00,0,0.0,0,0.0,5692284,2015,Streptococcus suis
Bangkok,0,0.0,0,0.0,5692284,2015,Streptococcus suis
ZONE:01,94,1.65,2,0.04,5709443,2015,Streptococcus suis
Chiang Mai,29,1.73,0,0.0,1678284,2015,Streptococcus suis
Chiang Rai,7,0.58,0,0.0,1207699,2015,Streptococcus suis
Lampang,0,0.0,0,0.0,753013,2015,Streptococcus suis
Lamphun,0,0.0,0,0.0,405468,2015,Streptococcus suis
Mae Hong Son,0,0.0,0,0.0,248178,2015,Streptococcus suis
Nan,50,10.45,1,0.21,478264,2015,Streptococcus suis
Phayao,7,1.44,1,0.21,484454,2015,Streptococcus suis
Phrae,1,0.22,0,0.0,454083,2015,Streptococcus suis
ZONE:02,79,2.29,7,0.2,3457208,2015,Streptococcus suis
Phetchabun,27,2.71,0,0.0,995807,2015,Streptococcus suis
Phitsanulok,1,0.12,0,0.0,858988,2015,Streptococcus suis
Sukhothai,17,2.82,4,0.66,602460,2015,Streptococcus suis
Tak,7,1.3,0,0.0,539553,2015,Streptococcus suis
Uttaradit,27,5.86,3,0.65,460400,2015,Streptococcus suis
ZONE:03,74,2.46,6,0.2,3012283,2015,Streptococcus suis
Chai Nat,0,0.0,0,0.0,332283,2015,Streptococcus suis
Kamphaeng Phet,0,0.0,0,0.0,729522,2015,Streptococcus suis
Nakhon Sawan,60,5.59,6,0.56,1072756,2015,Streptococcus suis
Phichit,12,2.19,0,0.0,547543,2015,Streptococcus suis
Uthai Thani,2,0.61,0,0.0,330179,2015,Streptococcus suis
ZONE:04,4,0.08,0,0.0,5196419,2015,Streptococcus suis
Ang Thong,0,0.0,0,0.0,283568,2015,Streptococcus suis
Lop Buri,2,0.26,0,0.0,758406,2015,Streptococcus suis
Nakhon Nayok,0,0.0,0,0.0,257300,2015,Streptococcus suis
Nonthaburi,0,0.0,0,0.0,1173870,2015,Streptococcus suis
P.Nakhon S.Ayutthaya,2,0.25,0,0.0,803599,2015,Streptococcus suis
Pathum Thani,0,0.0,0,0.0,1074058,2015,Streptococcus suis
Saraburi,0,0.0,0,0.0,633460,2015,Streptococcus suis
Sing Buri,0,0.0,0,0.0,212158,2015,Streptococcus suis
ZONE:05,2,0.04,0,0.0,5166914,2015,Streptococcus suis
Kanchanaburi,0,0.0,0,0.0,848198,2015,Streptococcus suis
Nakhon Pathom,0,0.0,0,0.0,891071,2015,Streptococcus suis
Phetchaburi,0,0.0,0,0.0,474192,2015,Streptococcus suis
Prachuap Khiri Khan,0,0.0,0,0.0,525107,2015,Streptococcus suis
Ratchaburi,0,0.0,0,0.0,853217,2015,Streptococcus suis
Samut Sakhon,2,0.38,0,0.0,531887,2015,Streptococcus suis
Samut Songkhram,0,0.0,0,0.0,194189,2015,Streptococcus suis
Suphan Buri,0,0.0,0,0.0,849053,2015,Streptococcus suis
ZONE:06,19,0.33,0,0.0,5836407,2015,Streptococcus suis
Chachoengsao,5,0.72,0,0.0,695478,2015,Streptococcus suis
Chanthaburi,4,0.76,0,0.0,527350,2015,Streptococcus suis
Chon Buri,0,0.0,0,0.0,1421425,2015,Streptococcus suis
Prachin Buri,9,1.88,0,0.0,479314,2015,Streptococcus suis
Rayong,1,0.15,0,0.0,674393,2015,Streptococcus suis
Sa Kaeo,0,0.0,0,0.0,552187,2015,Streptococcus suis
Samut Prakan,0,0.0,0,0.0,1261530,2015,Streptococcus suis
Trat,0,0.0,0,0.0,224730,2015,Streptococcus suis
ZONE:07,0,0.0,0,0.0,5043862,2015,Streptococcus suis
Kalasin,0,0.0,0,0.0,984907,2015,Streptococcus suis
Khon Kaen,0,0.0,0,0.0,1790049,2015,Streptococcus suis
Maha Sarakham,0,0.0,0,0.0,960588,2015,Streptococcus suis
Roi Et,0,0.0,0,0.0,1308318,2015,Streptococcus suis
ZONE:08,0,0.0,0,0.0,5501453,2015,Streptococcus suis
Bungkan,0,0.0,0,0.0,418566,2015,Streptococcus suis
Loei,0,0.0,0,0.0,634513,2015,Streptococcus suis
Nakhon Phanom,0,0.0,0,0.0,713341,2015,Streptococcus suis
Nong Bua Lam Phu,0,0.0,0,0.0,508864,2015,Streptococcus suis
Nong Khai,0,0.0,0,0.0,517260,2015,Streptococcus suis
Sakon Nakhon,0,0.0,0,0.0,1138609,2015,Streptococcus suis
Udon Thani,0,0.0,0,0.0,1570300,2015,Streptococcus suis
ZONE:09,56,0.83,5,0.07,6728450,2015,Streptococcus suis
Buri Ram,0,0.0,0,0.0,1579248,2015,Streptococcus suis
Chaiyaphum,0,0.0,0,0.0,1137049,2015,Streptococcus suis
Nakhon Ratchasima,50,1.91,5,0.19,2620517,2015,Streptococcus suis
Surin,6,0.43,0,0.0,1391636,2015,Streptococcus suis
ZONE:10,31,0.68,0,0.0,4571489,2015,Streptococcus suis
Amnat Charoen,0,0.0,0,0.0,375380,2015,Streptococcus suis
Mukdahan,0,0.0,0,0.0,346016,2015,Streptococcus suis
