Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,358,0.56,0,0.00,0.00,63457439,2009,Leprosy
Central Region,60,0.28,0,0.00,0.00,21386001,2009,Leprosy
Bangkok,8,0.14,0,0.00,0.00,5706739,2009,Leprosy
Zone:1,3,0.09,0,0.00,0.00,3397461,2009,Leprosy
Nonthaburi,2,0.19,0,0.00,0.00,1065332,2009,Leprosy
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,772142,2009,Leprosy
Pathum Thani,0,0.00,0,0.00,0.00,942813,2009,Leprosy
Saraburi,1,0.16,0,0.00,0.00,617174,2009,Leprosy
Zone:2,0,0.00,0,0.00,0.00,1590058,2009,Leprosy
Ang Thong,0,0.00,0,0.00,0.00,284819,2009,Leprosy
Chai Nat,0,0.00,0,0.00,0.00,335686,2009,Leprosy
Lop Buri,0,0.00,0,0.00,0.00,754127,2009,Leprosy
Sing Buri,0,0.00,0,0.00,0.00,215426,2009,Leprosy
Zone:3,12,0.39,0,0.00,0.00,3076347,2009,Leprosy
Chachoengsao,0,0.00,0,0.00,0.00,666907,2009,Leprosy
Nakhon Nayok,1,0.40,0,0.00,0.00,251219,2009,Leprosy
Prachin Buri,7,1.52,0,0.00,0.00,460617,2009,Leprosy
Sa Kaeo,3,0.55,0,0.00,0.00,541939,2009,Leprosy
Samut Prakan,1,0.09,0,0.00,0.00,1155665,2009,Leprosy
Zone:4,6,0.18,0,0.00,0.00,3364769,2009,Leprosy
Kanchanaburi,1,0.12,0,0.00,0.00,837165,2009,Leprosy
Nakhon Pathom,1,0.12,0,0.00,0.00,847513,2009,Leprosy
Ratchaburi,2,0.24,0,0.00,0.00,835546,2009,Leprosy
Suphan Buri,2,0.24,0,0.00,0.00,844545,2009,Leprosy
Zone:5,8,0.49,0,0.00,0.00,1637557,2009,Leprosy
Phetchaburi,5,1.09,0,0.00,0.00,460108,2009,Leprosy
Prachuap Khiri Khan,3,0.60,0,0.00,0.00,502221,2009,Leprosy
Samut Sakhon,0,0.00,0,0.00,0.00,481377,2009,Leprosy
Samut Songkhram,0,0.00,0,0.00,0.00,193851,2009,Leprosy
Zone:9,23,0.88,0,0.00,0.00,2613070,2009,Leprosy
Chanthaburi,16,3.14,0,0.00,0.00,509633,2009,Leprosy
Chon Buri,4,0.31,0,0.00,0.00,1277139,2009,Leprosy
Rayong,3,0.50,0,0.00,0.00,605380,2009,Leprosy
Trat,0,0.00,0,0.00,0.00,220918,2009,Leprosy
South Region,61,0.69,0,0.00,0.00,8777720,2009,Leprosy
Zone:6,31,0.89,0,0.00,0.00,3496373,2009,Leprosy
Chumphon,0,0.00,0,0.00,0.00,486233,2009,Leprosy
Nakhon Si Thammarat,0,0.00,0,0.00,0.00,1514832,2009,Leprosy
Phatthalung,1,0.20,0,0.00,0.00,506454,2009,Leprosy
Surat Thani,30,3.03,0,0.00,0.00,988854,2009,Leprosy
Zone:7,7,0.39,0,0.00,0.00,1803902,2009,Leprosy
Krabi,0,0.00,0,0.00,0.00,422631,2009,Leprosy
Phangnga,3,1.20,0,0.00,0.00,250796,2009,Leprosy
Phuket,1,0.30,0,0.00,0.00,331460,2009,Leprosy
Ranong,0,0.00,0,0.00,0.00,182242,2009,Leprosy
Trang,3,0.49,0,0.00,0.00,616773,2009,Leprosy
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",28/4/2553,,,,,,2009,Leprosy
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand  2009(2552)",Leprosy,35,,,,,2009,Leprosy
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2009,Leprosy
/100000  Pop.,/100000  pop.,ประชากร,,,,,2009,Leprosy
Zone:8,23,0.66,0,0.00,0.00,3477445,2009,Leprosy
Narathiwat,17,2.35,0,0.00,0.00,724001,2009,Leprosy
