Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,29918,47.53,0,0.0,62939819,2003,Influenza
North Region,4295,35.44,0,0.0,12120537,2003,Influenza
Zone:1,2299,39.89,0,0.0,5764017,2003,Influenza
Chiang Mai,712,44.51,0,0.0,1599538,2003,Influenza
Chiang Rai,412,33.1,0,0.0,1244564,2003,Influenza
Lampang,101,12.64,0,0.0,798996,2003,Influenza
Lamphun,256,62.73,0,0.0,408122,2003,Influenza
Mae Hong Son,123,51.44,0,0.0,239128,2003,Influenza
Nan,492,101.45,0,0.0,484961,2003,Influenza
Phayao,169,33.46,0,0.0,505032,2003,Influenza
Phrae,34,7.03,0,0.0,483676,2003,Influenza
Zone:2,1029,29.2,0,0.0,3523807,2003,Influenza
Phetchabun,343,32.77,0,0.0,1046537,2003,Influenza
Phitsanulok,159,18.33,0,0.0,867520,2003,Influenza
Sukhothai,137,21.98,0,0.0,623396,2003,Influenza
Tak,376,74.75,0,0.0,503042,2003,Influenza
Uttaradit,14,2.9,0,0.0,483312,2003,Influenza
Zone:3,967,34.14,0,0.0,2832713,2003,Influenza
Kamphaeng Phet,253,32.81,0,0.0,771177,2003,Influenza
Nakhon Sawan,389,34.46,0,0.0,1128789,2003,Influenza
Phichit,32,5.38,0,0.0,594918,2003,Influenza
Uthai Thani,293,86.73,0,0.0,337829,2003,Influenza
Central Region,8213,39.62,0,0.0,20726962,2003,Influenza
Zone:0,918,15.79,0,0.0,5813383,2003,Influenza
Bangkok,918,15.79,0,0.0,5813383,2003,Influenza
Zone:4,952,35.53,0,0.0,2679573,2003,Influenza
Ang Thong,43,14.8,0,0.0,290623,2003,Influenza
Nonthaburi,411,44.92,0,0.0,915043,2003,Influenza
P.Nakhon S.Ayutthaya,115,15.34,0,0.0,749751,2003,Influenza
Pathum Thani,383,52.89,0,0.0,724156,2003,Influenza
Zone:5,473,24.07,0,0.0,1964953,2003,Influenza
Chai Nat,52,14.86,0,0.0,349881,2003,Influenza
Lop Buri,87,11.32,0,0.0,768250,2003,Influenza
Saraburi,37,5.93,0,0.0,623783,2003,Influenza
Sing Buri,297,133.16,0,0.0,223039,2003,Influenza
