Areas,Age,Cases,Year,Disease
Total,Total,377,2019,Streptococcus
ZONE:01,Total,67,2019,Streptococcus
Chiang Mai,Total,12,2019,Streptococcus
Chiang Rai,Total,3,2019,Streptococcus
Lampang,Total,10,2019,Streptococcus
Lamphun,Total,0,2019,Streptococcus
Mae Hong Son,Total,0,2019,Streptococcus
Nan,Total,17,2019,Streptococcus
Phayao,Total,11,2019,Streptococcus
Phrae,Total,14,2019,Streptococcus
ZONE:02,Total,90,2019,Streptococcus
Phetchabun,Total,27,2019,Streptococcus
Phitsanulok,Total,9,2019,Streptococcus
Sukhothai,Total,12,2019,Streptococcus
Tak,Total,4,2019,Streptococcus
Uttaradit,Total,38,2019,Streptococcus
ZONE:03,Total,113,2019,Streptococcus
Chai Nat,Total,4,2019,Streptococcus
Kamphaeng Phet,Total,35,2019,Streptococcus
Nakhon Sawan,Total,65,2019,Streptococcus
Phichit,Total,6,2019,Streptococcus
Uthai Thani,Total,3,2019,Streptococcus
ZONE:04,Total,4,2019,Streptococcus
Ang Thong,Total,0,2019,Streptococcus
Lop Buri,Total,2,2019,Streptococcus
Nakhon Nayok,Total,0,2019,Streptococcus
Nonthaburi,Total,0,2019,Streptococcus
P.Nakhon S.Ayutthaya,Total,0,2019,Streptococcus
Pathum Thani,Total,0,2019,Streptococcus
Saraburi,Total,2,2019,Streptococcus
Sing Buri,Total,0,2019,Streptococcus
ZONE:05,Total,1,2019,Streptococcus
Kanchanaburi,Total,0,2019,Streptococcus
Nakhon Pathom,Total,0,2019,Streptococcus
Phetchaburi,Total,0,2019,Streptococcus
Prachuap Khiri Khan,Total,0,2019,Streptococcus
Ratchaburi,Total,1,2019,Streptococcus
Samut Sakhon,Total,0,2019,Streptococcus
Samut Songkhram,Total,0,2019,Streptococcus
Suphan Buri,Total,0,2019,Streptococcus
ZONE:06,Total,29,2019,Streptococcus
Chachoengsao,Total,0,2019,Streptococcus
Chanthaburi,Total,4,2019,Streptococcus
Chon Buri,Total,6,2019,Streptococcus
Prachin Buri,Total,9,2019,Streptococcus
Rayong,Total,2,2019,Streptococcus
Sa Kaeo,Total,8,2019,Streptococcus
Samut Prakan,Total,0,2019,Streptococcus
Trat,Total,0,2019,Streptococcus
ZONE:07,Total,0,2019,Streptococcus
Kalasin,Total,0,2019,Streptococcus
Khon Kaen,Total,0,2019,Streptococcus
Maha Sarakham,Total,0,2019,Streptococcus
Roi Et,Total,0,2019,Streptococcus
ZONE:08,Total,11,2019,Streptococcus
Bungkan,Total,0,2019,Streptococcus
Loei,Total,0,2019,Streptococcus
Nakhon Phanom,Total,0,2019,Streptococcus
Nong Bua Lam Phu,Total,0,2019,Streptococcus
Nong Khai,Total,9,2019,Streptococcus
