Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,8,0.01,0,0.00,0.00,66486458,2019,Japanese B encephalitis
ZONE:01,0,0.00,0,0.00,0.00,5891985,2019,Japanese B encephalitis
Chiang Mai,0,0.00,0,0.00,0.00,1771499,2019,Japanese B encephalitis
Chiang Rai,0,0.00,0,0.00,0.00,1295217,2019,Japanese B encephalitis
Lampang,0,0.00,0,0.00,0.00,740600,2019,Japanese B encephalitis
Lamphun,0,0.00,0,0.00,0.00,405515,2019,Japanese B encephalitis
Mae Hong Son,0,0.00,0,0.00,0.00,283352,2019,Japanese B encephalitis
Nan,0,0.00,0,0.00,0.00,478608,2019,Japanese B encephalitis
Phayao,0,0.00,0,0.00,0.00,473786,2019,Japanese B encephalitis
Phrae,0,0.00,0,0.00,0.00,443408,2019,Japanese B encephalitis
ZONE:02,0,0.00,0,0.00,0.00,3570128,2019,Japanese B encephalitis
Phetchabun,0,0.00,0,0.00,0.00,993496,2019,Japanese B encephalitis
Phitsanulok,0,0.00,0,0.00,0.00,866068,2019,Japanese B encephalitis
Sukhothai,0,0.00,0,0.00,0.00,596165,2019,Japanese B encephalitis
Tak,0,0.00,0,0.00,0.00,660147,2019,Japanese B encephalitis
Uttaradit,0,0.00,0,0.00,0.00,454252,2019,Japanese B encephalitis
ZONE:03,0,0.00,0,0.00,0.00,2983068,2019,Japanese B encephalitis
Chai Nat,0,0.00,0,0.00,0.00,327437,2019,Japanese B encephalitis
Kamphaeng Phet,0,0.00,0,0.00,0.00,726836,2019,Japanese B encephalitis
Nakhon Sawan,0,0.00,0,0.00,0.00,1061926,2019,Japanese B encephalitis
Phichit,0,0.00,0,0.00,0.00,537843,2019,Japanese B encephalitis
Uthai Thani,0,0.00,0,0.00,0.00,329026,2019,Japanese B encephalitis
ZONE:04,0,0.00,0,0.00,0.00,5381695,2019,Japanese B encephalitis
Ang Thong,0,0.00,0,0.00,0.00,280246,2019,Japanese B encephalitis
Lop Buri,0,0.00,0,0.00,0.00,757145,2019,Japanese B encephalitis
