Areas,Count,Month,Type,Year,Disease
Total,575,Total,,2007,Condyloma Acuminata
North Region,177,Total,,2007,Condyloma Acuminata
Zone: 1,90,Total,,2007,Condyloma Acuminata
Chiang Mai,2,Total,,2007,Condyloma Acuminata
Chiang Rai,17,Total,,2007,Condyloma Acuminata
Lampang,17,Total,,2007,Condyloma Acuminata
Lamphun,0,Total,,2007,Condyloma Acuminata
Mae Hong Son,1,Total,,2007,Condyloma Acuminata
Nan,0,Total,,2007,Condyloma Acuminata
Phayao,53,Total,,2007,Condyloma Acuminata
Phrae,0,Total,,2007,Condyloma Acuminata
Zone: 2,28,Total,,2007,Condyloma Acuminata
Phetchabun,1,Total,,2007,Condyloma Acuminata
Phitsanulok,19,Total,,2007,Condyloma Acuminata
Sukhothai,7,Total,,2007,Condyloma Acuminata
Tak,0,Total,,2007,Condyloma Acuminata
Uttaradit,1,Total,,2007,Condyloma Acuminata
Zone: 3,59,Total,,2007,Condyloma Acuminata
Kamphaeng Phet,17,Total,,2007,Condyloma Acuminata
Nakhon Sawan,36,Total,,2007,Condyloma Acuminata
Phichit,6,Total,,2007,Condyloma Acuminata
Uthai Thani,0,Total,,2007,Condyloma Acuminata
Central Region,331,Total,,2007,Condyloma Acuminata
Bangkok,216,Total,,2007,Condyloma Acuminata
Zone: 4,16,Total,,2007,Condyloma Acuminata
Ang Thong,0,Total,,2007,Condyloma Acuminata
Nonthaburi,11,Total,,2007,Condyloma Acuminata
P.Nakhon S.Ayutthaya,0,Total,,2007,Condyloma Acuminata
Pathum Thani,5,Total,,2007,Condyloma Acuminata
Zone: 5,6,Total,,2007,Condyloma Acuminata
Chai Nat,4,Total,,2007,Condyloma Acuminata
Lop Buri,0,Total,,2007,Condyloma Acuminata
Saraburi,0,Total,,2007,Condyloma Acuminata
Sing Buri,2,Total,,2007,Condyloma Acuminata
Zone: 6,14,Total,,2007,Condyloma Acuminata
Kanchanaburi,4,Total,,2007,Condyloma Acuminata
Nakhon Pathom,0,Total,,2007,Condyloma Acuminata
Ratchaburi,6,Total,,2007,Condyloma Acuminata
Suphan Buri,4,Total,,2007,Condyloma Acuminata
Zone: 7,27,Total,,2007,Condyloma Acuminata
Phetchaburi,20,Total,,2007,Condyloma Acuminata
Prachuap Khiri Khan,5,Total,,2007,Condyloma Acuminata
Samut Sakhon,2,Total,,2007,Condyloma Acuminata
Samut Songkhram,0,Total,,2007,Condyloma Acuminata
Zone: 8,37,Total,,2007,Condyloma Acuminata
Chachoengsao,0,Total,,2007,Condyloma Acuminata
Nakhon Nayok,24,Total,,2007,Condyloma Acuminata
Prachin Buri,0,Total,,2007,Condyloma Acuminata
Sa Kaeo,0,Total,,2007,Condyloma Acuminata
