Areas,Count,Month,Type,Year,Disease
Total,2,Total,Cases,2014,Tetanus neonatorum
ZONE:00,0,Total,Cases,2014,Tetanus neonatorum
Bangkok,0,Total,Cases,2014,Tetanus neonatorum
ZONE:01,0,Total,Cases,2014,Tetanus neonatorum
Chiang Mai,0,Total,Cases,2014,Tetanus neonatorum
Chiang Rai,0,Total,Cases,2014,Tetanus neonatorum
Lampang,0,Total,Cases,2014,Tetanus neonatorum
Lamphun,0,Total,Cases,2014,Tetanus neonatorum
Mae Hong Son,0,Total,Cases,2014,Tetanus neonatorum
Nan,0,Total,Cases,2014,Tetanus neonatorum
Phayao,0,Total,Cases,2014,Tetanus neonatorum
Phrae,0,Total,Cases,2014,Tetanus neonatorum
ZONE:02,0,Total,Cases,2014,Tetanus neonatorum
Phetchabun,0,Total,Cases,2014,Tetanus neonatorum
Phitsanulok,0,Total,Cases,2014,Tetanus neonatorum
Sukhothai,0,Total,Cases,2014,Tetanus neonatorum
Tak,0,Total,Cases,2014,Tetanus neonatorum
Uttaradit,0,Total,Cases,2014,Tetanus neonatorum
ZONE:03,0,Total,Cases,2014,Tetanus neonatorum
Chai Nat,0,Total,Cases,2014,Tetanus neonatorum
Kamphaeng Phet,0,Total,Cases,2014,Tetanus neonatorum
Nakhon Sawan,0,Total,Cases,2014,Tetanus neonatorum
Phichit,0,Total,Cases,2014,Tetanus neonatorum
Uthai Thani,0,Total,Cases,2014,Tetanus neonatorum
ZONE:04,0,Total,Cases,2014,Tetanus neonatorum
Ang Thong,0,Total,Cases,2014,Tetanus neonatorum
Lop Buri,0,Total,Cases,2014,Tetanus neonatorum
Nakhon Nayok,0,Total,Cases,2014,Tetanus neonatorum
Nonthaburi,0,Total,Cases,2014,Tetanus neonatorum
P.Nakhon S.Ayutthaya,0,Total,Cases,2014,Tetanus neonatorum
Pathum Thani,0,Total,Cases,2014,Tetanus neonatorum
Saraburi,0,Total,Cases,2014,Tetanus neonatorum
Sing Buri,0,Total,Cases,2014,Tetanus neonatorum
ZONE:05,2,Total,Cases,2014,Tetanus neonatorum
Kanchanaburi,1,Total,Cases,2014,Tetanus neonatorum
Nakhon Pathom,0,Total,Cases,2014,Tetanus neonatorum
Phetchaburi,0,Total,Cases,2014,Tetanus neonatorum
Prachuap Khiri Khan,0,Total,Cases,2014,Tetanus neonatorum
Ratchaburi,0,Total,Cases,2014,Tetanus neonatorum
Samut Sakhon,1,Total,Cases,2014,Tetanus neonatorum
Samut Songkhram,0,Total,Cases,2014,Tetanus neonatorum
Suphan Buri,0,Total,Cases,2014,Tetanus neonatorum
ZONE:06,0,Total,Cases,2014,Tetanus neonatorum
Chachoengsao,0,Total,Cases,2014,Tetanus neonatorum
Chanthaburi,0,Total,Cases,2014,Tetanus neonatorum
Chon Buri,0,Total,Cases,2014,Tetanus neonatorum
Prachin Buri,0,Total,Cases,2014,Tetanus neonatorum
Rayong,0,Total,Cases,2014,Tetanus neonatorum
Sa Kaeo,0,Total,Cases,2014,Tetanus neonatorum
Samut Prakan,0,Total,Cases,2014,Tetanus neonatorum
Trat,0,Total,Cases,2014,Tetanus neonatorum
ZONE:07,0,Total,Cases,2014,Tetanus neonatorum
Kalasin,0,Total,Cases,2014,Tetanus neonatorum
Khon Kaen,0,Total,Cases,2014,Tetanus neonatorum
Maha Sarakham,0,Total,Cases,2014,Tetanus neonatorum
Roi Et,0,Total,Cases,2014,Tetanus neonatorum
ZONE:08,0,Total,Cases,2014,Tetanus neonatorum
Bungkan,0,Total,Cases,2014,Tetanus neonatorum
Loei,0,Total,Cases,2014,Tetanus neonatorum
Nakhon Phanom,0,Total,Cases,2014,Tetanus neonatorum
Nong Bua Lam Phu,0,Total,Cases,2014,Tetanus neonatorum
Nong Khai,0,Total,Cases,2014,Tetanus neonatorum
Sakon Nakhon,0,Total,Cases,2014,Tetanus neonatorum
Udon Thani,0,Total,Cases,2014,Tetanus neonatorum
ZONE:09,0,Total,Cases,2014,Tetanus neonatorum
Buri Ram,0,Total,Cases,2014,Tetanus neonatorum
Chaiyaphum,0,Total,Cases,2014,Tetanus neonatorum
Nakhon Ratchasima,0,Total,Cases,2014,Tetanus neonatorum
Surin,0,Total,Cases,2014,Tetanus neonatorum
ZONE:10,0,Total,Cases,2014,Tetanus neonatorum
Amnat Charoen,0,Total,Cases,2014,Tetanus neonatorum
Mukdahan,0,Total,Cases,2014,Tetanus neonatorum
Si Sa Ket,0,Total,Cases,2014,Tetanus neonatorum
Ubon Ratchathani,0,Total,Cases,2014,Tetanus neonatorum
Yasothon,0,Total,Cases,2014,Tetanus neonatorum
ZONE:11,0,Total,Cases,2014,Tetanus neonatorum
Chumphon,0,Total,Cases,2014,Tetanus neonatorum
Krabi,0,Total,Cases,2014,Tetanus neonatorum
Nakhon Si Thammarat,0,Total,Cases,2014,Tetanus neonatorum
Phangnga,0,Total,Cases,2014,Tetanus neonatorum
Phuket,0,Total,Cases,2014,Tetanus neonatorum
Ranong,0,Total,Cases,2014,Tetanus neonatorum
Surat Thani,0,Total,Cases,2014,Tetanus neonatorum
ZONE:12,0,Total,Cases,2014,Tetanus neonatorum
Narathiwat,0,Total,Cases,2014,Tetanus neonatorum
Pattani,0,Total,Cases,2014,Tetanus neonatorum
Phatthalung,0,Total,Cases,2014,Tetanus neonatorum
Satun,0,Total,Cases,2014,Tetanus neonatorum
Songkhla,0,Total,Cases,2014,Tetanus neonatorum
Trang,0,Total,Cases,2014,Tetanus neonatorum
Yala,0,Total,Cases,2014,Tetanus neonatorum
Total,1,Total,Deaths,2014,Tetanus neonatorum
ZONE:00,0,Total,Deaths,2014,Tetanus neonatorum
Bangkok,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:01,0,Total,Deaths,2014,Tetanus neonatorum
Chiang Mai,0,Total,Deaths,2014,Tetanus neonatorum
Chiang Rai,0,Total,Deaths,2014,Tetanus neonatorum
Lampang,0,Total,Deaths,2014,Tetanus neonatorum
Lamphun,0,Total,Deaths,2014,Tetanus neonatorum
Mae Hong Son,0,Total,Deaths,2014,Tetanus neonatorum
Nan,0,Total,Deaths,2014,Tetanus neonatorum
Phayao,0,Total,Deaths,2014,Tetanus neonatorum
Phrae,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:02,0,Total,Deaths,2014,Tetanus neonatorum
Phetchabun,0,Total,Deaths,2014,Tetanus neonatorum
Phitsanulok,0,Total,Deaths,2014,Tetanus neonatorum
Sukhothai,0,Total,Deaths,2014,Tetanus neonatorum
Tak,0,Total,Deaths,2014,Tetanus neonatorum
Uttaradit,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:03,0,Total,Deaths,2014,Tetanus neonatorum
Chai Nat,0,Total,Deaths,2014,Tetanus neonatorum
Kamphaeng Phet,0,Total,Deaths,2014,Tetanus neonatorum
Nakhon Sawan,0,Total,Deaths,2014,Tetanus neonatorum
Phichit,0,Total,Deaths,2014,Tetanus neonatorum
Uthai Thani,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:04,0,Total,Deaths,2014,Tetanus neonatorum
Ang Thong,0,Total,Deaths,2014,Tetanus neonatorum
Lop Buri,0,Total,Deaths,2014,Tetanus neonatorum
Nakhon Nayok,0,Total,Deaths,2014,Tetanus neonatorum
Nonthaburi,0,Total,Deaths,2014,Tetanus neonatorum
P.Nakhon S.Ayutthaya,0,Total,Deaths,2014,Tetanus neonatorum
Pathum Thani,0,Total,Deaths,2014,Tetanus neonatorum
Saraburi,0,Total,Deaths,2014,Tetanus neonatorum
Sing Buri,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:05,1,Total,Deaths,2014,Tetanus neonatorum
Kanchanaburi,0,Total,Deaths,2014,Tetanus neonatorum
Nakhon Pathom,0,Total,Deaths,2014,Tetanus neonatorum
Phetchaburi,0,Total,Deaths,2014,Tetanus neonatorum
Prachuap Khiri Khan,0,Total,Deaths,2014,Tetanus neonatorum
Ratchaburi,0,Total,Deaths,2014,Tetanus neonatorum
Samut Sakhon,1,Total,Deaths,2014,Tetanus neonatorum
Samut Songkhram,0,Total,Deaths,2014,Tetanus neonatorum
Suphan Buri,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:06,0,Total,Deaths,2014,Tetanus neonatorum
Chachoengsao,0,Total,Deaths,2014,Tetanus neonatorum
Chanthaburi,0,Total,Deaths,2014,Tetanus neonatorum
Chon Buri,0,Total,Deaths,2014,Tetanus neonatorum
Prachin Buri,0,Total,Deaths,2014,Tetanus neonatorum
Rayong,0,Total,Deaths,2014,Tetanus neonatorum
Sa Kaeo,0,Total,Deaths,2014,Tetanus neonatorum
Samut Prakan,0,Total,Deaths,2014,Tetanus neonatorum
Trat,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:07,0,Total,Deaths,2014,Tetanus neonatorum
Kalasin,0,Total,Deaths,2014,Tetanus neonatorum
Khon Kaen,0,Total,Deaths,2014,Tetanus neonatorum
Maha Sarakham,0,Total,Deaths,2014,Tetanus neonatorum
Roi Et,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:08,0,Total,Deaths,2014,Tetanus neonatorum
Bungkan,0,Total,Deaths,2014,Tetanus neonatorum
Loei,0,Total,Deaths,2014,Tetanus neonatorum
Nakhon Phanom,0,Total,Deaths,2014,Tetanus neonatorum
Nong Bua Lam Phu,0,Total,Deaths,2014,Tetanus neonatorum
Nong Khai,0,Total,Deaths,2014,Tetanus neonatorum
Sakon Nakhon,0,Total,Deaths,2014,Tetanus neonatorum
Udon Thani,0,Total,Deaths,2014,Tetanus neonatorum
ZONE:09,0,Total,Deaths,2014,Tetanus neonatorum
