Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,0,0.00,0,0.00,0.00,66171439,2022,Avian
ZONE:01,0,0.00,0,0.00,0.00,5874503,2022,Avian
Chiang Mai,0,0.00,0,0.00,0.00,1789385,2022,Avian
Chiang Rai,0,0.00,0,0.00,0.00,1298425,2022,Avian
Lampang,0,0.00,0,0.00,0.00,724678,2022,Avian
Lamphun,0,0.00,0,0.00,0.00,401139,2022,Avian
Mae Hong Son,0,0.00,0,0.00,0.00,285916,2022,Avian
Nan,0,0.00,0,0.00,0.00,475875,2022,Avian
Phayao,0,0.00,0,0.00,0.00,464505,2022,Avian
Phrae,0,0.00,0,0.00,0.00,434580,2022,Avian
ZONE:02,0,0.00,0,0.00,0.00,3533839,2022,Avian
Phetchabun,0,0.00,0,0.00,0.00,978372,2022,Avian
Phitsanulok,0,0.00,0,0.00,0.00,847384,2022,Avian
Sukhothai,0,0.00,0,0.00,0.00,585352,2022,Avian
Tak,0,0.00,0,0.00,0.00,676583,2022,Avian
Uttaradit,0,0.00,0,0.00,0.00,446148,2022,Avian
ZONE:03,0,0.00,0,0.00,0.00,2922114,2022,Avian
Chai Nat,0,0.00,0,0.00,0.00,320432,2022,Avian
Kamphaeng Phet,0,0.00,0,0.00,0.00,712143,2022,Avian
Nakhon Sawan,0,0.00,0,0.00,0.00,1035028,2022,Avian
Phichit,0,0.00,0,0.00,0.00,529395,2022,Avian
Uthai Thani,0,0.00,0,0.00,0.00,325116,2022,Avian
ZONE:04,0,0.00,0,0.00,0.00,5422367,2022,Avian
Ang Thong,0,0.00,0,0.00,0.00,274763,2022,Avian
Lop Buri,0,0.00,0,0.00,0.00,739473,2022,Avian
Nakhon Nayok,0,0.00,0,0.00,0.00,260433,2022,Avian
Nonthaburi,0,0.00,0,0.00,0.00,1288637,2022,Avian
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,820512,2022,Avian
Pathum Thani,0,0.00,0,0.00,0.00,1190060,2022,Avian
Saraburi,0,0.00,0,0.00,0.00,643963,2022,Avian
Sing Buri,0,0.00,0,0.00,0.00,204526,2022,Avian
ZONE:05,0,0.00,0,0.00,0.00,5333543,2022,Avian
Kanchanaburi,0,0.00,0,0.00,0.00,894054,2022,Avian
Nakhon Pathom,0,0.00,0,0.00,0.00,922171,2022,Avian
Phetchaburi,0,0.00,0,0.00,0.00,482875,2022,Avian
Prachuap Khiri Khan,0,0.00,0,0.00,0.00,553171,2022,Avian
Ratchaburi,0,0.00,0,0.00,0.00,868281,2022,Avian
Samut Sakhon,0,0.00,0,0.00,0.00,586789,2022,Avian
Samut Songkhram,0,0.00,0,0.00,0.00,190842,2022,Avian
Suphan Buri,0,0.00,0,0.00,0.00,835360,2022,Avian
ZONE:06,0,0.00,0,0.00,0.00,6237892,2022,Avian
Chachoengsao,0,0.00,0,0.00,0.00,724178,2022,Avian
Chanthaburi,0,0.00,0,0.00,0.00,536557,2022,Avian
Chon Buri,0,0.00,0,0.00,0.00,1583672,2022,Avian
Prachin Buri,0,0.00,0,0.00,0.00,495325,2022,Avian
Rayong,0,0.00,0,0.00,0.00,751343,2022,Avian
Sa Kaeo,0,0.00,0,0.00,0.00,561992,2022,Avian
Samut Prakan,0,0.00,0,0.00,0.00,1356449,2022,Avian
Trat,0,0.00,0,0.00,0.00,228376,2022,Avian
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",14/6/2566,,,,,,2022,Avian
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand",2565(2022),Avian influenza,91,,,,2022,Avian
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2022,Avian
/100000  Pop.,/100000  pop.,ประชากร,,,,,2022,Avian
ZONE:07,0,0.00,0,0.00,0.00,5010756,2022,Avian
Kalasin,0,0.00,0,0.00,0.00,975570,2022,Avian
Khon Kaen,0,0.00,0,0.00,0.00,1790863,2022,Avian
Maha Sarakham,0,0.00,0,0.00,0.00,948310,2022,Avian
Roi Et,0,0.00,0,0.00,0.00,1296013,2022,Avian
ZONE:08,0,0.00,0,0.00,0.00,5516407,2022,Avian
Bungkan,0,0.00,0,0.00,0.00,421995,2022,Avian
Loei,0,0.00,0,0.00,0.00,638732,2022,Avian
Nakhon Phanom,0,0.00,0,0.00,0.00,717040,2022,Avian
Nong Bua Lam Phu,0,0.00,0,0.00,0.00,509001,2022,Avian
Nong Khai,0,0.00,0,0.00,0.00,516843,2022,Avian
Sakon Nakhon,0,0.00,0,0.00,0.00,1146286,2022,Avian
Udon Thani,0,0.00,0,0.00,0.00,1566510,2022,Avian
ZONE:09,0,0.00,0,0.00,0.00,6712454,2022,Avian
Buri Ram,0,0.00,0,0.00,0.00,1579805,2022,Avian
Chaiyaphum,0,0.00,0,0.00,0.00,1122265,2022,Avian
Nakhon Ratchasima,0,0.00,0,0.00,0.00,2634154,2022,Avian
Surin,0,0.00,0,0.00,0.00,1376230,2022,Avian
ZONE:10,0,0.00,0,0.00,0.00,4587303,2022,Avian
Amnat Charoen,0,0.00,0,0.00,0.00,376350,2022,Avian
Mukdahan,0,0.00,0,0.00,0.00,351484,2022,Avian
Si Sa Ket,0,0.00,0,0.00,0.00,1457556,2022,Avian
Ubon Ratchathani,0,0.00,0,0.00,0.00,1868519,2022,Avian
Yasothon,0,0.00,0,0.00,0.00,533394,2022,Avian
ZONE:11,0,0.00,0,0.00,0.00,4492012,2022,Avian
Chumphon,0,0.00,0,0.00,0.00,509479,2022,Avian
Krabi,0,0.00,0,0.00,0.00,479351,2022,Avian
Nakhon Si Thammarat,0,0.00,0,0.00,0.00,1549344,2022,Avian
Phangnga,0,0.00,0,0.00,0.00,268016,2022,Avian
Phuket,0,0.00,0,0.00,0.00,418785,2022,Avian
Ranong,0,0.00,0,0.00,0.00,194573,2022,Avian
Surat Thani,0,0.00,0,0.00,0.00,1072464,2022,Avian
ZONE:12,0,0.00,0,0.00,0.00,5000255,2022,Avian
Narathiwat,0,0.00,0,0.00,0.00,809660,2022,Avian
Pattani,0,0.00,0,0.00,0.00,729581,2022,Avian
Phatthalung,0,0.00,0,0.00,0.00,522541,2022,Avian
Satun,0,0.00,0,0.00,0.00,324835,2022,Avian
Songkhla,0,0.00,0,0.00,0.00,1431536,2022,Avian
Trang,0,0.00,0,0.00,0.00,639788,2022,Avian
Yala,0,0.00,0,0.00,0.00,542314,2022,Avian
ZONE:13,0,0.00,0,0.00,0.00,5527994,2022,Avian
Bangkok,0,0.00,0,0.00,0.00,5527994,2022,Avian
Total,0,0.00,0,0.00,0.00,66372831,2020,Avian
ZONE:01,0,0.00,0,0.00,0.00,5886870,2020,Avian
Chiang Mai,0,0.00,0,0.00,0.00,1781812,2020,Avian
