Areas,Age,Cases,Year,Disease
Ang Thong,0,0,2011,Mushroom poisoning
Chai Nat,0,0,2011,Mushroom poisoning
Lop Buri,0,0,2011,Mushroom poisoning
Sing Buri,0,0,2011,Mushroom poisoning
Zone:3,0,0,2011,Mushroom poisoning
Chachoengsao,0,0,2011,Mushroom poisoning
Nakhon Nayok,0,0,2011,Mushroom poisoning
Prachin Buri,0,0,2011,Mushroom poisoning
Sa Kaeo,0,0,2011,Mushroom poisoning
Samut Prakan,0,0,2011,Mushroom poisoning
Zone:4,0,0,2011,Mushroom poisoning
Kanchanaburi,0,0,2011,Mushroom poisoning
Nakhon Pathom,0,0,2011,Mushroom poisoning
Ratchaburi,0,0,2011,Mushroom poisoning
Suphan Buri,0,0,2011,Mushroom poisoning
Zone:5,0,0,2011,Mushroom poisoning
Phetchaburi,0,0,2011,Mushroom poisoning
Prachuap Khiri Khan,0,0,2011,Mushroom poisoning
Samut Sakhon,0,0,2011,Mushroom poisoning
Samut Songkhram,0,0,2011,Mushroom poisoning
Zone:9,0,0,2011,Mushroom poisoning
Chanthaburi,0,0,2011,Mushroom poisoning
Chon Buri,0,0,2011,Mushroom poisoning
Rayong,0,0,2011,Mushroom poisoning
Trat,0,0,2011,Mushroom poisoning
South Region,0,0,2011,Mushroom poisoning
Zone:6,0,0,2011,Mushroom poisoning
Chumphon,0,0,2011,Mushroom poisoning
Nakhon Si Thammarat,0,0,2011,Mushroom poisoning
Phatthalung,0,0,2011,Mushroom poisoning
Surat Thani,0,0,2011,Mushroom poisoning
Zone:7,0,0,2011,Mushroom poisoning
Krabi,0,0,2011,Mushroom poisoning
Phangnga,0,0,2011,Mushroom poisoning
Phuket,0,0,2011,Mushroom poisoning
Ranong,0,0,2011,Mushroom poisoning
Trang,0,0,2011,Mushroom poisoning
Zone:8,0,0,2011,Mushroom poisoning
Narathiwat,0,0,2011,Mushroom poisoning
Pattani,0,0,2011,Mushroom poisoning
Satun,0,0,2011,Mushroom poisoning
Songkhla,0,0,2011,Mushroom poisoning
Yala,0,0,2011,Mushroom poisoning
North-Eastern Region,0,0,2011,Mushroom poisoning
