Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,4352,6.59,0,0.0,66060027,2017,Condyloma Acuminata
ZONE:01,539,9.19,0,0.0,5864232,2017,Condyloma Acuminata
Chiang Mai,157,9.02,0,0.0,1741301,2017,Condyloma Acuminata
Chiang Rai,218,16.96,0,0.0,1285080,2017,Condyloma Acuminata
Lampang,19,2.54,0,0.0,747699,2017,Condyloma Acuminata
Lamphun,25,6.16,0,0.0,405959,2017,Condyloma Acuminata
Mae Hong Son,15,5.41,0,0.0,277486,2017,Condyloma Acuminata
Nan,27,5.63,0,0.0,479877,2017,Condyloma Acuminata
Phayao,55,11.5,0,0.0,478144,2017,Condyloma Acuminata
Phrae,23,5.13,0,0.0,448686,2017,Condyloma Acuminata
ZONE:02,270,7.59,0,0.0,3556376,2017,Condyloma Acuminata
Phetchabun,68,6.83,0,0.0,995277,2017,Condyloma Acuminata
Phitsanulok,141,16.29,0,0.0,865564,2017,Condyloma Acuminata
Sukhothai,13,2.17,0,0.0,599775,2017,Condyloma Acuminata
Tak,42,6.58,0,0.0,638115,2017,Condyloma Acuminata
Uttaradit,6,1.31,0,0.0,457645,2017,Condyloma Acuminata
ZONE:03,231,7.7,0,0.0,2998104,2017,Condyloma Acuminata
Chai Nat,30,9.09,0,0.0,330077,2017,Condyloma Acuminata
Kamphaeng Phet,67,9.19,0,0.0,729337,2017,Condyloma Acuminata
Nakhon Sawan,94,8.82,0,0.0,1065895,2017,Condyloma Acuminata
Phichit,26,4.79,0,0.0,542674,2017,Condyloma Acuminata
Uthai Thani,14,4.24,0,0.0,330121,2017,Condyloma Acuminata
ZONE:04,238,4.49,0,0.0,5302492,2017,Condyloma Acuminata
Ang Thong,4,1.42,0,0.0,281796,2017,Condyloma Acuminata
Lop Buri,94,12.41,0,0.0,757296,2017,Condyloma Acuminata
Nakhon Nayok,9,3.48,0,0.0,258850,2017,Condyloma Acuminata
Nonthaburi,14,1.15,0,0.0,1220829,2017,Condyloma Acuminata
P.Nakhon S.Ayutthaya,9,1.11,0,0.0,812086,2017,Condyloma Acuminata
Pathum Thani,60,5.36,0,0.0,1120246,2017,Condyloma Acuminata
Saraburi,39,6.08,0,0.0,641052,2017,Condyloma Acuminata
Sing Buri,9,4.28,0,0.0,210337,2017,Condyloma Acuminata
ZONE:05,242,4.57,0,0.0,5295696,2017,Condyloma Acuminata
Kanchanaburi,53,5.98,0,0.0,886546,2017,Condyloma Acuminata
Nakhon Pathom,27,2.97,0,0.0,908249,2017,Condyloma Acuminata
Phetchaburi,24,4.98,0,0.0,481514,2017,Condyloma Acuminata
Prachuap Khiri Khan,17,3.14,0,0.0,541756,2017,Condyloma Acuminata
Ratchaburi,84,9.65,0,0.0,870769,2017,Condyloma Acuminata
Samut Sakhon,30,5.33,0,0.0,562592,2017,Condyloma Acuminata
Samut Songkhram,1,0.52,0,0.0,193985,2017,Condyloma Acuminata
Suphan Buri,6,0.71,0,0.0,850285,2017,Condyloma Acuminata
ZONE:06,571,9.48,0,0.0,6020790,2017,Condyloma Acuminata
Chachoengsao,45,6.36,0,0.0,707145,2017,Condyloma Acuminata
Chanthaburi,116,21.74,0,0.0,533463,2017,Condyloma Acuminata
Chon Buri,96,6.42,0,0.0,1496086,2017,Condyloma Acuminata
Prachin Buri,32,6.58,0,0.0,486187,2017,Condyloma Acuminata
Rayong,85,12.04,0,0.0,705729,2017,Condyloma Acuminata
Sa Kaeo,28,5.0,0,0.0,560478,2017,Condyloma Acuminata
Samut Prakan,161,12.36,0,0.0,1302160,2017,Condyloma Acuminata
Trat,8,3.49,0,0.0,229542,2017,Condyloma Acuminata
ZONE:07,227,4.49,0,0.0,5060674,2017,Condyloma Acuminata
Kalasin,28,2.84,0,0.0,985619,2017,Condyloma Acuminata
Khon Kaen,138,7.65,0,0.0,1803831,2017,Condyloma Acuminata
Maha Sarakham,32,3.32,0,0.0,963277,2017,Condyloma Acuminata
Roi Et,29,2.22,0,0.0,1307947,2017,Condyloma Acuminata
ZONE:08,199,3.59,0,0.0,5541473,2017,Condyloma Acuminata
Bungkan,34,8.05,0,0.0,422328,2017,Condyloma Acuminata
Loei,32,4.99,0,0.0,640734,2017,Condyloma Acuminata
Nakhon Phanom,42,5.85,0,0.0,717451,2017,Condyloma Acuminata
Nong Bua Lam Phu,0,0.0,0,0.0,511188,2017,Condyloma Acuminata
Nong Khai,16,3.07,0,0.0,521125,2017,Condyloma Acuminata
Sakon Nakhon,24,2.09,0,0.0,1147710,2017,Condyloma Acuminata
Udon Thani,51,3.23,0,0.0,1580937,2017,Condyloma Acuminata
ZONE:09,342,5.06,0,0.0,6760383,2017,Condyloma Acuminata
Buri Ram,46,2.89,0,0.0,1589900,2017,Condyloma Acuminata
Chaiyaphum,72,6.32,0,0.0,1138778,2017,Condyloma Acuminata
Nakhon Ratchasima,182,6.91,0,0.0,2635331,2017,Condyloma Acuminata
Surin,42,3.01,0,0.0,1396374,2017,Condyloma Acuminata
ZONE:10,355,7.71,0,0.0,4604905,2017,Condyloma Acuminata
Amnat Charoen,7,1.85,0,0.0,377614,2017,Condyloma Acuminata
Mukdahan,10,2.86,0,0.0,350128,2017,Condyloma Acuminata
Si Sa Ket,206,14.0,0,0.0,1471185,2017,Condyloma Acuminata
Ubon Ratchathani,116,6.22,0,0.0,1866299,2017,Condyloma Acuminata
Yasothon,16,2.96,0,0.0,539679,2017,Condyloma Acuminata
ZONE:11,249,5.61,0,0.0,4441086,2017,Condyloma Acuminata
Chumphon,24,4.72,0,0.0,508627,2017,Condyloma Acuminata
Krabi,11,2.35,0,0.0,467851,2017,Condyloma Acuminata
Nakhon Si Thammarat,49,3.15,0,0.0,1555957,2017,Condyloma Acuminata
Phangnga,8,3.0,0,0.0,266535,2017,Condyloma Acuminata
Phuket,85,21.35,0,0.0,398092,2017,Condyloma Acuminata
Ranong,1,0.53,0,0.0,189777,2017,Condyloma Acuminata
Surat Thani,71,6.73,0,0.0,1054247,2017,Condyloma Acuminata
ZONE:12,167,3.39,0,0.0,4929285,2017,Condyloma Acuminata
Narathiwat,12,1.51,0,0.0,792961,2017,Condyloma Acuminata
