Areas,Count,Month,Type,Year,Disease
Sing Buri,0,,Deaths,2013,Brucellosis
Zone:3,0,,Deaths,2013,Brucellosis
Chachoengsao,0,,Deaths,2013,Brucellosis
Nakhon Nayok,0,,Deaths,2013,Brucellosis
Prachin Buri,0,,Deaths,2013,Brucellosis
Sa Kaeo,0,,Deaths,2013,Brucellosis
Samut Prakan,0,,Deaths,2013,Brucellosis
Zone:4,0,,Deaths,2013,Brucellosis
Kanchanaburi,0,,Deaths,2013,Brucellosis
Nakhon Pathom,0,,Deaths,2013,Brucellosis
Ratchaburi,0,,Deaths,2013,Brucellosis
Suphan Buri,0,,Deaths,2013,Brucellosis
Zone:5,0,,Deaths,2013,Brucellosis
Phetchaburi,0,,Deaths,2013,Brucellosis
Prachuap Khiri Khan,0,,Deaths,2013,Brucellosis
Samut Sakhon,0,,Deaths,2013,Brucellosis
Samut Songkhram,0,,Deaths,2013,Brucellosis
Zone:9,0,,Deaths,2013,Brucellosis
Chanthaburi,0,,Deaths,2013,Brucellosis
Chon Buri,0,,Deaths,2013,Brucellosis
Rayong,0,,Deaths,2013,Brucellosis
Trat,0,,Deaths,2013,Brucellosis
South Region,0,,Deaths,2013,Brucellosis
Zone:6,0,,Deaths,2013,Brucellosis
Chumphon,0,,Deaths,2013,Brucellosis
Nakhon Si Thammarat,0,,Deaths,2013,Brucellosis
Phatthalung,0,,Deaths,2013,Brucellosis
Surat Thani,0,,Deaths,2013,Brucellosis
Zone:7,0,,Deaths,2013,Brucellosis
Krabi,0,,Deaths,2013,Brucellosis
Phangnga,0,,Deaths,2013,Brucellosis
Phuket,0,,Deaths,2013,Brucellosis
Ranong,0,,Deaths,2013,Brucellosis
Trang,0,,Deaths,2013,Brucellosis
Zone:8,0,,Deaths,2013,Brucellosis
Narathiwat,0,,Deaths,2013,Brucellosis
Pattani,0,,Deaths,2013,Brucellosis
Satun,0,,Deaths,2013,Brucellosis
Songkhla,0,,Deaths,2013,Brucellosis
Yala,0,,Deaths,2013,Brucellosis
North-Eastern Region,0,,Deaths,2013,Brucellosis
Zone:10,0,,Deaths,2013,Brucellosis
Bungkan,0,,Deaths,2013,Brucellosis
Loei,0,,Deaths,2013,Brucellosis
Nong Bua Lam Phu,0,,Deaths,2013,Brucellosis
Nong Khai,0,,Deaths,2013,Brucellosis
Udon Thani,0,,Deaths,2013,Brucellosis
Zone:11,0,,Deaths,2013,Brucellosis
Mukdahan,0,,Deaths,2013,Brucellosis
Nakhon Phanom,0,,Deaths,2013,Brucellosis
Sakon Nakhon,0,,Deaths,2013,Brucellosis
Zone:12,0,,Deaths,2013,Brucellosis
Kalasin,0,,Deaths,2013,Brucellosis
Khon Kaen,0,,Deaths,2013,Brucellosis
Maha Sarakham,0,,Deaths,2013,Brucellosis
Roi Et,0,,Deaths,2013,Brucellosis
Zone:13,0,,Deaths,2013,Brucellosis
Amnat Charoen,0,,Deaths,2013,Brucellosis
Si Sa Ket,0,,Deaths,2013,Brucellosis
Ubon Ratchathani,0,,Deaths,2013,Brucellosis
