Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,5370,8.46,8,0.15,0.01,63457439,2009,HepatitisB
Central Region,1511,7.07,6,0.40,0.03,21386001,2009,HepatitisB
Bangkok,365,6.40,0,0.00,0.00,5706739,2009,HepatitisB
Zone:1,166,4.89,3,1.81,0.09,3397461,2009,HepatitisB
Nonthaburi,101,9.48,0,0.00,0.00,1065332,2009,HepatitisB
P.Nakhon S.Ayutthaya,30,3.89,1,3.33,0.13,772142,2009,HepatitisB
Pathum Thani,21,2.23,2,9.52,0.21,942813,2009,HepatitisB
Saraburi,14,2.27,0,0.00,0.00,617174,2009,HepatitisB
Zone:2,102,6.41,0,0.00,0.00,1590058,2009,HepatitisB
Ang Thong,12,4.21,0,0.00,0.00,284819,2009,HepatitisB
Chai Nat,17,5.06,0,0.00,0.00,335686,2009,HepatitisB
Lop Buri,60,7.96,0,0.00,0.00,754127,2009,HepatitisB
Sing Buri,13,6.03,0,0.00,0.00,215426,2009,HepatitisB
Zone:3,279,9.07,0,0.00,0.00,3076347,2009,HepatitisB
Chachoengsao,81,12.15,0,0.00,0.00,666907,2009,HepatitisB
Nakhon Nayok,22,8.76,0,0.00,0.00,251219,2009,HepatitisB
Prachin Buri,90,19.54,0,0.00,0.00,460617,2009,HepatitisB
Sa Kaeo,22,4.06,0,0.00,0.00,541939,2009,HepatitisB
Samut Prakan,64,5.54,0,0.00,0.00,1155665,2009,HepatitisB
Zone:4,269,7.99,0,0.00,0.00,3364769,2009,HepatitisB
Kanchanaburi,19,2.27,0,0.00,0.00,837165,2009,HepatitisB
Nakhon Pathom,119,14.04,0,0.00,0.00,847513,2009,HepatitisB
Ratchaburi,63,7.54,0,0.00,0.00,835546,2009,HepatitisB
Suphan Buri,68,8.05,0,0.00,0.00,844545,2009,HepatitisB
Zone:5,43,2.63,0,0.00,0.00,1637557,2009,HepatitisB
Phetchaburi,16,3.48,0,0.00,0.00,460108,2009,HepatitisB
