Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,15415,24.78,0,0.0,62195878,2005,STI Total
North Region,2514,21.19,0,0.0,11862916,2005,STI Total
Zone:1,1788,31.21,0,0.0,5729312,2005,STI Total
Chiang Mai,215,13.11,0,0.0,1640390,2005,STI Total
Chiang Rai,329,26.97,0,0.0,1219732,2005,STI Total
Lampang,1062,136.53,0,0.0,777827,2005,STI Total
Lamphun,69,17.05,0,0.0,404754,2005,STI Total
Mae Hong Son,18,7.24,0,0.0,248672,2005,STI Total
Nan,17,3.56,0,0.0,477917,2005,STI Total
Phayao,70,14.36,0,0.0,487616,2005,STI Total
Phrae,8,1.69,0,0.0,472404,2005,STI Total
Zone:2,301,8.74,0,0.0,3442642,2005,STI Total
Phetchabun,95,9.48,0,0.0,1001820,2005,STI Total
Phitsanulok,78,9.27,0,0.0,841248,2005,STI Total
Sukhothai,69,11.3,0,0.0,610871,2005,STI Total
Tak,25,4.82,0,0.0,519037,2005,STI Total
Uttaradit,34,7.24,0,0.0,469666,2005,STI Total
Zone:3,425,15.79,0,0.0,2690962,2005,STI Total
Kamphaeng Phet,68,9.35,0,0.0,727351,2005,STI Total
Nakhon Sawan,296,27.47,0,0.0,1077634,2005,STI Total
Phichit,28,5.0,0,0.0,559611,2005,STI Total
Uthai Thani,33,10.11,0,0.0,326366,2005,STI Total
Central Region,6724,32.7,0,0.0,20560399,2005,STI Total
Bangkok,3311,58.64,0,0.0,5646543,2005,STI Total
Zone:4,247,8.89,0,0.0,2777019,2005,STI Total
Ang Thong,15,5.29,0,0.0,283373,2005,STI Total
Nonthaburi,45,4.7,0,0.0,957287,2005,STI Total
P.Nakhon S.Ayutthaya,150,20.17,0,0.0,743659,2005,STI Total
Pathum Thani,37,4.67,0,0.0,792700,2005,STI Total
Zone:5,279,14.61,0,0.0,1909368,2005,STI Total
Chai Nat,21,6.16,0,0.0,340812,2005,STI Total
Lop Buri,138,18.38,0,0.0,750718,2005,STI Total
Saraburi,101,16.86,0,0.0,598905,2005,STI Total
Sing Buri,19,8.68,0,0.0,218933,2005,STI Total
Zone:6,467,14.23,0,0.0,3282327,2005,STI Total
Kanchanaburi,76,9.29,0,0.0,818218,2005,STI Total
Nakhon Pathom,236,29.37,0,0.0,803489,2005,STI Total
Ratchaburi,47,5.74,0,0.0,819286,2005,STI Total
Suphan Buri,108,12.84,0,0.0,841334,2005,STI Total
Zone:7,138,8.74,0,0.0,1578246,2005,STI Total
Phetchaburi,61,13.48,0,0.0,452506,2005,STI Total
Prachuap Khiri Khan,18,3.72,0,0.0,483243,2005,STI Total
Samut Sakhon,41,9.17,0,0.0,447353,2005,STI Total
Samut Songkhram,18,9.22,0,0.0,195144,2005,STI Total
Zone:8,720,24.46,0,0.0,2943051,2005,STI Total
Chachoengsao,181,28.04,0,0.0,645521,2005,STI Total
Nakhon Nayok,10,4.01,0,0.0,249686,2005,STI Total
Prachin Buri,264,58.96,0,0.0,447783,2005,STI Total
Sa Kaeo,75,13.98,0,0.0,536591,2005,STI Total
Samut Prakan,190,17.87,0,0.0,1063470,2005,STI Total
Zone:9,1562,64.44,0,0.0,2423845,2005,STI Total
Chanthaburi,632,127.4,0,0.0,496081,2005,STI Total
Chon Buri,250,21.59,0,0.0,1157709,2005,STI Total
Rayong,503,91.2,0,0.0,551512,2005,STI Total
Trat,177,80.99,0,0.0,218543,2005,STI Total
North-Eastern Region,4481,21.04,0,0.0,21297778,2005,STI Total
Zone:10,949,26.93,0,0.0,3524138,2005,STI Total
Loei,35,5.72,0,0.0,611448,2005,STI Total
Nong Bua Lam Phu,140,28.25,0,0.0,495626,2005,STI Total
Nong Khai,54,6.03,0,0.0,895911,2005,STI Total
Udon Thani,720,47.33,0,0.0,1521153,2005,STI Total
Zone:11,183,5.9,0,0.0,3101003,2005,STI Total
Kalasin,89,9.15,0,0.0,972425,2005,STI Total
Mukdahan,6,1.8,0,0.0,333338,2005,STI Total
Nakhon Phanom,11,1.59,0,0.0,692377,2005,STI Total
Sakon Nakhon,77,6.98,0,0.0,1102863,2005,STI Total
Zone:12,193,4.84,0,0.0,3991075,2005,STI Total
Khon Kaen,129,7.39,0,0.0,1744646,2005,STI Total
Maha Sarakham,29,3.1,0,0.0,935967,2005,STI Total
Roi Et,35,2.67,0,0.0,1310462,2005,STI Total
Zone:13,1144,17.44,0,0.0,6560991,2005,STI Total
Buri Ram,73,4.78,0,0.0,1527846,2005,STI Total
Chaiyaphum,62,5.55,0,0.0,1117026,2005,STI Total
Nakhon Ratchasima,659,25.91,0,0.0,2543054,2005,STI Total
Surin,350,25.49,0,0.0,1373065,2005,STI Total
Zone:14,2012,48.83,0,0.0,4120571,2005,STI Total
Amnat Charoen,410,111.37,0,0.0,368153,2005,STI Total
Si Sa Ket,618,42.85,0,0.0,1442190,2005,STI Total
Ubon Ratchathani,932,52.69,0,0.0,1768935,2005,STI Total
Yasothon,52,9.61,0,0.0,541293,2005,STI Total
South Region,1696,20.01,0,0.0,8474785,2005,STI Total
Zone:15,319,20.01,0,0.0,1593965,2005,STI Total
Chumphon,14,2.95,0,0.0,473916,2005,STI Total
Ranong,84,47.39,0,0.0,177247,2005,STI Total
Surat Thani,221,23.44,0,0.0,942802,2005,STI Total
Zone:16,312,12.0,0,0.0,2600847,2005,STI Total
Nakhon Si Thammarat,67,4.46,0,0.0,1502382,2005,STI Total
Phatthalung,40,8.01,0,0.0,499399,2005,STI Total
Trang,205,34.22,0,0.0,599066,2005,STI Total
Zone:17,642,69.7,0,0.0,921037,2005,STI Total
Krabi,322,82.2,0,0.0,391709,2005,STI Total
Phangnga,17,7.08,0,0.0,240254,2005,STI Total
Phuket,303,104.82,0,0.0,289074,2005,STI Total
Zone:18,299,16.69,0,0.0,1791264,2005,STI Total
Narathiwat,70,10.04,0,0.0,697150,2005,STI Total
Pattani,152,24.05,0,0.0,632119,2005,STI Total
Yala,77,16.67,0,0.0,461995,2005,STI Total
Zone:19,124,7.91,0,0.0,1567672,2005,STI Total
Satun,23,8.34,0,0.0,275706,2005,STI Total
Songkhla,101,7.82,0,0.0,1291966,2005,STI Total
Total,50918,77.0,6,0.01,66130957,2023,STI Total
ZONE:01,7143,121.7,0,0.0,5869190,2023,STI Total
Chiang Mai,2503,139.76,0,0.0,1790929,2023,STI Total
Chiang Rai,2921,224.86,0,0.0,1299030,2023,STI Total
Lampang,352,48.77,0,0.0,721734,2023,STI Total
Lamphun,86,21.48,0,0.0,400348,2023,STI Total
Mae Hong Son,145,50.64,0,0.0,286350,2023,STI Total
Nan,498,104.8,0,0.0,475207,2023,STI Total
Phayao,419,90.5,0,0.0,462968,2023,STI Total
Phrae,219,50.62,0,0.0,432624,2023,STI Total
ZONE:02,2034,57.62,0,0.0,3530228,2023,STI Total
Phetchabun,594,60.87,0,0.0,975879,2023,STI Total
Phitsanulok,900,106.39,0,0.0,845938,2023,STI Total
Sukhothai,153,26.22,0,0.0,583502,2023,STI Total
Tak,243,35.72,0,0.0,680361,2023,STI Total
Uttaradit,144,32.39,0,0.0,444548,2023,STI Total
ZONE:03,1275,43.76,0,0.0,2913905,2023,STI Total
Chai Nat,190,59.49,0,0.0,319370,2023,STI Total
Kamphaeng Phet,419,58.98,0,0.0,710458,2023,STI Total
Nakhon Sawan,360,34.89,0,0.0,1031921,2023,STI Total
Phichit,154,29.18,0,0.0,527669,2023,STI Total
Uthai Thani,152,46.84,0,0.0,324487,2023,STI Total
ZONE:04,2499,46.06,0,0.0,5424945,2023,STI Total
Ang Thong,58,21.19,0,0.0,273675,2023,STI Total
Lop Buri,234,31.73,0,0.0,737382,2023,STI Total
Nakhon Nayok,66,25.34,0,0.0,260419,2023,STI Total
Nonthaburi,642,49.68,0,0.0,1292276,2023,STI Total
P.Nakhon S.Ayutthaya,305,37.17,0,0.0,820464,2023,STI Total
Pathum Thani,670,56.03,0,0.0,1195796,2023,STI Total
Saraburi,436,67.99,0,0.0,641272,2023,STI Total
Sing Buri,88,43.21,0,0.0,203661,2023,STI Total
ZONE:05,2394,44.91,0,0.0,5330665,2023,STI Total
Kanchanaburi,574,64.19,0,0.0,894168,2023,STI Total
Nakhon Pathom,329,35.68,0,0.0,922026,2023,STI Total
Phetchaburi,315,65.23,0,0.0,482912,2023,STI Total
Prachuap Khiri Khan,330,59.65,0,0.0,553234,2023,STI Total
Ratchaburi,327,37.71,0,0.0,867043,2023,STI Total
Samut Sakhon,213,36.22,0,0.0,588108,2023,STI Total
Samut Songkhram,99,52.06,0,0.0,190147,2023,STI Total
Suphan Buri,207,24.85,0,0.0,833027,2023,STI Total
ZONE:06,7534,120.51,2,0.03,6251747,2023,STI Total
Chachoengsao,535,73.75,0,0.0,725433,2023,STI Total
Chanthaburi,1028,191.67,0,0.0,536351,2023,STI Total
Chon Buri,2238,140.82,0,0.0,1589214,2023,STI Total
Prachin Buri,498,100.29,0,0.0,496551,2023,STI Total
Rayong,1319,174.62,2,0.26,755364,2023,STI Total
Sa Kaeo,342,60.81,0,0.0,562404,2023,STI Total
Samut Prakan,1129,83.12,0,0.0,1358338,2023,STI Total
Trat,445,195.1,0,0.0,228092,2023,STI Total
ZONE:07,3577,71.52,0,0.0,5001616,2023,STI Total
Kalasin,543,55.76,0,0.0,973835,2023,STI Total
Khon Kaen,1576,88.16,0,0.0,1787752,2023,STI Total
Maha Sarakham,692,73.11,0,0.0,946457,2023,STI Total
Roi Et,766,59.22,0,0.0,1293572,2023,STI Total
ZONE:08,3087,56.0,0,0.0,5512222,2023,STI Total
Bungkan,238,56.42,0,0.0,421840,2023,STI Total
Loei,397,62.22,0,0.0,638037,2023,STI Total
Nakhon Phanom,277,38.64,0,0.0,716844,2023,STI Total
Nong Bua Lam Phu,74,14.55,0,0.0,508664,2023,STI Total
Nong Khai,457,88.51,0,0.0,516320,2023,STI Total
Sakon Nakhon,143,12.48,0,0.0,1145737,2023,STI Total
Udon Thani,1501,95.92,0,0.0,1564780,2023,STI Total
ZONE:09,4277,63.79,0,0.0,6705133,2023,STI Total
Buri Ram,1244,78.82,0,0.0,1578361,2023,STI Total
Chaiyaphum,605,54.01,0,0.0,1120095,2023,STI Total
Nakhon Ratchasima,1374,52.2,0,0.0,2632106,2023,STI Total
Surin,1054,76.68,0,0.0,1374571,2023,STI Total
ZONE:10,3731,81.37,0,0.0,4585207,2023,STI Total
Amnat Charoen,103,27.4,0,0.0,375866,2023,STI Total
Mukdahan,114,32.43,0,0.0,351537,2023,STI Total
Si Sa Ket,1517,104.18,0,0.0,1456144,2023,STI Total
Ubon Ratchathani,1755,93.89,0,0.0,1869163,2023,STI Total
Yasothon,242,45.45,0,0.0,532497,2023,STI Total
ZONE:11,2955,65.81,2,0.04,4489916,2023,STI Total
Chumphon,141,27.68,0,0.0,509433,2023,STI Total
Krabi,174,36.27,0,0.0,479705,2023,STI Total
Nakhon Si Thammarat,761,49.18,0,0.0,1547246,2023,STI Total
Phangnga,63,23.53,0,0.0,267729,2023,STI Total
Phuket,848,202.71,0,0.0,418339,2023,STI Total
Ranong,94,48.35,0,0.0,194400,2023,STI Total
Surat Thani,874,81.45,2,0.19,1073064,2023,STI Total
ZONE:12,1916,38.28,0,0.0,5004720,2023,STI Total
Narathiwat,21,2.59,0,0.0,811891,2023,STI Total
Pattani,39,5.33,0,0.0,731269,2023,STI Total
Phatthalung,185,35.44,0,0.0,522080,2023,STI Total
Satun,178,54.76,0,0.0,325069,2023,STI Total
Songkhla,1069,74.69,0,0.0,1431300,2023,STI Total
Trang,232,36.31,0,0.0,638997,2023,STI Total
Yala,192,35.29,0,0.0,544114,2023,STI Total
ZONE:13,8496,154.15,2,0.04,5511463,2023,STI Total
Bangkok,8496,154.15,2,0.04,5511463,2023,STI Total
Total,23622,37.22,0,0.0,63457439,2009,STI Total
Central Region,8933,41.77,0,0.0,21386001,2009,STI Total
Bangkok,3240,56.77,0,0.0,5706739,2009,STI Total
Zone:1,638,18.78,0,0.0,3397461,2009,STI Total
Nonthaburi,367,34.45,0,0.0,1065332,2009,STI Total
P.Nakhon S.Ayutthaya,172,22.28,0,0.0,772142,2009,STI Total
Pathum Thani,43,4.56,0,0.0,942813,2009,STI Total
Saraburi,56,9.07,0,0.0,617174,2009,STI Total
Zone:2,447,28.11,0,0.0,1590058,2009,STI Total
Ang Thong,137,48.1,0,0.0,284819,2009,STI Total
Chai Nat,45,13.41,0,0.0,335686,2009,STI Total
Lop Buri,185,24.53,0,0.0,754127,2009,STI Total
Sing Buri,80,37.14,0,0.0,215426,2009,STI Total
Zone:3,1261,40.99,0,0.0,3076347,2009,STI Total
Chachoengsao,186,27.89,0,0.0,666907,2009,STI Total
Nakhon Nayok,154,61.3,0,0.0,251219,2009,STI Total
Prachin Buri,330,71.64,0,0.0,460617,2009,STI Total
Sa Kaeo,75,13.84,0,0.0,541939,2009,STI Total
Samut Prakan,516,44.65,0,0.0,1155665,2009,STI Total
Zone:4,775,23.03,0,0.0,3364769,2009,STI Total
Kanchanaburi,92,10.99,0,0.0,837165,2009,STI Total
Nakhon Pathom,189,22.3,0,0.0,847513,2009,STI Total
Ratchaburi,241,28.84,0,0.0,835546,2009,STI Total
Suphan Buri,253,29.96,0,0.0,844545,2009,STI Total
Zone:5,493,30.11,0,0.0,1637557,2009,STI Total
Phetchaburi,156,33.91,0,0.0,460108,2009,STI Total
Prachuap Khiri Khan,227,45.2,0,0.0,502221,2009,STI Total
Samut Sakhon,87,18.07,0,0.0,481377,2009,STI Total
Samut Songkhram,23,11.86,0,0.0,193851,2009,STI Total
Zone:9,2079,79.56,0,0.0,2613070,2009,STI Total
Chanthaburi,782,153.44,0,0.0,509633,2009,STI Total
Chon Buri,715,55.98,0,0.0,1277139,2009,STI Total
Rayong,361,59.63,0,0.0,605380,2009,STI Total
Trat,221,100.04,0,0.0,220918,2009,STI Total
South Region,2566,29.23,0,0.0,8777720,2009,STI Total
Zone:6,749,21.42,0,0.0,3496373,2009,STI Total
Chumphon,53,10.9,0,0.0,486233,2009,STI Total
Nakhon Si Thammarat,99,6.54,0,0.0,1514832,2009,STI Total
Phatthalung,129,25.47,0,0.0,506454,2009,STI Total
Surat Thani,468,47.33,0,0.0,988854,2009,STI Total
Zone:7,1115,61.81,0,0.0,1803902,2009,STI Total
Krabi,233,55.13,0,0.0,422631,2009,STI Total
Phangnga,49,19.54,0,0.0,250796,2009,STI Total
Phuket,505,152.36,0,0.0,331460,2009,STI Total
Ranong,59,32.37,0,0.0,182242,2009,STI Total
Trang,269,43.61,0,0.0,616773,2009,STI Total
Zone:8,702,20.19,0,0.0,3477445,2009,STI Total
Narathiwat,101,13.95,0,0.0,724001,2009,STI Total
Pattani,54,8.37,0,0.0,644897,2009,STI Total
Satun,11,3.78,0,0.0,290755,2009,STI Total
Songkhla,499,37.24,0,0.0,1339861,2009,STI Total
Yala,37,7.74,0,0.0,477931,2009,STI Total
North-Eastern Region,5664,26.38,0,0.0,21469269,2009,STI Total
Zone:10,1526,42.82,0,0.0,3564168,2009,STI Total
Loei,74,11.94,0,0.0,619602,2009,STI Total
Nong Bua Lam Phu,23,4.6,0,0.0,500217,2009,STI Total
Nong Khai,307,33.85,0,0.0,907064,2009,STI Total
Udon Thani,1122,72.99,0,0.0,1537285,2009,STI Total
Zone:11,164,7.61,0,0.0,2155042,2009,STI Total
