Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,128,0.19,0,0.0,66486458,2019,Genital Molluscum Contagiosum
ZONE:01,4,0.07,0,0.0,5891985,2019,Genital Molluscum Contagiosum
Chiang Mai,0,0.0,0,0.0,1771499,2019,Genital Molluscum Contagiosum
Chiang Rai,2,0.15,0,0.0,1295217,2019,Genital Molluscum Contagiosum
Lampang,0,0.0,0,0.0,740600,2019,Genital Molluscum Contagiosum
Lamphun,0,0.0,0,0.0,405515,2019,Genital Molluscum Contagiosum
Mae Hong Son,1,0.35,0,0.0,283352,2019,Genital Molluscum Contagiosum
Nan,0,0.0,0,0.0,478608,2019,Genital Molluscum Contagiosum
Phayao,0,0.0,0,0.0,473786,2019,Genital Molluscum Contagiosum
Phrae,1,0.23,0,0.0,443408,2019,Genital Molluscum Contagiosum
ZONE:02,1,0.03,0,0.0,3570128,2019,Genital Molluscum Contagiosum
Phetchabun,0,0.0,0,0.0,993496,2019,Genital Molluscum Contagiosum
Phitsanulok,0,0.0,0,0.0,866068,2019,Genital Molluscum Contagiosum
Sukhothai,1,0.17,0,0.0,596165,2019,Genital Molluscum Contagiosum
Tak,0,0.0,0,0.0,660147,2019,Genital Molluscum Contagiosum
Uttaradit,0,0.0,0,0.0,454252,2019,Genital Molluscum Contagiosum
ZONE:03,1,0.03,0,0.0,2983068,2019,Genital Molluscum Contagiosum
Chai Nat,1,0.31,0,0.0,327437,2019,Genital Molluscum Contagiosum
Kamphaeng Phet,0,0.0,0,0.0,726836,2019,Genital Molluscum Contagiosum
Nakhon Sawan,0,0.0,0,0.0,1061926,2019,Genital Molluscum Contagiosum
Phichit,0,0.0,0,0.0,537843,2019,Genital Molluscum Contagiosum
Uthai Thani,0,0.0,0,0.0,329026,2019,Genital Molluscum Contagiosum
ZONE:04,7,0.13,0,0.0,5381695,2019,Genital Molluscum Contagiosum
Ang Thong,0,0.0,0,0.0,280246,2019,Genital Molluscum Contagiosum
Lop Buri,0,0.0,0,0.0,757145,2019,Genital Molluscum Contagiosum
Nakhon Nayok,0,0.0,0,0.0,260421,2019,Genital Molluscum Contagiosum
Nonthaburi,0,0.0,0,0.0,1255840,2019,Genital Molluscum Contagiosum
P.Nakhon S.Ayutthaya,0,0.0,0,0.0,818815,2019,Genital Molluscum Contagiosum
Pathum Thani,7,0.61,0,0.0,1154848,2019,Genital Molluscum Contagiosum
Saraburi,0,0.0,0,0.0,645468,2019,Genital Molluscum Contagiosum
Sing Buri,0,0.0,0,0.0,208912,2019,Genital Molluscum Contagiosum
ZONE:05,0,0.0,0,0.0,5344807,2019,Genital Molluscum Contagiosum
