Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,1636,2.59,25,0.04,63214022,2008,"Meningitis,uns"
Central Region,307,1.45,6,0.03,21226352,2008,"Meningitis,uns"
Bangkok,16,0.28,1,0.02,5713566,2008,"Meningitis,uns"
Zone:1,67,2.01,1,0.03,3335057,2008,"Meningitis,uns"
Nonthaburi,0,0.0,0,0.0,1038392,2008,"Meningitis,uns"
P.Nakhon S.Ayutthaya,58,7.58,1,0.13,764919,2008,"Meningitis,uns"
Pathum Thani,6,0.66,0,0.0,913047,2008,"Meningitis,uns"
Saraburi,3,0.48,0,0.0,618699,2008,"Meningitis,uns"
Zone:2,7,0.44,0,0.0,1588582,2008,"Meningitis,uns"
Ang Thong,0,0.0,0,0.0,284619,2008,"Meningitis,uns"
Chai Nat,3,0.89,0,0.0,336550,2008,"Meningitis,uns"
Lop Buri,3,0.4,0,0.0,751811,2008,"Meningitis,uns"
Sing Buri,1,0.46,0,0.0,215602,2008,"Meningitis,uns"
Zone:3,99,3.25,1,0.03,3046070,2008,"Meningitis,uns"
Chachoengsao,14,2.12,0,0.0,661898,2008,"Meningitis,uns"
Nakhon Nayok,6,2.4,0,0.0,249625,2008,"Meningitis,uns"
Prachin Buri,72,15.75,1,0.22,457184,2008,"Meningitis,uns"
Sa Kaeo,1,0.19,0,0.0,540281,2008,"Meningitis,uns"
Samut Prakan,6,0.53,0,0.0,1137082,2008,"Meningitis,uns"
Zone:4,14,0.42,1,0.03,3352570,2008,"Meningitis,uns"
Kanchanaburi,6,0.72,1,0.12,838094,2008,"Meningitis,uns"
Nakhon Pathom,2,0.24,0,0.0,837285,2008,"Meningitis,uns"
Ratchaburi,5,0.6,0,0.0,833650,2008,"Meningitis,uns"
Suphan Buri,1,0.12,0,0.0,843541,2008,"Meningitis,uns"
Zone:5,24,1.48,0,0.0,1623176,2008,"Meningitis,uns"
Phetchaburi,9,1.97,0,0.0,457518,2008,"Meningitis,uns"
Prachuap Khiri Khan,13,2.61,0,0.0,497483,2008,"Meningitis,uns"
Samut Sakhon,0,0.0,0,0.0,474041,2008,"Meningitis,uns"
Samut Songkhram,2,1.03,0,0.0,194134,2008,"Meningitis,uns"
Zone:9,80,3.12,2,0.08,2567331,2008,"Meningitis,uns"
Chanthaburi,52,10.28,1,0.2,506012,2008,"Meningitis,uns"
Chon Buri,3,0.24,0,0.0,1249067,2008,"Meningitis,uns"
Rayong,18,3.05,0,0.0,591067,2008,"Meningitis,uns"
Trat,7,3.16,1,0.45,221185,2008,"Meningitis,uns"
South Region,234,2.69,0,0.0,8698196,2008,"Meningitis,uns"
Zone:6,149,4.29,0,0.0,3473895,2008,"Meningitis,uns"
Chumphon,1,0.21,0,0.0,483011,2008,"Meningitis,uns"
Nakhon Si Thammarat,11,0.73,0,0.0,1510081,2008,"Meningitis,uns"
Phatthalung,7,1.39,0,0.0,503847,2008,"Meningitis,uns"
Surat Thani,130,13.31,0,0.0,976956,2008,"Meningitis,uns"
Zone:7,58,3.26,0,0.0,1778692,2008,"Meningitis,uns"
Krabi,31,7.48,0,0.0,414670,2008,"Meningitis,uns"
Phangnga,4,1.61,0,0.0,248411,2008,"Meningitis,uns"
Phuket,15,4.67,0,0.0,321252,2008,"Meningitis,uns"
Ranong,0,0.0,0,0.0,181758,2008,"Meningitis,uns"
Trang,8,1.31,0,0.0,612601,2008,"Meningitis,uns"
Zone:8,27,0.78,0,0.0,3445609,2008,"Meningitis,uns"
Narathiwat,0,0.0,0,0.0,715724,2008,"Meningitis,uns"
Pattani,2,0.31,0,0.0,639988,2008,"Meningitis,uns"
Satun,5,1.75,0,0.0,286446,2008,"Meningitis,uns"
Songkhla,20,1.5,0,0.0,1330342,2008,"Meningitis,uns"
Yala,0,0.0,0,0.0,473109,2008,"Meningitis,uns"
North-Eastern Region,583,2.72,8,0.04,21414180,2008,"Meningitis,uns"
Zone:10,42,1.18,0,0.0,3553449,2008,"Meningitis,uns"
Loei,13,2.11,0,0.0,616981,2008,"Meningitis,uns"
Nong Bua Lam Phu,0,0.0,0,0.0,498562,2008,"Meningitis,uns"
Nong Khai,4,0.44,0,0.0,904748,2008,"Meningitis,uns"
Udon Thani,25,1.63,0,0.0,1533158,2008,"Meningitis,uns"
Zone:11,8,0.37,0,0.0,2149587,2008,"Meningitis,uns"
Mukdahan,0,0.0,0,0.0,336802,2008,"Meningitis,uns"
Nakhon Phanom,3,0.43,0,0.0,698235,2008,"Meningitis,uns"
Sakon Nakhon,5,0.45,0,0.0,1114550,2008,"Meningitis,uns"
Zone:12,28,0.56,0,0.0,4976635,2008,"Meningitis,uns"
Kalasin,10,1.02,0,0.0,978046,2008,"Meningitis,uns"
Khon Kaen,9,0.51,0,0.0,1754258,2008,"Meningitis,uns"
Maha Sarakham,1,0.11,0,0.0,936430,2008,"Meningitis,uns"
Roi Et,8,0.61,0,0.0,1307901,2008,"Meningitis,uns"
Zone:13,208,5.02,0,0.0,4141403,2008,"Meningitis,uns"
Amnat Charoen,13,3.52,0,0.0,369196,2008,"Meningitis,uns"
Si Sa Ket,138,9.57,0,0.0,1442212,2008,"Meningitis,uns"
Ubon Ratchathani,54,3.02,0,0.0,1790581,2008,"Meningitis,uns"
Yasothon,3,0.56,0,0.0,539414,2008,"Meningitis,uns"
Zone:14,297,4.5,8,0.12,6593106,2008,"Meningitis,uns"
Buri Ram,51,3.31,1,0.06,1538861,2008,"Meningitis,uns"
Chaiyaphum,53,4.73,1,0.09,1121123,2008,"Meningitis,uns"
Nakhon Ratchasima,192,7.5,6,0.23,2559006,2008,"Meningitis,uns"
Surin,1,0.07,0,0.0,1374116,2008,"Meningitis,uns"
North Region,512,4.31,11,0.09,11875294,2008,"Meningitis,uns"
Zone:15,63,2.04,1,0.03,3095362,2008,"Meningitis,uns"
Chiang Mai,20,1.2,1,0.06,1667358,2008,"Meningitis,uns"
Lampang,30,3.9,0,0.0,769115,2008,"Meningitis,uns"
Lamphun,8,1.97,0,0.0,405141,2008,"Meningitis,uns"
Mae Hong Son,5,1.97,0,0.0,253748,2008,"Meningitis,uns"
Zone:16,131,4.94,0,0.0,2654508,2008,"Meningitis,uns"
Chiang Rai,56,4.57,0,0.0,1226165,2008,"Meningitis,uns"
Nan,18,3.78,0,0.0,476683,2008,"Meningitis,uns"
Phayao,18,3.7,0,0.0,486983,2008,"Meningitis,uns"
Phrae,39,8.39,0,0.0,464677,2008,"Meningitis,uns"
Zone:17,156,4.53,0,0.0,3443651,2008,"Meningitis,uns"
Phetchabun,12,1.2,0,0.0,996882,2008,"Meningitis,uns"
Phitsanulok,78,9.25,0,0.0,842840,2008,"Meningitis,uns"
Sukhothai,7,1.16,0,0.0,604559,2008,"Meningitis,uns"
Tak,19,3.55,0,0.0,534629,2008,"Meningitis,uns"
Uttaradit,40,8.61,0,0.0,464741,2008,"Meningitis,uns"
Zone:18,162,6.04,10,0.37,2681773,2008,"Meningitis,uns"
Kamphaeng Phet,107,14.74,3,0.41,726104,2008,"Meningitis,uns"
Nakhon Sawan,48,4.47,5,0.47,1073962,2008,"Meningitis,uns"
Phichit,3,0.54,2,0.36,554426,2008,"Meningitis,uns"
Uthai Thani,4,1.22,0,0.0,327281,2008,"Meningitis,uns"
Total,1750,2.67,5,0.01,65426907,2016,"Meningitis,uns"
ZONE:01,312,5.4,0,0.0,5781324,2016,"Meningitis,uns"
Chiang Mai,100,5.87,0,0.0,1703263,2016,"Meningitis,uns"
Chiang Rai,88,7.08,0,0.0,1242825,2016,"Meningitis,uns"
Lampang,46,6.11,0,0.0,752685,2016,"Meningitis,uns"
Lamphun,1,0.25,0,0.0,405927,2016,"Meningitis,uns"
Mae Hong Son,19,7.28,0,0.0,260971,2016,"Meningitis,uns"
Nan,8,1.67,0,0.0,478890,2016,"Meningitis,uns"
Phayao,11,2.27,0,0.0,483550,2016,"Meningitis,uns"
Phrae,39,8.61,0,0.0,453213,2016,"Meningitis,uns"
ZONE:02,103,2.94,2,0.06,3498728,2016,"Meningitis,uns"
Phetchabun,3,0.3,0,0.0,996397,2016,"Meningitis,uns"
Phitsanulok,56,6.5,0,0.0,861194,2016,"Meningitis,uns"
Sukhothai,3,0.5,0,0.0,602085,2016,"Meningitis,uns"
Tak,29,5.01,1,0.17,578968,2016,"Meningitis,uns"
