Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,1814,2.85,0,0.0,63701703,2010,Syphilis
Central Region,537,2.49,0,0.0,21534318,2010,Syphilis
Zone:0,70,1.23,0,0.0,5701995,2010,Syphilis
Bangkok,70,1.23,0,0.0,5701995,2010,Syphilis
Zone:1,60,1.74,0,0.0,3454591,2010,Syphilis
Nonthaburi,19,1.74,0,0.0,1089908,2010,Syphilis
P.Nakhon S.Ayutthaya,31,3.98,0,0.0,778627,2010,Syphilis
Pathum Thani,8,0.82,0,0.0,971010,2010,Syphilis
Saraburi,2,0.33,0,0.0,615046,2010,Syphilis
Zone:2,30,1.89,0,0.0,1590200,2010,Syphilis
Ang Thong,3,1.05,0,0.0,284889,2010,Syphilis
Chai Nat,2,0.6,0,0.0,335177,2010,Syphilis
Lop Buri,25,3.31,0,0.0,755153,2010,Syphilis
Sing Buri,0,0.0,0,0.0,214981,2010,Syphilis
Zone:3,134,4.31,0,0.0,3105799,2010,Syphilis
Chachoengsao,9,1.34,0,0.0,671458,2010,Syphilis
Nakhon Nayok,15,5.95,0,0.0,252209,2010,Syphilis
Prachin Buri,36,7.76,0,0.0,464213,2010,Syphilis
Sa Kaeo,8,1.47,0,0.0,543276,2010,Syphilis
Samut Prakan,66,5.62,0,0.0,1174643,2010,Syphilis
Zone:4,73,2.16,0,0.0,3374810,2010,Syphilis
Kanchanaburi,24,2.87,0,0.0,836600,2010,Syphilis
Nakhon Pathom,18,2.1,0,0.0,855837,2010,Syphilis
Ratchaburi,19,2.27,0,0.0,837153,2010,Syphilis
Suphan Buri,12,1.42,0,0.0,845220,2010,Syphilis
Zone:5,50,3.03,0,0.0,1651335,2010,Syphilis
Phetchaburi,8,1.73,0,0.0,462636,2010,Syphilis
Prachuap Khiri Khan,34,6.71,0,0.0,506599,2010,Syphilis
Samut Sakhon,4,0.82,0,0.0,488247,2010,Syphilis
Samut Songkhram,4,2.06,0,0.0,193853,2010,Syphilis
Zone:9,120,4.52,0,0.0,2655588,2010,Syphilis
Chanthaburi,10,1.95,0,0.0,512932,2010,Syphilis
Chon Buri,49,3.76,0,0.0,1302942,2010,Syphilis
Rayong,30,4.84,0,0.0,619249,2010,Syphilis
Trat,31,14.06,0,0.0,220465,2010,Syphilis
South Region,333,3.76,0,0.0,8853473,2010,Syphilis
Zone:6,158,4.5,0,0.0,3514344,2010,Syphilis
Chumphon,3,0.61,0,0.0,488855,2010,Syphilis
Nakhon Si Thammarat,18,1.18,0,0.0,1519531,2010,Syphilis
Phatthalung,46,9.04,0,0.0,508656,2010,Syphilis
Surat Thani,91,9.12,0,0.0,997302,2010,Syphilis
Zone:7,68,3.72,0,0.0,1825591,2010,Syphilis
Krabi,11,2.56,0,0.0,429631,2010,Syphilis
Phangnga,6,2.38,0,0.0,252385,2010,Syphilis
Phuket,21,6.17,0,0.0,340490,2010,Syphilis
Ranong,23,12.61,0,0.0,182417,2010,Syphilis
Trang,7,1.13,0,0.0,620668,2010,Syphilis
Zone:8,107,3.05,0,0.0,3513538,2010,Syphilis
Narathiwat,8,1.09,0,0.0,732617,2010,Syphilis
Pattani,3,0.46,0,0.0,651442,2010,Syphilis
Satun,4,1.36,0,0.0,295133,2010,Syphilis
Songkhla,81,6.0,0,0.0,1350489,2010,Syphilis
Yala,11,2.27,0,0.0,483857,2010,Syphilis
North-Eastern Region,526,2.44,0,0.0,21534582,2010,Syphilis
Zone:10,64,1.79,0,0.0,3576272,2010,Syphilis
Loei,15,2.41,0,0.0,622424,2010,Syphilis
Nong Bua Lam Phu,4,0.8,0,0.0,501891,2010,Syphilis
Nong Khai,19,2.09,0,0.0,910094,2010,Syphilis
Udon Thani,26,1.69,0,0.0,1541863,2010,Syphilis
Zone:11,53,2.45,0,0.0,2161531,2010,Syphilis
Mukdahan,40,11.81,0,0.0,338812,2010,Syphilis
Nakhon Phanom,10,1.42,0,0.0,702041,2010,Syphilis
Sakon Nakhon,3,0.27,0,0.0,1120678,2010,Syphilis
Zone:12,121,2.42,0,0.0,4995226,2010,Syphilis
Kalasin,33,3.36,0,0.0,981369,2010,Syphilis
Khon Kaen,62,3.51,0,0.0,1764922,2010,Syphilis
Maha Sarakham,7,0.74,0,0.0,940001,2010,Syphilis
Roi Et,19,1.45,0,0.0,1308934,2010,Syphilis
Zone:13,210,5.04,0,0.0,4168498,2010,Syphilis
Amnat Charoen,6,1.62,0,0.0,371471,2010,Syphilis
Si Sa Ket,69,4.76,0,0.0,1449409,2010,Syphilis
Ubon Ratchathani,125,6.91,0,0.0,1808422,2010,Syphilis
Yasothon,10,1.85,0,0.0,539196,2010,Syphilis
Zone:14,78,1.18,0,0.0,6633055,2010,Syphilis
Buri Ram,35,2.26,0,0.0,1550275,2010,Syphilis
Chaiyaphum,12,1.07,0,0.0,1126295,2010,Syphilis
