Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,2140,3.24,0,0.00,0.00,66060027,2017,STDNSU
ZONE:01,374,6.38,0,0.00,0.00,5864232,2017,STDNSU
Chiang Mai,198,11.37,0,0.00,0.00,1741301,2017,STDNSU
Chiang Rai,55,4.28,0,0.00,0.00,1285080,2017,STDNSU
Lampang,11,1.47,0,0.00,0.00,747699,2017,STDNSU
Lamphun,7,1.72,0,0.00,0.00,405959,2017,STDNSU
Mae Hong Son,22,7.93,0,0.00,0.00,277486,2017,STDNSU
Nan,20,4.17,0,0.00,0.00,479877,2017,STDNSU
Phayao,56,11.71,0,0.00,0.00,478144,2017,STDNSU
Phrae,5,1.11,0,0.00,0.00,448686,2017,STDNSU
ZONE:02,112,3.15,0,0.00,0.00,3556376,2017,STDNSU
Phetchabun,23,2.31,0,0.00,0.00,995277,2017,STDNSU
Phitsanulok,22,2.54,0,0.00,0.00,865564,2017,STDNSU
Sukhothai,2,0.33,0,0.00,0.00,599775,2017,STDNSU
Tak,62,9.72,0,0.00,0.00,638115,2017,STDNSU
Uttaradit,3,0.66,0,0.00,0.00,457645,2017,STDNSU
ZONE:03,84,2.80,0,0.00,0.00,2998104,2017,STDNSU
Chai Nat,2,0.61,0,0.00,0.00,330077,2017,STDNSU
Kamphaeng Phet,14,1.92,0,0.00,0.00,729337,2017,STDNSU
Nakhon Sawan,60,5.63,0,0.00,0.00,1065895,2017,STDNSU
Phichit,2,0.37,0,0.00,0.00,542674,2017,STDNSU
Uthai Thani,6,1.82,0,0.00,0.00,330121,2017,STDNSU
ZONE:04,96,1.81,0,0.00,0.00,5302492,2017,STDNSU
Ang Thong,0,0.00,0,0.00,0.00,281796,2017,STDNSU
Lop Buri,28,3.70,0,0.00,0.00,757296,2017,STDNSU
Nakhon Nayok,0,0.00,0,0.00,0.00,258850,2017,STDNSU
Nonthaburi,10,0.82,0,0.00,0.00,1220829,2017,STDNSU
P.Nakhon S.Ayutthaya,14,1.72,0,0.00,0.00,812086,2017,STDNSU
Pathum Thani,15,1.34,0,0.00,0.00,1120246,2017,STDNSU
Saraburi,21,3.28,0,0.00,0.00,641052,2017,STDNSU
Sing Buri,8,3.80,0,0.00,0.00,210337,2017,STDNSU
ZONE:05,80,1.51,0,0.00,0.00,5295696,2017,STDNSU
Kanchanaburi,5,0.56,0,0.00,0.00,886546,2017,STDNSU
Nakhon Pathom,14,1.54,0,0.00,0.00,908249,2017,STDNSU
Phetchaburi,20,4.15,0,0.00,0.00,481514,2017,STDNSU
Prachuap Khiri Khan,16,2.95,0,0.00,0.00,541756,2017,STDNSU
Ratchaburi,23,2.64,0,0.00,0.00,870769,2017,STDNSU
Samut Sakhon,0,0.00,0,0.00,0.00,562592,2017,STDNSU
Samut Songkhram,1,0.52,0,0.00,0.00,193985,2017,STDNSU
Suphan Buri,1,0.12,0,0.00,0.00,850285,2017,STDNSU
ZONE:06,212,3.52,0,0.00,0.00,6020790,2017,STDNSU
Chachoengsao,28,3.96,0,0.00,0.00,707145,2017,STDNSU
Chanthaburi,45,8.44,0,0.00,0.00,533463,2017,STDNSU
Chon Buri,24,1.60,0,0.00,0.00,1496086,2017,STDNSU
Prachin Buri,12,2.47,0,0.00,0.00,486187,2017,STDNSU
Rayong,25,3.54,0,0.00,0.00,705729,2017,STDNSU
Sa Kaeo,5,0.89,0,0.00,0.00,560478,2017,STDNSU
Samut Prakan,56,4.30,0,0.00,0.00,1302160,2017,STDNSU
Trat,17,7.41,0,0.00,0.00,229542,2017,STDNSU
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",5/4/2561,,,,,,2017,STDNSU
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand 2560  (2017)",N.S.U. / V,39,,,,,2017,STDNSU
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2017,STDNSU
/100000  Pop.,/100000  pop.,ประชากร,,,,,2017,STDNSU
ZONE:07,77,1.52,0,0.00,0.00,5060674,2017,STDNSU
Kalasin,13,1.32,0,0.00,0.00,985619,2017,STDNSU
Khon Kaen,26,1.44,0,0.00,0.00,1803831,2017,STDNSU
Maha Sarakham,18,1.87,0,0.00,0.00,963277,2017,STDNSU
Roi Et,20,1.53,0,0.00,0.00,1307947,2017,STDNSU
ZONE:08,96,1.73,0,0.00,0.00,5541473,2017,STDNSU
Bungkan,13,3.08,0,0.00,0.00,422328,2017,STDNSU
Loei,24,3.75,0,0.00,0.00,640734,2017,STDNSU
Nakhon Phanom,16,2.23,0,0.00,0.00,717451,2017,STDNSU
Nong Bua Lam Phu,3,0.59,0,0.00,0.00,511188,2017,STDNSU
Nong Khai,25,4.80,0,0.00,0.00,521125,2017,STDNSU
Sakon Nakhon,10,0.87,0,0.00,0.00,1147710,2017,STDNSU
Udon Thani,5,0.32,0,0.00,0.00,1580937,2017,STDNSU
ZONE:09,135,2.00,0,0.00,0.00,6760383,2017,STDNSU
Buri Ram,31,1.95,0,0.00,0.00,1589900,2017,STDNSU
Chaiyaphum,11,0.97,0,0.00,0.00,1138778,2017,STDNSU
Nakhon Ratchasima,69,2.62,0,0.00,0.00,2635331,2017,STDNSU
Surin,24,1.72,0,0.00,0.00,1396374,2017,STDNSU
ZONE:10,147,3.19,0,0.00,0.00,4604905,2017,STDNSU
Amnat Charoen,7,1.85,0,0.00,0.00,377614,2017,STDNSU
Mukdahan,9,2.57,0,0.00,0.00,350128,2017,STDNSU
Si Sa Ket,56,3.81,0,0.00,0.00,1471185,2017,STDNSU
Ubon Ratchathani,58,3.11,0,0.00,0.00,1866299,2017,STDNSU
Yasothon,17,3.15,0,0.00,0.00,539679,2017,STDNSU
ZONE:11,122,2.75,0,0.00,0.00,4441086,2017,STDNSU
Chumphon,9,1.77,0,0.00,0.00,508627,2017,STDNSU
Krabi,22,4.70,0,0.00,0.00,467851,2017,STDNSU
Nakhon Si Thammarat,29,1.86,0,0.00,0.00,1555957,2017,STDNSU
Phangnga,5,1.88,0,0.00,0.00,266535,2017,STDNSU
Phuket,8,2.01,0,0.00,0.00,398092,2017,STDNSU
Ranong,1,0.53,0,0.00,0.00,189777,2017,STDNSU
Surat Thani,48,4.55,0,0.00,0.00,1054247,2017,STDNSU
ZONE:12,89,1.81,0,0.00,0.00,4929285,2017,STDNSU
Narathiwat,9,1.13,0,0.00,0.00,792961,2017,STDNSU
Pattani,3,0.43,0,0.00,0.00,705379,2017,STDNSU
Phatthalung,10,1.91,0,0.00,0.00,524291,2017,STDNSU
Satun,0,0.00,0,0.00,0.00,318655,2017,STDNSU
Songkhla,45,3.17,0,0.00,0.00,1420834,2017,STDNSU
Trang,17,2.65,0,0.00,0.00,642377,2017,STDNSU
Yala,5,0.95,0,0.00,0.00,524788,2017,STDNSU
ZONE:13,516,9.08,0,0.00,0.00,5684531,2017,STDNSU
Bangkok,516,9.08,0,0.00,0.00,5684531,2017,STDNSU
Total,2331,3.66,0,0.00,0.00,63701703,2010,STDNSU
Central Region,852,3.96,0,0.00,0.00,21534318,2010,STDNSU
Zone:0,326,5.72,0,0.00,0.00,5701995,2010,STDNSU
Bangkok,326,5.72,0,0.00,0.00,5701995,2010,STDNSU
Zone:1,47,1.36,0,0.00,0.00,3454591,2010,STDNSU
Nonthaburi,12,1.10,0,0.00,0.00,1089908,2010,STDNSU
P.Nakhon S.Ayutthaya,6,0.77,0,0.00,0.00,778627,2010,STDNSU
Pathum Thani,17,1.75,0,0.00,0.00,971010,2010,STDNSU
Saraburi,12,1.95,0,0.00,0.00,615046,2010,STDNSU
Zone:2,21,1.32,0,0.00,0.00,1590200,2010,STDNSU
Ang Thong,0,0.00,0,0.00,0.00,284889,2010,STDNSU
Chai Nat,1,0.30,0,0.00,0.00,335177,2010,STDNSU
Lop Buri,17,2.25,0,0.00,0.00,755153,2010,STDNSU
Sing Buri,3,1.40,0,0.00,0.00,214981,2010,STDNSU
Zone:3,94,3.03,0,0.00,0.00,3105799,2010,STDNSU
Chachoengsao,9,1.34,0,0.00,0.00,671458,2010,STDNSU
Nakhon Nayok,0,0.00,0,0.00,0.00,252209,2010,STDNSU
Prachin Buri,18,3.88,0,0.00,0.00,464213,2010,STDNSU
Sa Kaeo,0,0.00,0,0.00,0.00,543276,2010,STDNSU
Samut Prakan,67,5.70,0,0.00,0.00,1174643,2010,STDNSU
Zone:4,23,0.68,0,0.00,0.00,3374810,2010,STDNSU
Kanchanaburi,4,0.48,0,0.00,0.00,836600,2010,STDNSU
Nakhon Pathom,8,0.93,0,0.00,0.00,855837,2010,STDNSU
Ratchaburi,9,1.08,0,0.00,0.00,837153,2010,STDNSU
Suphan Buri,2,0.24,0,0.00,0.00,845220,2010,STDNSU
Zone:5,7,0.42,0,0.00,0.00,1651335,2010,STDNSU
Phetchaburi,5,1.08,0,0.00,0.00,462636,2010,STDNSU
Prachuap Khiri Khan,2,0.39,0,0.00,0.00,506599,2010,STDNSU
Samut Sakhon,0,0.00,0,0.00,0.00,488247,2010,STDNSU
Samut Songkhram,0,0.00,0,0.00,0.00,193853,2010,STDNSU
Zone:9,334,12.58,0,0.00,0.00,2655588,2010,STDNSU
Chanthaburi,252,49.13,0,0.00,0.00,512932,2010,STDNSU
Chon Buri,21,1.61,0,0.00,0.00,1302942,2010,STDNSU
Rayong,40,6.46,0,0.00,0.00,619249,2010,STDNSU
Trat,21,9.53,0,0.00,0.00,220465,2010,STDNSU
South Region,446,5.04,0,0.00,0.00,8853473,2010,STDNSU
Zone:6,166,4.72,0,0.00,0.00,3514344,2010,STDNSU
Chumphon,6,1.23,0,0.00,0.00,488855,2010,STDNSU
Nakhon Si Thammarat,21,1.38,0,0.00,0.00,1519531,2010,STDNSU
Phatthalung,2,0.39,0,0.00,0.00,508656,2010,STDNSU
Surat Thani,137,13.74,0,0.00,0.00,997302,2010,STDNSU
Zone:7,225,12.32,0,0.00,0.00,1825591,2010,STDNSU
Krabi,77,17.92,0,0.00,0.00,429631,2010,STDNSU
Phangnga,20,7.92,0,0.00,0.00,252385,2010,STDNSU
Phuket,127,37.30,0,0.00,0.00,340490,2010,STDNSU
Ranong,1,0.55,0,0.00,0.00,182417,2010,STDNSU
Trang,0,0.00,0,0.00,0.00,620668,2010,STDNSU
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",23/5/2554,,,,,,2010,STDNSU
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand  2010(2553)",N.S.U. / V,39,,,,,2010,STDNSU
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2010,STDNSU
/100000  Pop.,/100000  pop.,ประชากร,,,,,2010,STDNSU
Zone:8,55,1.57,0,0.00,0.00,3513538,2010,STDNSU
Narathiwat,15,2.05,0,0.00,0.00,732617,2010,STDNSU
Pattani,16,2.46,0,0.00,0.00,651442,2010,STDNSU
Satun,0,0.00,0,0.00,0.00,295133,2010,STDNSU
Songkhla,21,1.55,0,0.00,0.00,1350489,2010,STDNSU
Yala,3,0.62,0,0.00,0.00,483857,2010,STDNSU
North-Eastern Region,485,2.25,0,0.00,0.00,21534582,2010,STDNSU
Zone:10,97,2.71,0,0.00,0.00,3576272,2010,STDNSU
Loei,2,0.32,0,0.00,0.00,622424,2010,STDNSU
Nong Bua Lam Phu,0,0.00,0,0.00,0.00,501891,2010,STDNSU
Nong Khai,81,8.90,0,0.00,0.00,910094,2010,STDNSU
Udon Thani,14,0.91,0,0.00,0.00,1541863,2010,STDNSU
Zone:11,24,1.11,0,0.00,0.00,2161531,2010,STDNSU
Mukdahan,16,4.72,0,0.00,0.00,338812,2010,STDNSU
Nakhon Phanom,7,1.00,0,0.00,0.00,702041,2010,STDNSU
Sakon Nakhon,1,0.09,0,0.00,0.00,1120678,2010,STDNSU
Zone:12,33,0.66,0,0.00,0.00,4995226,2010,STDNSU
Kalasin,3,0.31,0,0.00,0.00,981369,2010,STDNSU
Khon Kaen,16,0.91,0,0.00,0.00,1764922,2010,STDNSU
Maha Sarakham,4,0.43,0,0.00,0.00,940001,2010,STDNSU
Roi Et,10,0.76,0,0.00,0.00,1308934,2010,STDNSU
Zone:13,161,3.86,0,0.00,0.00,4168498,2010,STDNSU
Amnat Charoen,9,2.42,0,0.00,0.00,371471,2010,STDNSU
Si Sa Ket,62,4.28,0,0.00,0.00,1449409,2010,STDNSU
Ubon Ratchathani,86,4.76,0,0.00,0.00,1808422,2010,STDNSU
Yasothon,4,0.74,0,0.00,0.00,539196,2010,STDNSU
Zone:14,170,2.56,0,0.00,0.00,6633055,2010,STDNSU
Buri Ram,33,2.13,0,0.00,0.00,1550275,2010,STDNSU
Chaiyaphum,1,0.09,0,0.00,0.00,1126295,2010,STDNSU
Nakhon Ratchasima,90,3.49,0,0.00,0.00,2576691,2010,STDNSU
Surin,46,3.33,0,0.00,0.00,1379794,2010,STDNSU
North Region,548,4.65,0,0.00,0.00,11779330,2010,STDNSU
Zone:15,195,6.40,0,0.00,0.00,3046660,2010,STDNSU
Chiang Mai,75,4.58,0,0.00,0.00,1636514,2010,STDNSU
Lampang,97,12.71,0,0.00,0.00,763224,2010,STDNSU
Lamphun,9,2.22,0,0.00,0.00,404627,2010,STDNSU
Mae Hong Son,14,5.78,0,0.00,0.00,242295,2010,STDNSU
Zone:16,101,3.85,0,0.00,0.00,2620701,2010,STDNSU
Chiang Rai,57,4.76,0,0.00,0.00,1196576,2010,STDNSU
Nan,9,1.89,0,0.00,0.00,475989,2010,STDNSU
Phayao,33,6.78,0,0.00,0.00,486713,2010,STDNSU
Phrae,2,0.43,0,0.00,0.00,461423,2010,STDNSU
Zone:17,88,2.56,0,0.00,0.00,3430959,2010,STDNSU
Phetchabun,41,4.12,0,0.00,0.00,995578,2010,STDNSU
Phitsanulok,28,3.30,0,0.00,0.00,847627,2010,STDNSU
Sukhothai,1,0.17,0,0.00,0.00,602296,2010,STDNSU
Tak,17,3.25,0,0.00,0.00,522673,2010,STDNSU
Uttaradit,1,0.22,0,0.00,0.00,462785,2010,STDNSU
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",23/5/2554,,,,,,2010,STDNSU
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand  2010(2553)",N.S.U. / V,39,,,,,2010,STDNSU
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2010,STDNSU
/100000  Pop.,/100000  pop.,ประชากร,,,,,2010,STDNSU
Zone:18,164,6.12,0,0.00,0.00,2681010,2010,STDNSU
Kamphaeng Phet,18,2.48,0,0.00,0.00,726970,2010,STDNSU
Nakhon Sawan,140,13.05,0,0.00,0.00,1073182,2010,STDNSU
Phichit,2,0.36,0,0.00,0.00,552942,2010,STDNSU
Uthai Thani,4,1.22,0,0.00,0.00,327916,2010,STDNSU
Total,2076,3.20,0,0.00,0.00,64955313,2014,STDNSU
ZONE:00,329,5.78,0,0.00,0.00,5689268,2014,STDNSU
Bangkok,329,5.78,0,0.00,0.00,5689268,2014,STDNSU
ZONE:01,380,6.66,0,0.00,0.00,5704200,2014,STDNSU
Chiang Mai,240,14.35,0,0.00,0.00,1672586,2014,STDNSU
Chiang Rai,47,3.90,0,0.00,0.00,1206180,2014,STDNSU
Lampang,30,3.98,0,0.00,0.00,753937,2014,STDNSU
Lamphun,5,1.23,0,0.00,0.00,405368,2014,STDNSU
Mae Hong Son,12,4.85,0,0.00,0.00,247364,2014,STDNSU
Nan,15,3.14,0,0.00,0.00,478088,2014,STDNSU
Phayao,23,4.74,0,0.00,0.00,485599,2014,STDNSU
Phrae,8,1.76,0,0.00,0.00,455078,2014,STDNSU
ZONE:02,46,1.33,0,0.00,0.00,3452021,2014,STDNSU
Phetchabun,10,1.00,0,0.00,0.00,995102,2014,STDNSU
Phitsanulok,12,1.40,0,0.00,0.00,857682,2014,STDNSU
Sukhothai,1,0.17,0,0.00,0.00,602586,2014,STDNSU
Tak,22,4.10,0,0.00,0.00,535953,2014,STDNSU
Uttaradit,1,0.22,0,0.00,0.00,460698,2014,STDNSU
ZONE:03,107,3.55,0,0.00,0.00,3012608,2014,STDNSU
Chai Nat,2,0.60,0,0.00,0.00,332526,2014,STDNSU
Kamphaeng Phet,35,4.80,0,0.00,0.00,729076,2014,STDNSU
Nakhon Sawan,64,5.96,0,0.00,0.00,1072949,2014,STDNSU
Phichit,5,0.91,0,0.00,0.00,548199,2014,STDNSU
Uthai Thani,1,0.30,0,0.00,0.00,329858,2014,STDNSU
ZONE:04,114,2.20,0,0.00,0.00,5171756,2014,STDNSU
Ang Thong,0,0.00,0,0.00,0.00,283650,2014,STDNSU
Lop Buri,75,9.89,0,0.00,0.00,758188,2014,STDNSU
Nakhon Nayok,1,0.39,0,0.00,0.00,256693,2014,STDNSU
Nonthaburi,11,0.94,0,0.00,0.00,1165070,2014,STDNSU
P.Nakhon S.Ayutthaya,3,0.37,0,0.00,0.00,800785,2014,STDNSU
Pathum Thani,11,1.03,0,0.00,0.00,1063608,2014,STDNSU
Saraburi,3,0.48,0,0.00,0.00,631338,2014,STDNSU
Sing Buri,10,4.71,0,0.00,0.00,212424,2014,STDNSU
ZONE:05,74,1.44,0,0.00,0.00,5147569,2014,STDNSU
Kanchanaburi,24,2.84,0,0.00,0.00,845540,2014,STDNSU
Nakhon Pathom,3,0.34,0,0.00,0.00,886627,2014,STDNSU
Phetchaburi,15,3.17,0,0.00,0.00,472640,2014,STDNSU
Prachuap Khiri Khan,4,0.77,0,0.00,0.00,522689,2014,STDNSU
Ratchaburi,15,1.76,0,0.00,0.00,851689,2014,STDNSU
Samut Sakhon,8,1.52,0,0.00,0.00,525672,2014,STDNSU
Samut Songkhram,0,0.00,0,0.00,0.00,194153,2014,STDNSU
Suphan Buri,5,0.59,0,0.00,0.00,848559,2014,STDNSU
ZONE:06,219,3.78,0,0.00,0.00,5797595,2014,STDNSU
Chachoengsao,28,4.04,0,0.00,0.00,692852,2014,STDNSU
Chanthaburi,11,2.09,0,0.00,0.00,525805,2014,STDNSU
Chon Buri,45,3.20,0,0.00,0.00,1405889,2014,STDNSU
Prachin Buri,22,4.61,0,0.00,0.00,477741,2014,STDNSU
Rayong,7,1.05,0,0.00,0.00,667806,2014,STDNSU
Sa Kaeo,2,0.36,0,0.00,0.00,551562,2014,STDNSU
Samut Prakan,84,6.71,0,0.00,0.00,1251570,2014,STDNSU
Trat,20,8.91,0,0.00,0.00,224370,2014,STDNSU
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",11/9/2558,,,,,,2014,STDNSU
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand  2014(2557)",N.S.U. / V,39,,,,,2014,STDNSU
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2014,STDNSU
/100000  Pop.,/100000  pop.,ประชากร,,,,,2014,STDNSU
