Areas,Age,Cases,Year,Disease
Total,Total,5,2018,TetanusExcNeo
ZONE:01,Total,1,2018,TetanusExcNeo
Chiang Mai,Total,0,2018,TetanusExcNeo
Chiang Rai,Total,0,2018,TetanusExcNeo
Lampang,Total,1,2018,TetanusExcNeo
Lamphun,Total,0,2018,TetanusExcNeo
Mae Hong Son,Total,0,2018,TetanusExcNeo
Nan,Total,0,2018,TetanusExcNeo
Phayao,Total,0,2018,TetanusExcNeo
Phrae,Total,0,2018,TetanusExcNeo
ZONE:02,Total,0,2018,TetanusExcNeo
Phetchabun,Total,0,2018,TetanusExcNeo
Phitsanulok,Total,0,2018,TetanusExcNeo
Sukhothai,Total,0,2018,TetanusExcNeo
Tak,Total,0,2018,TetanusExcNeo
Uttaradit,Total,0,2018,TetanusExcNeo
ZONE:03,Total,0,2018,TetanusExcNeo
Chai Nat,Total,0,2018,TetanusExcNeo
Kamphaeng Phet,Total,0,2018,TetanusExcNeo
Nakhon Sawan,Total,0,2018,TetanusExcNeo
Phichit,Total,0,2018,TetanusExcNeo
Uthai Thani,Total,0,2018,TetanusExcNeo
ZONE:04,Total,0,2018,TetanusExcNeo
Ang Thong,Total,0,2018,TetanusExcNeo
Lop Buri,Total,0,2018,TetanusExcNeo
Nakhon Nayok,Total,0,2018,TetanusExcNeo
Nonthaburi,Total,0,2018,TetanusExcNeo
P.Nakhon S.Ayutthaya,Total,0,2018,TetanusExcNeo
Pathum Thani,Total,0,2018,TetanusExcNeo
Saraburi,Total,0,2018,TetanusExcNeo
Sing Buri,Total,0,2018,TetanusExcNeo
ZONE:05,Total,0,2018,TetanusExcNeo
Kanchanaburi,Total,0,2018,TetanusExcNeo
Nakhon Pathom,Total,0,2018,TetanusExcNeo
Phetchaburi,Total,0,2018,TetanusExcNeo
Prachuap Khiri Khan,Total,0,2018,TetanusExcNeo
Ratchaburi,Total,0,2018,TetanusExcNeo
Samut Sakhon,Total,0,2018,TetanusExcNeo
Samut Songkhram,Total,0,2018,TetanusExcNeo
Suphan Buri,Total,0,2018,TetanusExcNeo
ZONE:06,Total,1,2018,TetanusExcNeo
Chachoengsao,Total,0,2018,TetanusExcNeo
Chanthaburi,Total,0,2018,TetanusExcNeo
Chon Buri,Total,0,2018,TetanusExcNeo
Prachin Buri,Total,0,2018,TetanusExcNeo
Rayong,Total,1,2018,TetanusExcNeo
Sa Kaeo,Total,0,2018,TetanusExcNeo
Samut Prakan,Total,0,2018,TetanusExcNeo
Trat,Total,0,2018,TetanusExcNeo
ZONE:07,Total,1,2018,TetanusExcNeo
