Areas,Count,Month,Type,Year,Disease
Total,237,Total,Cases,2021,Measles Total
ZONE:01,19,Total,Cases,2021,Measles Total
Chiang Mai,12,Total,Cases,2021,Measles Total
Chiang Rai,2,Total,Cases,2021,Measles Total
Lampang,1,Total,Cases,2021,Measles Total
Lamphun,0,Total,Cases,2021,Measles Total
Mae Hong Son,3,Total,Cases,2021,Measles Total
Nan,0,Total,Cases,2021,Measles Total
Phayao,1,Total,Cases,2021,Measles Total
Phrae,0,Total,Cases,2021,Measles Total
ZONE:02,13,Total,Cases,2021,Measles Total
Phetchabun,1,Total,Cases,2021,Measles Total
Phitsanulok,5,Total,Cases,2021,Measles Total
Sukhothai,3,Total,Cases,2021,Measles Total
Tak,1,Total,Cases,2021,Measles Total
Uttaradit,3,Total,Cases,2021,Measles Total
ZONE:03,3,Total,Cases,2021,Measles Total
Chai Nat,0,Total,Cases,2021,Measles Total
Kamphaeng Phet,1,Total,Cases,2021,Measles Total
Nakhon Sawan,1,Total,Cases,2021,Measles Total
Phichit,1,Total,Cases,2021,Measles Total
Uthai Thani,0,Total,Cases,2021,Measles Total
ZONE:04,13,Total,Cases,2021,Measles Total
Ang Thong,0,Total,Cases,2021,Measles Total
Lop Buri,2,Total,Cases,2021,Measles Total
Nakhon Nayok,0,Total,Cases,2021,Measles Total
Nonthaburi,2,Total,Cases,2021,Measles Total
P.Nakhon S.Ayutthaya,4,Total,Cases,2021,Measles Total
Pathum Thani,4,Total,Cases,2021,Measles Total
Saraburi,1,Total,Cases,2021,Measles Total
Sing Buri,0,Total,Cases,2021,Measles Total
ZONE:05,17,Total,Cases,2021,Measles Total
Kanchanaburi,3,Total,Cases,2021,Measles Total
Nakhon Pathom,3,Total,Cases,2021,Measles Total
Phetchaburi,1,Total,Cases,2021,Measles Total
Prachuap Khiri Khan,1,Total,Cases,2021,Measles Total
Ratchaburi,5,Total,Cases,2021,Measles Total
Samut Sakhon,2,Total,Cases,2021,Measles Total
Samut Songkhram,0,Total,Cases,2021,Measles Total
Suphan Buri,2,Total,Cases,2021,Measles Total
ZONE:06,23,Total,Cases,2021,Measles Total
Chachoengsao,2,Total,Cases,2021,Measles Total
Chanthaburi,1,Total,Cases,2021,Measles Total
Chon Buri,6,Total,Cases,2021,Measles Total
Prachin Buri,4,Total,Cases,2021,Measles Total
Rayong,0,Total,Cases,2021,Measles Total
Sa Kaeo,4,Total,Cases,2021,Measles Total
Samut Prakan,6,Total,Cases,2021,Measles Total
Trat,0,Total,Cases,2021,Measles Total
ZONE:07,6,Total,Cases,2021,Measles Total
Kalasin,3,Total,Cases,2021,Measles Total
Khon Kaen,2,Total,Cases,2021,Measles Total
Maha Sarakham,1,Total,Cases,2021,Measles Total
Roi Et,0,Total,Cases,2021,Measles Total
ZONE:08,6,Total,Cases,2021,Measles Total
Bungkan,2,Total,Cases,2021,Measles Total
Loei,0,Total,Cases,2021,Measles Total
Nakhon Phanom,2,Total,Cases,2021,Measles Total
Nong Bua Lam Phu,0,Total,Cases,2021,Measles Total
Nong Khai,2,Total,Cases,2021,Measles Total
Sakon Nakhon,0,Total,Cases,2021,Measles Total
Udon Thani,0,Total,Cases,2021,Measles Total
ZONE:09,16,Total,Cases,2021,Measles Total
Buri Ram,4,Total,Cases,2021,Measles Total
Chaiyaphum,4,Total,Cases,2021,Measles Total
Nakhon Ratchasima,5,Total,Cases,2021,Measles Total
Surin,3,Total,Cases,2021,Measles Total
ZONE:10,25,Total,Cases,2021,Measles Total
Amnat Charoen,1,Total,Cases,2021,Measles Total
Mukdahan,1,Total,Cases,2021,Measles Total
Si Sa Ket,3,Total,Cases,2021,Measles Total
Ubon Ratchathani,20,Total,Cases,2021,Measles Total
Yasothon,0,Total,Cases,2021,Measles Total
ZONE:11,31,Total,Cases,2021,Measles Total
Chumphon,0,Total,Cases,2021,Measles Total
Krabi,1,Total,Cases,2021,Measles Total
Nakhon Si Thammarat,6,Total,Cases,2021,Measles Total
Phangnga,0,Total,Cases,2021,Measles Total
Phuket,14,Total,Cases,2021,Measles Total
Ranong,0,Total,Cases,2021,Measles Total
Surat Thani,10,Total,Cases,2021,Measles Total
ZONE:12,36,Total,Cases,2021,Measles Total
Narathiwat,9,Total,Cases,2021,Measles Total
