Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,1219,1.84,0,0.0,66372831,2020,Measles Total
ZONE:01,199,3.38,0,0.0,5886870,2020,Measles Total
Chiang Mai,100,5.61,0,0.0,1781812,2020,Measles Total
Chiang Rai,87,6.71,0,0.0,1296664,2020,Measles Total
Lampang,0,0.0,0,0.0,733640,2020,Measles Total
Lamphun,1,0.25,0,0.0,403542,2020,Measles Total
Mae Hong Son,3,1.06,0,0.0,284343,2020,Measles Total
Nan,3,0.63,0,0.0,477476,2020,Measles Total
Phayao,1,0.21,0,0.0,469856,2020,Measles Total
Phrae,4,0.91,0,0.0,439537,2020,Measles Total
ZONE:02,35,0.98,0,0.0,3554902,2020,Measles Total
Phetchabun,4,0.41,0,0.0,987196,2020,Measles Total
Phitsanulok,4,0.47,0,0.0,857364,2020,Measles Total
Sukhothai,10,1.69,0,0.0,591477,2020,Measles Total
Tak,15,2.25,0,0.0,667942,2020,Measles Total
Uttaradit,2,0.44,0,0.0,450923,2020,Measles Total
ZONE:03,10,0.34,0,0.0,2956189,2020,Measles Total
Chai Nat,3,0.92,0,0.0,324544,2020,Measles Total
Kamphaeng Phet,1,0.14,0,0.0,719993,2020,Measles Total
Nakhon Sawan,6,0.57,0,0.0,1050098,2020,Measles Total
Phichit,0,0.0,0,0.0,534311,2020,Measles Total
Uthai Thani,0,0.0,0,0.0,327243,2020,Measles Total
ZONE:04,40,0.74,0,0.0,5400529,2020,Measles Total
Ang Thong,0,0.0,0,0.0,278119,2020,Measles Total
Lop Buri,1,0.13,0,0.0,749242,2020,Measles Total
Nakhon Nayok,2,0.77,0,0.0,260416,2020,Measles Total
Nonthaburi,12,0.94,0,0.0,1271065,2020,Measles Total
P.Nakhon S.Ayutthaya,4,0.49,0,0.0,819638,2020,Measles Total
Pathum Thani,14,1.2,0,0.0,1170008,2020,Measles Total
Saraburi,6,0.93,0,0.0,644869,2020,Measles Total
Sing Buri,1,0.48,0,0.0,207172,2020,Measles Total
ZONE:05,67,1.25,0,0.0,5342038,2020,Measles Total
Kanchanaburi,4,0.45,0,0.0,893751,2020,Measles Total
Nakhon Pathom,5,0.54,0,0.0,920380,2020,Measles Total
Phetchaburi,6,1.24,0,0.0,483692,2020,Measles Total
Prachuap Khiri Khan,33,5.97,0,0.0,552398,2020,Measles Total
Ratchaburi,5,0.57,0,0.0,871207,2020,Measles Total
Samut Sakhon,9,1.54,0,0.0,585451,2020,Measles Total
Samut Songkhram,0,0.0,0,0.0,192678,2020,Measles Total
Suphan Buri,5,0.59,0,0.0,842481,2020,Measles Total
ZONE:06,124,2.0,0,0.0,6192990,2020,Measles Total
Chachoengsao,8,1.11,0,0.0,720416,2020,Measles Total
Chanthaburi,16,2.98,0,0.0,536629,2020,Measles Total
Chon Buri,42,2.69,0,0.0,1562593,2020,Measles Total
Prachin Buri,3,0.61,0,0.0,494175,2020,Measles Total
Rayong,14,1.9,0,0.0,738139,2020,Measles Total
Sa Kaeo,4,0.71,0,0.0,563614,2020,Measles Total
Samut Prakan,27,2.0,0,0.0,1348177,2020,Measles Total
Trat,10,4.36,0,0.0,229247,2020,Measles Total
ZONE:07,25,0.5,0,0.0,5039088,2020,Measles Total
Kalasin,1,0.1,0,0.0,980297,2020,Measles Total
Khon Kaen,21,1.17,0,0.0,1798702,2020,Measles Total
Maha Sarakham,0,0.0,0,0.0,958163,2020,Measles Total
Roi Et,3,0.23,0,0.0,1301926,2020,Measles Total
ZONE:08,17,0.31,0,0.0,5540556,2020,Measles Total
Bungkan,1,0.24,0,0.0,423067,2020,Measles Total
Loei,0,0.0,0,0.0,640843,2020,Measles Total
Nakhon Phanom,3,0.42,0,0.0,718169,2020,Measles Total
Nong Bua Lam Phu,8,1.57,0,0.0,511125,2020,Measles Total
Nong Khai,5,0.96,0,0.0,519873,2020,Measles Total
Sakon Nakhon,0,0.0,0,0.0,1150164,2020,Measles Total
Udon Thani,0,0.0,0,0.0,1577315,2020,Measles Total
ZONE:09,62,0.92,0,0.0,6748199,2020,Measles Total
Buri Ram,11,0.69,0,0.0,1588466,2020,Measles Total
Chaiyaphum,25,2.21,0,0.0,1131140,2020,Measles Total
Nakhon Ratchasima,20,0.76,0,0.0,2641067,2020,Measles Total
Surin,6,0.43,0,0.0,1387526,2020,Measles Total
ZONE:10,105,2.28,0,0.0,4603401,2020,Measles Total
Amnat Charoen,1,0.27,0,0.0,377317,2020,Measles Total
Mukdahan,0,0.0,0,0.0,352043,2020,Measles Total
Si Sa Ket,14,0.96,0,0.0,1465719,2020,Measles Total
Ubon Ratchathani,87,4.65,0,0.0,1872422,2020,Measles Total
Yasothon,3,0.56,0,0.0,535900,2020,Measles Total
ZONE:11,110,2.45,0,0.0,4489609,2020,Measles Total
Chumphon,6,1.18,0,0.0,510256,2020,Measles Total
Krabi,3,0.63,0,0.0,477254,2020,Measles Total
Nakhon Si Thammarat,16,1.03,0,0.0,1556325,2020,Measles Total
Phangnga,1,0.37,0,0.0,268509,2020,Measles Total
Phuket,28,6.74,0,0.0,415527,2020,Measles Total
Ranong,3,1.55,0,0.0,193871,2020,Measles Total
Surat Thani,53,4.96,0,0.0,1067867,2020,Measles Total
ZONE:12,279,5.59,0,0.0,4991217,2020,Measles Total
Narathiwat,129,16.0,0,0.0,806224,2020,Measles Total
Pattani,29,4.0,0,0.0,725559,2020,Measles Total
Phatthalung,4,0.76,0,0.0,523971,2020,Measles Total
Satun,20,6.18,0,0.0,323841,2020,Measles Total
Songkhla,69,4.82,0,0.0,1432288,2020,Measles Total
Trang,2,0.31,0,0.0,641868,2020,Measles Total
Yala,26,4.84,0,0.0,537466,2020,Measles Total
ZONE:13,146,2.59,0,0.0,5627243,2020,Measles Total
Bangkok,146,2.59,0,0.0,5627243,2020,Measles Total
Total,2641,4.12,0,0.0,64076033,2013,Measles Total
Central Region,1228,5.65,0,0.0,21734984,2013,Measles Total
Zone:0,161,2.84,0,0.0,5674843,2013,Measles Total
Bangkok,161,2.84,0,0.0,5674843,2013,Measles Total
Zone:1,166,4.69,0,0.0,3541632,2013,Measles Total
Nonthaburi,20,1.78,0,0.0,1122627,2013,Measles Total
P.Nakhon S.Ayutthaya,61,7.74,0,0.0,787653,2013,Measles Total
Pathum Thani,78,7.72,0,0.0,1010898,2013,Measles Total
Saraburi,7,1.13,0,0.0,620454,2013,Measles Total
Zone:2,28,1.76,0,0.0,1587031,2013,Measles Total
Ang Thong,1,0.35,0,0.0,284061,2013,Measles Total
Chai Nat,2,0.6,0,0.0,333256,2013,Measles Total
Lop Buri,21,2.78,0,0.0,756127,2013,Measles Total
Sing Buri,4,1.87,0,0.0,213587,2013,Measles Total
Zone:3,183,5.81,0,0.0,3151672,2013,Measles Total
Chachoengsao,36,5.3,0,0.0,679370,2013,Measles Total
Nakhon Nayok,1,0.39,0,0.0,253831,2013,Measles Total
Prachin Buri,66,14.05,0,0.0,469652,2013,Measles Total
Sa Kaeo,29,5.32,0,0.0,545596,2013,Measles Total
Samut Prakan,51,4.24,0,0.0,1203223,2013,Measles Total
Zone:4,73,2.15,0,0.0,3392715,2013,Measles Total
Kanchanaburi,27,3.22,0,0.0,838914,2013,Measles Total
Nakhon Pathom,27,3.12,0,0.0,866064,2013,Measles Total
Ratchaburi,13,1.54,0,0.0,842684,2013,Measles Total
Suphan Buri,6,0.71,0,0.0,845053,2013,Measles Total
Zone:5,44,2.63,0,0.0,1671831,2013,Measles Total
Phetchaburi,1,0.21,0,0.0,466079,2013,Measles Total
Prachuap Khiri Khan,7,1.37,0,0.0,512568,2013,Measles Total
Samut Sakhon,31,6.21,0,0.0,499098,2013,Measles Total
Samut Songkhram,5,2.58,0,0.0,194086,2013,Measles Total
Zone:9,573,21.1,0,0.0,2715260,2013,Measles Total
Chanthaburi,24,4.64,0,0.0,516855,2013,Measles Total
Chon Buri,437,32.64,0,0.0,1338656,2013,Measles Total
Rayong,111,17.41,0,0.0,637736,2013,Measles Total
Trat,1,0.45,0,0.0,222013,2013,Measles Total
South Region,391,4.36,0,0.0,8971855,2013,Measles Total
Zone:6,120,3.39,0,0.0,3541380,2013,Measles Total
Chumphon,4,0.81,0,0.0,492182,2013,Measles Total
Nakhon Si Thammarat,33,2.16,0,0.0,1526071,2013,Measles Total
Phatthalung,26,5.09,0,0.0,511063,2013,Measles Total
Surat Thani,57,5.63,0,0.0,1012064,2013,Measles Total
Zone:7,91,4.9,0,0.0,1857374,2013,Measles Total
Krabi,11,2.51,0,0.0,438039,2013,Measles Total
Phangnga,18,7.06,0,0.0,254931,2013,Measles Total
Phuket,57,16.11,0,0.0,353847,2013,Measles Total
Ranong,3,1.63,0,0.0,183849,2013,Measles Total
Trang,2,0.32,0,0.0,626708,2013,Measles Total
Zone:8,180,5.04,0,0.0,3573101,2013,Measles Total
Narathiwat,57,7.63,0,0.0,747372,2013,Measles Total
Pattani,44,6.63,0,0.0,663485,2013,Measles Total
Satun,11,3.65,0,0.0,301467,2013,Measles Total
Songkhla,57,4.17,0,0.0,1367010,2013,Measles Total
Yala,11,2.23,0,0.0,493767,2013,Measles Total
North-Eastern Region,648,3.0,0,0.0,21585883,2013,Measles Total
Zone:10,29,0.81,0,0.0,3593082,2013,Measles Total
Bungkan,5,1.23,0,0.0,407634,2013,Measles Total
Loei,0,0.0,0,0.0,624920,2013,Measles Total
Nong Bua Lam Phu,5,0.99,0,0.0,502551,2013,Measles Total
Nong Khai,1,0.2,0,0.0,509870,2013,Measles Total
Udon Thani,18,1.16,0,0.0,1548107,2013,Measles Total
Zone:11,20,0.92,0,0.0,2168700,2013,Measles Total
Mukdahan,1,0.29,0,0.0,340581,2013,Measles Total
Nakhon Phanom,13,1.84,0,0.0,704768,2013,Measles Total
Sakon Nakhon,6,0.53,0,0.0,1123351,2013,Measles Total
Zone:12,173,3.47,0,0.0,4992515,2013,Measles Total
Kalasin,24,2.44,0,0.0,981655,2013,Measles Total
Khon Kaen,86,4.87,0,0.0,1766066,2013,Measles Total
Maha Sarakham,56,5.96,0,0.0,939736,2013,Measles Total
Roi Et,7,0.54,0,0.0,1305058,2013,Measles Total
Zone:13,87,2.08,0,0.0,4179354,2013,Measles Total
Amnat Charoen,6,1.61,0,0.0,372241,2013,Measles Total
Si Sa Ket,30,2.07,0,0.0,1452203,2013,Measles Total
Ubon Ratchathani,49,2.7,0,0.0,1816057,2013,Measles Total
Yasothon,2,0.37,0,0.0,538853,2013,Measles Total
Zone:14,339,5.1,0,0.0,6652232,2013,Measles Total
Buri Ram,179,11.48,0,0.0,1559085,2013,Measles Total
Chaiyaphum,6,0.53,0,0.0,1127423,2013,Measles Total
Nakhon Ratchasima,85,3.29,0,0.0,2585325,2013,Measles Total
Surin,69,5.0,0,0.0,1380399,2013,Measles Total
North Region,374,3.17,0,0.0,11783311,2013,Measles Total
Zone:15,162,5.31,0,0.0,3051678,2013,Measles Total
Chiang Mai,98,5.95,0,0.0,1646144,2013,Measles Total
Lampang,2,0.26,0,0.0,757534,2013,Measles Total
Lamphun,43,10.64,0,0.0,403952,2013,Measles Total
Mae Hong Son,19,7.79,0,0.0,244048,2013,Measles Total
Zone:16,86,3.28,0,0.0,2620490,2013,Measles Total
Chiang Rai,50,4.17,0,0.0,1198656,2013,Measles Total
Nan,8,1.68,0,0.0,476612,2013,Measles Total
Phayao,5,1.03,0,0.0,486472,2013,Measles Total
Phrae,23,5.01,0,0.0,458750,2013,Measles Total
Zone:17,69,2.01,0,0.0,3435726,2013,Measles Total
Phetchabun,15,1.51,0,0.0,990807,2013,Measles Total
Phitsanulok,3,0.35,0,0.0,851357,2013,Measles Total
Sukhothai,8,1.33,0,0.0,601504,2013,Measles Total
Tak,37,6.97,0,0.0,531018,2013,Measles Total
Uttaradit,6,1.3,0,0.0,461040,2013,Measles Total
Zone:18,57,2.13,0,0.0,2675417,2013,Measles Total
Kamphaeng Phet,21,2.89,0,0.0,726009,2013,Measles Total
Nakhon Sawan,30,2.8,0,0.0,1071686,2013,Measles Total
Phichit,5,0.91,0,0.0,549688,2013,Measles Total
Uthai Thani,1,0.3,0,0.0,328034,2013,Measles Total
Total,2583,4.05,0,0.0,63701703,2010,Measles Total
Central Region,884,4.11,0,0.0,21534318,2010,Measles Total
Zone:0,102,1.79,0,0.0,5701995,2010,Measles Total
Bangkok,102,1.79,0,0.0,5701995,2010,Measles Total
Zone:1,92,2.66,0,0.0,3454591,2010,Measles Total
Nonthaburi,30,2.75,0,0.0,1089908,2010,Measles Total
P.Nakhon S.Ayutthaya,22,2.83,0,0.0,778627,2010,Measles Total
Pathum Thani,23,2.37,0,0.0,971010,2010,Measles Total
Saraburi,17,2.76,0,0.0,615046,2010,Measles Total
Zone:2,28,1.76,0,0.0,1590200,2010,Measles Total
Ang Thong,6,2.11,0,0.0,284889,2010,Measles Total
Chai Nat,3,0.9,0,0.0,335177,2010,Measles Total
Lop Buri,19,2.52,0,0.0,755153,2010,Measles Total
Sing Buri,0,0.0,0,0.0,214981,2010,Measles Total
Zone:3,214,6.89,0,0.0,3105799,2010,Measles Total
Chachoengsao,64,9.53,0,0.0,671458,2010,Measles Total
Nakhon Nayok,1,0.4,0,0.0,252209,2010,Measles Total
Prachin Buri,76,16.37,0,0.0,464213,2010,Measles Total
Sa Kaeo,23,4.23,0,0.0,543276,2010,Measles Total
