Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,0,0.0,0,0.0,64955313,2014,Anthrax
ZONE:00,0,0.0,0,0.0,5689268,2014,Anthrax
Bangkok,0,0.0,0,0.0,5689268,2014,Anthrax
ZONE:01,0,0.0,0,0.0,5704200,2014,Anthrax
Chiang Mai,0,0.0,0,0.0,1672586,2014,Anthrax
Chiang Rai,0,0.0,0,0.0,1206180,2014,Anthrax
Lampang,0,0.0,0,0.0,753937,2014,Anthrax
Lamphun,0,0.0,0,0.0,405368,2014,Anthrax
Mae Hong Son,0,0.0,0,0.0,247364,2014,Anthrax
Nan,0,0.0,0,0.0,478088,2014,Anthrax
Phayao,0,0.0,0,0.0,485599,2014,Anthrax
Phrae,0,0.0,0,0.0,455078,2014,Anthrax
ZONE:02,0,0.0,0,0.0,3452021,2014,Anthrax
Phetchabun,0,0.0,0,0.0,995102,2014,Anthrax
Phitsanulok,0,0.0,0,0.0,857682,2014,Anthrax
Sukhothai,0,0.0,0,0.0,602586,2014,Anthrax
Tak,0,0.0,0,0.0,535953,2014,Anthrax
Uttaradit,0,0.0,0,0.0,460698,2014,Anthrax
ZONE:03,0,0.0,0,0.0,3012608,2014,Anthrax
Chai Nat,0,0.0,0,0.0,332526,2014,Anthrax
Kamphaeng Phet,0,0.0,0,0.0,729076,2014,Anthrax
Nakhon Sawan,0,0.0,0,0.0,1072949,2014,Anthrax
Phichit,0,0.0,0,0.0,548199,2014,Anthrax
Uthai Thani,0,0.0,0,0.0,329858,2014,Anthrax
ZONE:04,0,0.0,0,0.0,5171756,2014,Anthrax
Ang Thong,0,0.0,0,0.0,283650,2014,Anthrax
Lop Buri,0,0.0,0,0.0,758188,2014,Anthrax
Nakhon Nayok,0,0.0,0,0.0,256693,2014,Anthrax
Nonthaburi,0,0.0,0,0.0,1165070,2014,Anthrax
P.Nakhon S.Ayutthaya,0,0.0,0,0.0,800785,2014,Anthrax
Pathum Thani,0,0.0,0,0.0,1063608,2014,Anthrax
Saraburi,0,0.0,0,0.0,631338,2014,Anthrax
Sing Buri,0,0.0,0,0.0,212424,2014,Anthrax
ZONE:05,0,0.0,0,0.0,5147569,2014,Anthrax
Kanchanaburi,0,0.0,0,0.0,845540,2014,Anthrax
Nakhon Pathom,0,0.0,0,0.0,886627,2014,Anthrax
Phetchaburi,0,0.0,0,0.0,472640,2014,Anthrax
Prachuap Khiri Khan,0,0.0,0,0.0,522689,2014,Anthrax
Ratchaburi,0,0.0,0,0.0,851689,2014,Anthrax
Samut Sakhon,0,0.0,0,0.0,525672,2014,Anthrax
Samut Songkhram,0,0.0,0,0.0,194153,2014,Anthrax
Suphan Buri,0,0.0,0,0.0,848559,2014,Anthrax
ZONE:06,0,0.0,0,0.0,5797595,2014,Anthrax
Chachoengsao,0,0.0,0,0.0,692852,2014,Anthrax
Chanthaburi,0,0.0,0,0.0,525805,2014,Anthrax
Chon Buri,0,0.0,0,0.0,1405889,2014,Anthrax
Prachin Buri,0,0.0,0,0.0,477741,2014,Anthrax
Rayong,0,0.0,0,0.0,667806,2014,Anthrax
Sa Kaeo,0,0.0,0,0.0,551562,2014,Anthrax
Samut Prakan,0,0.0,0,0.0,1251570,2014,Anthrax
Trat,0,0.0,0,0.0,224370,2014,Anthrax
ZONE:07,0,0.0,0,0.0,5037074,2014,Anthrax
Kalasin,0,0.0,0,0.0,984468,2014,Anthrax
Khon Kaen,0,0.0,0,0.0,1785852,2014,Anthrax
Maha Sarakham,0,0.0,0,0.0,958116,2014,Anthrax
Roi Et,0,0.0,0,0.0,1308638,2014,Anthrax
ZONE:08,0,0.0,0,0.0,5490561,2014,Anthrax
Bungkan,0,0.0,0,0.0,417401,2014,Anthrax
Loei,0,0.0,0,0.0,633359,2014,Anthrax
Nakhon Phanom,0,0.0,0,0.0,712101,2014,Anthrax
Nong Bua Lam Phu,0,0.0,0,0.0,508001,2014,Anthrax
Nong Khai,0,0.0,0,0.0,516101,2014,Anthrax
Sakon Nakhon,0,0.0,0,0.0,1136466,2014,Anthrax
Udon Thani,0,0.0,0,0.0,1567132,2014,Anthrax
ZONE:09,0,0.0,0,0.0,6717984,2014,Anthrax
Buri Ram,0,0.0,0,0.0,1576343,2014,Anthrax
Chaiyaphum,0,0.0,0,0.0,1136386,2014,Anthrax
Nakhon Ratchasima,0,0.0,0,0.0,2615340,2014,Anthrax
Surin,0,0.0,0,0.0,1389915,2014,Anthrax
ZONE:10,0,0.0,0,0.0,4564711,2014,Anthrax
Amnat Charoen,0,0.0,0,0.0,375039,2014,Anthrax
Mukdahan,0,0.0,0,0.0,345159,2014,Anthrax
Si Sa Ket,0,0.0,0,0.0,1463620,2014,Anthrax
Ubon Ratchathani,0,0.0,0,0.0,1840596,2014,Anthrax
Yasothon,0,0.0,0,0.0,540297,2014,Anthrax
ZONE:11,0,0.0,0,0.0,4344513,2014,Anthrax
Chumphon,0,0.0,0,0.0,499435,2014,Anthrax
Krabi,0,0.0,0,0.0,453850,2014,Anthrax
Nakhon Si Thammarat,0,0.0,0,0.0,1544936,2014,Anthrax
Phangnga,0,0.0,0,0.0,260395,2014,Anthrax
Phuket,0,0.0,0,0.0,373943,2014,Anthrax
Ranong,0,0.0,0,0.0,175933,2014,Anthrax
Surat Thani,0,0.0,0,0.0,1036021,2014,Anthrax
ZONE:12,0,0.0,0,0.0,4825453,2014,Anthrax
Narathiwat,0,0.0,0,0.0,770472,2014,Anthrax
Pattani,0,0.0,0,0.0,682512,2014,Anthrax
Phatthalung,0,0.0,0,0.0,519220,2014,Anthrax
Satun,0,0.0,0,0.0,311233,2014,Anthrax
Songkhla,0,0.0,0,0.0,1395596,2014,Anthrax
Trang,0,0.0,0,0.0,637395,2014,Anthrax
Yala,0,0.0,0,0.0,509025,2014,Anthrax
Total,0,0.0,0,0.0,62526710,2004,Anthrax
North Region,0,0.0,0,0.0,11965439,2004,Anthrax
Zone:1,0,0.0,0,0.0,5720315,2004,Anthrax
Chiang Mai,0,0.0,0,0.0,1616995,2004,Anthrax
Chiang Rai,0,0.0,0,0.0,1214659,2004,Anthrax
Lampang,0,0.0,0,0.0,788071,2004,Anthrax
Lamphun,0,0.0,0,0.0,406911,2004,Anthrax
Mae Hong Son,0,0.0,0,0.0,240988,2004,Anthrax
Nan,0,0.0,0,0.0,479968,2004,Anthrax
Phayao,0,0.0,0,0.0,494926,2004,Anthrax
Phrae,0,0.0,0,0.0,477797,2004,Anthrax
Zone:2,0,0.0,0,0.0,3480797,2004,Anthrax
Phetchabun,0,0.0,0,0.0,1026733,2004,Anthrax
Phitsanulok,0,0.0,0,0.0,854440,2004,Anthrax
Sukhothai,0,0.0,0,0.0,616536,2004,Anthrax
Tak,0,0.0,0,0.0,507296,2004,Anthrax
Uttaradit,0,0.0,0,0.0,475792,2004,Anthrax
Zone:3,0,0.0,0,0.0,2764327,2004,Anthrax
Kamphaeng Phet,0,0.0,0,0.0,750331,2004,Anthrax
Nakhon Sawan,0,0.0,0,0.0,1102099,2004,Anthrax
Phichit,0,0.0,0,0.0,579155,2004,Anthrax
Uthai Thani,0,0.0,0,0.0,332742,2004,Anthrax
Central Region,0,0.0,0,0.0,20631429,2004,Anthrax
Bangkok,0,0.0,0,0.0,5739370,2004,Anthrax
Zone:4,0,0.0,0,0.0,2721016,2004,Anthrax
Ang Thong,0,0.0,0,0.0,286896,2004,Anthrax
Nonthaburi,0,0.0,0,0.0,933591,2004,Anthrax
P.Nakhon S.Ayutthaya,0,0.0,0,0.0,745828,2004,Anthrax
Pathum Thani,0,0.0,0,0.0,754701,2004,Anthrax
Zone:5,0,0.0,0,0.0,1936502,2004,Anthrax
Chai Nat,0,0.0,0,0.0,345355,2004,Anthrax
Lop Buri,0,0.0,0,0.0,759000,2004,Anthrax
Saraburi,0,0.0,0,0.0,610722,2004,Anthrax
Sing Buri,0,0.0,0,0.0,221425,2004,Anthrax
Zone:6,0,0.0,0,0.0,3287786,2004,Anthrax
Kanchanaburi,0,0.0,0,0.0,803802,2004,Anthrax
Nakhon Pathom,0,0.0,0,0.0,805210,2004,Anthrax
Ratchaburi,0,0.0,0,0.0,824406,2004,Anthrax
Suphan Buri,0,0.0,0,0.0,854368,2004,Anthrax
Zone:7,0,0.0,0,0.0,1587519,2004,Anthrax
Phetchaburi,0,0.0,0,0.0,456384,2004,Anthrax
Prachuap Khiri Khan,0,0.0,0,0.0,486084,2004,Anthrax
Samut Sakhon,0,0.0,0,0.0,445443,2004,Anthrax
Samut Songkhram,0,0.0,0,0.0,199608,2004,Anthrax
Zone:8,0,0.0,0,0.0,2934598,2004,Anthrax
Chachoengsao,0,0.0,0,0.0,647967,2004,Anthrax
Nakhon Nayok,0,0.0,0,0.0,250235,2004,Anthrax
Prachin Buri,0,0.0,0,0.0,449940,2004,Anthrax
Sa Kaeo,0,0.0,0,0.0,538823,2004,Anthrax
Samut Prakan,0,0.0,0,0.0,1047633,2004,Anthrax
Zone:9,0,0.0,0,0.0,2424638,2004,Anthrax
Chanthaburi,0,0.0,0,0.0,502794,2004,Anthrax
Chon Buri,0,0.0,0,0.0,1150048,2004,Anthrax
Rayong,0,0.0,0,0.0,550310,2004,Anthrax
Trat,0,0.0,0,0.0,221486,2004,Anthrax
North-Eastern Region,0,0.0,0,0.0,21463567,2004,Anthrax
Zone:10,0,0.0,0,0.0,3549364,2004,Anthrax
Loei,0,0.0,0,0.0,617280,2004,Anthrax
Nong Bua Lam Phu,0,0.0,0,0.0,497298,2004,Anthrax
Nong Khai,0,0.0,0,0.0,904499,2004,Anthrax
Udon Thani,0,0.0,0,0.0,1530287,2004,Anthrax
