Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,0,0.00,0,0.00,0.00,66486458,2019,KalaAzar
ZONE:01,0,0.00,0,0.00,0.00,5891985,2019,KalaAzar
Chiang Mai,0,0.00,0,0.00,0.00,1771499,2019,KalaAzar
Chiang Rai,0,0.00,0,0.00,0.00,1295217,2019,KalaAzar
Lampang,0,0.00,0,0.00,0.00,740600,2019,KalaAzar
Lamphun,0,0.00,0,0.00,0.00,405515,2019,KalaAzar
Mae Hong Son,0,0.00,0,0.00,0.00,283352,2019,KalaAzar
Nan,0,0.00,0,0.00,0.00,478608,2019,KalaAzar
Phayao,0,0.00,0,0.00,0.00,473786,2019,KalaAzar
Phrae,0,0.00,0,0.00,0.00,443408,2019,KalaAzar
ZONE:02,0,0.00,0,0.00,0.00,3570128,2019,KalaAzar
Phetchabun,0,0.00,0,0.00,0.00,993496,2019,KalaAzar
Phitsanulok,0,0.00,0,0.00,0.00,866068,2019,KalaAzar
Sukhothai,0,0.00,0,0.00,0.00,596165,2019,KalaAzar
Tak,0,0.00,0,0.00,0.00,660147,2019,KalaAzar
Uttaradit,0,0.00,0,0.00,0.00,454252,2019,KalaAzar
ZONE:03,0,0.00,0,0.00,0.00,2983068,2019,KalaAzar
Chai Nat,0,0.00,0,0.00,0.00,327437,2019,KalaAzar
Kamphaeng Phet,0,0.00,0,0.00,0.00,726836,2019,KalaAzar
Nakhon Sawan,0,0.00,0,0.00,0.00,1061926,2019,KalaAzar
Phichit,0,0.00,0,0.00,0.00,537843,2019,KalaAzar
Uthai Thani,0,0.00,0,0.00,0.00,329026,2019,KalaAzar
ZONE:04,0,0.00,0,0.00,0.00,5381695,2019,KalaAzar
Ang Thong,0,0.00,0,0.00,0.00,280246,2019,KalaAzar
Lop Buri,0,0.00,0,0.00,0.00,757145,2019,KalaAzar
Nakhon Nayok,0,0.00,0,0.00,0.00,260421,2019,KalaAzar
Nonthaburi,0,0.00,0,0.00,0.00,1255840,2019,KalaAzar
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,818815,2019,KalaAzar
Pathum Thani,0,0.00,0,0.00,0.00,1154848,2019,KalaAzar
Saraburi,0,0.00,0,0.00,0.00,645468,2019,KalaAzar
Sing Buri,0,0.00,0,0.00,0.00,208912,2019,KalaAzar
ZONE:05,0,0.00,0,0.00,0.00,5344807,2019,KalaAzar
Kanchanaburi,0,0.00,0,0.00,0.00,894338,2019,KalaAzar
Nakhon Pathom,0,0.00,0,0.00,0.00,918542,2019,KalaAzar
Phetchaburi,0,0.00,0,0.00,0.00,484743,2019,KalaAzar
Prachuap Khiri Khan,0,0.00,0,0.00,0.00,551466,2019,KalaAzar
Ratchaburi,0,0.00,0,0.00,0.00,873310,2019,KalaAzar
Samut Sakhon,0,0.00,0,0.00,0.00,581334,2019,KalaAzar
Samut Songkhram,0,0.00,0,0.00,0.00,193548,2019,KalaAzar
Suphan Buri,0,0.00,0,0.00,0.00,847526,2019,KalaAzar
ZONE:06,0,0.00,0,0.00,0.00,6154601,2019,KalaAzar
Chachoengsao,0,0.00,0,0.00,0.00,717561,2019,KalaAzar
Chanthaburi,0,0.00,0,0.00,0.00,537097,2019,KalaAzar
Chon Buri,0,0.00,0,0.00,0.00,1546873,2019,KalaAzar
Prachin Buri,0,0.00,0,0.00,0.00,493159,2019,KalaAzar
Rayong,0,0.00,0,0.00,0.00,729035,2019,KalaAzar
Sa Kaeo,0,0.00,0,0.00,0.00,565198,2019,KalaAzar
Samut Prakan,0,0.00,0,0.00,0.00,1335742,2019,KalaAzar
Trat,0,0.00,0,0.00,0.00,229936,2019,KalaAzar
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",06/08/2563,,,,,,2019,KalaAzar
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand 2562  (2019)",Kala azar,68,,,,,2019,KalaAzar
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2019,KalaAzar
/100000  Pop.,/100000  pop.,ประชากร,,,,,2019,KalaAzar
ZONE:07,0,0.00,0,0.00,0.00,5057831,2019,KalaAzar
Kalasin,0,0.00,0,0.00,0.00,984381,2019,KalaAzar
Khon Kaen,0,0.00,0,0.00,0.00,1804384,2019,KalaAzar
Maha Sarakham,0,0.00,0,0.00,0.00,962856,2019,KalaAzar
Roi Et,0,0.00,0,0.00,0.00,1306210,2019,KalaAzar
ZONE:08,0,0.00,0,0.00,0.00,5559986,2019,KalaAzar
Bungkan,0,0.00,0,0.00,0.00,424016,2019,KalaAzar
Loei,0,0.00,0,0.00,0.00,642862,2019,KalaAzar
Nakhon Phanom,0,0.00,0,0.00,0.00,718961,2019,KalaAzar
Nong Bua Lam Phu,0,0.00,0,0.00,0.00,512449,2019,KalaAzar
Nong Khai,0,0.00,0,0.00,0.00,522207,2019,KalaAzar
Sakon Nakhon,0,0.00,0,0.00,0.00,1152835,2019,KalaAzar
Udon Thani,0,0.00,0,0.00,0.00,1586656,2019,KalaAzar
ZONE:09,0,0.00,0,0.00,0.00,6778372,2019,KalaAzar
Buri Ram,0,0.00,0,0.00,0.00,1595299,2019,KalaAzar
Chaiyaphum,0,0.00,0,0.00,0.00,1138067,2019,KalaAzar
Nakhon Ratchasima,0,0.00,0,0.00,0.00,2647663,2019,KalaAzar
Surin,0,0.00,0,0.00,0.00,1397343,2019,KalaAzar
ZONE:10,0,0.00,0,0.00,0.00,4618551,2019,KalaAzar
Amnat Charoen,0,0.00,0,0.00,0.00,378530,2019,KalaAzar
Mukdahan,0,0.00,0,0.00,0.00,352727,2019,KalaAzar
Si Sa Ket,0,0.00,0,0.00,0.00,1472934,2019,KalaAzar
Ubon Ratchathani,0,0.00,0,0.00,0.00,1876347,2019,KalaAzar
Yasothon,0,0.00,0,0.00,0.00,538013,2019,KalaAzar
ZONE:11,0,0.00,0,0.00,0.00,4487837,2019,KalaAzar
Chumphon,0,0.00,0,0.00,0.00,511134,2019,KalaAzar
Krabi,0,0.00,0,0.00,0.00,475239,2019,KalaAzar
Nakhon Si Thammarat,0,0.00,0,0.00,0.00,1561179,2019,KalaAzar
Phangnga,0,0.00,0,0.00,0.00,268513,2019,KalaAzar
Phuket,0,0.00,0,0.00,0.00,413397,2019,KalaAzar
Ranong,0,0.00,0,0.00,0.00,192619,2019,KalaAzar
Surat Thani,0,0.00,0,0.00,0.00,1065756,2019,KalaAzar
ZONE:12,0,0.00,0,0.00,0.00,4986140,2019,KalaAzar
Narathiwat,0,0.00,0,0.00,0.00,805248,2019,KalaAzar
Pattani,0,0.00,0,0.00,0.00,721591,2019,KalaAzar
Phatthalung,0,0.00,0,0.00,0.00,524955,2019,KalaAzar
Satun,0,0.00,0,0.00,0.00,322580,2019,KalaAzar
Songkhla,0,0.00,0,0.00,0.00,1434298,2019,KalaAzar
Trang,0,0.00,0,0.00,0.00,643140,2019,KalaAzar
Yala,0,0.00,0,0.00,0.00,534328,2019,KalaAzar
ZONE:13,0,0.00,0,0.00,0.00,5671457,2019,KalaAzar
Bangkok,0,0.00,0,0.00,0.00,5671457,2019,KalaAzar
Total,0,0.00,0,0.00,0.00,65426907,2016,KalaAzar
ZONE:01,0,0.00,0,0.00,0.00,5781324,2016,KalaAzar
Chiang Mai,0,0.00,0,0.00,0.00,1703263,2016,KalaAzar
Chiang Rai,0,0.00,0,0.00,0.00,1242825,2016,KalaAzar
Lampang,0,0.00,0,0.00,0.00,752685,2016,KalaAzar
Lamphun,0,0.00,0,0.00,0.00,405927,2016,KalaAzar
Mae Hong Son,0,0.00,0,0.00,0.00,260971,2016,KalaAzar
Nan,0,0.00,0,0.00,0.00,478890,2016,KalaAzar
