Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,168,0.26,0,0.0,65426907,2016,Rubella
ZONE:01,15,0.26,0,0.0,5781324,2016,Rubella
Chiang Mai,11,0.65,0,0.0,1703263,2016,Rubella
Chiang Rai,1,0.08,0,0.0,1242825,2016,Rubella
Lampang,0,0.0,0,0.0,752685,2016,Rubella
Lamphun,1,0.25,0,0.0,405927,2016,Rubella
Mae Hong Son,0,0.0,0,0.0,260971,2016,Rubella
Nan,2,0.42,0,0.0,478890,2016,Rubella
Phayao,0,0.0,0,0.0,483550,2016,Rubella
Phrae,0,0.0,0,0.0,453213,2016,Rubella
ZONE:02,2,0.06,0,0.0,3498728,2016,Rubella
Phetchabun,0,0.0,0,0.0,996397,2016,Rubella
Phitsanulok,2,0.23,0,0.0,861194,2016,Rubella
Sukhothai,0,0.0,0,0.0,602085,2016,Rubella
Tak,0,0.0,0,0.0,578968,2016,Rubella
Uttaradit,0,0.0,0,0.0,460084,2016,Rubella
ZONE:03,2,0.07,0,0.0,3011449,2016,Rubella
Chai Nat,0,0.0,0,0.0,331968,2016,Rubella
Kamphaeng Phet,0,0.0,0,0.0,729839,2016,Rubella
Nakhon Sawan,1,0.09,0,0.0,1072349,2016,Rubella
Phichit,1,0.18,0,0.0,546750,2016,Rubella
Uthai Thani,0,0.0,0,0.0,330543,2016,Rubella
ZONE:04,15,0.29,0,0.0,5221125,2016,Rubella
Ang Thong,0,0.0,0,0.0,283371,2016,Rubella
Lop Buri,4,0.53,0,0.0,758531,2016,Rubella
Nakhon Nayok,0,0.0,0,0.0,257939,2016,Rubella
Nonthaburi,0,0.0,0,0.0,1183791,2016,Rubella
P.Nakhon S.Ayutthaya,1,0.12,0,0.0,805980,2016,Rubella
Pathum Thani,9,0.83,0,0.0,1084154,2016,Rubella
Saraburi,1,0.16,0,0.0,635567,2016,Rubella
Sing Buri,0,0.0,0,0.0,211792,2016,Rubella
ZONE:05,8,0.15,0,0.0,5209561,2016,Rubella
Kanchanaburi,0,0.0,0,0.0,865172,2016,Rubella
Nakhon Pathom,4,0.45,0,0.0,895207,2016,Rubella
Phetchaburi,2,0.42,0,0.0,476391,2016,Rubella
Prachuap Khiri Khan,1,0.19,0,0.0,529912,2016,Rubella
Ratchaburi,0,0.0,0,0.0,860549,2016,Rubella
Samut Sakhon,1,0.19,0,0.0,538671,2016,Rubella
Samut Songkhram,0,0.0,0,0.0,194283,2016,Rubella
Suphan Buri,0,0.0,0,0.0,849376,2016,Rubella
ZONE:06,31,0.53,0,0.0,5880124,2016,Rubella
Chachoengsao,1,0.14,0,0.0,698190,2016,Rubella
Chanthaburi,4,0.76,0,0.0,529194,2016,Rubella
Chon Buri,7,0.49,0,0.0,1438231,2016,Rubella
Prachin Buri,2,0.42,0,0.0,480755,2016,Rubella
Rayong,7,1.03,0,0.0,681696,2016,Rubella
Sa Kaeo,4,0.72,0,0.0,554555,2016,Rubella
Samut Prakan,4,0.31,0,0.0,1270420,2016,Rubella
Trat,2,0.88,0,0.0,227083,2016,Rubella
ZONE:07,11,0.22,0,0.0,5049920,2016,Rubella
Kalasin,0,0.0,0,0.0,985055,2016,Rubella
Khon Kaen,8,0.45,0,0.0,1794032,2016,Rubella
Maha Sarakham,2,0.21,0,0.0,962592,2016,Rubella
Roi Et,1,0.08,0,0.0,1308241,2016,Rubella
ZONE:08,0,0.0,0,0.0,5511930,2016,Rubella
Bungkan,0,0.0,0,0.0,419607,2016,Rubella
Loei,0,0.0,0,0.0,636666,2016,Rubella
Nakhon Phanom,0,0.0,0,0.0,714369,2016,Rubella
