Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Chiang Rai,0,0.00,0,0.00,0.00,1196576,2010,Meningo
Nan,0,0.00,0,0.00,0.00,475989,2010,Meningo
Phayao,0,0.00,0,0.00,0.00,486713,2010,Meningo
Phrae,0,0.00,0,0.00,0.00,461423,2010,Meningo
Zone:17,4,0.12,0,0.00,0.00,3430959,2010,Meningo
Phetchabun,0,0.00,0,0.00,0.00,995578,2010,Meningo
Phitsanulok,0,0.00,0,0.00,0.00,847627,2010,Meningo
Sukhothai,0,0.00,0,0.00,0.00,602296,2010,Meningo
Tak,4,0.77,0,0.00,0.00,522673,2010,Meningo
Uttaradit,0,0.00,0,0.00,0.00,462785,2010,Meningo
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",23/5/2554,,,,,,2010,Meningo
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand  2010(2553)",Meningococcal,19,,,,,2010,Meningo
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2010,Meningo
/100000  Pop.,/100000  pop.,ประชากร,,,,,2010,Meningo
Zone:18,0,0.00,0,0.00,0.00,2681010,2010,Meningo
Kamphaeng Phet,0,0.00,0,0.00,0.00,726970,2010,Meningo
Nakhon Sawan,0,0.00,0,0.00,0.00,1073182,2010,Meningo
Phichit,0,0.00,0,0.00,0.00,552942,2010,Meningo
Uthai Thani,0,0.00,0,0.00,0.00,327916,2010,Meningo
Total,19,0.03,3,15.79,0.00,66171439,2022,Meningo
ZONE:01,0,0.00,0,0.00,0.00,5874503,2022,Meningo
Chiang Mai,0,0.00,0,0.00,0.00,1789385,2022,Meningo
Chiang Rai,0,0.00,0,0.00,0.00,1298425,2022,Meningo
Lampang,0,0.00,0,0.00,0.00,724678,2022,Meningo
Lamphun,0,0.00,0,0.00,0.00,401139,2022,Meningo
Mae Hong Son,0,0.00,0,0.00,0.00,285916,2022,Meningo
Nan,0,0.00,0,0.00,0.00,475875,2022,Meningo
Phayao,0,0.00,0,0.00,0.00,464505,2022,Meningo
Phrae,0,0.00,0,0.00,0.00,434580,2022,Meningo
ZONE:02,0,0.00,0,0.00,0.00,3533839,2022,Meningo
Phetchabun,0,0.00,0,0.00,0.00,978372,2022,Meningo
Phitsanulok,0,0.00,0,0.00,0.00,847384,2022,Meningo
Sukhothai,0,0.00,0,0.00,0.00,585352,2022,Meningo
Tak,0,0.00,0,0.00,0.00,676583,2022,Meningo
Uttaradit,0,0.00,0,0.00,0.00,446148,2022,Meningo
