Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,131157,197.27,142,0.21,66486458,2019,DHF Total
ZONE:01,12264,208.15,10,0.17,5891985,2019,DHF Total
Chiang Mai,3893,219.76,8,0.45,1771499,2019,DHF Total
Chiang Rai,5470,422.32,0,0.0,1295217,2019,DHF Total
Lampang,880,118.82,0,0.0,740600,2019,DHF Total
Lamphun,332,81.87,1,0.25,405515,2019,DHF Total
Mae Hong Son,413,145.76,0,0.0,283352,2019,DHF Total
Nan,449,93.81,1,0.21,478608,2019,DHF Total
Phayao,409,86.33,0,0.0,473786,2019,DHF Total
Phrae,418,94.27,0,0.0,443408,2019,DHF Total
ZONE:02,5566,155.9,4,0.11,3570128,2019,DHF Total
Phetchabun,2265,227.98,3,0.3,993496,2019,DHF Total
Phitsanulok,688,79.44,0,0.0,866068,2019,DHF Total
Sukhothai,688,115.4,0,0.0,596165,2019,DHF Total
Tak,1337,202.53,0,0.0,660147,2019,DHF Total
Uttaradit,588,129.44,1,0.22,454252,2019,DHF Total
ZONE:03,3223,108.04,2,0.07,2983068,2019,DHF Total
Chai Nat,337,102.92,1,0.31,327437,2019,DHF Total
Kamphaeng Phet,487,67.0,1,0.14,726836,2019,DHF Total
Nakhon Sawan,1391,130.99,0,0.0,1061926,2019,DHF Total
Phichit,319,59.31,0,0.0,537843,2019,DHF Total
Uthai Thani,689,209.41,0,0.0,329026,2019,DHF Total
ZONE:04,5774,107.29,4,0.07,5381695,2019,DHF Total
Ang Thong,276,98.48,0,0.0,280246,2019,DHF Total
Lop Buri,1265,167.07,0,0.0,757145,2019,DHF Total
Nakhon Nayok,354,135.93,0,0.0,260421,2019,DHF Total
Nonthaburi,1470,117.05,0,0.0,1255840,2019,DHF Total
P.Nakhon S.Ayutthaya,679,82.92,2,0.24,818815,2019,DHF Total
Pathum Thani,618,53.51,1,0.09,1154848,2019,DHF Total
Saraburi,917,142.07,1,0.15,645468,2019,DHF Total
Sing Buri,195,93.34,0,0.0,208912,2019,DHF Total
ZONE:05,8935,167.17,13,0.24,5344807,2019,DHF Total
Kanchanaburi,894,99.96,0,0.0,894338,2019,DHF Total
Nakhon Pathom,2304,250.83,3,0.33,918542,2019,DHF Total
Phetchaburi,964,198.87,1,0.21,484743,2019,DHF Total
Prachuap Khiri Khan,564,102.27,2,0.36,551466,2019,DHF Total
Ratchaburi,2016,230.85,5,0.57,873310,2019,DHF Total
Samut Sakhon,1246,214.33,1,0.17,581334,2019,DHF Total
Samut Songkhram,257,132.78,0,0.0,193548,2019,DHF Total
Suphan Buri,690,81.41,1,0.12,847526,2019,DHF Total
ZONE:06,14456,234.88,20,0.32,6154601,2019,DHF Total
Chachoengsao,1138,158.59,2,0.28,717561,2019,DHF Total
Chanthaburi,1957,364.37,3,0.56,537097,2019,DHF Total
Chon Buri,3747,242.23,5,0.32,1546873,2019,DHF Total
Prachin Buri,1465,297.06,0,0.0,493159,2019,DHF Total
Rayong,2715,372.41,4,0.55,729035,2019,DHF Total
Sa Kaeo,1502,265.75,3,0.53,565198,2019,DHF Total
Samut Prakan,1302,97.47,3,0.22,1335742,2019,DHF Total
Trat,630,273.99,0,0.0,229936,2019,DHF Total
ZONE:07,10022,198.15,9,0.18,5057831,2019,DHF Total
Kalasin,1328,134.91,2,0.2,984381,2019,DHF Total
Khon Kaen,3547,196.58,4,0.22,1804384,2019,DHF Total
Maha Sarakham,1350,140.21,2,0.21,962856,2019,DHF Total
Roi Et,3797,290.69,1,0.08,1306210,2019,DHF Total
ZONE:08,7400,133.09,8,0.14,5559986,2019,DHF Total
Bungkan,873,205.89,4,0.94,424016,2019,DHF Total
Loei,1755,273.0,2,0.31,642862,2019,DHF Total
Nakhon Phanom,1037,144.24,1,0.14,718961,2019,DHF Total
