Areas,Count,Month,Type,Year,Disease
Total,318,,Cases,2017,Streptococcus suis
ZONE:01,70,,Cases,2017,Streptococcus suis
Chiang Mai,17,,Cases,2017,Streptococcus suis
Chiang Rai,5,,Cases,2017,Streptococcus suis
Lampang,0,,Cases,2017,Streptococcus suis
Lamphun,0,,Cases,2017,Streptococcus suis
Mae Hong Son,0,,Cases,2017,Streptococcus suis
Nan,22,,Cases,2017,Streptococcus suis
Phayao,23,,Cases,2017,Streptococcus suis
Phrae,3,,Cases,2017,Streptococcus suis
ZONE:02,74,,Cases,2017,Streptococcus suis
Phetchabun,29,,Cases,2017,Streptococcus suis
Phitsanulok,0,,Cases,2017,Streptococcus suis
Sukhothai,9,,Cases,2017,Streptococcus suis
Tak,4,,Cases,2017,Streptococcus suis
Uttaradit,32,,Cases,2017,Streptococcus suis
ZONE:03,68,,Cases,2017,Streptococcus suis
Chai Nat,0,,Cases,2017,Streptococcus suis
Kamphaeng Phet,8,,Cases,2017,Streptococcus suis
Nakhon Sawan,44,,Cases,2017,Streptococcus suis
Phichit,16,,Cases,2017,Streptococcus suis
Uthai Thani,0,,Cases,2017,Streptococcus suis
ZONE:04,5,,Cases,2017,Streptococcus suis
Ang Thong,0,,Cases,2017,Streptococcus suis
Lop Buri,3,,Cases,2017,Streptococcus suis
Nakhon Nayok,0,,Cases,2017,Streptococcus suis
Nonthaburi,0,,Cases,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,,Cases,2017,Streptococcus suis
Pathum Thani,1,,Cases,2017,Streptococcus suis
Saraburi,1,,Cases,2017,Streptococcus suis
Sing Buri,0,,Cases,2017,Streptococcus suis
ZONE:05,2,,Cases,2017,Streptococcus suis
Kanchanaburi,0,,Cases,2017,Streptococcus suis
Nakhon Pathom,1,,Cases,2017,Streptococcus suis
Phetchaburi,0,,Cases,2017,Streptococcus suis
Prachuap Khiri Khan,0,,Cases,2017,Streptococcus suis
Ratchaburi,0,,Cases,2017,Streptococcus suis
Samut Sakhon,1,,Cases,2017,Streptococcus suis
Samut Songkhram,0,,Cases,2017,Streptococcus suis
Suphan Buri,0,,Cases,2017,Streptococcus suis
ZONE:06,28,,Cases,2017,Streptococcus suis
Chachoengsao,0,,Cases,2017,Streptococcus suis
Chanthaburi,4,,Cases,2017,Streptococcus suis
Chon Buri,0,,Cases,2017,Streptococcus suis
Prachin Buri,8,,Cases,2017,Streptococcus suis
Rayong,0,,Cases,2017,Streptococcus suis
Sa Kaeo,16,,Cases,2017,Streptococcus suis
Samut Prakan,0,,Cases,2017,Streptococcus suis
Trat,0,,Cases,2017,Streptococcus suis
ZONE:07,2,,Cases,2017,Streptococcus suis
Kalasin,1,,Cases,2017,Streptococcus suis
Khon Kaen,0,,Cases,2017,Streptococcus suis
Maha Sarakham,1,,Cases,2017,Streptococcus suis
Roi Et,0,,Cases,2017,Streptococcus suis
ZONE:08,6,,Cases,2017,Streptococcus suis
Bungkan,0,,Cases,2017,Streptococcus suis
Loei,0,,Cases,2017,Streptococcus suis
Nakhon Phanom,1,,Cases,2017,Streptococcus suis
Nong Bua Lam Phu,0,,Cases,2017,Streptococcus suis
Nong Khai,0,,Cases,2017,Streptococcus suis
Sakon Nakhon,2,,Cases,2017,Streptococcus suis
Udon Thani,3,,Cases,2017,Streptococcus suis
ZONE:09,55,,Cases,2017,Streptococcus suis
Buri Ram,0,,Cases,2017,Streptococcus suis
Chaiyaphum,1,,Cases,2017,Streptococcus suis
Nakhon Ratchasima,54,,Cases,2017,Streptococcus suis
Surin,0,,Cases,2017,Streptococcus suis
ZONE:10,2,,Cases,2017,Streptococcus suis
Amnat Charoen,0,,Cases,2017,Streptococcus suis
Mukdahan,0,,Cases,2017,Streptococcus suis
Si Sa Ket,1,,Cases,2017,Streptococcus suis
Ubon Ratchathani,0,,Cases,2017,Streptococcus suis
Yasothon,1,,Cases,2017,Streptococcus suis
ZONE:11,1,,Cases,2017,Streptococcus suis
Chumphon,0,,Cases,2017,Streptococcus suis
Krabi,0,,Cases,2017,Streptococcus suis
Nakhon Si Thammarat,0,,Cases,2017,Streptococcus suis
Phangnga,0,,Cases,2017,Streptococcus suis
Phuket,1,,Cases,2017,Streptococcus suis
Ranong,0,,Cases,2017,Streptococcus suis
Surat Thani,0,,Cases,2017,Streptococcus suis
ZONE:12,0,,Cases,2017,Streptococcus suis
Narathiwat,0,,Cases,2017,Streptococcus suis
Pattani,0,,Cases,2017,Streptococcus suis
Phatthalung,0,,Cases,2017,Streptococcus suis
Satun,0,,Cases,2017,Streptococcus suis
Songkhla,0,,Cases,2017,Streptococcus suis
Trang,0,,Cases,2017,Streptococcus suis
Yala,0,,Cases,2017,Streptococcus suis
ZONE:13,5,,Cases,2017,Streptococcus suis
Bangkok,5,,Cases,2017,Streptococcus suis
Total,15,,Deaths,2017,Streptococcus suis
ZONE:01,4,,Deaths,2017,Streptococcus suis
Chiang Mai,1,,Deaths,2017,Streptococcus suis
Chiang Rai,0,,Deaths,2017,Streptococcus suis
Lampang,0,,Deaths,2017,Streptococcus suis
Lamphun,0,,Deaths,2017,Streptococcus suis
Mae Hong Son,0,,Deaths,2017,Streptococcus suis
Nan,0,,Deaths,2017,Streptococcus suis
Phayao,3,,Deaths,2017,Streptococcus suis
Phrae,0,,Deaths,2017,Streptococcus suis
ZONE:02,2,,Deaths,2017,Streptococcus suis
Phetchabun,0,,Deaths,2017,Streptococcus suis
Phitsanulok,0,,Deaths,2017,Streptococcus suis
Sukhothai,0,,Deaths,2017,Streptococcus suis
Tak,0,,Deaths,2017,Streptococcus suis
Uttaradit,2,,Deaths,2017,Streptococcus suis
ZONE:03,5,,Deaths,2017,Streptococcus suis
Chai Nat,0,,Deaths,2017,Streptococcus suis
Kamphaeng Phet,0,,Deaths,2017,Streptococcus suis
Nakhon Sawan,3,,Deaths,2017,Streptococcus suis
Phichit,2,,Deaths,2017,Streptococcus suis
Uthai Thani,0,,Deaths,2017,Streptococcus suis
ZONE:04,0,,Deaths,2017,Streptococcus suis
Ang Thong,0,,Deaths,2017,Streptococcus suis
Lop Buri,0,,Deaths,2017,Streptococcus suis
Nakhon Nayok,0,,Deaths,2017,Streptococcus suis
Nonthaburi,0,,Deaths,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,,Deaths,2017,Streptococcus suis
Pathum Thani,0,,Deaths,2017,Streptococcus suis
Saraburi,0,,Deaths,2017,Streptococcus suis
Sing Buri,0,,Deaths,2017,Streptococcus suis
ZONE:05,0,,Deaths,2017,Streptococcus suis
Kanchanaburi,0,,Deaths,2017,Streptococcus suis
Nakhon Pathom,0,,Deaths,2017,Streptococcus suis
Phetchaburi,0,,Deaths,2017,Streptococcus suis
Prachuap Khiri Khan,0,,Deaths,2017,Streptococcus suis
Ratchaburi,0,,Deaths,2017,Streptococcus suis
Samut Sakhon,0,,Deaths,2017,Streptococcus suis
Samut Songkhram,0,,Deaths,2017,Streptococcus suis
Suphan Buri,0,,Deaths,2017,Streptococcus suis
ZONE:06,0,,Deaths,2017,Streptococcus suis
Chachoengsao,0,,Deaths,2017,Streptococcus suis
Chanthaburi,0,,Deaths,2017,Streptococcus suis
Chon Buri,0,,Deaths,2017,Streptococcus suis
Prachin Buri,0,,Deaths,2017,Streptococcus suis
Rayong,0,,Deaths,2017,Streptococcus suis
Sa Kaeo,0,,Deaths,2017,Streptococcus suis
Samut Prakan,0,,Deaths,2017,Streptococcus suis
Trat,0,,Deaths,2017,Streptococcus suis
ZONE:07,0,,Deaths,2017,Streptococcus suis
Kalasin,0,,Deaths,2017,Streptococcus suis
Khon Kaen,0,,Deaths,2017,Streptococcus suis
Maha Sarakham,0,,Deaths,2017,Streptococcus suis
Roi Et,0,,Deaths,2017,Streptococcus suis
ZONE:08,0,,Deaths,2017,Streptococcus suis
Bungkan,0,,Deaths,2017,Streptococcus suis
Loei,0,,Deaths,2017,Streptococcus suis
Nakhon Phanom,0,,Deaths,2017,Streptococcus suis
Nong Bua Lam Phu,0,,Deaths,2017,Streptococcus suis
Nong Khai,0,,Deaths,2017,Streptococcus suis
Sakon Nakhon,0,,Deaths,2017,Streptococcus suis
Udon Thani,0,,Deaths,2017,Streptococcus suis
ZONE:09,4,,Deaths,2017,Streptococcus suis
Buri Ram,0,,Deaths,2017,Streptococcus suis
Chaiyaphum,0,,Deaths,2017,Streptococcus suis
Nakhon Ratchasima,4,,Deaths,2017,Streptococcus suis
Surin,0,,Deaths,2017,Streptococcus suis
ZONE:10,0,,Deaths,2017,Streptococcus suis
Amnat Charoen,0,,Deaths,2017,Streptococcus suis
Mukdahan,0,,Deaths,2017,Streptococcus suis
Si Sa Ket,0,,Deaths,2017,Streptococcus suis
Ubon Ratchathani,0,,Deaths,2017,Streptococcus suis
Yasothon,0,,Deaths,2017,Streptococcus suis
ZONE:11,0,,Deaths,2017,Streptococcus suis
Chumphon,0,,Deaths,2017,Streptococcus suis
Krabi,0,,Deaths,2017,Streptococcus suis
Nakhon Si Thammarat,0,,Deaths,2017,Streptococcus suis
Phangnga,0,,Deaths,2017,Streptococcus suis
Phuket,0,,Deaths,2017,Streptococcus suis
Ranong,0,,Deaths,2017,Streptococcus suis
Surat Thani,0,,Deaths,2017,Streptococcus suis
ZONE:12,0,,Deaths,2017,Streptococcus suis
Narathiwat,0,,Deaths,2017,Streptococcus suis
Pattani,0,,Deaths,2017,Streptococcus suis
Phatthalung,0,,Deaths,2017,Streptococcus suis
Satun,0,,Deaths,2017,Streptococcus suis
Songkhla,0,,Deaths,2017,Streptococcus suis
Trang,0,,Deaths,2017,Streptococcus suis
Yala,0,,Deaths,2017,Streptococcus suis
ZONE:13,0,,Deaths,2017,Streptococcus suis
Bangkok,0,,Deaths,2017,Streptococcus suis
Total,20,Jan,Cases,2017,Streptococcus suis
ZONE:01,1,Jan,Cases,2017,Streptococcus suis
Chiang Mai,0,Jan,Cases,2017,Streptococcus suis
Chiang Rai,0,Jan,Cases,2017,Streptococcus suis
Lampang,0,Jan,Cases,2017,Streptococcus suis
Lamphun,0,Jan,Cases,2017,Streptococcus suis
Mae Hong Son,0,Jan,Cases,2017,Streptococcus suis
Nan,1,Jan,Cases,2017,Streptococcus suis
Phayao,0,Jan,Cases,2017,Streptococcus suis
Phrae,0,Jan,Cases,2017,Streptococcus suis
ZONE:02,3,Jan,Cases,2017,Streptococcus suis
Phetchabun,0,Jan,Cases,2017,Streptococcus suis
Phitsanulok,0,Jan,Cases,2017,Streptococcus suis
Sukhothai,0,Jan,Cases,2017,Streptococcus suis
Tak,1,Jan,Cases,2017,Streptococcus suis
Uttaradit,2,Jan,Cases,2017,Streptococcus suis
ZONE:03,4,Jan,Cases,2017,Streptococcus suis
Chai Nat,0,Jan,Cases,2017,Streptococcus suis
Kamphaeng Phet,3,Jan,Cases,2017,Streptococcus suis
Nakhon Sawan,0,Jan,Cases,2017,Streptococcus suis
Phichit,1,Jan,Cases,2017,Streptococcus suis
Uthai Thani,0,Jan,Cases,2017,Streptococcus suis
ZONE:04,0,Jan,Cases,2017,Streptococcus suis
Ang Thong,0,Jan,Cases,2017,Streptococcus suis
Lop Buri,0,Jan,Cases,2017,Streptococcus suis
Nakhon Nayok,0,Jan,Cases,2017,Streptococcus suis
Nonthaburi,0,Jan,Cases,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,Jan,Cases,2017,Streptococcus suis
Pathum Thani,0,Jan,Cases,2017,Streptococcus suis
Saraburi,0,Jan,Cases,2017,Streptococcus suis
Sing Buri,0,Jan,Cases,2017,Streptococcus suis
Reported cases  and deaths by Province and by Month  Thailand  2560  (2017),82,Jan,Cases,2017,Streptococcus suis
ZONE:05,0,Jan,Cases,2017,Streptococcus suis
Kanchanaburi,0,Jan,Cases,2017,Streptococcus suis
Nakhon Pathom,0,Jan,Cases,2017,Streptococcus suis
Phetchaburi,0,Jan,Cases,2017,Streptococcus suis
Prachuap Khiri Khan,0,Jan,Cases,2017,Streptococcus suis
Ratchaburi,0,Jan,Cases,2017,Streptococcus suis
Samut Sakhon,0,Jan,Cases,2017,Streptococcus suis
Samut Songkhram,0,Jan,Cases,2017,Streptococcus suis
Suphan Buri,0,Jan,Cases,2017,Streptococcus suis
ZONE:06,1,Jan,Cases,2017,Streptococcus suis
Chachoengsao,0,Jan,Cases,2017,Streptococcus suis
Chanthaburi,0,Jan,Cases,2017,Streptococcus suis
Chon Buri,0,Jan,Cases,2017,Streptococcus suis
Prachin Buri,0,Jan,Cases,2017,Streptococcus suis
Rayong,0,Jan,Cases,2017,Streptococcus suis
Sa Kaeo,1,Jan,Cases,2017,Streptococcus suis
Samut Prakan,0,Jan,Cases,2017,Streptococcus suis
Trat,0,Jan,Cases,2017,Streptococcus suis
ZONE:07,0,Jan,Cases,2017,Streptococcus suis
Kalasin,0,Jan,Cases,2017,Streptococcus suis
Khon Kaen,0,Jan,Cases,2017,Streptococcus suis
Maha Sarakham,0,Jan,Cases,2017,Streptococcus suis
Roi Et,0,Jan,Cases,2017,Streptococcus suis
ZONE:08,2,Jan,Cases,2017,Streptococcus suis
Bungkan,0,Jan,Cases,2017,Streptococcus suis
Loei,0,Jan,Cases,2017,Streptococcus suis
Nakhon Phanom,0,Jan,Cases,2017,Streptococcus suis
Nong Bua Lam Phu,0,Jan,Cases,2017,Streptococcus suis
Nong Khai,0,Jan,Cases,2017,Streptococcus suis
Sakon Nakhon,2,Jan,Cases,2017,Streptococcus suis
Udon Thani,0,Jan,Cases,2017,Streptococcus suis
ZONE:09,8,Jan,Cases,2017,Streptococcus suis
Buri Ram,0,Jan,Cases,2017,Streptococcus suis
Chaiyaphum,1,Jan,Cases,2017,Streptococcus suis
Nakhon Ratchasima,7,Jan,Cases,2017,Streptococcus suis
Surin,0,Jan,Cases,2017,Streptococcus suis
Reported cases  and deaths by Province and by Month  Thailand  2560  (2017),82,Jan,Cases,2017,Streptococcus suis
ZONE:10,0,Jan,Cases,2017,Streptococcus suis
Amnat Charoen,0,Jan,Cases,2017,Streptococcus suis
Mukdahan,0,Jan,Cases,2017,Streptococcus suis
Si Sa Ket,0,Jan,Cases,2017,Streptococcus suis
Ubon Ratchathani,0,Jan,Cases,2017,Streptococcus suis
Yasothon,0,Jan,Cases,2017,Streptococcus suis
ZONE:11,1,Jan,Cases,2017,Streptococcus suis
Chumphon,0,Jan,Cases,2017,Streptococcus suis
Krabi,0,Jan,Cases,2017,Streptococcus suis
Nakhon Si Thammarat,0,Jan,Cases,2017,Streptococcus suis
Phangnga,0,Jan,Cases,2017,Streptococcus suis
Phuket,1,Jan,Cases,2017,Streptococcus suis
Ranong,0,Jan,Cases,2017,Streptococcus suis
Surat Thani,0,Jan,Cases,2017,Streptococcus suis
ZONE:12,0,Jan,Cases,2017,Streptococcus suis
Narathiwat,0,Jan,Cases,2017,Streptococcus suis
Pattani,0,Jan,Cases,2017,Streptococcus suis
Phatthalung,0,Jan,Cases,2017,Streptococcus suis
Satun,0,Jan,Cases,2017,Streptococcus suis
Songkhla,0,Jan,Cases,2017,Streptococcus suis
Trang,0,Jan,Cases,2017,Streptococcus suis
Yala,0,Jan,Cases,2017,Streptococcus suis
ZONE:13,0,Jan,Cases,2017,Streptococcus suis
Bangkok,0,Jan,Cases,2017,Streptococcus suis
Total,1,Jan,Deaths,2017,Streptococcus suis
ZONE:01,0,Jan,Deaths,2017,Streptococcus suis
Chiang Mai,0,Jan,Deaths,2017,Streptococcus suis
Chiang Rai,0,Jan,Deaths,2017,Streptococcus suis
Lampang,0,Jan,Deaths,2017,Streptococcus suis
Lamphun,0,Jan,Deaths,2017,Streptococcus suis
Mae Hong Son,0,Jan,Deaths,2017,Streptococcus suis
Nan,0,Jan,Deaths,2017,Streptococcus suis
Phayao,0,Jan,Deaths,2017,Streptococcus suis
Phrae,0,Jan,Deaths,2017,Streptococcus suis
ZONE:02,0,Jan,Deaths,2017,Streptococcus suis
Phetchabun,0,Jan,Deaths,2017,Streptococcus suis
Phitsanulok,0,Jan,Deaths,2017,Streptococcus suis
Sukhothai,0,Jan,Deaths,2017,Streptococcus suis
Tak,0,Jan,Deaths,2017,Streptococcus suis
Uttaradit,0,Jan,Deaths,2017,Streptococcus suis
ZONE:03,0,Jan,Deaths,2017,Streptococcus suis
Chai Nat,0,Jan,Deaths,2017,Streptococcus suis
Kamphaeng Phet,0,Jan,Deaths,2017,Streptococcus suis
Nakhon Sawan,0,Jan,Deaths,2017,Streptococcus suis
Phichit,0,Jan,Deaths,2017,Streptococcus suis
Uthai Thani,0,Jan,Deaths,2017,Streptococcus suis
ZONE:04,0,Jan,Deaths,2017,Streptococcus suis
Ang Thong,0,Jan,Deaths,2017,Streptococcus suis
Lop Buri,0,Jan,Deaths,2017,Streptococcus suis
Nakhon Nayok,0,Jan,Deaths,2017,Streptococcus suis
Nonthaburi,0,Jan,Deaths,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,Jan,Deaths,2017,Streptococcus suis
Pathum Thani,0,Jan,Deaths,2017,Streptococcus suis
Saraburi,0,Jan,Deaths,2017,Streptococcus suis
Sing Buri,0,Jan,Deaths,2017,Streptococcus suis
ZONE:05,0,Jan,Deaths,2017,Streptococcus suis
Kanchanaburi,0,Jan,Deaths,2017,Streptococcus suis
Nakhon Pathom,0,Jan,Deaths,2017,Streptococcus suis
Phetchaburi,0,Jan,Deaths,2017,Streptococcus suis
Prachuap Khiri Khan,0,Jan,Deaths,2017,Streptococcus suis
Ratchaburi,0,Jan,Deaths,2017,Streptococcus suis
Samut Sakhon,0,Jan,Deaths,2017,Streptococcus suis
Samut Songkhram,0,Jan,Deaths,2017,Streptococcus suis
Suphan Buri,0,Jan,Deaths,2017,Streptococcus suis
ZONE:06,0,Jan,Deaths,2017,Streptococcus suis
Chachoengsao,0,Jan,Deaths,2017,Streptococcus suis
Chanthaburi,0,Jan,Deaths,2017,Streptococcus suis
Chon Buri,0,Jan,Deaths,2017,Streptococcus suis
Prachin Buri,0,Jan,Deaths,2017,Streptococcus suis
Rayong,0,Jan,Deaths,2017,Streptococcus suis
Sa Kaeo,0,Jan,Deaths,2017,Streptococcus suis
Samut Prakan,0,Jan,Deaths,2017,Streptococcus suis
