Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,103420,162.98,1,0.00,0.00,63457439,2009,Food_Poisoning
Central Region,24082,112.61,0,0.00,0.00,21386001,2009,Food_Poisoning
Bangkok,3774,66.13,0,0.00,0.00,5706739,2009,Food_Poisoning
Zone:1,3745,110.23,0,0.00,0.00,3397461,2009,Food_Poisoning
Nonthaburi,1138,106.82,0,0.00,0.00,1065332,2009,Food_Poisoning
P.Nakhon S.Ayutthaya,1777,230.14,0,0.00,0.00,772142,2009,Food_Poisoning
Pathum Thani,342,36.27,0,0.00,0.00,942813,2009,Food_Poisoning
Saraburi,488,79.07,0,0.00,0.00,617174,2009,Food_Poisoning
Zone:2,1821,114.52,0,0.00,0.00,1590058,2009,Food_Poisoning
Ang Thong,477,167.47,0,0.00,0.00,284819,2009,Food_Poisoning
Chai Nat,278,82.82,0,0.00,0.00,335686,2009,Food_Poisoning
Lop Buri,886,117.49,0,0.00,0.00,754127,2009,Food_Poisoning
Sing Buri,180,83.56,0,0.00,0.00,215426,2009,Food_Poisoning
Zone:3,5248,170.59,0,0.00,0.00,3076347,2009,Food_Poisoning
Chachoengsao,1088,163.14,0,0.00,0.00,666907,2009,Food_Poisoning
Nakhon Nayok,407,162.01,0,0.00,0.00,251219,2009,Food_Poisoning
Prachin Buri,1667,361.91,0,0.00,0.00,460617,2009,Food_Poisoning
Sa Kaeo,945,174.37,0,0.00,0.00,541939,2009,Food_Poisoning
Samut Prakan,1141,98.73,0,0.00,0.00,1155665,2009,Food_Poisoning
Zone:4,3028,89.99,0,0.00,0.00,3364769,2009,Food_Poisoning
Kanchanaburi,577,68.92,0,0.00,0.00,837165,2009,Food_Poisoning
Nakhon Pathom,1145,135.10,0,0.00,0.00,847513,2009,Food_Poisoning
Ratchaburi,788,94.31,0,0.00,0.00,835546,2009,Food_Poisoning
Suphan Buri,518,61.33,0,0.00,0.00,844545,2009,Food_Poisoning
Zone:5,1966,120.06,0,0.00,0.00,1637557,2009,Food_Poisoning
Phetchaburi,723,157.14,0,0.00,0.00,460108,2009,Food_Poisoning
Prachuap Khiri Khan,816,162.48,0,0.00,0.00,502221,2009,Food_Poisoning
Samut Sakhon,322,66.89,0,0.00,0.00,481377,2009,Food_Poisoning
Samut Songkhram,105,54.17,0,0.00,0.00,193851,2009,Food_Poisoning
Zone:9,4500,172.21,0,0.00,0.00,2613070,2009,Food_Poisoning
Chanthaburi,1230,241.35,0,0.00,0.00,509633,2009,Food_Poisoning
Chon Buri,1237,96.86,0,0.00,0.00,1277139,2009,Food_Poisoning
Rayong,1341,221.51,0,0.00,0.00,605380,2009,Food_Poisoning
Trat,692,313.24,0,0.00,0.00,220918,2009,Food_Poisoning
South Region,4936,56.23,0,0.00,0.00,8777720,2009,Food_Poisoning
Zone:6,1870,53.48,0,0.00,0.00,3496373,2009,Food_Poisoning
Chumphon,321,66.02,0,0.00,0.00,486233,2009,Food_Poisoning
Nakhon Si Thammarat,756,49.91,0,0.00,0.00,1514832,2009,Food_Poisoning
Phatthalung,352,69.50,0,0.00,0.00,506454,2009,Food_Poisoning
Surat Thani,441,44.60,0,0.00,0.00,988854,2009,Food_Poisoning
Zone:7,1127,62.48,0,0.00,0.00,1803902,2009,Food_Poisoning
Krabi,213,50.40,0,0.00,0.00,422631,2009,Food_Poisoning
Phangnga,189,75.36,0,0.00,0.00,250796,2009,Food_Poisoning
Phuket,344,103.78,0,0.00,0.00,331460,2009,Food_Poisoning
Ranong,115,63.10,0,0.00,0.00,182242,2009,Food_Poisoning
Trang,266,43.13,0,0.00,0.00,616773,2009,Food_Poisoning
Zone:8,1939,55.76,0,0.00,0.00,3477445,2009,Food_Poisoning
Narathiwat,106,14.64,0,0.00,0.00,724001,2009,Food_Poisoning
Pattani,262,40.63,0,0.00,0.00,644897,2009,Food_Poisoning
Satun,136,46.77,0,0.00,0.00,290755,2009,Food_Poisoning
Songkhla,1188,88.67,0,0.00,0.00,1339861,2009,Food_Poisoning
Yala,247,51.68,0,0.00,0.00,477931,2009,Food_Poisoning
North-Eastern Region,49538,230.74,0,0.00,0.00,21469269,2009,Food_Poisoning
Zone:10,7770,218.00,0,0.00,0.00,3564168,2009,Food_Poisoning
Loei,973,157.04,0,0.00,0.00,619602,2009,Food_Poisoning
Nong Bua Lam Phu,992,198.31,0,0.00,0.00,500217,2009,Food_Poisoning
Nong Khai,1286,141.78,0,0.00,0.00,907064,2009,Food_Poisoning
Udon Thani,4519,293.96,0,0.00,0.00,1537285,2009,Food_Poisoning
Zone:11,3304,153.31,0,0.00,0.00,2155042,2009,Food_Poisoning
Mukdahan,683,202.21,0,0.00,0.00,337773,2009,Food_Poisoning
Nakhon Phanom,1597,228.13,0,0.00,0.00,700027,2009,Food_Poisoning
Sakon Nakhon,1024,91.65,0,0.00,0.00,1117242,2009,Food_Poisoning
Zone:12,13987,280.63,0,0.00,0.00,4984201,2009,Food_Poisoning
Kalasin,2547,260.06,0,0.00,0.00,979371,2009,Food_Poisoning
Khon Kaen,6189,351.81,0,0.00,0.00,1759172,2009,Food_Poisoning
Maha Sarakham,1461,155.76,0,0.00,0.00,937972,2009,Food_Poisoning
Roi Et,3790,289.82,0,0.00,0.00,1307686,2009,Food_Poisoning
Zone:13,12139,292.31,0,0.00,0.00,4152834,2009,Food_Poisoning
Amnat Charoen,1142,308.53,0,0.00,0.00,370141,2009,Food_Poisoning
Si Sa Ket,3439,238.18,0,0.00,0.00,1443879,2009,Food_Poisoning
Ubon Ratchathani,6049,336.13,0,0.00,0.00,1799604,2009,Food_Poisoning
Yasothon,1509,279.85,0,0.00,0.00,539210,2009,Food_Poisoning
Zone:14,12338,186.57,0,0.00,0.00,6613024,2009,Food_Poisoning
Buri Ram,3898,252.43,0,0.00,0.00,1544218,2009,Food_Poisoning
Chaiyaphum,2049,182.31,0,0.00,0.00,1123907,2009,Food_Poisoning
Nakhon Ratchasima,3859,150.26,0,0.00,0.00,2568205,2009,Food_Poisoning
Surin,2532,183.92,0,0.00,0.00,1376694,2009,Food_Poisoning
North Region,24864,210.28,1,0.00,0.01,11824449,2009,Food_Poisoning
Zone:15,6961,226.77,0,0.00,0.00,3069670,2009,Food_Poisoning
Chiang Mai,2980,180.45,0,0.00,0.00,1651433,2009,Food_Poisoning
Lampang,2681,349.97,0,0.00,0.00,766057,2009,Food_Poisoning
Lamphun,759,187.45,0,0.00,0.00,404910,2009,Food_Poisoning
Mae Hong Son,541,218.79,0,0.00,0.00,247270,2009,Food_Poisoning
Zone:16,6825,258.82,1,0.01,0.04,2636963,2009,Food_Poisoning
Chiang Rai,3673,303.27,0,0.00,0.00,1211126,2009,Food_Poisoning
Nan,750,157.63,0,0.00,0.00,475799,2009,Food_Poisoning
Phayao,1206,247.51,1,0.08,0.21,487254,2009,Food_Poisoning
Phrae,1196,258.44,0,0.00,0.00,462784,2009,Food_Poisoning
Zone:17,7462,217.15,0,0.00,0.00,3436350,2009,Food_Poisoning
Phetchabun,1841,184.90,0,0.00,0.00,995679,2009,Food_Poisoning
Phitsanulok,2839,336.06,0,0.00,0.00,844779,2009,Food_Poisoning
Sukhothai,799,132.43,0,0.00,0.00,603316,2009,Food_Poisoning
Tak,763,144.24,0,0.00,0.00,528997,2009,Food_Poisoning
Uttaradit,1220,263.17,0,0.00,0.00,463579,2009,Food_Poisoning
Zone:18,3616,134.85,0,0.00,0.00,2681466,2009,Food_Poisoning
Kamphaeng Phet,607,83.55,0,0.00,0.00,726530,2009,Food_Poisoning
Nakhon Sawan,1821,169.62,0,0.00,0.00,1073554,2009,Food_Poisoning
Phichit,652,117.76,0,0.00,0.00,553653,2009,Food_Poisoning
Uthai Thani,536,163.55,0,0.00,0.00,327729,2009,Food_Poisoning
Total,89475,134.81,1,0.00,0.00,66372831,2020,Food_Poisoning
ZONE:01,13233,224.79,0,0.00,0.00,5886870,2020,Food_Poisoning
Chiang Mai,3693,207.26,0,0.00,0.00,1781812,2020,Food_Poisoning
Chiang Rai,3105,239.46,0,0.00,0.00,1296664,2020,Food_Poisoning
Lampang,1374,187.29,0,0.00,0.00,733640,2020,Food_Poisoning
Lamphun,1238,306.78,0,0.00,0.00,403542,2020,Food_Poisoning
Mae Hong Son,539,189.56,0,0.00,0.00,284343,2020,Food_Poisoning
Nan,1044,218.65,0,0.00,0.00,477476,2020,Food_Poisoning
Phayao,1125,239.44,0,0.00,0.00,469856,2020,Food_Poisoning
Phrae,1115,253.68,0,0.00,0.00,439537,2020,Food_Poisoning
ZONE:02,5312,149.43,0,0.00,0.00,3554902,2020,Food_Poisoning
Phetchabun,1258,127.43,0,0.00,0.00,987196,2020,Food_Poisoning
Phitsanulok,2089,243.65,0,0.00,0.00,857364,2020,Food_Poisoning
Sukhothai,444,75.07,0,0.00,0.00,591477,2020,Food_Poisoning
Tak,1171,175.31,0,0.00,0.00,667942,2020,Food_Poisoning
Uttaradit,350,77.62,0,0.00,0.00,450923,2020,Food_Poisoning
ZONE:03,2698,91.27,0,0.00,0.00,2956189,2020,Food_Poisoning
Chai Nat,179,55.15,0,0.00,0.00,324544,2020,Food_Poisoning
Kamphaeng Phet,730,101.39,0,0.00,0.00,719993,2020,Food_Poisoning
Nakhon Sawan,1077,102.56,0,0.00,0.00,1050098,2020,Food_Poisoning
Phichit,531,99.38,0,0.00,0.00,534311,2020,Food_Poisoning
Uthai Thani,181,55.31,0,0.00,0.00,327243,2020,Food_Poisoning
ZONE:04,4202,77.81,0,0.00,0.00,5400529,2020,Food_Poisoning
Ang Thong,135,48.54,0,0.00,0.00,278119,2020,Food_Poisoning
Lop Buri,355,47.38,0,0.00,0.00,749242,2020,Food_Poisoning
Nakhon Nayok,216,82.94,0,0.00,0.00,260416,2020,Food_Poisoning
Nonthaburi,1396,109.83,0,0.00,0.00,1271065,2020,Food_Poisoning
P.Nakhon S.Ayutthaya,948,115.66,0,0.00,0.00,819638,2020,Food_Poisoning
Pathum Thani,317,27.09,0,0.00,0.00,1170008,2020,Food_Poisoning
Saraburi,586,90.87,0,0.00,0.00,644869,2020,Food_Poisoning
Sing Buri,249,120.19,0,0.00,0.00,207172,2020,Food_Poisoning
ZONE:05,4520,84.61,0,0.00,0.00,5342038,2020,Food_Poisoning
Kanchanaburi,669,74.85,0,0.00,0.00,893751,2020,Food_Poisoning
Nakhon Pathom,564,61.28,0,0.00,0.00,920380,2020,Food_Poisoning
Phetchaburi,246,50.86,0,0.00,0.00,483692,2020,Food_Poisoning
Prachuap Khiri Khan,1017,184.11,0,0.00,0.00,552398,2020,Food_Poisoning
Ratchaburi,700,80.35,0,0.00,0.00,871207,2020,Food_Poisoning
Samut Sakhon,226,38.60,0,0.00,0.00,585451,2020,Food_Poisoning
Samut Songkhram,673,349.29,0,0.00,0.00,192678,2020,Food_Poisoning
Suphan Buri,425,50.45,0,0.00,0.00,842481,2020,Food_Poisoning
ZONE:06,6660,107.54,0,0.00,0.00,6192990,2020,Food_Poisoning
Chachoengsao,427,59.27,0,0.00,0.00,720416,2020,Food_Poisoning
Chanthaburi,985,183.55,0,0.00,0.00,536629,2020,Food_Poisoning
Chon Buri,1311,83.90,0,0.00,0.00,1562593,2020,Food_Poisoning
Prachin Buri,1159,234.53,0,0.00,0.00,494175,2020,Food_Poisoning
Rayong,1016,137.64,0,0.00,0.00,738139,2020,Food_Poisoning
Sa Kaeo,432,76.65,0,0.00,0.00,563614,2020,Food_Poisoning
Samut Prakan,912,67.65,0,0.00,0.00,1348177,2020,Food_Poisoning
Trat,418,182.34,0,0.00,0.00,229247,2020,Food_Poisoning
ZONE:07,13524,268.38,0,0.00,0.00,5039088,2020,Food_Poisoning
Kalasin,1019,103.95,0,0.00,0.00,980297,2020,Food_Poisoning
Khon Kaen,5046,280.54,0,0.00,0.00,1798702,2020,Food_Poisoning
Maha Sarakham,2439,254.55,0,0.00,0.00,958163,2020,Food_Poisoning
Roi Et,5020,385.58,0,0.00,0.00,1301926,2020,Food_Poisoning
ZONE:08,4595,82.93,0,0.00,0.00,5540556,2020,Food_Poisoning
Bungkan,158,37.35,0,0.00,0.00,423067,2020,Food_Poisoning
Loei,525,81.92,0,0.00,0.00,640843,2020,Food_Poisoning
Nakhon Phanom,768,106.94,0,0.00,0.00,718169,2020,Food_Poisoning
Nong Bua Lam Phu,298,58.30,0,0.00,0.00,511125,2020,Food_Poisoning
Nong Khai,893,171.77,0,0.00,0.00,519873,2020,Food_Poisoning
Sakon Nakhon,465,40.43,0,0.00,0.00,1150164,2020,Food_Poisoning
Udon Thani,1488,94.34,0,0.00,0.00,1577315,2020,Food_Poisoning
ZONE:09,11743,174.02,0,0.00,0.00,6748199,2020,Food_Poisoning
Buri Ram,3881,244.32,0,0.00,0.00,1588466,2020,Food_Poisoning
Chaiyaphum,1722,152.24,0,0.00,0.00,1131140,2020,Food_Poisoning
Nakhon Ratchasima,3455,130.82,0,0.00,0.00,2641067,2020,Food_Poisoning
Surin,2685,193.51,0,0.00,0.00,1387526,2020,Food_Poisoning
ZONE:10,13786,299.47,1,0.01,0.02,4603401,2020,Food_Poisoning
Amnat Charoen,921,244.09,0,0.00,0.00,377317,2020,Food_Poisoning
Mukdahan,1194,339.16,1,0.08,0.28,352043,2020,Food_Poisoning
Si Sa Ket,3616,246.70,0,0.00,0.00,1465719,2020,Food_Poisoning
Ubon Ratchathani,7350,392.54,0,0.00,0.00,1872422,2020,Food_Poisoning
Yasothon,705,131.55,0,0.00,0.00,535900,2020,Food_Poisoning
ZONE:11,2469,54.99,0,0.00,0.00,4489609,2020,Food_Poisoning
Chumphon,104,20.38,0,0.00,0.00,510256,2020,Food_Poisoning
Krabi,252,52.80,0,0.00,0.00,477254,2020,Food_Poisoning
Nakhon Si Thammarat,975,62.65,0,0.00,0.00,1556325,2020,Food_Poisoning
Phangnga,163,60.71,0,0.00,0.00,268509,2020,Food_Poisoning
Phuket,183,44.04,0,0.00,0.00,415527,2020,Food_Poisoning
Ranong,354,182.60,0,0.00,0.00,193871,2020,Food_Poisoning
Surat Thani,438,41.02,0,0.00,0.00,1067867,2020,Food_Poisoning
ZONE:12,1991,39.89,0,0.00,0.00,4991217,2020,Food_Poisoning
Narathiwat,120,14.88,0,0.00,0.00,806224,2020,Food_Poisoning
Pattani,179,24.67,0,0.00,0.00,725559,2020,Food_Poisoning
Phatthalung,119,22.71,0,0.00,0.00,523971,2020,Food_Poisoning
Satun,162,50.02,0,0.00,0.00,323841,2020,Food_Poisoning
Songkhla,935,65.28,0,0.00,0.00,1432288,2020,Food_Poisoning
Trang,376,58.58,0,0.00,0.00,641868,2020,Food_Poisoning
Yala,100,18.61,0,0.00,0.00,537466,2020,Food_Poisoning
ZONE:13,4742,84.27,0,0.00,0.00,5627243,2020,Food_Poisoning
Bangkok,4742,84.27,0,0.00,0.00,5627243,2020,Food_Poisoning
Total,109070,171.22,4,0.00,0.01,63701703,2010,Food_Poisoning
Central Region,21123,98.09,0,0.00,0.00,21534318,2010,Food_Poisoning
Zone:0,3273,57.40,0,0.00,0.00,5701995,2010,Food_Poisoning
Bangkok,3273,57.40,0,0.00,0.00,5701995,2010,Food_Poisoning
Zone:1,3228,93.44,0,0.00,0.00,3454591,2010,Food_Poisoning
Nonthaburi,979,89.82,0,0.00,0.00,1089908,2010,Food_Poisoning
P.Nakhon S.Ayutthaya,1461,187.64,0,0.00,0.00,778627,2010,Food_Poisoning
Pathum Thani,564,58.08,0,0.00,0.00,971010,2010,Food_Poisoning
Saraburi,224,36.42,0,0.00,0.00,615046,2010,Food_Poisoning
Zone:2,1539,96.78,0,0.00,0.00,1590200,2010,Food_Poisoning
Ang Thong,211,74.06,0,0.00,0.00,284889,2010,Food_Poisoning
Chai Nat,257,76.68,0,0.00,0.00,335177,2010,Food_Poisoning
Lop Buri,833,110.31,0,0.00,0.00,755153,2010,Food_Poisoning
Sing Buri,238,110.71,0,0.00,0.00,214981,2010,Food_Poisoning
Zone:3,4324,139.22,0,0.00,0.00,3105799,2010,Food_Poisoning
Chachoengsao,1051,156.53,0,0.00,0.00,671458,2010,Food_Poisoning
Nakhon Nayok,447,177.23,0,0.00,0.00,252209,2010,Food_Poisoning
Prachin Buri,1210,260.66,0,0.00,0.00,464213,2010,Food_Poisoning
Sa Kaeo,556,102.34,0,0.00,0.00,543276,2010,Food_Poisoning
Samut Prakan,1060,90.24,0,0.00,0.00,1174643,2010,Food_Poisoning
Zone:4,3129,92.72,0,0.00,0.00,3374810,2010,Food_Poisoning
Kanchanaburi,522,62.40,0,0.00,0.00,836600,2010,Food_Poisoning
Nakhon Pathom,923,107.85,0,0.00,0.00,855837,2010,Food_Poisoning
Ratchaburi,1013,121.01,0,0.00,0.00,837153,2010,Food_Poisoning
Suphan Buri,671,79.39,0,0.00,0.00,845220,2010,Food_Poisoning
Zone:5,1749,105.91,0,0.00,0.00,1651335,2010,Food_Poisoning
Phetchaburi,615,132.93,0,0.00,0.00,462636,2010,Food_Poisoning
Prachuap Khiri Khan,748,147.65,0,0.00,0.00,506599,2010,Food_Poisoning
Samut Sakhon,288,58.99,0,0.00,0.00,488247,2010,Food_Poisoning
Samut Songkhram,98,50.55,0,0.00,0.00,193853,2010,Food_Poisoning
Zone:9,3881,146.14,0,0.00,0.00,2655588,2010,Food_Poisoning
Chanthaburi,1012,197.30,0,0.00,0.00,512932,2010,Food_Poisoning
Chon Buri,1133,86.96,0,0.00,0.00,1302942,2010,Food_Poisoning
Rayong,1180,190.55,0,0.00,0.00,619249,2010,Food_Poisoning
Trat,556,252.19,0,0.00,0.00,220465,2010,Food_Poisoning
South Region,5327,60.17,0,0.00,0.00,8853473,2010,Food_Poisoning
Zone:6,1975,56.20,0,0.00,0.00,3514344,2010,Food_Poisoning
Chumphon,176,36.00,0,0.00,0.00,488855,2010,Food_Poisoning
Nakhon Si Thammarat,988,65.02,0,0.00,0.00,1519531,2010,Food_Poisoning
Phatthalung,265,52.10,0,0.00,0.00,508656,2010,Food_Poisoning
Surat Thani,546,54.75,0,0.00,0.00,997302,2010,Food_Poisoning
Zone:7,1417,77.62,0,0.00,0.00,1825591,2010,Food_Poisoning
Krabi,112,26.07,0,0.00,0.00,429631,2010,Food_Poisoning
Phangnga,352,139.47,0,0.00,0.00,252385,2010,Food_Poisoning
Phuket,553,162.41,0,0.00,0.00,340490,2010,Food_Poisoning
Ranong,103,56.46,0,0.00,0.00,182417,2010,Food_Poisoning
Trang,297,47.85,0,0.00,0.00,620668,2010,Food_Poisoning
Zone:8,1935,55.07,0,0.00,0.00,3513538,2010,Food_Poisoning
Narathiwat,154,21.02,0,0.00,0.00,732617,2010,Food_Poisoning
Pattani,248,38.07,0,0.00,0.00,651442,2010,Food_Poisoning
Satun,65,22.02,0,0.00,0.00,295133,2010,Food_Poisoning
Songkhla,1245,92.19,0,0.00,0.00,1350489,2010,Food_Poisoning
Yala,223,46.09,0,0.00,0.00,483857,2010,Food_Poisoning
North-Eastern Region,55252,256.57,1,0.00,0.00,21534582,2010,Food_Poisoning
Zone:10,7923,221.54,0,0.00,0.00,3576272,2010,Food_Poisoning
Loei,883,141.86,0,0.00,0.00,622424,2010,Food_Poisoning
Nong Bua Lam Phu,989,197.05,0,0.00,0.00,501891,2010,Food_Poisoning
Nong Khai,1481,162.73,0,0.00,0.00,910094,2010,Food_Poisoning
Udon Thani,4570,296.39,0,0.00,0.00,1541863,2010,Food_Poisoning
Zone:11,4734,219.01,0,0.00,0.00,2161531,2010,Food_Poisoning
Mukdahan,945,278.92,0,0.00,0.00,338812,2010,Food_Poisoning
Nakhon Phanom,2925,416.64,0,0.00,0.00,702041,2010,Food_Poisoning
Sakon Nakhon,864,77.10,0,0.00,0.00,1120678,2010,Food_Poisoning
Zone:12,15289,306.07,1,0.01,0.02,4995226,2010,Food_Poisoning
Kalasin,3315,337.79,1,0.03,0.10,981369,2010,Food_Poisoning
Khon Kaen,6658,377.24,0,0.00,0.00,1764922,2010,Food_Poisoning
Maha Sarakham,1567,166.70,0,0.00,0.00,940001,2010,Food_Poisoning
Roi Et,3749,286.42,0,0.00,0.00,1308934,2010,Food_Poisoning
Zone:13,13023,312.41,0,0.00,0.00,4168498,2010,Food_Poisoning
Amnat Charoen,1674,450.64,0,0.00,0.00,371471,2010,Food_Poisoning
Si Sa Ket,3624,250.03,0,0.00,0.00,1449409,2010,Food_Poisoning
