Areas,Age,Cases,Year,Disease
Total,Total,15197,2018,OtherSTI
ZONE:01,Total,2684,2018,OtherSTI
Chiang Mai,Total,1174,2018,OtherSTI
Chiang Rai,Total,659,2018,OtherSTI
Lampang,Total,95,2018,OtherSTI
Lamphun,Total,70,2018,OtherSTI
Mae Hong Son,Total,287,2018,OtherSTI
Nan,Total,265,2018,OtherSTI
Phayao,Total,101,2018,OtherSTI
Phrae,Total,33,2018,OtherSTI
ZONE:02,Total,967,2018,OtherSTI
Phetchabun,Total,476,2018,OtherSTI
Phitsanulok,Total,135,2018,OtherSTI
Sukhothai,Total,8,2018,OtherSTI
Tak,Total,309,2018,OtherSTI
Uttaradit,Total,39,2018,OtherSTI
ZONE:03,Total,529,2018,OtherSTI
Chai Nat,Total,11,2018,OtherSTI
Kamphaeng Phet,Total,226,2018,OtherSTI
Nakhon Sawan,Total,164,2018,OtherSTI
Phichit,Total,103,2018,OtherSTI
Uthai Thani,Total,25,2018,OtherSTI
ZONE:04,Total,891,2018,OtherSTI
Ang Thong,Total,8,2018,OtherSTI
Lop Buri,Total,235,2018,OtherSTI
Nakhon Nayok,Total,31,2018,OtherSTI
Nonthaburi,Total,53,2018,OtherSTI
P.Nakhon S.Ayutthaya,Total,159,2018,OtherSTI
Pathum Thani,Total,133,2018,OtherSTI
Saraburi,Total,174,2018,OtherSTI
Sing Buri,Total,98,2018,OtherSTI
ZONE:05,Total,405,2018,OtherSTI
Kanchanaburi,Total,158,2018,OtherSTI
Nakhon Pathom,Total,0,2018,OtherSTI
Phetchaburi,Total,53,2018,OtherSTI
Prachuap Khiri Khan,Total,59,2018,OtherSTI
Ratchaburi,Total,105,2018,OtherSTI
Samut Sakhon,Total,12,2018,OtherSTI
Samut Songkhram,Total,1,2018,OtherSTI
Suphan Buri,Total,17,2018,OtherSTI
ZONE:06,Total,1690,2018,OtherSTI
Chachoengsao,Total,235,2018,OtherSTI
Chanthaburi,Total,107,2018,OtherSTI
Chon Buri,Total,208,2018,OtherSTI
Prachin Buri,Total,309,2018,OtherSTI
Rayong,Total,232,2018,OtherSTI
Sa Kaeo,Total,58,2018,OtherSTI
Samut Prakan,Total,338,2018,OtherSTI
Trat,Total,203,2018,OtherSTI
ZONE:07,Total,740,2018,OtherSTI
Kalasin,Total,96,2018,OtherSTI
Khon Kaen,Total,404,2018,OtherSTI
Maha Sarakham,Total,117,2018,OtherSTI
Roi Et,Total,123,2018,OtherSTI
ZONE:08,Total,913,2018,OtherSTI
Bungkan,Total,64,2018,OtherSTI
Loei,Total,294,2018,OtherSTI
Nakhon Phanom,Total,163,2018,OtherSTI
Nong Bua Lam Phu,Total,19,2018,OtherSTI
Nong Khai,Total,16,2018,OtherSTI
Sakon Nakhon,Total,130,2018,OtherSTI
Udon Thani,Total,227,2018,OtherSTI
ZONE:09,Total,1317,2018,OtherSTI
Buri Ram,Total,547,2018,OtherSTI
Chaiyaphum,Total,361,2018,OtherSTI
Nakhon Ratchasima,Total,269,2018,OtherSTI
Surin,Total,140,2018,OtherSTI
ZONE:10,Total,1705,2018,OtherSTI
Amnat Charoen,Total,9,2018,OtherSTI
Mukdahan,Total,85,2018,OtherSTI
Si Sa Ket,Total,569,2018,OtherSTI
Ubon Ratchathani,Total,999,2018,OtherSTI
Yasothon,Total,43,2018,OtherSTI
ZONE:11,Total,745,2018,OtherSTI
Chumphon,Total,22,2018,OtherSTI
Krabi,Total,13,2018,OtherSTI
Nakhon Si Thammarat,Total,425,2018,OtherSTI
Phangnga,Total,10,2018,OtherSTI
Phuket,Total,68,2018,OtherSTI
Ranong,Total,1,2018,OtherSTI
Surat Thani,Total,206,2018,OtherSTI
ZONE:12,Total,729,2018,OtherSTI
Narathiwat,Total,105,2018,OtherSTI
Pattani,Total,17,2018,OtherSTI
Phatthalung,Total,99,2018,OtherSTI
Satun,Total,33,2018,OtherSTI
Songkhla,Total,162,2018,OtherSTI
Trang,Total,244,2018,OtherSTI
Yala,Total,69,2018,OtherSTI
ZONE:13,Total,1882,2018,OtherSTI
Bangkok,Total,1882,2018,OtherSTI
Total,0,4,2018,OtherSTI
ZONE:01,0,0,2018,OtherSTI
Chiang Mai,0,0,2018,OtherSTI
Chiang Rai,0,0,2018,OtherSTI
Lampang,0,0,2018,OtherSTI
Lamphun,0,0,2018,OtherSTI
Mae Hong Son,0,0,2018,OtherSTI
Nan,0,0,2018,OtherSTI
Phayao,0,0,2018,OtherSTI
Phrae,0,0,2018,OtherSTI
ZONE:02,0,0,2018,OtherSTI
Phetchabun,0,0,2018,OtherSTI
Phitsanulok,0,0,2018,OtherSTI
Sukhothai,0,0,2018,OtherSTI
Tak,0,0,2018,OtherSTI
Uttaradit,0,0,2018,OtherSTI
ZONE:03,0,0,2018,OtherSTI
Chai Nat,0,0,2018,OtherSTI
Kamphaeng Phet,0,0,2018,OtherSTI
Nakhon Sawan,0,0,2018,OtherSTI
Phichit,0,0,2018,OtherSTI
Uthai Thani,0,0,2018,OtherSTI
ZONE:04,0,0,2018,OtherSTI
Ang Thong,0,0,2018,OtherSTI
Lop Buri,0,0,2018,OtherSTI
Nakhon Nayok,0,0,2018,OtherSTI
Nonthaburi,0,0,2018,OtherSTI
P.Nakhon S.Ayutthaya,0,0,2018,OtherSTI
Pathum Thani,0,0,2018,OtherSTI
Saraburi,0,0,2018,OtherSTI
Sing Buri,0,0,2018,OtherSTI
ZONE:05,0,0,2018,OtherSTI
Kanchanaburi,0,0,2018,OtherSTI
Nakhon Pathom,0,0,2018,OtherSTI
Phetchaburi,0,0,2018,OtherSTI
Prachuap Khiri Khan,0,0,2018,OtherSTI
Ratchaburi,0,0,2018,OtherSTI
Samut Sakhon,0,0,2018,OtherSTI
Samut Songkhram,0,0,2018,OtherSTI
Suphan Buri,0,0,2018,OtherSTI
ZONE:06,0,0,2018,OtherSTI
Chachoengsao,0,0,2018,OtherSTI
Chanthaburi,0,0,2018,OtherSTI
Chon Buri,0,0,2018,OtherSTI
Prachin Buri,0,0,2018,OtherSTI
Rayong,0,0,2018,OtherSTI
Sa Kaeo,0,0,2018,OtherSTI
Samut Prakan,0,0,2018,OtherSTI
Trat,0,0,2018,OtherSTI
ZONE:07,0,0,2018,OtherSTI
Kalasin,0,0,2018,OtherSTI
Khon Kaen,0,0,2018,OtherSTI
Maha Sarakham,0,0,2018,OtherSTI
Roi Et,0,0,2018,OtherSTI
ZONE:08,0,0,2018,OtherSTI
Bungkan,0,0,2018,OtherSTI
Loei,0,0,2018,OtherSTI
Nakhon Phanom,0,0,2018,OtherSTI
Nong Bua Lam Phu,0,0,2018,OtherSTI
Nong Khai,0,0,2018,OtherSTI
Sakon Nakhon,0,0,2018,OtherSTI
Udon Thani,0,0,2018,OtherSTI
ZONE:09,0,0,2018,OtherSTI
Buri Ram,0,0,2018,OtherSTI
Chaiyaphum,0,0,2018,OtherSTI
Nakhon Ratchasima,0,0,2018,OtherSTI
Surin,0,0,2018,OtherSTI
ZONE:10,0,0,2018,OtherSTI
Amnat Charoen,0,0,2018,OtherSTI
Mukdahan,0,0,2018,OtherSTI
Si Sa Ket,0,0,2018,OtherSTI
Ubon Ratchathani,0,0,2018,OtherSTI
Yasothon,0,0,2018,OtherSTI
ZONE:11,0,0,2018,OtherSTI
Chumphon,0,0,2018,OtherSTI
Krabi,0,0,2018,OtherSTI
Nakhon Si Thammarat,0,0,2018,OtherSTI
Phangnga,0,0,2018,OtherSTI
Phuket,0,0,2018,OtherSTI
Ranong,0,0,2018,OtherSTI
Surat Thani,0,0,2018,OtherSTI
ZONE:12,0,0,2018,OtherSTI
Narathiwat,0,0,2018,OtherSTI
Pattani,0,0,2018,OtherSTI
Phatthalung,0,0,2018,OtherSTI
Satun,0,0,2018,OtherSTI
Songkhla,0,0,2018,OtherSTI
Trang,0,0,2018,OtherSTI
Yala,0,0,2018,OtherSTI
ZONE:13,0,4,2018,OtherSTI
Bangkok,0,4,2018,OtherSTI
Total,<1,60,2018,OtherSTI
ZONE:01,<1,14,2018,OtherSTI
Chiang Mai,<1,7,2018,OtherSTI
Chiang Rai,<1,5,2018,OtherSTI
Lampang,<1,0,2018,OtherSTI
Lamphun,<1,0,2018,OtherSTI
Mae Hong Son,<1,0,2018,OtherSTI
Nan,<1,1,2018,OtherSTI
Phayao,<1,0,2018,OtherSTI
Phrae,<1,1,2018,OtherSTI
ZONE:02,<1,1,2018,OtherSTI
Phetchabun,<1,1,2018,OtherSTI
Phitsanulok,<1,0,2018,OtherSTI
Sukhothai,<1,0,2018,OtherSTI
Tak,<1,0,2018,OtherSTI
Uttaradit,<1,0,2018,OtherSTI
ZONE:03,<1,2,2018,OtherSTI
Chai Nat,<1,0,2018,OtherSTI
Kamphaeng Phet,<1,1,2018,OtherSTI
Nakhon Sawan,<1,0,2018,OtherSTI
Phichit,<1,1,2018,OtherSTI
Uthai Thani,<1,0,2018,OtherSTI
ZONE:04,<1,4,2018,OtherSTI
Ang Thong,<1,0,2018,OtherSTI
Lop Buri,<1,0,2018,OtherSTI
Nakhon Nayok,<1,1,2018,OtherSTI
Nonthaburi,<1,1,2018,OtherSTI
P.Nakhon S.Ayutthaya,<1,0,2018,OtherSTI
Pathum Thani,<1,0,2018,OtherSTI
Saraburi,<1,1,2018,OtherSTI
Sing Buri,<1,1,2018,OtherSTI
ZONE:05,<1,2,2018,OtherSTI
Kanchanaburi,<1,0,2018,OtherSTI
Nakhon Pathom,<1,0,2018,OtherSTI
Phetchaburi,<1,0,2018,OtherSTI
Prachuap Khiri Khan,<1,0,2018,OtherSTI
Ratchaburi,<1,2,2018,OtherSTI
Samut Sakhon,<1,0,2018,OtherSTI
Samut Songkhram,<1,0,2018,OtherSTI
Suphan Buri,<1,0,2018,OtherSTI
ZONE:06,<1,3,2018,OtherSTI
Chachoengsao,<1,1,2018,OtherSTI
Chanthaburi,<1,0,2018,OtherSTI
Chon Buri,<1,0,2018,OtherSTI
Prachin Buri,<1,0,2018,OtherSTI
Rayong,<1,0,2018,OtherSTI
Sa Kaeo,<1,0,2018,OtherSTI
Samut Prakan,<1,2,2018,OtherSTI
Trat,<1,0,2018,OtherSTI
ZONE:07,<1,0,2018,OtherSTI
Kalasin,<1,0,2018,OtherSTI
Khon Kaen,<1,0,2018,OtherSTI
Maha Sarakham,<1,0,2018,OtherSTI
Roi Et,<1,0,2018,OtherSTI
ZONE:08,<1,0,2018,OtherSTI
Bungkan,<1,0,2018,OtherSTI
Loei,<1,0,2018,OtherSTI
Nakhon Phanom,<1,0,2018,OtherSTI
Nong Bua Lam Phu,<1,0,2018,OtherSTI
Nong Khai,<1,0,2018,OtherSTI
Sakon Nakhon,<1,0,2018,OtherSTI
Udon Thani,<1,0,2018,OtherSTI
ZONE:09,<1,2,2018,OtherSTI
Buri Ram,<1,0,2018,OtherSTI
Chaiyaphum,<1,1,2018,OtherSTI
Nakhon Ratchasima,<1,0,2018,OtherSTI
Surin,<1,1,2018,OtherSTI
ZONE:10,<1,6,2018,OtherSTI
Amnat Charoen,<1,0,2018,OtherSTI
Mukdahan,<1,0,2018,OtherSTI
Si Sa Ket,<1,1,2018,OtherSTI
Ubon Ratchathani,<1,5,2018,OtherSTI
Yasothon,<1,0,2018,OtherSTI
ZONE:11,<1,12,2018,OtherSTI
Chumphon,<1,0,2018,OtherSTI
Krabi,<1,0,2018,OtherSTI
Nakhon Si Thammarat,<1,12,2018,OtherSTI
Phangnga,<1,0,2018,OtherSTI
Phuket,<1,0,2018,OtherSTI
Ranong,<1,0,2018,OtherSTI
Surat Thani,<1,0,2018,OtherSTI
ZONE:12,<1,4,2018,OtherSTI
Narathiwat,<1,3,2018,OtherSTI
Pattani,<1,0,2018,OtherSTI
Phatthalung,<1,0,2018,OtherSTI
Satun,<1,0,2018,OtherSTI
Songkhla,<1,0,2018,OtherSTI
Trang,<1,1,2018,OtherSTI
Yala,<1,0,2018,OtherSTI
ZONE:13,<1,10,2018,OtherSTI
Bangkok,<1,10,2018,OtherSTI
Total,1-1,47,2018,OtherSTI
ZONE:01,1-1,11,2018,OtherSTI
Chiang Mai,1-1,8,2018,OtherSTI
Chiang Rai,1-1,0,2018,OtherSTI
Lampang,1-1,0,2018,OtherSTI
Lamphun,1-1,0,2018,OtherSTI
Mae Hong Son,1-1,1,2018,OtherSTI
Nan,1-1,2,2018,OtherSTI
Phayao,1-1,0,2018,OtherSTI
Phrae,1-1,0,2018,OtherSTI
ZONE:02,1-1,3,2018,OtherSTI
Phetchabun,1-1,0,2018,OtherSTI
Phitsanulok,1-1,1,2018,OtherSTI
Sukhothai,1-1,0,2018,OtherSTI
Tak,1-1,2,2018,OtherSTI
Uttaradit,1-1,0,2018,OtherSTI
ZONE:03,1-1,0,2018,OtherSTI
Chai Nat,1-1,0,2018,OtherSTI
Kamphaeng Phet,1-1,0,2018,OtherSTI
Nakhon Sawan,1-1,0,2018,OtherSTI
Phichit,1-1,0,2018,OtherSTI
Uthai Thani,1-1,0,2018,OtherSTI
ZONE:04,1-1,0,2018,OtherSTI
Ang Thong,1-1,0,2018,OtherSTI
Lop Buri,1-1,0,2018,OtherSTI
Nakhon Nayok,1-1,0,2018,OtherSTI
Nonthaburi,1-1,0,2018,OtherSTI
P.Nakhon S.Ayutthaya,1-1,0,2018,OtherSTI
Pathum Thani,1-1,0,2018,OtherSTI
Saraburi,1-1,0,2018,OtherSTI
Sing Buri,1-1,0,2018,OtherSTI
ZONE:05,1-1,1,2018,OtherSTI
Kanchanaburi,1-1,0,2018,OtherSTI
Nakhon Pathom,1-1,0,2018,OtherSTI
Phetchaburi,1-1,0,2018,OtherSTI
Prachuap Khiri Khan,1-1,0,2018,OtherSTI
Ratchaburi,1-1,1,2018,OtherSTI
Samut Sakhon,1-1,0,2018,OtherSTI
Samut Songkhram,1-1,0,2018,OtherSTI
Suphan Buri,1-1,0,2018,OtherSTI
ZONE:06,1-1,7,2018,OtherSTI
Chachoengsao,1-1,0,2018,OtherSTI
Chanthaburi,1-1,1,2018,OtherSTI
Chon Buri,1-1,0,2018,OtherSTI
Prachin Buri,1-1,1,2018,OtherSTI
Rayong,1-1,1,2018,OtherSTI
Sa Kaeo,1-1,0,2018,OtherSTI
Samut Prakan,1-1,3,2018,OtherSTI
Trat,1-1,1,2018,OtherSTI
ZONE:07,1-1,0,2018,OtherSTI
