Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,2,0.0,1,0.0,64955313,2014,Tetanus neonatorum
ZONE:00,0,0.0,0,0.0,5689268,2014,Tetanus neonatorum
Bangkok,0,0.0,0,0.0,5689268,2014,Tetanus neonatorum
ZONE:01,0,0.0,0,0.0,5704200,2014,Tetanus neonatorum
Chiang Mai,0,0.0,0,0.0,1672586,2014,Tetanus neonatorum
Chiang Rai,0,0.0,0,0.0,1206180,2014,Tetanus neonatorum
Lampang,0,0.0,0,0.0,753937,2014,Tetanus neonatorum
Lamphun,0,0.0,0,0.0,405368,2014,Tetanus neonatorum
Mae Hong Son,0,0.0,0,0.0,247364,2014,Tetanus neonatorum
Nan,0,0.0,0,0.0,478088,2014,Tetanus neonatorum
Phayao,0,0.0,0,0.0,485599,2014,Tetanus neonatorum
Phrae,0,0.0,0,0.0,455078,2014,Tetanus neonatorum
ZONE:02,0,0.0,0,0.0,3452021,2014,Tetanus neonatorum
Phetchabun,0,0.0,0,0.0,995102,2014,Tetanus neonatorum
Phitsanulok,0,0.0,0,0.0,857682,2014,Tetanus neonatorum
Sukhothai,0,0.0,0,0.0,602586,2014,Tetanus neonatorum
Tak,0,0.0,0,0.0,535953,2014,Tetanus neonatorum
Uttaradit,0,0.0,0,0.0,460698,2014,Tetanus neonatorum
ZONE:03,0,0.0,0,0.0,3012608,2014,Tetanus neonatorum
Chai Nat,0,0.0,0,0.0,332526,2014,Tetanus neonatorum
Kamphaeng Phet,0,0.0,0,0.0,729076,2014,Tetanus neonatorum
Nakhon Sawan,0,0.0,0,0.0,1072949,2014,Tetanus neonatorum
Phichit,0,0.0,0,0.0,548199,2014,Tetanus neonatorum
Uthai Thani,0,0.0,0,0.0,329858,2014,Tetanus neonatorum
ZONE:04,0,0.0,0,0.0,5171756,2014,Tetanus neonatorum
Ang Thong,0,0.0,0,0.0,283650,2014,Tetanus neonatorum
Lop Buri,0,0.0,0,0.0,758188,2014,Tetanus neonatorum
Nakhon Nayok,0,0.0,0,0.0,256693,2014,Tetanus neonatorum
Nonthaburi,0,0.0,0,0.0,1165070,2014,Tetanus neonatorum
P.Nakhon S.Ayutthaya,0,0.0,0,0.0,800785,2014,Tetanus neonatorum
Pathum Thani,0,0.0,0,0.0,1063608,2014,Tetanus neonatorum
Saraburi,0,0.0,0,0.0,631338,2014,Tetanus neonatorum
Sing Buri,0,0.0,0,0.0,212424,2014,Tetanus neonatorum
ZONE:05,2,0.04,1,0.02,5147569,2014,Tetanus neonatorum
Kanchanaburi,1,0.12,0,0.0,845540,2014,Tetanus neonatorum
Nakhon Pathom,0,0.0,0,0.0,886627,2014,Tetanus neonatorum
Phetchaburi,0,0.0,0,0.0,472640,2014,Tetanus neonatorum
Prachuap Khiri Khan,0,0.0,0,0.0,522689,2014,Tetanus neonatorum
Ratchaburi,0,0.0,0,0.0,851689,2014,Tetanus neonatorum
Samut Sakhon,1,0.19,1,0.19,525672,2014,Tetanus neonatorum
Samut Songkhram,0,0.0,0,0.0,194153,2014,Tetanus neonatorum
Suphan Buri,0,0.0,0,0.0,848559,2014,Tetanus neonatorum
ZONE:06,0,0.0,0,0.0,5797595,2014,Tetanus neonatorum
Chachoengsao,0,0.0,0,0.0,692852,2014,Tetanus neonatorum
Chanthaburi,0,0.0,0,0.0,525805,2014,Tetanus neonatorum
Chon Buri,0,0.0,0,0.0,1405889,2014,Tetanus neonatorum
Prachin Buri,0,0.0,0,0.0,477741,2014,Tetanus neonatorum
Rayong,0,0.0,0,0.0,667806,2014,Tetanus neonatorum
Sa Kaeo,0,0.0,0,0.0,551562,2014,Tetanus neonatorum
Samut Prakan,0,0.0,0,0.0,1251570,2014,Tetanus neonatorum
Trat,0,0.0,0,0.0,224370,2014,Tetanus neonatorum
ZONE:07,0,0.0,0,0.0,5037074,2014,Tetanus neonatorum
Kalasin,0,0.0,0,0.0,984468,2014,Tetanus neonatorum
Khon Kaen,0,0.0,0,0.0,1785852,2014,Tetanus neonatorum
Maha Sarakham,0,0.0,0,0.0,958116,2014,Tetanus neonatorum
Roi Et,0,0.0,0,0.0,1308638,2014,Tetanus neonatorum
ZONE:08,0,0.0,0,0.0,5490561,2014,Tetanus neonatorum
Bungkan,0,0.0,0,0.0,417401,2014,Tetanus neonatorum
Loei,0,0.0,0,0.0,633359,2014,Tetanus neonatorum
Nakhon Phanom,0,0.0,0,0.0,712101,2014,Tetanus neonatorum
Nong Bua Lam Phu,0,0.0,0,0.0,508001,2014,Tetanus neonatorum
Nong Khai,0,0.0,0,0.0,516101,2014,Tetanus neonatorum
Sakon Nakhon,0,0.0,0,0.0,1136466,2014,Tetanus neonatorum
Udon Thani,0,0.0,0,0.0,1567132,2014,Tetanus neonatorum
ZONE:09,0,0.0,0,0.0,6717984,2014,Tetanus neonatorum
Buri Ram,0,0.0,0,0.0,1576343,2014,Tetanus neonatorum
Chaiyaphum,0,0.0,0,0.0,1136386,2014,Tetanus neonatorum
Nakhon Ratchasima,0,0.0,0,0.0,2615340,2014,Tetanus neonatorum
Surin,0,0.0,0,0.0,1389915,2014,Tetanus neonatorum
ZONE:10,0,0.0,0,0.0,4564711,2014,Tetanus neonatorum
Amnat Charoen,0,0.0,0,0.0,375039,2014,Tetanus neonatorum
Mukdahan,0,0.0,0,0.0,345159,2014,Tetanus neonatorum
Si Sa Ket,0,0.0,0,0.0,1463620,2014,Tetanus neonatorum
Ubon Ratchathani,0,0.0,0,0.0,1840596,2014,Tetanus neonatorum
Yasothon,0,0.0,0,0.0,540297,2014,Tetanus neonatorum
ZONE:11,0,0.0,0,0.0,4344513,2014,Tetanus neonatorum
Chumphon,0,0.0,0,0.0,499435,2014,Tetanus neonatorum
Krabi,0,0.0,0,0.0,453850,2014,Tetanus neonatorum
Nakhon Si Thammarat,0,0.0,0,0.0,1544936,2014,Tetanus neonatorum
Phangnga,0,0.0,0,0.0,260395,2014,Tetanus neonatorum
Phuket,0,0.0,0,0.0,373943,2014,Tetanus neonatorum
Ranong,0,0.0,0,0.0,175933,2014,Tetanus neonatorum
Surat Thani,0,0.0,0,0.0,1036021,2014,Tetanus neonatorum
ZONE:12,0,0.0,0,0.0,4825453,2014,Tetanus neonatorum
Narathiwat,0,0.0,0,0.0,770472,2014,Tetanus neonatorum
Pattani,0,0.0,0,0.0,682512,2014,Tetanus neonatorum
Phatthalung,0,0.0,0,0.0,519220,2014,Tetanus neonatorum
Satun,0,0.0,0,0.0,311233,2014,Tetanus neonatorum
Songkhla,0,0.0,0,0.0,1395596,2014,Tetanus neonatorum
Trang,0,0.0,0,0.0,637395,2014,Tetanus neonatorum
Yala,0,0.0,0,0.0,509025,2014,Tetanus neonatorum
Total,0,0.0,0,0.0,65124716,2015,Tetanus neonatorum
ZONE:00,0,0.0,0,0.0,5692284,2015,Tetanus neonatorum
Bangkok,0,0.0,0,0.0,5692284,2015,Tetanus neonatorum
ZONE:01,0,0.0,0,0.0,5709443,2015,Tetanus neonatorum
Chiang Mai,0,0.0,0,0.0,1678284,2015,Tetanus neonatorum
Chiang Rai,0,0.0,0,0.0,1207699,2015,Tetanus neonatorum
Lampang,0,0.0,0,0.0,753013,2015,Tetanus neonatorum
Lamphun,0,0.0,0,0.0,405468,2015,Tetanus neonatorum
Mae Hong Son,0,0.0,0,0.0,248178,2015,Tetanus neonatorum
Nan,0,0.0,0,0.0,478264,2015,Tetanus neonatorum
Phayao,0,0.0,0,0.0,484454,2015,Tetanus neonatorum
Phrae,0,0.0,0,0.0,454083,2015,Tetanus neonatorum
ZONE:02,0,0.0,0,0.0,3457208,2015,Tetanus neonatorum
Phetchabun,0,0.0,0,0.0,995807,2015,Tetanus neonatorum
Phitsanulok,0,0.0,0,0.0,858988,2015,Tetanus neonatorum
Sukhothai,0,0.0,0,0.0,602460,2015,Tetanus neonatorum
Tak,0,0.0,0,0.0,539553,2015,Tetanus neonatorum
Uttaradit,0,0.0,0,0.0,460400,2015,Tetanus neonatorum
ZONE:03,0,0.0,0,0.0,3012283,2015,Tetanus neonatorum
Chai Nat,0,0.0,0,0.0,332283,2015,Tetanus neonatorum
Kamphaeng Phet,0,0.0,0,0.0,729522,2015,Tetanus neonatorum
Nakhon Sawan,0,0.0,0,0.0,1072756,2015,Tetanus neonatorum
Phichit,0,0.0,0,0.0,547543,2015,Tetanus neonatorum
Uthai Thani,0,0.0,0,0.0,330179,2015,Tetanus neonatorum
ZONE:04,0,0.0,0,0.0,5196419,2015,Tetanus neonatorum
Ang Thong,0,0.0,0,0.0,283568,2015,Tetanus neonatorum
Lop Buri,0,0.0,0,0.0,758406,2015,Tetanus neonatorum
Nakhon Nayok,0,0.0,0,0.0,257300,2015,Tetanus neonatorum
Nonthaburi,0,0.0,0,0.0,1173870,2015,Tetanus neonatorum
P.Nakhon S.Ayutthaya,0,0.0,0,0.0,803599,2015,Tetanus neonatorum
Pathum Thani,0,0.0,0,0.0,1074058,2015,Tetanus neonatorum
Saraburi,0,0.0,0,0.0,633460,2015,Tetanus neonatorum
Sing Buri,0,0.0,0,0.0,212158,2015,Tetanus neonatorum
ZONE:05,0,0.0,0,0.0,5166914,2015,Tetanus neonatorum
Kanchanaburi,0,0.0,0,0.0,848198,2015,Tetanus neonatorum
Nakhon Pathom,0,0.0,0,0.0,891071,2015,Tetanus neonatorum
Phetchaburi,0,0.0,0,0.0,474192,2015,Tetanus neonatorum
Prachuap Khiri Khan,0,0.0,0,0.0,525107,2015,Tetanus neonatorum
Ratchaburi,0,0.0,0,0.0,853217,2015,Tetanus neonatorum
Samut Sakhon,0,0.0,0,0.0,531887,2015,Tetanus neonatorum
Samut Songkhram,0,0.0,0,0.0,194189,2015,Tetanus neonatorum
Suphan Buri,0,0.0,0,0.0,849053,2015,Tetanus neonatorum
ZONE:06,0,0.0,0,0.0,5836407,2015,Tetanus neonatorum
Chachoengsao,0,0.0,0,0.0,695478,2015,Tetanus neonatorum
Chanthaburi,0,0.0,0,0.0,527350,2015,Tetanus neonatorum
Chon Buri,0,0.0,0,0.0,1421425,2015,Tetanus neonatorum
Prachin Buri,0,0.0,0,0.0,479314,2015,Tetanus neonatorum
Rayong,0,0.0,0,0.0,674393,2015,Tetanus neonatorum
Sa Kaeo,0,0.0,0,0.0,552187,2015,Tetanus neonatorum
Samut Prakan,0,0.0,0,0.0,1261530,2015,Tetanus neonatorum
Trat,0,0.0,0,0.0,224730,2015,Tetanus neonatorum
ZONE:07,0,0.0,0,0.0,5043862,2015,Tetanus neonatorum
Kalasin,0,0.0,0,0.0,984907,2015,Tetanus neonatorum
Khon Kaen,0,0.0,0,0.0,1790049,2015,Tetanus neonatorum
Maha Sarakham,0,0.0,0,0.0,960588,2015,Tetanus neonatorum
Roi Et,0,0.0,0,0.0,1308318,2015,Tetanus neonatorum
ZONE:08,0,0.0,0,0.0,5501453,2015,Tetanus neonatorum
Bungkan,0,0.0,0,0.0,418566,2015,Tetanus neonatorum
Loei,0,0.0,0,0.0,634513,2015,Tetanus neonatorum
Nakhon Phanom,0,0.0,0,0.0,713341,2015,Tetanus neonatorum
Nong Bua Lam Phu,0,0.0,0,0.0,508864,2015,Tetanus neonatorum
Nong Khai,0,0.0,0,0.0,517260,2015,Tetanus neonatorum
Sakon Nakhon,0,0.0,0,0.0,1138609,2015,Tetanus neonatorum
Udon Thani,0,0.0,0,0.0,1570300,2015,Tetanus neonatorum
ZONE:09,0,0.0,0,0.0,6728450,2015,Tetanus neonatorum
Buri Ram,0,0.0,0,0.0,1579248,2015,Tetanus neonatorum
Chaiyaphum,0,0.0,0,0.0,1137049,2015,Tetanus neonatorum
Nakhon Ratchasima,0,0.0,0,0.0,2620517,2015,Tetanus neonatorum
Surin,0,0.0,0,0.0,1391636,2015,Tetanus neonatorum
ZONE:10,0,0.0,0,0.0,4571489,2015,Tetanus neonatorum
Amnat Charoen,0,0.0,0,0.0,375380,2015,Tetanus neonatorum
Mukdahan,0,0.0,0,0.0,346016,2015,Tetanus neonatorum
Si Sa Ket,0,0.0,0,0.0,1465213,2015,Tetanus neonatorum
Ubon Ratchathani,0,0.0,0,0.0,1844669,2015,Tetanus neonatorum
Yasothon,0,0.0,0,0.0,540211,2015,Tetanus neonatorum
ZONE:11,0,0.0,0,0.0,4362467,2015,Tetanus neonatorum
Chumphon,0,0.0,0,0.0,500575,2015,Tetanus neonatorum
Krabi,0,0.0,0,0.0,456811,2015,Tetanus neonatorum
Nakhon Si Thammarat,0,0.0,0,0.0,1548028,2015,Tetanus neonatorum
Phangnga,0,0.0,0,0.0,261370,2015,Tetanus neonatorum
Phuket,0,0.0,0,0.0,378364,2015,Tetanus neonatorum
