Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,6709,10.61,0,0.00,0.00,63214022,2008,Measles
Central Region,2831,13.34,0,0.00,0.00,21226352,2008,Measles
Bangkok,705,12.34,0,0.00,0.00,5713566,2008,Measles
Zone:1,421,12.62,0,0.00,0.00,3335057,2008,Measles
Nonthaburi,72,6.93,0,0.00,0.00,1038392,2008,Measles
P.Nakhon S.Ayutthaya,129,16.86,0,0.00,0.00,764919,2008,Measles
Pathum Thani,141,15.44,0,0.00,0.00,913047,2008,Measles
Saraburi,79,12.77,0,0.00,0.00,618699,2008,Measles
Zone:2,106,6.67,0,0.00,0.00,1588582,2008,Measles
Ang Thong,14,4.92,0,0.00,0.00,284619,2008,Measles
Chai Nat,7,2.08,0,0.00,0.00,336550,2008,Measles
Lop Buri,73,9.71,0,0.00,0.00,751811,2008,Measles
Sing Buri,12,5.57,0,0.00,0.00,215602,2008,Measles
Zone:3,499,16.38,0,0.00,0.00,3046070,2008,Measles
Chachoengsao,164,24.78,0,0.00,0.00,661898,2008,Measles
Nakhon Nayok,11,4.41,0,0.00,0.00,249625,2008,Measles
Prachin Buri,88,19.25,0,0.00,0.00,457184,2008,Measles
Sa Kaeo,63,11.66,0,0.00,0.00,540281,2008,Measles
Samut Prakan,173,15.21,0,0.00,0.00,1137082,2008,Measles
Zone:4,381,11.36,0,0.00,0.00,3352570,2008,Measles
Kanchanaburi,86,10.26,0,0.00,0.00,838094,2008,Measles
Nakhon Pathom,83,9.91,0,0.00,0.00,837285,2008,Measles
Ratchaburi,160,19.19,0,0.00,0.00,833650,2008,Measles
Suphan Buri,52,6.16,0,0.00,0.00,843541,2008,Measles
Zone:5,141,8.69,0,0.00,0.00,1623176,2008,Measles
Phetchaburi,27,5.90,0,0.00,0.00,457518,2008,Measles
Prachuap Khiri Khan,16,3.22,0,0.00,0.00,497483,2008,Measles
Samut Sakhon,93,19.62,0,0.00,0.00,474041,2008,Measles
Samut Songkhram,5,2.58,0,0.00,0.00,194134,2008,Measles
Zone:9,578,22.51,0,0.00,0.00,2567331,2008,Measles
Chanthaburi,78,15.41,0,0.00,0.00,506012,2008,Measles
Chon Buri,340,27.22,0,0.00,0.00,1249067,2008,Measles
Rayong,126,21.32,0,0.00,0.00,591067,2008,Measles
Trat,34,15.37,0,0.00,0.00,221185,2008,Measles
South Region,1588,18.26,0,0.00,0.00,8698196,2008,Measles
Zone:6,199,5.73,0,0.00,0.00,3473895,2008,Measles
Chumphon,40,8.28,0,0.00,0.00,483011,2008,Measles
Nakhon Si Thammarat,57,3.77,0,0.00,0.00,1510081,2008,Measles
Phatthalung,33,6.55,0,0.00,0.00,503847,2008,Measles
Surat Thani,69,7.06,0,0.00,0.00,976956,2008,Measles
Zone:7,133,7.48,0,0.00,0.00,1778692,2008,Measles
Krabi,19,4.58,0,0.00,0.00,414670,2008,Measles
Phangnga,18,7.25,0,0.00,0.00,248411,2008,Measles
Phuket,58,18.05,0,0.00,0.00,321252,2008,Measles
Ranong,19,10.45,0,0.00,0.00,181758,2008,Measles
Trang,19,3.10,0,0.00,0.00,612601,2008,Measles
Zone:8,1256,36.45,0,0.00,0.00,3445609,2008,Measles
Narathiwat,605,84.53,0,0.00,0.00,715724,2008,Measles
Pattani,276,43.13,0,0.00,0.00,639988,2008,Measles
Satun,39,13.62,0,0.00,0.00,286446,2008,Measles
Songkhla,148,11.12,0,0.00,0.00,1330342,2008,Measles
Yala,188,39.74,0,0.00,0.00,473109,2008,Measles
North-Eastern Region,755,3.53,0,0.00,0.00,21414180,2008,Measles
Zone:10,41,1.15,0,0.00,0.00,3553449,2008,Measles
Loei,9,1.46,0,0.00,0.00,616981,2008,Measles
Nong Bua Lam Phu,2,0.40,0,0.00,0.00,498562,2008,Measles
Nong Khai,10,1.11,0,0.00,0.00,904748,2008,Measles
Udon Thani,20,1.30,0,0.00,0.00,1533158,2008,Measles
Zone:11,29,1.35,0,0.00,0.00,2149587,2008,Measles
Mukdahan,5,1.48,0,0.00,0.00,336802,2008,Measles
Nakhon Phanom,4,0.57,0,0.00,0.00,698235,2008,Measles
Sakon Nakhon,20,1.79,0,0.00,0.00,1114550,2008,Measles
Zone:12,131,2.63,0,0.00,0.00,4976635,2008,Measles
Kalasin,19,1.94,0,0.00,0.00,978046,2008,Measles
Khon Kaen,76,4.33,0,0.00,0.00,1754258,2008,Measles
Maha Sarakham,29,3.10,0,0.00,0.00,936430,2008,Measles
Roi Et,7,0.54,0,0.00,0.00,1307901,2008,Measles
Zone:13,128,3.09,0,0.00,0.00,4141403,2008,Measles
Amnat Charoen,12,3.25,0,0.00,0.00,369196,2008,Measles
Si Sa Ket,57,3.95,0,0.00,0.00,1442212,2008,Measles
Ubon Ratchathani,42,2.35,0,0.00,0.00,1790581,2008,Measles
Yasothon,17,3.15,0,0.00,0.00,539414,2008,Measles
Zone:14,426,6.46,0,0.00,0.00,6593106,2008,Measles
Buri Ram,85,5.52,0,0.00,0.00,1538861,2008,Measles
Chaiyaphum,27,2.41,0,0.00,0.00,1121123,2008,Measles
Nakhon Ratchasima,273,10.67,0,0.00,0.00,2559006,2008,Measles
Surin,41,2.98,0,0.00,0.00,1374116,2008,Measles
North Region,1535,12.93,0,0.00,0.00,11875294,2008,Measles
Zone:15,768,24.81,0,0.00,0.00,3095362,2008,Measles
Chiang Mai,678,40.66,0,0.00,0.00,1667358,2008,Measles
Lampang,13,1.69,0,0.00,0.00,769115,2008,Measles
Lamphun,42,10.37,0,0.00,0.00,405141,2008,Measles
Mae Hong Son,35,13.79,0,0.00,0.00,253748,2008,Measles
Zone:16,191,7.20,0,0.00,0.00,2654508,2008,Measles
Chiang Rai,50,4.08,0,0.00,0.00,1226165,2008,Measles
Nan,47,9.86,0,0.00,0.00,476683,2008,Measles
Phayao,24,4.93,0,0.00,0.00,486983,2008,Measles
Phrae,70,15.06,0,0.00,0.00,464677,2008,Measles
Zone:17,314,9.12,0,0.00,0.00,3443651,2008,Measles
Phetchabun,90,9.03,0,0.00,0.00,996882,2008,Measles
Phitsanulok,33,3.92,0,0.00,0.00,842840,2008,Measles
Sukhothai,23,3.80,0,0.00,0.00,604559,2008,Measles
Tak,102,19.08,0,0.00,0.00,534629,2008,Measles
Uttaradit,66,14.20,0,0.00,0.00,464741,2008,Measles
Zone:18,262,9.77,0,0.00,0.00,2681773,2008,Measles
Kamphaeng Phet,70,9.64,0,0.00,0.00,726104,2008,Measles
Nakhon Sawan,163,15.18,0,0.00,0.00,1073962,2008,Measles
Phichit,16,2.89,0,0.00,0.00,554426,2008,Measles
Uthai Thani,13,3.97,0,0.00,0.00,327281,2008,Measles
Total,3328,5.35,0,0.00,0.00,62195878,2005,Measles
North Region,714,6.02,0,0.00,0.00,11862916,2005,Measles
Zone:1,351,6.13,0,0.00,0.00,5729312,2005,Measles
Chiang Mai,106,6.46,0,0.00,0.00,1640390,2005,Measles
Chiang Rai,31,2.54,0,0.00,0.00,1219732,2005,Measles
Lampang,18,2.31,0,0.00,0.00,777827,2005,Measles
Lamphun,9,2.22,0,0.00,0.00,404754,2005,Measles
Mae Hong Son,138,55.49,0,0.00,0.00,248672,2005,Measles
Nan,7,1.46,0,0.00,0.00,477917,2005,Measles
Phayao,13,2.67,0,0.00,0.00,487616,2005,Measles
Phrae,29,6.14,0,0.00,0.00,472404,2005,Measles
Zone:2,244,7.09,0,0.00,0.00,3442642,2005,Measles
Phetchabun,64,6.39,0,0.00,0.00,1001820,2005,Measles
Phitsanulok,33,3.92,0,0.00,0.00,841248,2005,Measles
Sukhothai,37,6.06,0,0.00,0.00,610871,2005,Measles
Tak,95,18.30,0,0.00,0.00,519037,2005,Measles
Uttaradit,15,3.19,0,0.00,0.00,469666,2005,Measles
Zone:3,119,4.42,0,0.00,0.00,2690962,2005,Measles
Kamphaeng Phet,23,3.16,0,0.00,0.00,727351,2005,Measles
Nakhon Sawan,64,5.94,0,0.00,0.00,1077634,2005,Measles
Phichit,21,3.75,0,0.00,0.00,559611,2005,Measles
Uthai Thani,11,3.37,0,0.00,0.00,326366,2005,Measles
Central Region,1182,5.75,0,0.00,0.00,20560399,2005,Measles
Bangkok,201,3.56,0,0.00,0.00,5646543,2005,Measles
Zone:4,99,3.56,0,0.00,0.00,2777019,2005,Measles
Ang Thong,2,0.71,0,0.00,0.00,283373,2005,Measles
Nonthaburi,46,4.81,0,0.00,0.00,957287,2005,Measles
P.Nakhon S.Ayutthaya,35,4.71,0,0.00,0.00,743659,2005,Measles
Pathum Thani,16,2.02,0,0.00,0.00,792700,2005,Measles
Zone:5,65,3.40,0,0.00,0.00,1909368,2005,Measles
Chai Nat,13,3.81,0,0.00,0.00,340812,2005,Measles
Lop Buri,22,2.93,0,0.00,0.00,750718,2005,Measles
Saraburi,26,4.34,0,0.00,0.00,598905,2005,Measles
Sing Buri,4,1.83,0,0.00,0.00,218933,2005,Measles
Zone:6,246,7.49,0,0.00,0.00,3282327,2005,Measles
Kanchanaburi,107,13.08,0,0.00,0.00,818218,2005,Measles
Nakhon Pathom,60,7.47,0,0.00,0.00,803489,2005,Measles
Ratchaburi,36,4.39,0,0.00,0.00,819286,2005,Measles
Suphan Buri,43,5.11,0,0.00,0.00,841334,2005,Measles
Zone:7,55,3.48,0,0.00,0.00,1578246,2005,Measles
Phetchaburi,11,2.43,0,0.00,0.00,452506,2005,Measles
Prachuap Khiri Khan,8,1.66,0,0.00,0.00,483243,2005,Measles
Samut Sakhon,29,6.48,0,0.00,0.00,447353,2005,Measles
Samut Songkhram,7,3.59,0,0.00,0.00,195144,2005,Measles
Zone:8,200,6.80,0,0.00,0.00,2943051,2005,Measles
Chachoengsao,58,8.98,0,0.00,0.00,645521,2005,Measles
Nakhon Nayok,9,3.60,0,0.00,0.00,249686,2005,Measles
Prachin Buri,13,2.90,0,0.00,0.00,447783,2005,Measles
Sa Kaeo,34,6.34,0,0.00,0.00,536591,2005,Measles
Samut Prakan,86,8.09,0,0.00,0.00,1063470,2005,Measles
Zone:9,316,13.04,0,0.00,0.00,2423845,2005,Measles
Chanthaburi,148,29.83,0,0.00,0.00,496081,2005,Measles
Chon Buri,37,3.20,0,0.00,0.00,1157709,2005,Measles
Rayong,74,13.42,0,0.00,0.00,551512,2005,Measles
Trat,57,26.08,0,0.00,0.00,218543,2005,Measles
North-Eastern Region,732,3.44,0,0.00,0.00,21297778,2005,Measles
Zone:10,113,3.21,0,0.00,0.00,3524138,2005,Measles
Loei,29,4.74,0,0.00,0.00,611448,2005,Measles
Nong Bua Lam Phu,24,4.84,0,0.00,0.00,495626,2005,Measles
Nong Khai,20,2.23,0,0.00,0.00,895911,2005,Measles
Udon Thani,40,2.63,0,0.00,0.00,1521153,2005,Measles
Zone:11,148,4.77,0,0.00,0.00,3101003,2005,Measles
Kalasin,45,4.63,0,0.00,0.00,972425,2005,Measles
Mukdahan,7,2.10,0,0.00,0.00,333338,2005,Measles
Nakhon Phanom,23,3.32,0,0.00,0.00,692377,2005,Measles
Sakon Nakhon,73,6.62,0,0.00,0.00,1102863,2005,Measles
Zone:12,69,1.73,0,0.00,0.00,3991075,2005,Measles
Khon Kaen,42,2.41,0,0.00,0.00,1744646,2005,Measles
Maha Sarakham,17,1.82,0,0.00,0.00,935967,2005,Measles
Roi Et,10,0.76,0,0.00,0.00,1310462,2005,Measles
Zone:13,235,3.58,0,0.00,0.00,6560991,2005,Measles
Buri Ram,18,1.18,0,0.00,0.00,1527846,2005,Measles
Chaiyaphum,29,2.60,0,0.00,0.00,1117026,2005,Measles
Nakhon Ratchasima,133,5.23,0,0.00,0.00,2543054,2005,Measles
Surin,55,4.01,0,0.00,0.00,1373065,2005,Measles
Zone:14,167,4.05,0,0.00,0.00,4120571,2005,Measles
Amnat Charoen,23,6.25,0,0.00,0.00,368153,2005,Measles
Si Sa Ket,46,3.19,0,0.00,0.00,1442190,2005,Measles
Ubon Ratchathani,71,4.01,0,0.00,0.00,1768935,2005,Measles
Yasothon,27,4.99,0,0.00,0.00,541293,2005,Measles
South Region,700,8.26,0,0.00,0.00,8474785,2005,Measles
Zone:15,91,5.71,0,0.00,0.00,1593965,2005,Measles
Chumphon,19,4.01,0,0.00,0.00,473916,2005,Measles
Ranong,35,19.75,0,0.00,0.00,177247,2005,Measles
Surat Thani,37,3.92,0,0.00,0.00,942802,2005,Measles
Zone:16,109,4.19,0,0.00,0.00,2600847,2005,Measles
Nakhon Si Thammarat,45,3.00,0,0.00,0.00,1502382,2005,Measles
Phatthalung,25,5.01,0,0.00,0.00,499399,2005,Measles
Trang,39,6.51,0,0.00,0.00,599066,2005,Measles
Zone:17,41,4.45,0,0.00,0.00,921037,2005,Measles
Krabi,21,5.36,0,0.00,0.00,391709,2005,Measles
Phangnga,6,2.50,0,0.00,0.00,240254,2005,Measles
Phuket,14,4.84,0,0.00,0.00,289074,2005,Measles
Zone:18,376,20.99,0,0.00,0.00,1791264,2005,Measles
Narathiwat,151,21.66,0,0.00,0.00,697150,2005,Measles
Pattani,174,27.53,0,0.00,0.00,632119,2005,Measles
Yala,51,11.04,0,0.00,0.00,461995,2005,Measles
Zone:19,83,5.29,0,0.00,0.00,1567672,2005,Measles
Satun,35,12.69,0,0.00,0.00,275706,2005,Measles
Songkhla,48,3.72,0,0.00,0.00,1291966,2005,Measles
Total,5637,8.50,11,0.20,0.02,66301242,2018,Measles
ZONE:01,251,4.27,0,0.00,0.00,5878537,2018,Measles
Chiang Mai,214,12.19,0,0.00,0.00,1755291,2018,Measles
Chiang Rai,9,0.70,0,0.00,0.00,1289873,2018,Measles
Lampang,2,0.27,0,0.00,0.00,744714,2018,Measles
Lamphun,9,2.22,0,0.00,0.00,405936,2018,Measles
Mae Hong Son,5,1.78,0,0.00,0.00,280826,2018,Measles
Nan,7,1.46,0,0.00,0.00,479414,2018,Measles
Phayao,1,0.21,0,0.00,0.00,476157,2018,Measles
Phrae,4,0.90,0,0.00,0.00,446326,2018,Measles
ZONE:02,163,4.57,0,0.00,0.00,3565071,2018,Measles
Phetchabun,0,0.00,0,0.00,0.00,994936,2018,Measles
Phitsanulok,13,1.50,0,0.00,0.00,866129,2018,Measles
Sukhothai,15,2.51,0,0.00,0.00,598287,2018,Measles
Tak,129,19.86,0,0.00,0.00,649472,2018,Measles
Uttaradit,6,1.32,0,0.00,0.00,456247,2018,Measles
ZONE:03,38,1.27,0,0.00,0.00,2992420,2018,Measles
Chai Nat,16,4.86,0,0.00,0.00,328993,2018,Measles
Kamphaeng Phet,5,0.69,0,0.00,0.00,728470,2018,Measles
Nakhon Sawan,12,1.13,0,0.00,0.00,1064649,2018,Measles
Phichit,2,0.37,0,0.00,0.00,540620,2018,Measles
Uthai Thani,3,0.91,0,0.00,0.00,329688,2018,Measles
ZONE:04,140,2.62,0,0.00,0.00,5343264,2018,Measles
Ang Thong,8,2.85,0,0.00,0.00,281014,2018,Measles
Lop Buri,20,2.64,0,0.00,0.00,758003,2018,Measles
Nakhon Nayok,1,0.39,0,0.00,0.00,259718,2018,Measles
Nonthaburi,26,2.10,0,0.00,0.00,1238015,2018,Measles
P.Nakhon S.Ayutthaya,17,2.08,0,0.00,0.00,815647,2018,Measles
Pathum Thani,68,5.98,0,0.00,0.00,1137603,2018,Measles
Saraburi,0,0.00,0,0.00,0.00,643531,2018,Measles
Sing Buri,0,0.00,0,0.00,0.00,209733,2018,Measles
ZONE:05,452,8.49,0,0.00,0.00,5324608,2018,Measles
Kanchanaburi,62,6.96,0,0.00,0.00,890565,2018,Measles
Nakhon Pathom,34,3.72,0,0.00,0.00,914273,2018,Measles
Phetchaburi,87,18.00,0,0.00,0.00,483335,2018,Measles
Prachuap Khiri Khan,113,20.68,0,0.00,0.00,546396,2018,Measles
Ratchaburi,12,1.38,0,0.00,0.00,872615,2018,Measles
Samut Sakhon,102,17.79,0,0.00,0.00,573215,2018,Measles
Samut Songkhram,8,4.13,0,0.00,0.00,193847,2018,Measles
Suphan Buri,34,4.00,0,0.00,0.00,850362,2018,Measles
ZONE:06,419,6.88,0,0.00,0.00,6088563,2018,Measles
Chachoengsao,27,3.79,0,0.00,0.00,712449,2018,Measles
Chanthaburi,56,10.46,0,0.00,0.00,535478,2018,Measles
Chon Buri,127,8.34,0,0.00,0.00,1522285,2018,Measles
Prachin Buri,20,4.09,0,0.00,0.00,489592,2018,Measles
Rayong,45,6.27,0,0.00,0.00,717276,2018,Measles
Sa Kaeo,25,4.44,0,0.00,0.00,563014,2018,Measles
Samut Prakan,112,8.49,0,0.00,0.00,1318687,2018,Measles
Trat,7,3.05,0,0.00,0.00,229782,2018,Measles
ZONE:07,108,2.13,0,0.00,0.00,5062199,2018,Measles
Kalasin,8,0.81,0,0.00,0.00,985676,2018,Measles
Khon Kaen,77,4.26,0,0.00,0.00,1805903,2018,Measles
Maha Sarakham,5,0.52,0,0.00,0.00,963060,2018,Measles
Roi Et,18,1.38,0,0.00,0.00,1307560,2018,Measles
ZONE:08,94,1.69,0,0.00,0.00,5553738,2018,Measles
Bungkan,0,0.00,0,0.00,0.00,423485,2018,Measles
Loei,58,9.03,0,0.00,0.00,642220,2018,Measles
Nakhon Phanom,26,3.62,0,0.00,0.00,718406,2018,Measles
Nong Bua Lam Phu,2,0.39,0,0.00,0.00,511878,2018,Measles
Nong Khai,2,0.38,0,0.00,0.00,521995,2018,Measles
Sakon Nakhon,0,0.00,0,0.00,0.00,1150876,2018,Measles
Udon Thani,6,0.38,0,0.00,0.00,1584878,2018,Measles
ZONE:09,164,2.42,0,0.00,0.00,6772779,2018,Measles
Buri Ram,26,1.63,0,0.00,0.00,1593378,2018,Measles
Chaiyaphum,24,2.11,0,0.00,0.00,1139067,2018,Measles
Nakhon Ratchasima,86,3.25,0,0.00,0.00,2642815,2018,Measles
Surin,28,2.00,0,0.00,0.00,1397519,2018,Measles
ZONE:10,225,4.88,0,0.00,0.00,4613643,2018,Measles
Amnat Charoen,39,10.31,0,0.00,0.00,378363,2018,Measles
Mukdahan,2,0.57,0,0.00,0.00,351532,2018,Measles
Si Sa Ket,27,1.83,0,0.00,0.00,1472521,2018,Measles
Ubon Ratchathani,116,6.20,0,0.00,0.00,1872091,2018,Measles
Yasothon,41,7.60,0,0.00,0.00,539136,2018,Measles
ZONE:11,111,2.49,0,0.00,0.00,4466673,2018,Measles
Chumphon,10,1.96,0,0.00,0.00,510307,2018,Measles
Krabi,3,0.64,0,0.00,0.00,471754,2018,Measles
Nakhon Si Thammarat,42,2.69,0,0.00,0.00,1558958,2018,Measles
Phangnga,3,1.12,0,0.00,0.00,267866,2018,Measles
Phuket,34,8.37,0,0.00,0.00,406113,2018,Measles
Ranong,0,0.00,0,0.00,0.00,191134,2018,Measles
Surat Thani,19,1.79,0,0.00,0.00,1060541,2018,Measles
ZONE:12,2730,55.04,11,0.40,0.22,4960215,2018,Measles
Narathiwat,355,44.41,1,0.28,0.13,799357,2018,Measles
Pattani,1001,140.21,0,0.00,0.00,713937,2018,Measles
Phatthalung,4,0.76,0,0.00,0.00,524951,2018,Measles
Satun,4,1.25,0,0.00,0.00,320637,2018,Measles
Songkhla,260,18.20,0,0.00,0.00,1428429,2018,Measles
Trang,17,2.64,0,0.00,0.00,643093,2018,Measles
Yala,1089,205.54,10,0.92,1.89,529811,2018,Measles
ZONE:13,742,13.06,0,0.00,0.00,5679532,2018,Measles
Bangkok,742,13.06,0,0.00,0.00,5679532,2018,Measles
Total,5370,8.46,0,0.00,0.00,63457439,2009,Measles
Central Region,2508,11.73,0,0.00,0.00,21386001,2009,Measles
Bangkok,556,9.74,0,0.00,0.00,5706739,2009,Measles
Zone:1,308,9.07,0,0.00,0.00,3397461,2009,Measles
Nonthaburi,106,9.95,0,0.00,0.00,1065332,2009,Measles
P.Nakhon S.Ayutthaya,74,9.58,0,0.00,0.00,772142,2009,Measles
Pathum Thani,65,6.89,0,0.00,0.00,942813,2009,Measles
Saraburi,63,10.21,0,0.00,0.00,617174,2009,Measles
Zone:2,58,3.65,0,0.00,0.00,1590058,2009,Measles
Ang Thong,13,4.56,0,0.00,0.00,284819,2009,Measles
Chai Nat,7,2.09,0,0.00,0.00,335686,2009,Measles
Lop Buri,31,4.11,0,0.00,0.00,754127,2009,Measles
Sing Buri,7,3.25,0,0.00,0.00,215426,2009,Measles
Zone:3,463,15.05,0,0.00,0.00,3076347,2009,Measles
Chachoengsao,84,12.60,0,0.00,0.00,666907,2009,Measles
Nakhon Nayok,11,4.38,0,0.00,0.00,251219,2009,Measles
Prachin Buri,117,25.40,0,0.00,0.00,460617,2009,Measles
Sa Kaeo,59,10.89,0,0.00,0.00,541939,2009,Measles
Samut Prakan,192,16.61,0,0.00,0.00,1155665,2009,Measles
Zone:4,238,7.07,0,0.00,0.00,3364769,2009,Measles
Kanchanaburi,99,11.83,0,0.00,0.00,837165,2009,Measles
Nakhon Pathom,55,6.49,0,0.00,0.00,847513,2009,Measles
Ratchaburi,51,6.10,0,0.00,0.00,835546,2009,Measles
Suphan Buri,33,3.91,0,0.00,0.00,844545,2009,Measles
Zone:5,258,15.76,0,0.00,0.00,1637557,2009,Measles
Phetchaburi,41,8.91,0,0.00,0.00,460108,2009,Measles
Prachuap Khiri Khan,15,2.99,0,0.00,0.00,502221,2009,Measles
Samut Sakhon,197,40.92,0,0.00,0.00,481377,2009,Measles
Samut Songkhram,5,2.58,0,0.00,0.00,193851,2009,Measles
Zone:9,627,23.99,0,0.00,0.00,2613070,2009,Measles
Chanthaburi,45,8.83,0,0.00,0.00,509633,2009,Measles
Chon Buri,502,39.31,0,0.00,0.00,1277139,2009,Measles
Rayong,66,10.90,0,0.00,0.00,605380,2009,Measles
Trat,14,6.34,0,0.00,0.00,220918,2009,Measles
South Region,864,9.84,0,0.00,0.00,8777720,2009,Measles
Zone:6,104,2.97,0,0.00,0.00,3496373,2009,Measles
Chumphon,6,1.23,0,0.00,0.00,486233,2009,Measles
Nakhon Si Thammarat,39,2.57,0,0.00,0.00,1514832,2009,Measles
Phatthalung,19,3.75,0,0.00,0.00,506454,2009,Measles
Surat Thani,40,4.05,0,0.00,0.00,988854,2009,Measles
Zone:7,125,6.93,0,0.00,0.00,1803902,2009,Measles
Krabi,32,7.57,0,0.00,0.00,422631,2009,Measles
Phangnga,21,8.37,0,0.00,0.00,250796,2009,Measles
Phuket,50,15.08,0,0.00,0.00,331460,2009,Measles
Ranong,9,4.94,0,0.00,0.00,182242,2009,Measles
Trang,13,2.11,0,0.00,0.00,616773,2009,Measles
Zone:8,635,18.26,0,0.00,0.00,3477445,2009,Measles
Narathiwat,258,35.64,0,0.00,0.00,724001,2009,Measles
Pattani,209,32.41,0,0.00,0.00,644897,2009,Measles
Satun,20,6.88,0,0.00,0.00,290755,2009,Measles
Songkhla,51,3.81,0,0.00,0.00,1339861,2009,Measles
Yala,97,20.30,0,0.00,0.00,477931,2009,Measles
North-Eastern Region,947,4.41,0,0.00,0.00,21469269,2009,Measles
Zone:10,89,2.50,0,0.00,0.00,3564168,2009,Measles
Loei,11,1.78,0,0.00,0.00,619602,2009,Measles
Nong Bua Lam Phu,1,0.20,0,0.00,0.00,500217,2009,Measles
Nong Khai,37,4.08,0,0.00,0.00,907064,2009,Measles
Udon Thani,40,2.60,0,0.00,0.00,1537285,2009,Measles
Zone:11,20,0.93,0,0.00,0.00,2155042,2009,Measles
Mukdahan,2,0.59,0,0.00,0.00,337773,2009,Measles
Nakhon Phanom,6,0.86,0,0.00,0.00,700027,2009,Measles
Sakon Nakhon,12,1.07,0,0.00,0.00,1117242,2009,Measles
Zone:12,203,4.07,0,0.00,0.00,4984201,2009,Measles
Kalasin,23,2.35,0,0.00,0.00,979371,2009,Measles
Khon Kaen,111,6.31,0,0.00,0.00,1759172,2009,Measles
Maha Sarakham,58,6.18,0,0.00,0.00,937972,2009,Measles
Roi Et,11,0.84,0,0.00,0.00,1307686,2009,Measles
Zone:13,109,2.62,0,0.00,0.00,4152834,2009,Measles
Amnat Charoen,6,1.62,0,0.00,0.00,370141,2009,Measles
