Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,63094,100.26,1,0.0,62933515,2007,Chickenpox
North Region,17994,151.45,0,0.0,11881352,2007,Chickenpox
Zone:1,11126,193.49,0,0.0,5750312,2007,Chickenpox
Chiang Mai,2528,152.17,0,0.0,1661349,2007,Chickenpox
Chiang Rai,2409,196.59,0,0.0,1225364,2007,Chickenpox
Lampang,1412,182.85,0,0.0,772202,2007,Chickenpox
Lamphun,585,144.32,0,0.0,405361,2007,Chickenpox
Mae Hong Son,423,165.89,0,0.0,254990,2007,Chickenpox
Nan,1429,299.25,0,0.0,477522,2007,Chickenpox
Phayao,1551,318.87,0,0.0,486399,2007,Chickenpox
Phrae,789,168.91,0,0.0,467125,2007,Chickenpox
Zone:2,3656,106.1,0,0.0,3445764,2007,Chickenpox
Phetchabun,725,72.51,0,0.0,999924,2007,Chickenpox
Phitsanulok,713,84.57,0,0.0,843096,2007,Chickenpox
Sukhothai,767,126.35,0,0.0,607061,2007,Chickenpox
Tak,821,155.11,0,0.0,529303,2007,Chickenpox
Uttaradit,630,135.08,0,0.0,466380,2007,Chickenpox
Zone:3,3212,119.62,0,0.0,2685276,2007,Chickenpox
Kamphaeng Phet,1163,159.94,0,0.0,727158,2007,Chickenpox
Nakhon Sawan,1172,109.04,0,0.0,1074849,2007,Chickenpox
Phichit,363,65.25,0,0.0,556287,2007,Chickenpox
Uthai Thani,514,157.2,0,0.0,326982,2007,Chickenpox
Central Region,17973,85.41,0,0.0,21043273,2007,Chickenpox
Bangkok,3710,65.02,0,0.0,5706103,2007,Chickenpox
Zone:4,1535,52.34,0,0.0,2932544,2007,Chickenpox
Ang Thong,237,83.4,0,0.0,284175,2007,Chickenpox
Nonthaburi,528,52.19,0,0.0,1011624,2007,Chickenpox
P.Nakhon S.Ayutthaya,657,86.72,0,0.0,757654,2007,Chickenpox
Pathum Thani,113,12.85,0,0.0,879091,2007,Chickenpox
Zone:5,1781,92.83,0,0.0,1918492,2007,Chickenpox
Chai Nat,254,75.13,0,0.0,338077,2007,Chickenpox
Lop Buri,835,111.14,0,0.0,751298,2007,Chickenpox
Saraburi,555,90.57,0,0.0,612806,2007,Chickenpox
Sing Buri,137,63.33,0,0.0,216311,2007,Chickenpox
Zone:6,2972,89.12,0,0.0,3334732,2007,Chickenpox
Kanchanaburi,631,75.58,0,0.0,834865,2007,Chickenpox
Nakhon Pathom,920,111.32,0,0.0,826438,2007,Chickenpox
Ratchaburi,856,103.11,0,0.0,830184,2007,Chickenpox
Suphan Buri,565,67.0,0,0.0,843245,2007,Chickenpox
Zone:7,1472,91.33,0,0.0,1611697,2007,Chickenpox
Phetchaburi,550,120.52,0,0.0,456371,2007,Chickenpox
Prachuap Khiri Khan,436,88.17,0,0.0,494502,2007,Chickenpox
Samut Sakhon,276,59.2,0,0.0,466222,2007,Chickenpox
Samut Songkhram,210,107.91,0,0.0,194602,2007,Chickenpox
Zone:8,3175,105.26,0,0.0,3016265,2007,Chickenpox
Chachoengsao,809,123.21,0,0.0,656586,2007,Chickenpox
Nakhon Nayok,189,75.83,0,0.0,249250,2007,Chickenpox
Prachin Buri,554,121.92,0,0.0,454404,2007,Chickenpox
Sa Kaeo,471,87.43,0,0.0,538741,2007,Chickenpox
Samut Prakan,1152,103.11,0,0.0,1117284,2007,Chickenpox
Zone:9,3328,131.88,0,0.0,2523440,2007,Chickenpox
Chanthaburi,837,166.34,0,0.0,503197,2007,Chickenpox
Chon Buri,1282,104.96,0,0.0,1221369,2007,Chickenpox
Rayong,942,162.8,0,0.0,578628,2007,Chickenpox
Trat,267,121.23,0,0.0,220246,2007,Chickenpox
North-Eastern Region,18661,87.28,0,0.0,21381249,2007,Chickenpox
Zone:10,3369,95.12,0,0.0,3541793,2007,Chickenpox
Loei,822,133.78,0,0.0,614421,2007,Chickenpox
Nong Bua Lam Phu,513,103.19,0,0.0,497148,2007,Chickenpox
