"date","mean","lower_80","lower_95","upper_80","upper_95","Shortname","value","diff","color"
2020-01-01,41685.4756532966,25452.9035288269,19923.4375178871,68753.7598653036,87312.3935926241,"Influenza",52472,-10786.5243467034,"Increase"
2020-02-01,57347.541924127,21316.4672374808,12172.9982511043,163299.54614068,279667.431542176,"Influenza",33663,23684.541924127,"Decrease"
2020-03-01,51965.7702393486,9955.13025303357,4286.61745918162,293601.487312683,805694.104079984,"Influenza",13157,38808.7702393486,"Decrease"
2020-04-01,30401.4332684134,2803.9305242179,764.013293705953,409232.485874124,1411379.38132254,"Influenza",2095,28306.4332684134,"Decrease"
2020-05-01,33012.1429284319,1338.07836101767,227.791001129807,1000417.53330378,4359357.76060126,"Influenza",1335,31677.1429284319,"Decrease"
2020-06-01,65046.4400595071,1060.08029057791,117.162704973494,5465080.45105092,34647046.1017051,"Influenza",1531,63515.4400595071,"Decrease"
2020-07-01,111172.113031118,841.746944830536,44.3821984717264,20316658.1257381,255047430.212067,"Influenza",2624,108548.113031118,"Decrease"
2020-08-01,165158.761006484,452.810074807181,10.602189801356,91852213.7778851,2058050303.65451,"Influenza",3232,161926.761006484,"Decrease"
2020-09-01,217206.762483883,221.908071074659,2.24944913659607,333868572.586499,12467982150.6099,"Influenza",2462,214744.762483883,"Decrease"
2020-10-01,168881.326490214,45.3348510599911,0.263491228433019,837977290.249468,47947356166.3796,"Influenza",3824,165057.326490214,"Decrease"
2020-11-01,138671.066920111,9.38769658218336,0.043954034945308,1984683147.0949,222151967810.648,"Influenza",4827,133844.066920111,"Decrease"
2020-12-01,108134.765586482,2.60460544585139,0.00451657556483353,5006800691.26465,1950497103814.46,"Influenza",2773,105361.765586482,"Decrease"
2021-01-01,199544.242595082,1.20923797839871,0.00114275063205101,28691562464.5602,26470620878651.5,"Influenza",2083,197461.242595082,"Decrease"
2021-02-01,277521.744465236,0.328620538338981,0.000179684905841331,162280904381.574,236366005951326,"Influenza",1814,275707.744465236,"Decrease"
2021-03-01,252819.413865148,0.0771441281774991,1.25822020080386e-05,555844918612.219,920257935361258,"Influenza",2157,250662.413865148,"Decrease"
2021-04-01,145131.768784507,0.0110761301346282,5.90929704199397e-07,1340388703629.96,5574659394853173,"Influenza",1388,143743.768784507,"Decrease"
2021-05-01,155533.932621893,0.00221735151222512,7.75970027382413e-08,7498849499322.89,53956330847507416,"Influenza",641,154892.932621893,"Decrease"
2021-06-01,310421.053290781,0.000466228094487146,2.59786194298613e-08,87940076756577.3,1477067611806574080,"Influenza",558,309863.053290781,"Decrease"
2021-07-01,532469.673064288,0.000115432219056015,3.37342017062847e-09,557104418310171,29083956846753189888,"Influenza",505,531964.673064288,"Decrease"
2021-08-01,791416.162831245,5.25379148092499e-05,1.09852716221498e-09,4229166624819932,5.4786112679746e+20,"Influenza",308,791108.162831245,"Decrease"
2021-09-01,1011861.76258663,1.81007727148137e-05,8.39199214237874e-11,27744886416275600,1.50711992337318e+22,"Influenza",330,1011531.76258663,"Decrease"
2021-10-01,762326.065340525,1.45559308383719e-06,5.3722221043259e-12,93170524249812672,1.20413529218263e+23,"Influenza",304,762022.065340525,"Decrease"
2021-11-01,612756.219130381,1.36948897523273e-07,1.80189277732695e-13,291651921722042176,9.32660666076253e+23,"Influenza",504,612252.219130381,"Decrease"
2021-12-01,462097.732216002,1.43313546131426e-08,7.63064464629873e-15,900412821175982080,1.15960888126377e+25,"Influenza",582,461515.732216002,"Decrease"
2022-01-01,800075.152864363,2.8106132733815e-09,5.5118892425442e-16,5616866340864987136,1.52275675528014e+26,"Influenza",1925,798150.152864363,"Decrease"
2022-02-01,1052913.35879585,6.82235896698557e-10,3.48664418257195e-17,46817400003290218496,3.30732591953465e+27,"Influenza",2075,1050838.35879585,"Decrease"
2022-03-01,925528.695036291,8.80284241999778e-11,1.77891663061899e-18,2.7365894990365e+20,3.24841417574438e+28,"Influenza",4287,921241.695036291,"Decrease"
2022-04-01,508020.283008632,7.83309979507574e-12,7.09789331584831e-20,8.78474519529442e+20,4.58910575750926e+29,"Influenza",2013,506007.283008632,"Decrease"
2022-05-01,531821.923506323,2.21823704757319e-12,6.91976888947113e-21,7.31357012865366e+21,1.19697498243928e+31,"Influenza",1209,530612.923506323,"Decrease"
2022-06-01,1030328.64284233,5.22378284657193e-13,1.20008390832249e-21,1.20573113880025e+23,3.7545716625495e+32,"Influenza",1636,1028692.64284233,"Decrease"
2022-07-01,1685654.01741633,8.6588732654083e-14,8.84198669709445e-23,2.58425967770433e+24,1.52577679785792e+34,"Influenza",3656,1681998.01741633,"Decrease"
2022-08-01,2438249.93578897,3.40770353326122e-14,2.6673173297355e-24,3.80557323450147e+25,1.89959638874792e+36,"Influenza",8548,2429701.93578897,"Decrease"
2022-09-01,3145159.02999882,6.83253188743688e-15,5.28024771236654e-26,2.70893695496803e+26,1.66491446502893e+38,"Influenza",19572,3125587.02999882,"Decrease"
2022-10-01,2377397.35662467,7.09211213926289e-16,1.60669046017634e-27,2.38401728966717e+27,2.24135397611182e+39,"Influenza",18319,2359078.35662467,"Decrease"
2022-11-01,1869001.64325242,7.26789433444389e-17,1.22241653825145e-28,1.8748370488062e+28,2.27655822013995e+40,"Influenza",11554,1857447.64325242,"Decrease"
2022-12-01,1404841.42839724,1.05623543883411e-17,4.09141339430636e-30,1.5148777315428e+29,5.7118056765968e+41,"Influenza",6520,1398321.42839724,"Decrease"
2023-01-01,2443799.17940242,1.65087409208068e-18,4.35862344807599e-31,3.84280579839641e+30,1.53861400538954e+43,"Influenza",10129,2433670.17940242,"Decrease"
2023-02-01,3282354.04260765,2.55643040073462e-19,4.65976245214565e-32,9.33206418468647e+31,2.44880823003494e+44,"Influenza",15673,3266681.04260765,"Decrease"
2023-03-01,2849665.60574127,2.33977524290045e-20,1.62145985922657e-33,3.72031480511377e+32,8.01845045017155e+45,"Influenza",15196,2834469.60574127,"Decrease"
2023-04-01,1567688.7805624,1.01230116124807e-21,3.19835893725185e-35,1.73097336814916e+33,1.64252762982903e+47,"Influenza",7717,1559971.7805624,"Decrease"
2023-05-01,1598882.66953988,1.21764595598695e-22,1.55003742150985e-36,1.93126408084911e+34,7.32267705181293e+48,"Influenza",6519,1592363.66953988,"Decrease"
2023-06-01,3094419.58431866,1.65530066287904e-23,7.87375279706452e-38,4.4576243451446e+35,8.50501099929187e+50,"Influenza",11446,3082973.58431866,"Decrease"
2023-07-01,5095129.12467555,3.79836086028631e-24,3.28782629149905e-39,5.51660874435011e+36,1.17101429234016e+53,"Influenza",26877,5068252.12467555,"Decrease"
