"date","mean","lower_80","lower_95","upper_80","upper_95","Shortname","value","diff","color"
2020-01-01,92.8337484018362,71.5859059356646,60.9861456316088,119.926962511205,135.616982322389,"Leptospirosis",117,-24.1662515981638,"Increase"
2020-02-01,65.328271882285,48.2273986220648,40.2126956101608,90.1105911827285,105.77688020993,"Leptospirosis",83,-17.671728117715,"Increase"
2020-03-01,69.0078462605398,45.7894092538587,36.411996532919,103.573719529472,122.026428083838,"Leptospirosis",65,4.00784626053985,"Decrease"
2020-04-01,66.6689873487969,43.7766581949094,34.3339330001565,106.321557346064,127.456862842605,"Leptospirosis",91,-24.3310126512031,"Increase"
2020-05-01,87.8411705504432,54.5503884025611,44.8877077685306,141.054104087621,173.539159625265,"Leptospirosis",104,-16.1588294495568,"Increase"
2020-06-01,124.832719853769,73.2737084111787,52.9552140624381,211.482826657912,286.509625388056,"Leptospirosis",134,-9.16728014623132,"Increase"
2020-07-01,155.402507965509,86.5186846202307,63.0617024341533,268.899825566819,367.246661702208,"Leptospirosis",182,-26.5974920344907,"Increase"
2020-08-01,168.814891538664,90.5599565208157,62.9854881067276,312.954232056084,443.708422366126,"Leptospirosis",187,-18.1851084613359,"Increase"
2020-09-01,179.440285276242,95.4823418643128,64.8473976476704,334.845280377622,532.448992264179,"Leptospirosis",152,27.4402852762422,"Decrease"
2020-10-01,194.159585568923,96.0160175250065,65.7826922311,382.712543104699,584.519655038933,"Leptospirosis",157,37.1595855689229,"Decrease"
2020-11-01,130.027517989334,60.4457119582846,42.9910132067469,271.910854465643,426.427142545471,"Leptospirosis",172,-41.9724820106661,"Increase"
2020-12-01,84.707194391003,39.3401143358019,25.1821979143114,185.601403502595,265.982426340733,"Leptospirosis",194,-109.292805608997,"Increase"
2021-01-01,77.2338344585611,32.4964860751603,20.8892442644327,177.689157460262,266.730553662349,"Leptospirosis",117,-39.7661655414389,"Increase"
2021-02-01,53.909322003834,22.400679513581,13.5665303004339,122.79887471697,204.082686254381,"Leptospirosis",71,-17.090677996166,"Increase"
2021-03-01,57.7730627440295,23.5670217541724,12.4041778967443,139.877932053101,219.711374504712,"Leptospirosis",54,3.77306274402946,"Decrease"
2021-04-01,54.9800781093374,21.1108086402878,11.1932529012569,140.869833099326,237.444292664602,"Leptospirosis",46,8.98007810933744,"Decrease"
2021-05-01,71.9608113533424,27.5468031608702,14.6442095601711,190.933328142574,334.788971331669,"Leptospirosis",92,-20.0391886466576,"Increase"
