"date","mean","lower_80","lower_95","upper_80","upper_95","Shortname","value","diff","color"
2020-01-01,27.002337088654,16.4117806479115,12.3650256572555,42.827487439576,54.035392954587,"Rubella",20,7.00233708865404,"Decrease"
2020-02-01,27.8466964789913,15.465238174788,11.0135181112162,47.6874331025543,62.4266150694933,"Rubella",15,12.8466964789913,"Decrease"
2020-03-01,30.1776240645095,15.592851969058,10.6084386119838,54.9294261334132,74.0443899185468,"Rubella",7,23.1776240645095,"Decrease"
2020-04-01,26.2185731594584,12.3437413217472,7.86748275576823,51.2966705692857,71.4803006499779,"Rubella",3,23.2185731594584,"Decrease"
2020-05-01,24.5790483394527,10.6723447186598,6.40847412105725,51.1316855692196,73.2756033377849,"Rubella",5,19.5790483394527,"Decrease"
2020-06-01,26.0311656368245,10.6830151312526,6.16301061883906,56.6284813718162,82.8730956938359,"Rubella",7,19.0311656368245,"Decrease"
2020-07-01,28.3256111305925,11.0975994718039,6.20046683568904,63.9889100099751,95.3389191973089,"Rubella",20,8.32561113059248,"Decrease"
2020-08-01,28.7863951438336,10.6709308127427,5.71402699002351,67.8069432099733,102.989044888616,"Rubella",14,14.7863951438336,"Decrease"
2020-09-01,30.161786239692,10.6764059889078,5.52192092171691,73.6308302608702,113.711855969537,"Rubella",14,16.161786239692,"Decrease"
2020-10-01,29.5755820148852,9.88009549094937,4.86334356356732,75.233751080772,118.353480017628,"Rubella",10,19.5755820148852,"Decrease"
2020-11-01,26.1330221436206,8.03176643042017,3.62730946332532,70.073780750747,112.738664281169,"Rubella",11,15.1330221436206,"Decrease"
2020-12-01,25.779381517591,7.48783540881387,3.19044836489875,71.7860930041005,117.436838375621,"Rubella",3,22.779381517591,"Decrease"
2021-01-01,26.3697367142954,7.06349117885907,2.76422172310987,77.6104208227468,130.155480105167,"Rubella",7,19.3697367142954,"Decrease"
2021-02-01,26.3697367142954,6.58427337155103,2.36445453716822,81.2380961219793,139.012296057105,"Rubella",3,23.3697367142954,"Decrease"
2021-03-01,26.3697367142954,6.14754659054541,2.00450092069992,84.8536498104836,148.000921791958,"Rubella",3,23.3697367142954,"Decrease"
2021-04-01,26.3697367142954,5.74749114308855,1.67228072534535,88.463013754538,157.130339689996,"Rubella",5,21.3697367142954,"Decrease"
2021-05-01,26.3697367142954,5.37938357272055,1.34809274560643,92.0710219101939,166.408070798658,"Rubella",7,19.3697367142954,"Decrease"
2021-06-01,26.3697367142954,5.03933255723059,0.888562228610417,95.6816740808434,175.840539803756,"Rubella",2,24.3697367142954,"Decrease"
2021-07-01,26.3697367142954,4.72409026820099,0.683208382532145,99.298324133826,185.433333441103,"Rubella",1,25.3697367142954,"Decrease"
2021-08-01,26.3697367142954,4.43091440445054,0.57010714899805,102.923817440639,195.191387723227,"Rubella",1,25.3697367142954,"Decrease"
2021-09-01,26.3697367142954,4.15746514100577,0.49060366540923,106.560593267671,205.119126332271,"Rubella",5,21.3697367142954,"Decrease"
2021-10-01,26.3697367142954,3.90172666122992,0.430069148423693,110.210762406432,215.220564727636,"Rubella",2,24.3697367142954,"Decrease"
2021-11-01,26.3697367142954,3.66194630263924,0.381915192625339,113.876166951831,225.499389687485,"Rubella",4,22.3697367142954,"Decrease"
2021-12-01,26.3697367142954,3.43658648303228,0.342496169035587,117.558426974869,235.959020927423,"Rubella",1,25.3697367142954,"Decrease"
2022-01-01,26.3697367142954,3.22428595204904,0.30955438463183,121.258977417686,246.602659430707,"Rubella",3,23.3697367142954,"Decrease"
2022-02-01,26.3697367142954,3.02382780238955,0.281586936034458,124.979097587368,257.433325782322,"Rubella",5,21.3697367142954,"Decrease"
2022-03-01,26.3697367142954,2.83411222565227,0.257541294555513,128.719934973448,268.453890884567,"Rubella",2,24.3697367142954,"Decrease"
2022-04-01,26.3697367142954,2.6541322842067,0.23665191816233,132.482524659968,279.667100796871,"Rubella",6,20.3697367142954,"Decrease"
2022-05-01,26.3697367142954,2.48295100244158,0.218345360273286,136.267805281145,291.075596994583,"Rubella",3,23.3697367142954,"Decrease"
2022-06-01,26.3697367142954,2.31967778841034,0.202181779614874,140.076632238112,302.681933020578,"Rubella",4,22.3697367142954,"Decrease"
2022-07-01,26.3697367142954,2.16344136847177,0.187817166273947,143.909788725419,314.488588270475,"Rubella",14,12.3697367142954,"Decrease"
2022-08-01,26.3697367142954,2.01335452029843,0.174978012121484,147.767994991174,326.49797948091,"Rubella",9,17.3697367142954,"Decrease"
2022-09-01,26.3697367142954,1.86846155255394,0.163443791197489,151.651916161558,338.712470362793,"Rubella",14,12.3697367142954,"Decrease"
2022-10-01,26.3697367142954,1.72764883711521,0.153034522396455,155.562168890021,351.134379725603,"Rubella",11,15.3697367142954,"Decrease"
2022-11-01,26.3697367142954,1.58946924155953,0.143601741908626,159.499327037766,363.765988365954,"Rubella",10,16.3697367142954,"Decrease"
2022-12-01,26.3697367142954,1.45173371395641,0.135021823719315,163.463926550774,376.609544937798,"Rubella",7,19.3697367142954,"Decrease"
2023-01-01,26.3697367142954,1.31029377229409,0.127190953930479,167.456469666504,389.667270978515,"Rubella",7,19.3697367142954,"Decrease"
2023-02-01,26.3697367142954,1.15312921364313,0.12002129312389,171.477428558235,402.941365231433,"Rubella",2,24.3697367142954,"Decrease"
2023-03-01,26.3697367142954,0.900406480558578,0.113438007144362,175.527248505214,416.434007378905,"Rubella",6,20.3697367142954,"Decrease"
2023-04-01,26.3697367142954,0.785465002806535,0.107376942569603,179.606350660945,430.147361279171,"Rubella",5,21.3697367142954,"Decrease"
