"date","mean","median","Shortname","lower_80","lower_95","upper_80","upper_95","value","diff","color"
2020-01-01,75.8454485726532,75.0416803914446,"Malaria",56.104113948941,49.9376720288708,97.0451409911578,107.349084862821,89,-13.9583196085554,"Increase"
2020-02-01,63.8802463334669,61.9618601312793,"Malaria",44.0746283232825,36.7235595491745,85.9898488787792,100.852415790046,88,-26.0381398687207,"Increase"
2020-03-01,67.4072587267191,65.9124224492115,"Malaria",45.6472033895646,37.0330482313083,91.1154559236602,109.192458213978,75,-9.08757755078847,"Increase"
2020-04-01,95.6509783581832,91.9352393699693,"Malaria",63.7144809576001,53.5115712416778,132.502616234984,162.000012757313,89,2.93523936996931,"Decrease"
2020-05-01,168.211335417768,159.926285223407,"Malaria",110.680623786622,92.9891083467369,235.214600666112,285.661282978518,313,-153.073714776593,"Increase"
2020-06-01,227.652479468324,216.542732534108,"Malaria",149.904904003038,124.670344613313,318.098333456024,395.402468634333,421,-204.457267465892,"Increase"
2020-07-01,175.735063305339,168.536997472417,"Malaria",115.013619033868,96.4821030854281,244.090660682016,297.399908184708,278,-109.463002527583,"Increase"
2020-08-01,106.446807937156,102.59786271369,"Malaria",71.288106833134,58.2601478505541,148.071799184793,177.299357870699,113,-10.4021372863104,"Increase"
2020-09-01,94.0315446673653,89.8421293828333,"Malaria",60.5458542514078,48.4449164879044,131.140436625954,160.606330522318,52,37.8421293828333,"Decrease"
2020-10-01,94.2350911339461,89.429365709551,"Malaria",60.6917442889731,49.2864008145145,132.36792226635,157.694255081476,50,39.429365709551,"Decrease"
2020-11-01,81.1504927318109,76.7640337100987,"Malaria",52.995661290651,42.3091798778629,115.203568175565,142.907274658159,43,33.7640337100987,"Decrease"
2020-12-01,59.607357670374,57.440586739903,"Malaria",38.4771781677699,31.2296569404821,83.4900825592502,104.503808701305,52,5.44058673990303,"Decrease"
2021-01-01,72.1041155601985,69.5161968080849,"Malaria",45.4907184617511,36.214545524584,99.7749366047099,126.963791961351,57,12.5161968080849,"Decrease"
2021-02-01,53.3947434377765,51.3468015148989,"Malaria",32.7989701436272,27.2963115526931,76.8808655904015,91.6691394941222,46,5.34680151489888,"Decrease"
2021-03-01,53.1720752023167,50.3836443771341,"Malaria",33.030728540261,26.5744812859193,76.8113509961861,93.298774829072,47,3.3836443771341,"Decrease"
2021-04-01,75.2425015144838,71.1242340860599,"Malaria",45.7806246744347,36.2868751557463,108.301443801502,141.122137767393,50,21.1242340860599,"Decrease"
2021-05-01,133.546184612638,123.923316962275,"Malaria",79.4111621905677,61.8006140692065,200.836944533483,248.248178395294,173,-49.076683037725,"Increase"
2021-06-01,177.791322160532,167.720043002468,"Malaria",109.447329264992,85.8396223354056,262.804581945041,318.692638157148,135,32.7200430024685,"Decrease"
2021-07-01,138.802005460581,131.018984562536,"Malaria",84.1030078530481,66.8472664456015,200.906085918546,257.126324913921,100,31.0189845625356,"Decrease"
2021-08-01,83.9741464038491,79.3809584951284,"Malaria",50.2476485789681,38.3687241687624,122.427042218447,159.6586831837,46,33.3809584951284,"Decrease"
2021-09-01,73.0051225644013,69.2224216541596,"Malaria",45.0483975494682,34.7978109594133,107.824702400886,133.816180206698,29,40.2224216541596,"Decrease"
2021-10-01,73.6233193916593,69.8282160864782,"Malaria",45.0506788831493,34.5955961454332,107.595176958858,134.748330566322,31,38.8282160864782,"Decrease"
2021-11-01,63.9608749170651,60.4515321158394,"Malaria",37.8406195356593,29.814307657575,93.9709785848341,119.317483943283,30,30.4515321158394,"Decrease"
2021-12-01,47.4234081517751,44.6537783921694,"Malaria",27.8223785031019,22.3698657052769,69.2445433146258,87.3096274478867,42,2.65377839216941,"Decrease"
2022-01-01,58.0283531564946,53.9991779943054,"Malaria",34.1878174233639,26.9326310517733,87.7992863107434,111.176044256018,113,-59.0008220056946,"Increase"
2022-02-01,42.1772158278907,39.4343234018482,"Malaria",24.4436445532355,18.8168022976417,63.4080896039908,80.1510991550675,57,-17.5656765981518,"Increase"
2022-03-01,41.2796663537416,38.7363834931483,"Malaria",24.0016822523549,18.5226714548531,61.4358224047397,81.3020575972973,75,-36.2636165068517,"Increase"
2022-04-01,58.0880658419549,53.7758896245354,"Malaria",34.3135678346469,27.378650045206,87.1574428460717,112.568067312976,154,-100.224110375465,"Increase"
2022-05-01,103.046184503781,95.837226943188,"Malaria",59.2563672476909,46.229650409227,158.051820346091,197.903278452992,336,-240.162773056812,"Increase"
2022-06-01,140.452352980416,130.025004313906,"Malaria",82.1576160934707,62.5071166811752,213.035301192573,290.502932962608,527,-396.974995686094,"Increase"
2022-07-01,109.815495554363,101.217604009537,"Malaria",61.7701930518252,49.540311831637,164.12641520885,219.080976965203,419,-317.782395990463,"Increase"
2022-08-01,66.3208614641947,62.1123022458575,"Malaria",36.8638245948357,28.5127809045255,101.060174238509,141.103671828616,300,-237.887697754142,"Increase"
2022-09-01,58.4646036910216,54.1613012760886,"Malaria",32.6342356340217,25.723453148436,89.5041116351295,124.188302246906,164,-109.838698723911,"Increase"
2022-10-01,58.5649459370908,54.12002758935,"Malaria",32.1990675399399,23.6084519881766,90.1033395637673,121.991975599667,155,-100.87997241065,"Increase"
2022-11-01,49.9816021956619,46.5266012524283,"Malaria",27.9913513221367,21.6558307839011,74.6974376059476,99.7019812264891,157,-110.473398747572,"Increase"
2022-12-01,37.0467950671349,34.1247107608737,"Malaria",20.8919831211193,16.2883255990238,56.9383235072504,74.6708572265926,333,-298.875289239126,"Increase"
2023-01-01,44.6718947234958,41.0556742050474,"Malaria",24.338812859788,18.9753128854356,68.080870964026,92.0721973922706,282,-240.944325794953,"Increase"
2023-02-01,32.5120216517108,30.0210684099934,"Malaria",17.4139744173338,13.8072469750525,50.3490092446817,67.5257257235151,208,-177.978931590007,"Increase"
2023-03-01,31.8868425107292,29.608228609129,"Malaria",17.1641534091744,12.5454299946354,48.7117602609323,65.6475257557169,247,-217.391771390871,"Increase"
2023-04-01,45.5541099239748,41.3014347765225,"Malaria",23.9892006250708,18.2795205103774,70.9106314767672,91.2795508153361,409,-367.698565223477,"Increase"
2023-05-01,80.4398394396046,72.4866285821374,"Malaria",44.7733407748903,31.8440450277215,128.202354056194,165.948658153605,819,-746.513371417863,"Increase"
2023-06-01,108.727771485369,98.7407982860696,"Malaria",58.1282046694661,44.3194446368098,171.600871749939,230.338408149566,986,-887.25920171393,"Increase"
2023-07-01,84.3609837589481,77.4657269414579,"Malaria",43.799970782427,33.9810207949339,133.560727524806,177.932079170044,765,-687.534273058542,"Increase"
2023-08-01,50.9310872380771,46.4016562139183,"Malaria",27.3111975809313,19.3153665429875,78.8450982498299,105.280403878889,423,-376.598343786082,"Increase"
2023-09-01,44.4539387379301,40.1593353005252,"Malaria",23.7891533352328,17.9910647678695,68.1733772611653,90.3911367265225,283,-242.840664699475,"Increase"
