"date","mean","median","Shortname","lower_80","lower_95","upper_80","upper_95","value","diff","color"
2020-01-01,25581.7189147107,25536.3838704742,"Pneumonia",23653.4383035845,22415.4124878946,27552.5216923448,29215.0440701305,30240,-4703.61612952579,"Increase"
2020-02-01,24548.4988253765,24518.6868227495,"Pneumonia",22118.5485938609,20483.1259386654,27070.0272837308,28876.9061137901,25861,-1342.31317725046,"Increase"
2020-03-01,22594.1873515092,22542.9098431386,"Pneumonia",19935.686216379,18246.4838706433,25317.2117262463,27026.3805981955,20888,1654.90984313862,"Decrease"
2020-04-01,18192.8999453102,18171.5624787335,"Pneumonia",15786.3775492885,14369.3866945386,20649.2101761456,22281.1803734683,10966,7205.56247873352,"Decrease"
2020-05-01,16291.853552467,16245.3935612707,"Pneumonia",13974.985290818,12644.9528171455,18706.0163391581,20219.8285714455,9189,7056.39356127074,"Decrease"
2020-06-01,19307.347105032,19289.4400805764,"Pneumonia",16692.7681767314,15111.9432806964,21981.2923308127,23579.8163352233,8890,10399.4400805764,"Decrease"
2020-07-01,20485.9721849735,20400.3657041685,"Pneumonia",17678.0556530048,16078.0039358932,23403.931631462,25195.0356911659,10516,9884.36570416853,"Decrease"
2020-08-01,26506.1835480045,26459.1989260551,"Pneumonia",23209.2376063914,21493.4277324132,29900.8976844586,31912.310513834,12479,13980.1989260551,"Decrease"
2020-09-01,29250.545896254,29194.2996149333,"Pneumonia",25627.3148684386,23766.2072697719,32946.8709669073,35169.5575776091,12032,17162.2996149333,"Decrease"
2020-10-01,26452.0595407457,26376.6548067317,"Pneumonia",22901.8949652832,20826.485461332,30090.6558732026,32284.21308857,17869,8507.65480673172,"Decrease"
2020-11-01,20109.9405437206,20034.1462796092,"Pneumonia",16886.2486180455,15234.2539290407,23342.4854374397,25375.9337915209,22197,-2162.85372039076,"Increase"
2020-12-01,18540.9505742766,18457.0602737516,"Pneumonia",15450.4229867437,13829.6104699738,21768.4589110652,23780.9290483915,14602,3855.0602737516,"Decrease"
2021-01-01,24444.3896523914,24359.7746209251,"Pneumonia",20796.6560853175,18896.0797413547,28201.5896758298,30484.2183068178,17283,7076.77462092507,"Decrease"
2021-02-01,24156.349848702,24104.6814261243,"Pneumonia",20466.2328873265,18624.8147178684,27929.9629984493,30182.4645268533,14178,9926.68142612429,"Decrease"
2021-03-01,22923.5907150425,22822.8872767722,"Pneumonia",19266.3090177067,17401.8852806509,26709.914069254,29060.5797007296,16533,6289.88727677222,"Decrease"
2021-04-01,18234.8648994132,18101.9667456436,"Pneumonia",14937.8058675288,13257.9716140621,21727.9471898574,23904.6978549285,12543,5558.96674564359,"Decrease"
2021-05-01,16307.2337364811,16183.8734377131,"Pneumonia",13148.0756934368,11508.8538827258,19594.3791464693,21560.7258284203,10573,5610.87343771308,"Decrease"
2021-06-01,19338.4943143378,19293.3844451427,"Pneumonia",15879.0114709092,14115.6933489351,22946.4462767017,25063.0786266267,9941,9352.38444514272,"Decrease"
2021-07-01,20505.3720494117,20418.1536872728,"Pneumonia",16789.2930291523,14982.7431868828,24368.1531176963,26558.6054971125,15539,4879.15368727281,"Decrease"
2021-08-01,26527.6132036895,26491.2753514684,"Pneumonia",22176.0334410939,19891.6599293998,30896.7855828559,33561.0726539522,20875,5616.27535146836,"Decrease"
2021-09-01,29229.7183034886,29132.5103172072,"Pneumonia",24668.5308458368,22315.9580631629,33976.33429502,36780.8429117396,13794,15338.5103172072,"Decrease"
2021-10-01,26386.7782248597,26226.9691842881,"Pneumonia",22027.0747106417,19864.9906586228,31032.3948043416,33791.3629838316,11377,14849.9691842881,"Decrease"
2021-11-01,20031.4408186804,19901.0706030457,"Pneumonia",16227.7373861631,14122.2206727093,24104.7878548894,26406.729090701,10199,9702.07060304568,"Decrease"
2021-12-01,18523.0062530718,18412.4103852693,"Pneumonia",14810.7051451158,12985.4302703081,22412.3323706641,24609.9077822793,9167,9245.41038526934,"Decrease"
2022-01-01,24408.2274185952,24305.4451588098,"Pneumonia",20034.40632097,17858.2227646288,28943.0803763861,31493.7852776076,16118,8187.44515880977,"Decrease"
