"date","mean","median","Shortname","lower_80","lower_95","upper_80","upper_95","value","diff","color"
2020-01-01,26761.4916437621,26639.0529406534,"Pneumonia",24127.9266540345,23207.5948863557,29213.4990204287,32129.7677197997,30240,-3600.94705934664,"Increase"
2020-02-01,24775.0714446628,24654.8435232501,"Pneumonia",21678.3195822668,20397.6067178109,27992.096059873,29842.7110356367,25861,-1206.15647674987,"Increase"
2020-03-01,22793.5581826106,22645.0500582698,"Pneumonia",19792.9641320076,18258.3690134796,26015.0636653959,28426.5867031534,20888,1757.0500582698,"Decrease"
2020-04-01,17792.7446612767,17723.7175324579,"Pneumonia",15494.8548439304,14142.5916252213,20252.13208818,21835.8113014472,10966,6757.71753245786,"Decrease"
2020-05-01,15719.9188958109,15672.2644240209,"Pneumonia",13474.2017660564,12561.3783375767,17938.3492671843,19931.3570070106,9189,6483.26442402086,"Decrease"
2020-06-01,19028.0326833283,18946.0282244228,"Pneumonia",16222.11352218,14690.6682668401,21949.8900994515,23915.1310276851,8890,10056.0282244228,"Decrease"
2020-07-01,20363.0448919225,20192.6194223846,"Pneumonia",17259.9892779634,15803.0269994992,23646.2896112447,25934.0166498748,10516,9676.61942238456,"Decrease"
2020-08-01,27236.7934951405,27030.5741449234,"Pneumonia",23114.5942477351,20960.5963639774,31830.0940857245,34582.6076208276,12479,14551.5741449234,"Decrease"
2020-09-01,30733.8544687113,30472.8581211786,"Pneumonia",26030.458642323,23787.4442985945,35869.1891298772,38710.4252067907,12032,18440.8581211786,"Decrease"
2020-10-01,27931.7394994807,27621.8891514309,"Pneumonia",23482.599239113,21286.4051815424,32688.9678471527,35401.1211292632,17869,9752.88915143091,"Decrease"
2020-11-01,20418.9064623762,20260.1286917635,"Pneumonia",17098.6851107208,15757.8685851638,23678.2378431612,26515.423978286,22197,-1936.87130823648,"Increase"
2020-12-01,18373.4868277519,18311.4814073578,"Pneumonia",15335.3066101135,13784.5597761924,21454.4385873734,24219.4839930269,14602,3709.48140735781,"Decrease"
2021-01-01,25010.9981870576,24838.5564900751,"Pneumonia",20926.6435854507,18957.9446914752,29247.9997126232,32804.0926545536,17283,7555.55649007508,"Decrease"
2021-02-01,24244.4140632723,23958.5543783767,"Pneumonia",20302.4591382168,18224.2553525456,28602.8476447437,31479.5723654488,14178,9780.5543783767,"Decrease"
2021-03-01,23015.0703878014,22750.2420709809,"Pneumonia",18990.5443844108,17192.733459895,27217.359515279,30318.6840024072,16533,6217.24207098093,"Decrease"
2021-04-01,17780.4902580797,17587.403202349,"Pneumonia",14633.6370952221,13172.2419173419,21176.6610936666,23882.429162108,12543,5044.40320234898,"Decrease"
2021-05-01,15707.0764139018,15494.122804836,"Pneumonia",12958.4522781874,11708.4842148042,18551.5006451541,20614.3324293881,10573,4921.12280483598,"Decrease"
2021-06-01,19083.4478729677,18867.5079963624,"Pneumonia",15734.1954434885,14060.451994463,22578.6891422749,25366.7851566076,9941,8926.5079963624,"Decrease"
2021-07-01,20342.590699732,20211.5296941779,"Pneumonia",16517.3231879776,14649.0244087948,24490.0910455143,26825.5517130645,15539,4672.52969417786,"Decrease"
2021-08-01,27193.5120927037,26880.6766411136,"Pneumonia",22103.5550158469,19684.1993378275,32662.4906910272,36372.046619532,20875,6005.67664111359,"Decrease"
2021-09-01,30740.0704037567,30351.938348433,"Pneumonia",24935.6079644008,22380.2810901947,37184.5032831491,41777.0793800652,13794,16557.938348433,"Decrease"
2021-10-01,27874.8615689361,27441.8229263135,"Pneumonia",22679.8010791869,20122.5211799842,33487.0339456527,37397.3254636499,11377,16064.8229263135,"Decrease"
2021-11-01,20317.6508903429,20001.5249622494,"Pneumonia",16286.9099461306,14524.4197532799,24621.3011324882,27378.4328142662,10199,9802.52496224939,"Decrease"
2021-12-01,18276.9962527936,18075.9250530944,"Pneumonia",14571.4082526521,12728.6820821075,22290.3897519832,25217.2219951786,9167,8908.92505309438,"Decrease"
2022-01-01,24898.4206585828,24516.9750294481,"Pneumonia",19505.9149560848,17695.1460086502,30682.7461731415,34291.4005797081,16118,8398.97502944814,"Decrease"
2022-02-01,24186.942127364,23944.492735712,"Pneumonia",19069.9149748935,17053.6945104271,29462.6601955664,33231.4174118802,15686,8258.49273571198,"Decrease"
2022-03-01,23058.376113146,22880.248440072,"Pneumonia",18313.5882241297,16397.7855098286,27786.5217962457,31420.7878052453,20240,2640.24844007203,"Decrease"
2022-04-01,17807.7956998555,17588.4589166249,"Pneumonia",14047.590461521,12458.5325075205,21810.7800430594,24850.4247456138,19454,-1865.5410833751,"Increase"
2022-05-01,15824.7596231757,15601.6849767454,"Pneumonia",12547.1915856626,11099.684170956,19466.4681528521,21891.840607369,14544,1057.6849767454,"Decrease"
2022-06-01,19225.3994777036,18889.8229826661,"Pneumonia",15198.8238811713,13444.3886852662,23618.8967487991,26761.1100562125,15573,3316.82298266608,"Decrease"
2022-07-01,20463.2352636379,20084.1042525192,"Pneumonia",16111.701206241,14043.1637976175,25094.8188692453,29265.690443391,16823,3261.10425251919,"Decrease"
2022-08-01,27393.046237756,27033.5467763444,"Pneumonia",21362.9877113361,18879.4856960172,33842.2063425887,38000.3713143534,22022,5011.54677634442,"Decrease"
2022-09-01,30772.5501989015,30325.0770779416,"Pneumonia",23928.9909544756,21087.4257733222,38309.5945511182,42962.7369209046,27959,2366.07707794157,"Decrease"
2022-10-01,27828.5521626368,27473.0485346834,"Pneumonia",21525.0644107105,18935.7153425708,34398.7096875301,39713.4737102659,25112,2361.04853468335,"Decrease"
2022-11-01,20329.7390603726,20027.7342033681,"Pneumonia",15858.9187524224,13659.7111579088,25103.0671293662,29524.4984843674,21287,-1259.26579663194,"Increase"
2022-12-01,18378.9234183767,17982.6972608472,"Pneumonia",14256.0400807732,12414.3852642815,23070.3422710285,26306.4232118226,19378,-1395.30273915276,"Increase"
2023-01-01,25226.2457697881,24774.5101453705,"Pneumonia",19486.7598689824,16950.1695400014,31587.4582789096,35532.788374398,28741,-3966.48985462949,"Increase"
2023-02-01,24435.1161323458,23869.2770686929,"Pneumonia",18818.8229158603,16363.0568146275,30383.2812949062,34451.7943993774,25138,-1268.72293130711,"Increase"
2023-03-01,23178.8991673238,22767.8365735741,"Pneumonia",17811.3800776419,15221.5107967308,29040.3501463465,32907.0342543244,27118,-4350.16342642587,"Increase"
