"date","mean","Shortname","lower_80","lower_95","upper_80","upper_95","value","diff","color"
2020-01-01,960.565432109048,"Gonorrhoea",877.62004975947,836.651322076944,1051.35012539392,1102.83211777198,926,34.5654321090477,"Decrease"
2020-02-01,845.635486036121,"Gonorrhoea",764.434779520679,724.655315222636,935.461591232064,986.813123731585,709,136.635486036121,"Decrease"
2020-03-01,885.992458407057,"Gonorrhoea",790.868101280374,744.719061527291,992.558221887233,1054.06545489022,739,146.992458407057,"Decrease"
2020-04-01,835.467325953013,"Gonorrhoea",739.764961073927,693.624173488243,943.550572768105,1006.31679144745,522,313.467325953013,"Decrease"
2020-05-01,846.935776024668,"Gonorrhoea",742.414495176658,692.411791562957,966.172149615457,1035.94453105914,492,354.935776024668,"Decrease"
2020-06-01,877.176830603714,"Gonorrhoea",763.841682913001,709.899569738654,1007.3281013071,1083.870486682,503,374.176830603714,"Decrease"
2020-07-01,815.23989575743,"Gonorrhoea",703.920514104827,651.283629975734,944.163544487369,1020.47104678395,606,209.23989575743,"Decrease"
2020-08-01,842.979620336636,"Gonorrhoea",723.751637401065,667.62229291988,981.84874973777,1064.39621300689,647,195.979620336636,"Decrease"
2020-09-01,802.227778502277,"Gonorrhoea",683.705520481652,628.225847339363,941.296200369015,1024.42363892909,676,126.227778502277,"Decrease"
2020-10-01,808.352062150444,"Gonorrhoea",685.489428474283,628.200275850761,953.235789262635,1040.16677722394,684,124.352062150444,"Decrease"
2020-11-01,753.163365066378,"Gonorrhoea",634.512258838736,579.467398586228,894.001725855199,978.924881472343,712,41.1633650663781,"Decrease"
2020-12-01,662.750882391701,"Gonorrhoea",555.840834611252,506.415282149139,790.223935990913,867.348888538522,534,128.750882391701,"Decrease"
2021-01-01,953.3451378406,"Gonorrhoea",794.831452297799,721.885212351666,1143.47129723773,1259.01865877474,717,236.3451378406,"Decrease"
2021-02-01,843.506840166207,"Gonorrhoea",700.372119101523,634.71273873646,1015.89393695445,1120.98551988036,630,213.506840166207,"Decrease"
2021-03-01,880.034945293387,"Gonorrhoea",726.715840071962,656.682528402555,1065.70059744514,1179.35451521984,641,239.034945293387,"Decrease"
2021-04-01,833.90664413416,"Gonorrhoea",686.014425386766,618.658823166084,1013.68173233243,1124.04489371424,517,316.90664413416,"Decrease"
2021-05-01,841.820580995237,"Gonorrhoea",689.023734348709,619.707732851777,1028.50142202578,1143.5421135154,445,396.820580995237,"Decrease"
2021-06-01,876.020886397884,"Gonorrhoea",714.479555134916,641.398122529525,1074.08614828793,1196.46841244068,474,402.020886397884,"Decrease"
2021-07-01,810.798499527813,"Gonorrhoea",658.1587183313,589.358113467711,998.838408618692,1115.44100575544,355,455.798499527813,"Decrease"
2021-08-01,842.261209853599,"Gonorrhoea",681.421730603984,609.112911624348,1041.06445944314,1164.65097371233,328,514.261209853599,"Decrease"
2021-09-01,798.26808460381,"Gonorrhoea",642.955748252895,573.373473543297,991.097655831816,1111.37323978228,306,492.26808460381,"Decrease"
2021-10-01,807.980975186248,"Gonorrhoea",648.725693311977,577.552053603522,1006.33174081633,1130.34531206269,324,483.980975186248,"Decrease"
2021-11-01,749.780099123834,"Gonorrhoea",599.460262281245,532.500292449672,937.793933000344,1055.71810008964,335,414.780099123834,"Decrease"
2021-12-01,662.666172123808,"Gonorrhoea",528.218663868042,468.469173931947,831.33460764446,937.364676509132,350,312.666172123808,"Decrease"
2022-01-01,949.429868857401,"Gonorrhoea",753.772677865061,667.092111841886,1195.87390515626,1351.26328115275,527,422.429868857401,"Decrease"
2022-02-01,843.633804391201,"Gonorrhoea",667.845485659552,590.142371509424,1065.69260584084,1206.01066839378,418,425.633804391201,"Decrease"
2022-03-01,876.715487138977,"Gonorrhoea",691.363002396916,609.677934061175,1111.76045395044,1260.71488313403,386,490.715487138977,"Decrease"
2022-04-01,834.226571530065,"Gonorrhoea",656.030304768769,577.668907731044,1060.82595207565,1204.72811212963,370,464.226571530065,"Decrease"
2022-05-01,838.890867080439,"Gonorrhoea",657.263082938337,577.622507617411,1070.7095912414,1218.33529267023,499,339.890867080439,"Decrease"
2022-06-01,876.527378823952,"Gonorrhoea",684.909350798527,601.063884394417,1121.75464524208,1278.23392117805,548,328.527378823952,"Decrease"
2022-07-01,808.183253398059,"Gonorrhoea",629.262023696615,551.189191672302,1037.97805441375,1185.00177605332,595,213.183253398059,"Decrease"
2022-08-01,842.884270462756,"Gonorrhoea",654.576185606478,572.573824795999,1085.36471233716,1240.80749525471,678,164.884270462756,"Decrease"
2022-09-01,795.87116348218,"Gonorrhoea",615.946534034743,537.804566154077,1028.35371880955,1177.77153398324,753,42.87116348218,"Decrease"
2022-10-01,808.686511723227,"Gonorrhoea",624.286259969348,544.358118534758,1047.55448930622,1201.36698981063,706,102.686511723227,"Decrease"
2022-11-01,747.675371637077,"Gonorrhoea",575.272494288882,500.738099235219,971.745506524985,1116.3889111023,784,-36.3246283629232,"Increase"
2022-12-01,663.317375583656,"Gonorrhoea",509.113627116577,442.574935140272,864.227389164817,994.159193881453,651,12.3173755836565,"Decrease"
2023-01-01,946.928024853753,"Gonorrhoea",724.459416751159,628.705155069273,1237.71278765974,1426.22130107177,1036,-89.0719751462473,"Increase"
2023-02-01,844.537986790668,"Gonorrhoea",644.573863933913,558.667244522244,1106.5363506665,1276.68915284693,917,-72.4620132093321,"Increase"
2023-03-01,874.538352111862,"Gonorrhoea",665.376574791899,575.738819382962,1149.45033878557,1328.41021582358,1091,-216.461647888138,"Increase"
2023-04-01,835.180468021812,"Gonorrhoea",633.941534664402,547.857207288466,1100.30085745114,1273.19017599026,981,-145.819531978188,"Increase"
2023-05-01,836.920430559474,"Gonorrhoea",633.323058904783,546.437639340097,1105.96921624665,1281.82203541786,1134,-297.079569440526,"Increase"
2023-06-01,877.579504780566,"Gonorrhoea",662.566027437162,570.973468252869,1162.36836076529,1348.82937655139,1008,-130.420495219434,"Increase"
2023-07-01,806.381485026084,"Gonorrhoea",607.000739806875,522.265060037395,1071.25256486468,1245.05954762954,1051,-244.618514973916,"Increase"
2023-08-01,843.933361291762,"Gonorrhoea",633.837857808952,544.705624034152,1123.66831599997,1307.53839665984,1059,-215.066638708238,"Increase"
2023-09-01,794.181644398643,"Gonorrhoea",594.740064051626,510.319851159751,1060.50444962958,1235.9395443198,1020,-225.818355601357,"Increase"
2023-10-01,809.720237549982,"Gonorrhoea",605.037154826787,518.547996740408,1083.64727334093,1264.38992575305,1025,-215.279762450018,"Increase"
2023-11-01,746.159509925962,"Gonorrhoea",555.962592222969,475.772890293226,1001.42351669169,1170.20962230491,990,-243.840490074038,"Increase"
2023-12-01,664.181584385831,"Gonorrhoea",493.80739541748,422.097175869115,893.338538731931,1045.10809893232,770,-105.818415614169,"Increase"
2024-01-01,945.08945108675,"Gonorrhoea",700.71302456539,598.07818251266,1274.69311864076,1493.440317122,1410,-464.91054891325,"Increase"
2024-02-01,845.65258715706,"Gonorrhoea",625.647130885735,533.402468681717,1143.02178154803,1340.69176682448,1226,-380.34741284294,"Increase"
2024-03-01,872.90811552641,"Gonorrhoea",644.051120202679,548.300005138386,1183.08710947057,1389.69281599688,1387,-514.09188447359,"Increase"
2024-04-01,836.291436548277,"Gonorrhoea",615.735696569229,523.609844714268,1135.84996085305,1335.69560218187,1365,-528.708563451723,"Increase"
2024-05-01,835.419170168164,"Gonorrhoea",613.450729406418,520.928758277013,1137.70374119497,1339.77089725834,1464,-628.580829831836,"Increase"
2024-06-01,878.751238207667,"Gonorrhoea",643.931237347193,546.21145647668,1199.20217232008,1413.74504231856,1345,-466.248761792333,"Increase"
2024-07-01,804.986685515039,"Gonorrhoea",588.333051107904,498.358203143001,1101.42301649757,1300.27670813828,1341,-536.013314484961,"Increase"
2024-08-01,845.060487886355,"Gonorrhoea",616.358642164479,521.532434277141,1158.62288501206,1369.28632094862,1383,-537.939512113645,"Increase"
2024-09-01,792.854549381281,"Gonorrhoea",576.795094805551,487.391262031496,1089.84688346997,1289.76119484467,1342,-549.145450618719,"Increase"
2024-10-01,810.798850163808,"Gonorrhoea",588.660042802924,496.885922712891,1116.76473282737,1323.02958360687,1411,-600.201149836192,"Increase"
2024-11-01,744.952934699615,"Gonorrhoea",539.489717445247,454.772859587453,1028.6662692026,1220.2902244892,1388,-643.047065300385,"Increase"
2024-12-01,665.061871120416,"Gonorrhoea",480.675019405871,404.767005882582,920.17948626682,1092.74542141534,789,-123.938128879584,"Increase"
