"date","mean","lower_80","lower_95","upper_80","upper_95","Shortname","value","diff","color"
2020-01-01,473.129811251334,403.903174318701,371.45659229813,554.221488039338,602.63250925174,"CA",499,-25.8701887486662,"Increase"
2020-02-01,377.986489462781,322.099960423916,295.942415238942,443.569710559294,482.775630864001,"CA",365,12.9864894627806,"Decrease"
2020-03-01,346.489315613359,294.5210510397,270.244575007066,407.627384903062,444.245165073435,"CA",345,1.48931561335945,"Decrease"
2020-04-01,359.804108754538,305.005419281732,279.46078038465,424.448185155251,463.245670818138,"CA",287,72.8041087545383,"Decrease"
2020-05-01,351.324258307754,297.264981245883,272.101217359127,415.214513186804,453.613312257214,"CA",359,-7.67574169224577,"Increase"
2020-06-01,405.05451889658,342.126233609144,312.873911424851,479.557388943105,524.393876534342,"CA",336,69.05451889658,"Decrease"
2020-07-01,338.935251671186,285.815246755566,261.153327514889,401.927840202505,439.883749208062,"CA",328,10.9352516711864,"Decrease"
2020-08-01,373.431738816081,314.565415828629,287.258521920158,443.314034341185,485.455618942305,"CA",286,87.4317388160814,"Decrease"
2020-09-01,345.303324297222,290.514574506828,265.123327381986,410.424798732122,449.731779350074,"CA",325,20.3033242972224,"Decrease"
2020-10-01,361.198637060301,303.648789900558,276.99420236193,429.655772568516,471.000671861535,"CA",315,46.198637060301,"Decrease"
2020-11-01,289.913119145277,243.561923310541,222.10494004434,345.085206710986,378.422995165096,"CA",267,22.9131191452766,"Decrease"
2020-12-01,265.790213758948,223.139766898838,203.406635008598,316.5927737213,347.306456974922,"CA",230,35.7902137589483,"Decrease"
2021-01-01,483.233868377889,405.627643993497,369.725827355778,575.6880109266,631.589557098356,"CA",370,113.233868377889,"Decrease"
2021-02-01,386.058686546489,324.040339293932,295.35096214354,459.946776326533,504.624425044419,"CA",297,89.0586865464886,"Decrease"
2021-03-01,353.888865917407,296.971061976803,270.64580023215,421.715599448175,462.735166453292,"CA",369,-15.1111340825931,"Increase"
2021-04-01,367.48800687884,308.288004053504,280.913731601811,438.056082053535,480.743445433309,"CA",220,147.48800687884,"Decrease"
2021-05-01,358.827062594168,300.997991893633,274.259315698366,427.766511131606,469.471239371018,"CA",242,116.827062594168,"Decrease"
2021-06-01,413.704774917177,347.008954356257,316.172076477425,493.219666641683,541.324340517758,"CA",242,171.704774917177,"Decrease"
2021-07-01,346.173479032155,290.351898144959,264.543623429117,412.727033475075,452.991744922309,"CA",191,155.173479032155,"Decrease"
