age_group-value,age_group-alias,SUM(count_report)-value,SUM(count_report)-alias
60+,60+,3601,3601
50-59,50-59,2547,2547
40-49,40-49,3956,3956
30-39,30-39,6385,6385
20-29,20-29,7757,7757
15-19,15-19,4370,4370
10-14,10-14,7963,7963
5-9,5-9,10173,10173
0-4,0-4,6304,6304
