week-value,week-alias,week-[sqlproxy.00zmvad0bhyfij1dzcbc70et12r3].[none:week:nk]-value,week-[sqlproxy.00zmvad0bhyfij1dzcbc70et12r3].[none:week:nk]-alias,SUM(count_report)-value,SUM(count_report)-alias,SUM(count_report)-[sqlproxy.00zmvad0bhyfij1dzcbc70et12r3].[sum:count_report:qk]-value,SUM(count_report)-[sqlproxy.00zmvad0bhyfij1dzcbc70et12r3].[sum:count_report:qk]-alias,SUM(count_report_new)-alias,SUM(count_report_new)-[sqlproxy.00zmvad0bhyfij1dzcbc70et12r3].[sum:count_report_new:qk]-alias
1,1,1,1,5629,5629,5629,5629,5629,5629
2,2,2,2,11765,11765,11765,11765,11765,11765
3,3,3,3,14546,14546,14546,14546,14546,14546
4,4,4,4,16034,16034,16034,16034,16034,16034
5,5,5,5,18357,18357,18357,18357,18357,18357
6,6,6,6,21594,21594,21594,21594,21594,21594
7,7,7,7,22183,22183,22183,22183,22183,22183
8,8,8,8,26859,26859,26859,26859,26859,26859
9,9,9,9,28163,28163,28163,28163,28163,28163
10,10,10,10,28631,28631,28631,28631,28631,28631
11,11,11,11,28626,28626,28626,28626,28626,28626
12,12,12,12,25147,25147,25147,25147,25147,25147
13,13,13,13,18735,18735,18735,18735,18735,18735
14,14,14,14,13922,13922,13922,13922,13922,13922
15,15,15,15,13533,13533,13533,13533,13533,13533
16,16,16,16,8461,8461,8461,8461,8461,8461
17,17,17,17,15575,15575,15575,15575,15575,15575
18,18,18,18,14803,14803,14803,14803,14803,14803
19,19,19,19,9499,9499,9499,9499,9499,9499
20,20,20,20,8896,8896,8896,8896,8896,8896
21,21,21,21,11384,11384,11384,11384,11384,11384
22,22,22,22,8762,8762,8762,8762,8762,8762
23,23,23,23,9099,9099,9099,9099,9099,9099
24,24,24,24,7193,7193,7193,7193,7193,7193
25,25,25,25,6982,6982,6982,6982,6982,6982
26,26,26,26,6682,6682,6682,6682,6682,6682
27,27,27,27,8233,8233,8233,8233,8233,8233
28,28,28,28,7366,7366,7366,7366,7366,7366
29,29,29,29,8752,8752,8752,8752,8752,8752
30,30,30,30,8717,8717,8717,8717,8717,8717
31,31,31,31,8987,8987,8987,8987,8987,8987
32,32,32,32,8977,8977,8977,8977,8977,8977
33,33,33,33,10228,10228,10228,10228,10228,10228
34,34,34,34,10303,10303,10303,10303,10303,10303
35,35,35,35,13425,13425,13425,13425,13425,13425
36,36,36,36,18333,18333,18333,18333,18333,18333
37,37,37,37,25672,25672,25672,25672,25672,25672
38,38,38,38,37959,37959,37959,37959,37959,37959
39,39,39,39,52638,52638,52638,52638,52638,52638
40,40,40,40,59841,59841,59841,59841,59841,59841
41,41,41,41,59233,59233,59233,59233,59233,59233
42,42,42,42,54311,54311,54311,54311,54311,54311
43,43,43,43,36737,36737,36737,36737,36737,36737
44,44,44,44,40257,40257,40257,40257,40257,40257
45,45,45,45,32420,32420,32420,32420,32420,32420
46,46,46,46,53056,53056,53056,53056,53056,53056
47,47,0,0,22410,22410,0,0,%null%,0
