"Shortname","Group","Absolute_Suppression"
"Pneumonia","Respiratory IDs",208566.151363084
"Influenza","Respiratory IDs",1233435.52803022
"Chickenpox","Respiratory IDs",198994.910071112
"Mumps","Respiratory IDs",8179.716350703
"Scarlet fever","Respiratory IDs",8600.00859599406
"Rubella","Respiratory IDs",1906.1196847482
"Dengue fever","Vector-borne and zoonotic IDs",137280.410343388
"Scrub Typhus","Vector-borne and zoonotic IDs",4027.18165844523
"Leptospirosis","Vector-borne and zoonotic IDs",710.483368250585
"Melioidosis","Vector-borne and zoonotic IDs",941.808742228531
"S. suis","Vector-borne and zoonotic IDs",31.4334749638212
"HFMD","Gastrointestinal IDs",57740.5466290565
"Amebiasis","Gastrointestinal IDs",249.868633941053
"Shigellosis","Gastrointestinal IDs",684.322051325585
"Typhoid","Gastrointestinal IDs",1042.49991372976
"HAV","Gastrointestinal IDs",1161.73959105307
"Gonorrhoea","Sexually IDs",8799.23152575949
"Syphilis","Sexually IDs",2103.174118453
"HBV","Sexually IDs",4501.92785514261
"CA (HPV)","Sexually IDs",3622.00955535986
"Genital herpes","Sexually IDs",1638.11793719671
"Chancroid","Sexually IDs",1615.14096911446
"HCV","Sexually IDs",163.934353869906
