"Shortname","Group","Max_Deficit_Raw"
"Pneumonia","Respiratory IDs",213705.771933232
"Influenza","Respiratory IDs",1463430.69537175
"Chickenpox","Respiratory IDs",176140.761078267
"Mumps","Respiratory IDs",3745.37810794006
"Scarlet fever","Respiratory IDs",8693.5799836956
"Rubella","Respiratory IDs",2012.62855184469
"Dengue fever","Vector-borne and zoonotic IDs",136125.791770204
"Scrub Typhus","Vector-borne and zoonotic IDs",1649.43203417845
"Leptospirosis","Vector-borne and zoonotic IDs",1187.79081815276
"Melioidosis","Vector-borne and zoonotic IDs",1107.6536707272
"S. suis","Vector-borne and zoonotic IDs",26.0660434837536
"HFMD","Gastrointestinal IDs",46938.627107558
"Amebiasis","Gastrointestinal IDs",276.479934279954
"Shigellosis","Gastrointestinal IDs",249.981486597994
"Typhoid","Gastrointestinal IDs",1022.06275048809
"HAV","Gastrointestinal IDs",632.559010419041
"Gonorrhoea","Sexually IDs",9741.16384132806
"Syphilis","Sexually IDs",38963.8163321939
"HBV","Sexually IDs",4766.90063322547
"CA (HPV)","Sexually IDs",3838.25573626451
"Genital herpes","Sexually IDs",1593.89137962986
"Chancroid","Sexually IDs",1555.2090518217
"HCV","Sexually IDs",146.669525368677
