disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
Chancroid,race_STDChancroid_56.rtf,http://doe1.moph.go.th/surdata/y56/race_STDChancroid_56.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_56.rtf,yes,84457,skip,
Chancroid,race_STDChancroid_57.rtf,http://doe1.moph.go.th/surdata/y57/race_STDChancroid_57.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_57.rtf,yes,76348,skip,
Chancroid,race_STDChancroid_58.rtf,http://doe1.moph.go.th/surdata/y58/race_STDChancroid_58.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_58.rtf,yes,76367,skip,
Chancroid,race_STDChancroid_59.rtf,http://doe1.moph.go.th/surdata/y59/race_STDChancroid_59.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_59.rtf,yes,76368,skip,
Chancroid,race_STDChancroid_60.rtf,http://doe1.moph.go.th/surdata/y60/race_STDChancroid_60.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_60.rtf,yes,76393,skip,
Chancroid,race_STDChancroid_61.rtf,http://doe1.moph.go.th/surdata/y61/race_STDChancroid_61.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_61.rtf,yes,76410,skip,
Chancroid,race_STDChancroid_62.rtf,http://doe1.moph.go.th/surdata/y62/race_STDChancroid_62.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_62.rtf,yes,76409,skip,
Chancroid,race_STDChancroid_63.rtf,http://doe1.moph.go.th/surdata/y63/race_STDChancroid_63.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_63.rtf,yes,76409,skip,
Chancroid,race_STDChancroid_64.rtf,http://doe1.moph.go.th/surdata/y64/race_STDChancroid_64.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_64.rtf,yes,76369,skip,
Chancroid,race_STDChancroid_65.rtf,http://doe1.moph.go.th/surdata/y65/race_STDChancroid_65.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_65.rtf,yes,76382,skip,
Chancroid,race_STDChancroid_66.rtf,http://doe1.moph.go.th/surdata/y66/race_STDChancroid_66.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_66.rtf,yes,76429,skip,
Chancroid,race_STDChancroid_67.rtf,http://doe1.moph.go.th/surdata/y67/race_STDChancroid_67.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_67.rtf,yes,76479,skip,
Chancroid,c_occ_STDChancroid_49.rtf,http://doe1.moph.go.th/surdata/y49/c_occ_STDChancroid_49.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_49.rtf,yes,78937,skip,
Chancroid,c_occ_STDChancroid_50.rtf,http://doe1.moph.go.th/surdata/y50/c_occ_STDChancroid_50.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_50.rtf,yes,78950,skip,
Chancroid,c_occ_STDChancroid_51.rtf,http://doe1.moph.go.th/surdata/y51/c_occ_STDChancroid_51.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_51.rtf,yes,78202,skip,
Chancroid,c_occ_STDChancroid_52.rtf,http://doe1.moph.go.th/surdata/y52/c_occ_STDChancroid_52.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_52.rtf,yes,78317,skip,
Chancroid,c_occ_STDChancroid_53.rtf,http://doe1.moph.go.th/surdata/y53/c_occ_STDChancroid_53.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_53.rtf,yes,78313,skip,
Chancroid,c_occ_STDChancroid_54.rtf,http://doe1.moph.go.th/surdata/y54/c_occ_STDChancroid_54.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_54.rtf,yes,79010,skip,
Chancroid,c_occ_STDChancroid_55.rtf,http://doe1.moph.go.th/surdata/y55/c_occ_STDChancroid_55.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_55.rtf,yes,79031,skip,
Chancroid,c_occ_STDChancroid_56.rtf,http://doe1.moph.go.th/surdata/y56/c_occ_STDChancroid_56.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_56.rtf,yes,79038,skip,
Chancroid,c_occ_STDChancroid_57.rtf,http://doe1.moph.go.th/surdata/y57/c_occ_STDChancroid_57.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_57.rtf,yes,75359,skip,
Chancroid,c_occ_STDChancroid_58.rtf,http://doe1.moph.go.th/surdata/y58/c_occ_STDChancroid_58.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_58.rtf,yes,71509,skip,
Chancroid,c_occ_STDChancroid_59.rtf,http://doe1.moph.go.th/surdata/y59/c_occ_STDChancroid_59.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_59.rtf,yes,72283,skip,
Chancroid,c_occ_STDChancroid_60.rtf,http://doe1.moph.go.th/surdata/y60/c_occ_STDChancroid_60.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_60.rtf,yes,72307,skip,
Chancroid,c_occ_STDChancroid_61.rtf,http://doe1.moph.go.th/surdata/y61/c_occ_STDChancroid_61.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_61.rtf,yes,72330,skip,
Chancroid,c_occ_STDChancroid_62.rtf,http://doe1.moph.go.th/surdata/y62/c_occ_STDChancroid_62.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_62.rtf,yes,72326,skip,
Chancroid,c_occ_STDChancroid_63.rtf,http://doe1.moph.go.th/surdata/y63/c_occ_STDChancroid_63.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_63.rtf,yes,72326,skip,
Chancroid,c_occ_STDChancroid_64.rtf,http://doe1.moph.go.th/surdata/y64/c_occ_STDChancroid_64.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_64.rtf,yes,72335,skip,
Chancroid,c_occ_STDChancroid_65.rtf,http://doe1.moph.go.th/surdata/y65/c_occ_STDChancroid_65.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_65.rtf,yes,72352,skip,
Chancroid,c_occ_STDChancroid_66.rtf,http://doe1.moph.go.th/surdata/y66/c_occ_STDChancroid_66.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_66.rtf,yes,72405,skip,
Chancroid,c_occ_STDChancroid_67.rtf,http://doe1.moph.go.th/surdata/y67/c_occ_STDChancroid_67.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_67.rtf,yes,72460,skip,
Chancroid,d_occ_STDChancroid_49.rtf,http://doe1.moph.go.th/surdata/y49/d_occ_STDChancroid_49.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_49.rtf,yes,79059,skip,
Chancroid,d_occ_STDChancroid_50.rtf,http://doe1.moph.go.th/surdata/y50/d_occ_STDChancroid_50.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_50.rtf,yes,78942,skip,
Chancroid,d_occ_STDChancroid_51.rtf,http://doe1.moph.go.th/surdata/y51/d_occ_STDChancroid_51.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_51.rtf,yes,78175,skip,
Chancroid,d_occ_STDChancroid_52.rtf,http://doe1.moph.go.th/surdata/y52/d_occ_STDChancroid_52.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_52.rtf,yes,78292,skip,
Chancroid,d_occ_STDChancroid_53.rtf,http://doe1.moph.go.th/surdata/y53/d_occ_STDChancroid_53.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_53.rtf,yes,78292,skip,
Chancroid,d_occ_STDChancroid_54.rtf,http://doe1.moph.go.th/surdata/y54/d_occ_STDChancroid_54.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_54.rtf,yes,78985,skip,
Chancroid,d_occ_STDChancroid_55.rtf,http://doe1.moph.go.th/surdata/y55/d_occ_STDChancroid_55.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_55.rtf,yes,78984,skip,
Chancroid,d_occ_STDChancroid_56.rtf,http://doe1.moph.go.th/surdata/y56/d_occ_STDChancroid_56.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_56.rtf,yes,78984,skip,
Chancroid,d_occ_STDChancroid_57.rtf,http://doe1.moph.go.th/surdata/y57/d_occ_STDChancroid_57.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_57.rtf,yes,75299,skip,
Chancroid,d_occ_STDChancroid_58.rtf,http://doe1.moph.go.th/surdata/y58/d_occ_STDChancroid_58.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_58.rtf,yes,71448,skip,
Chancroid,d_occ_STDChancroid_59.rtf,http://doe1.moph.go.th/surdata/y59/d_occ_STDChancroid_59.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_59.rtf,yes,72211,skip,
Chancroid,d_occ_STDChancroid_60.rtf,http://doe1.moph.go.th/surdata/y60/d_occ_STDChancroid_60.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_60.rtf,yes,72211,skip,
Chancroid,d_occ_STDChancroid_61.rtf,http://doe1.moph.go.th/surdata/y61/d_occ_STDChancroid_61.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_61.rtf,yes,72212,skip,
Chancroid,d_occ_STDChancroid_62.rtf,http://doe1.moph.go.th/surdata/y62/d_occ_STDChancroid_62.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_62.rtf,yes,72212,skip,
Chancroid,d_occ_STDChancroid_63.rtf,http://doe1.moph.go.th/surdata/y63/d_occ_STDChancroid_63.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_63.rtf,yes,72212,skip,
Chancroid,d_occ_STDChancroid_64.rtf,http://doe1.moph.go.th/surdata/y64/d_occ_STDChancroid_64.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_64.rtf,yes,72262,skip,
Chancroid,d_occ_STDChancroid_65.rtf,http://doe1.moph.go.th/surdata/y65/d_occ_STDChancroid_65.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_65.rtf,yes,72262,skip,
Chancroid,d_occ_STDChancroid_66.rtf,http://doe1.moph.go.th/surdata/y66/d_occ_STDChancroid_66.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_66.rtf,yes,72261,skip,
Chancroid,d_occ_STDChancroid_67.rtf,http://doe1.moph.go.th/surdata/y67/d_occ_STDChancroid_67.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_67.rtf,yes,72263,skip,
Chancroid,d40_5067.pdf,http://doe1.moph.go.th/surdata/506wk/y67/d40_5067.pdf,,Code/Data/GetData/Chancroid/d40_5067.pdf,no,,download,success
Chancroid,d40_5366.pdf,http://doe1.moph.go.th/surdata/506wk/y66/d40_5366.pdf,,Code/Data/GetData/Chancroid/d40_5366.pdf,no,,download,success
Chancroid,mcd_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/mcd_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/mcd_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,rate_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/rate_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/rate_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,ac_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/ac_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/ac_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,ad_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/ad_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/ad_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,race_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/race_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/race_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,c_occ_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/c_occ_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/c_occ_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,d_occ_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/d_occ_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/d_occ_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,csa_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/csa_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/csa_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,dsa_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/dsa_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/dsa_STDChancroid_68.rtf,no,,download,HTTP 404
Chancroid,Am_mcd_STDChancroid_68.rtf,http://doe1.moph.go.th/surdata/y68/Am_mcd_STDChancroid_68.rtf,,Code/Data/GetData/Chancroid/Am_mcd_STDChancroid_68.rtf,no,,download,HTTP 404
Condyloma Acuminata,mcd_Condyloma_46.rtf,http://doe1.moph.go.th/surdata/y46/mcd_Condyloma_46.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_46.rtf,no,,download,HTTP 404
Condyloma Acuminata,mcd_Condyloma_47.rtf,http://doe1.moph.go.th/surdata/y47/mcd_Condyloma_47.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_47.rtf,no,,download,HTTP 404
Condyloma Acuminata,mcd_Condyloma_48.rtf,http://doe1.moph.go.th/surdata/y48/mcd_Condyloma_48.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_48.rtf,no,,download,HTTP 404
Condyloma Acuminata,mcd_Condyloma_49.rtf,http://doe1.moph.go.th/surdata/y49/mcd_Condyloma_49.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_49.rtf,no,,download,HTTP 404
Condyloma Acuminata,mcd_Condyloma_50.rtf,http://doe1.moph.go.th/surdata/y50/mcd_Condyloma_50.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_50.rtf,yes,117300,skip,
Condyloma Acuminata,mcd_Condyloma_51.rtf,http://doe1.moph.go.th/surdata/y51/mcd_Condyloma_51.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_51.rtf,yes,116173,skip,
Condyloma Acuminata,mcd_Condyloma_52.rtf,http://doe1.moph.go.th/surdata/y52/mcd_Condyloma_52.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_52.rtf,yes,116205,skip,
Condyloma Acuminata,mcd_Condyloma_53.rtf,http://doe1.moph.go.th/surdata/y53/mcd_Condyloma_53.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_53.rtf,yes,117363,skip,
Condyloma Acuminata,mcd_Condyloma_54.rtf,http://doe1.moph.go.th/surdata/y54/mcd_Condyloma_54.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_54.rtf,yes,118511,skip,
Condyloma Acuminata,mcd_Condyloma_55.rtf,http://doe1.moph.go.th/surdata/y55/mcd_Condyloma_55.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_55.rtf,yes,118573,skip,
Condyloma Acuminata,mcd_Condyloma_56.rtf,http://doe1.moph.go.th/surdata/y56/mcd_Condyloma_56.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_56.rtf,yes,118623,skip,
Condyloma Acuminata,mcd_Condyloma_57.rtf,http://doe1.moph.go.th/surdata/y57/mcd_Condyloma_57.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_57.rtf,yes,107137,skip,
Condyloma Acuminata,mcd_Condyloma_58.rtf,http://doe1.moph.go.th/surdata/y58/mcd_Condyloma_58.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_58.rtf,yes,107156,skip,
Condyloma Acuminata,mcd_Condyloma_59.rtf,http://doe1.moph.go.th/surdata/y59/mcd_Condyloma_59.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_59.rtf,yes,107188,skip,
Condyloma Acuminata,mcd_Condyloma_60.rtf,http://doe1.moph.go.th/surdata/y60/mcd_Condyloma_60.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_60.rtf,yes,107208,skip,
Condyloma Acuminata,mcd_Condyloma_61.rtf,http://doe1.moph.go.th/surdata/y61/mcd_Condyloma_61.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_61.rtf,yes,107185,skip,
Condyloma Acuminata,mcd_Condyloma_62.rtf,http://doe1.moph.go.th/surdata/y62/mcd_Condyloma_62.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_62.rtf,yes,107191,skip,
Condyloma Acuminata,mcd_Condyloma_63.rtf,http://doe1.moph.go.th/surdata/y63/mcd_Condyloma_63.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_63.rtf,yes,107166,skip,
Condyloma Acuminata,mcd_Condyloma_64.rtf,http://doe1.moph.go.th/surdata/y64/mcd_Condyloma_64.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_64.rtf,yes,107138,skip,
Condyloma Acuminata,mcd_Condyloma_65.rtf,http://doe1.moph.go.th/surdata/y65/mcd_Condyloma_65.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_65.rtf,yes,107163,skip,
Condyloma Acuminata,mcd_Condyloma_66.rtf,http://doe1.moph.go.th/surdata/y66/mcd_Condyloma_66.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_66.rtf,yes,107278,skip,
Condyloma Acuminata,mcd_Condyloma_67.rtf,http://doe1.moph.go.th/surdata/y67/mcd_Condyloma_67.rtf,,Code/Data/GetData/Condyloma Acuminata/mcd_Condyloma_67.rtf,yes,107467,skip,
Condyloma Acuminata,rate_Condyloma_46.rtf,http://doe1.moph.go.th/surdata/y46/rate_Condyloma_46.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_46.rtf,no,,download,HTTP 404
Condyloma Acuminata,rate_Condyloma_47.rtf,http://doe1.moph.go.th/surdata/y47/rate_Condyloma_47.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_47.rtf,no,,download,HTTP 404
Condyloma Acuminata,rate_Condyloma_48.rtf,http://doe1.moph.go.th/surdata/y48/rate_Condyloma_48.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_48.rtf,no,,download,HTTP 404
Condyloma Acuminata,rate_Condyloma_49.rtf,http://doe1.moph.go.th/surdata/y49/rate_Condyloma_49.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_49.rtf,no,,download,HTTP 404
Condyloma Acuminata,rate_Condyloma_50.rtf,http://doe1.moph.go.th/surdata/y50/rate_Condyloma_50.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_50.rtf,yes,34545,skip,
Condyloma Acuminata,rate_Condyloma_51.rtf,http://doe1.moph.go.th/surdata/y51/rate_Condyloma_51.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_51.rtf,yes,35347,skip,
Condyloma Acuminata,rate_Condyloma_52.rtf,http://doe1.moph.go.th/surdata/y52/rate_Condyloma_52.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_52.rtf,yes,35356,skip,
Condyloma Acuminata,rate_Condyloma_53.rtf,http://doe1.moph.go.th/surdata/y53/rate_Condyloma_53.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_53.rtf,yes,35686,skip,
Condyloma Acuminata,rate_Condyloma_54.rtf,http://doe1.moph.go.th/surdata/y54/rate_Condyloma_54.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_54.rtf,yes,36023,skip,
Condyloma Acuminata,rate_Condyloma_55.rtf,http://doe1.moph.go.th/surdata/y55/rate_Condyloma_55.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_55.rtf,yes,36028,skip,
Condyloma Acuminata,rate_Condyloma_56.rtf,http://doe1.moph.go.th/surdata/y56/rate_Condyloma_56.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_56.rtf,yes,36039,skip,
Condyloma Acuminata,rate_Condyloma_57.rtf,http://doe1.moph.go.th/surdata/y57/rate_Condyloma_57.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_57.rtf,yes,31632,skip,
Condyloma Acuminata,rate_Condyloma_58.rtf,http://doe1.moph.go.th/surdata/y58/rate_Condyloma_58.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_58.rtf,yes,31635,skip,
Condyloma Acuminata,rate_Condyloma_59.rtf,http://doe1.moph.go.th/surdata/y59/rate_Condyloma_59.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_59.rtf,yes,31644,skip,
Condyloma Acuminata,rate_Condyloma_60.rtf,http://doe1.moph.go.th/surdata/y60/rate_Condyloma_60.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_60.rtf,yes,31644,skip,
Condyloma Acuminata,rate_Condyloma_61.rtf,http://doe1.moph.go.th/surdata/y61/rate_Condyloma_61.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_61.rtf,yes,31642,skip,
Condyloma Acuminata,rate_Condyloma_62.rtf,http://doe1.moph.go.th/surdata/y62/rate_Condyloma_62.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_62.rtf,yes,31648,skip,
Condyloma Acuminata,rate_Condyloma_63.rtf,http://doe1.moph.go.th/surdata/y63/rate_Condyloma_63.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_63.rtf,yes,31644,skip,
Condyloma Acuminata,rate_Condyloma_64.rtf,http://doe1.moph.go.th/surdata/y64/rate_Condyloma_64.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_64.rtf,yes,31652,skip,
Condyloma Acuminata,rate_Condyloma_65.rtf,http://doe1.moph.go.th/surdata/y65/rate_Condyloma_65.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_65.rtf,yes,31655,skip,
Condyloma Acuminata,rate_Condyloma_66.rtf,http://doe1.moph.go.th/surdata/y66/rate_Condyloma_66.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_66.rtf,yes,31685,skip,
Condyloma Acuminata,rate_Condyloma_67.rtf,http://doe1.moph.go.th/surdata/y67/rate_Condyloma_67.rtf,,Code/Data/GetData/Condyloma Acuminata/rate_Condyloma_67.rtf,yes,31744,skip,
Condyloma Acuminata,ac_Condyloma_46.rtf,http://doe1.moph.go.th/surdata/y46/ac_Condyloma_46.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_46.rtf,no,,download,HTTP 404
Condyloma Acuminata,ac_Condyloma_47.rtf,http://doe1.moph.go.th/surdata/y47/ac_Condyloma_47.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_47.rtf,no,,download,HTTP 404
Condyloma Acuminata,ac_Condyloma_48.rtf,http://doe1.moph.go.th/surdata/y48/ac_Condyloma_48.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_48.rtf,no,,download,HTTP 404
Condyloma Acuminata,ac_Condyloma_49.rtf,http://doe1.moph.go.th/surdata/y49/ac_Condyloma_49.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_49.rtf,no,,download,HTTP 404
Condyloma Acuminata,ac_Condyloma_50.rtf,http://doe1.moph.go.th/surdata/y50/ac_Condyloma_50.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_50.rtf,yes,80535,skip,
Condyloma Acuminata,ac_Condyloma_51.rtf,http://doe1.moph.go.th/surdata/y51/ac_Condyloma_51.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_51.rtf,yes,79742,skip,
Condyloma Acuminata,ac_Condyloma_52.rtf,http://doe1.moph.go.th/surdata/y52/ac_Condyloma_52.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_52.rtf,yes,79772,skip,
Condyloma Acuminata,ac_Condyloma_53.rtf,http://doe1.moph.go.th/surdata/y53/ac_Condyloma_53.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_53.rtf,yes,80592,skip,
Condyloma Acuminata,ac_Condyloma_54.rtf,http://doe1.moph.go.th/surdata/y54/ac_Condyloma_54.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_54.rtf,yes,81415,skip,
Condyloma Acuminata,ac_Condyloma_55.rtf,http://doe1.moph.go.th/surdata/y55/ac_Condyloma_55.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_55.rtf,yes,81441,skip,
Condyloma Acuminata,ac_Condyloma_56.rtf,http://doe1.moph.go.th/surdata/y56/ac_Condyloma_56.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_56.rtf,yes,81476,skip,
Condyloma Acuminata,ac_Condyloma_57.rtf,http://doe1.moph.go.th/surdata/y57/ac_Condyloma_57.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_57.rtf,yes,73287,skip,
Condyloma Acuminata,ac_Condyloma_58.rtf,http://doe1.moph.go.th/surdata/y58/ac_Condyloma_58.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_58.rtf,yes,73298,skip,
Condyloma Acuminata,ac_Condyloma_59.rtf,http://doe1.moph.go.th/surdata/y59/ac_Condyloma_59.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_59.rtf,yes,73330,skip,
Condyloma Acuminata,ac_Condyloma_60.rtf,http://doe1.moph.go.th/surdata/y60/ac_Condyloma_60.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_60.rtf,yes,73331,skip,
Condyloma Acuminata,ac_Condyloma_61.rtf,http://doe1.moph.go.th/surdata/y61/ac_Condyloma_61.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_61.rtf,yes,73320,skip,
Condyloma Acuminata,ac_Condyloma_62.rtf,http://doe1.moph.go.th/surdata/y62/ac_Condyloma_62.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_62.rtf,yes,73323,skip,
Condyloma Acuminata,ac_Condyloma_63.rtf,http://doe1.moph.go.th/surdata/y63/ac_Condyloma_63.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_63.rtf,yes,73314,skip,
Condyloma Acuminata,ac_Condyloma_64.rtf,http://doe1.moph.go.th/surdata/y64/ac_Condyloma_64.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_64.rtf,yes,73248,skip,
Condyloma Acuminata,ac_Condyloma_65.rtf,http://doe1.moph.go.th/surdata/y65/ac_Condyloma_65.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_65.rtf,yes,73250,skip,
Condyloma Acuminata,ac_Condyloma_66.rtf,http://doe1.moph.go.th/surdata/y66/ac_Condyloma_66.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_66.rtf,yes,73339,skip,
Condyloma Acuminata,ac_Condyloma_67.rtf,http://doe1.moph.go.th/surdata/y67/ac_Condyloma_67.rtf,,Code/Data/GetData/Condyloma Acuminata/ac_Condyloma_67.rtf,yes,73462,skip,
Condyloma Acuminata,ad_Condyloma_46.rtf,http://doe1.moph.go.th/surdata/y46/ad_Condyloma_46.rtf,,Code/Data/GetData/Condyloma Acuminata/ad_Condyloma_46.rtf,no,,download,HTTP 404
Condyloma Acuminata,ad_Condyloma_47.rtf,http://doe1.moph.go.th/surdata/y47/ad_Condyloma_47.rtf,,Code/Data/GetData/Condyloma Acuminata/ad_Condyloma_47.rtf,no,,download,HTTP 404
