disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
DHF Total,trate_DHF_Total_54.rtf,http://doe1.moph.go.th/surdata/y54/trate_DHF_Total_54.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_54.rtf,yes,36271,skip,
DHF Total,trate_DHF_Total_55.rtf,http://doe1.moph.go.th/surdata/y55/trate_DHF_Total_55.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_55.rtf,yes,36294,skip,
DHF Total,trate_DHF_Total_56.rtf,http://doe1.moph.go.th/surdata/y56/trate_DHF_Total_56.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_56.rtf,yes,36363,skip,
DHF Total,trate_DHF_Total_57.rtf,http://doe1.moph.go.th/surdata/y57/trate_DHF_Total_57.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_57.rtf,yes,31812,skip,
DHF Total,trate_DHF_Total_58.rtf,http://doe1.moph.go.th/surdata/y58/trate_DHF_Total_58.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_58.rtf,yes,31935,skip,
DHF Total,trate_DHF_Total_59.rtf,http://doe1.moph.go.th/surdata/y59/trate_DHF_Total_59.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_59.rtf,yes,31842,skip,
DHF Total,trate_DHF_Total_60.rtf,http://doe1.moph.go.th/surdata/y60/trate_DHF_Total_60.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_60.rtf,yes,31829,skip,
DHF Total,trate_DHF_Total_61.rtf,http://doe1.moph.go.th/surdata/y61/trate_DHF_Total_61.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_61.rtf,yes,31890,skip,
DHF Total,trate_DHF_Total_62.rtf,http://doe1.moph.go.th/surdata/y62/trate_DHF_Total_62.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_62.rtf,yes,31933,skip,
DHF Total,trate_DHF_Total_63.rtf,http://doe1.moph.go.th/surdata/y63/trate_DHF_Total_63.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_63.rtf,yes,31863,skip,
DHF Total,trate_DHF_Total_64.rtf,http://doe1.moph.go.th/surdata/y64/trate_DHF_Total_64.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_64.rtf,yes,31738,skip,
DHF Total,trate_DHF_Total_65.rtf,http://doe1.moph.go.th/surdata/y65/trate_DHF_Total_65.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_65.rtf,yes,31848,skip,
DHF Total,trate_DHF_Total_66.rtf,http://doe1.moph.go.th/surdata/y66/trate_DHF_Total_66.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_66.rtf,yes,31995,skip,
DHF Total,trate_DHF_Total_67.rtf,http://doe1.moph.go.th/surdata/y67/trate_DHF_Total_67.rtf,,Code/Data/GetData/DHF Total/trate_DHF_Total_67.rtf,yes,31944,skip,
DHF Total,tac_DHF_Total_46.rtf,http://doe1.moph.go.th/surdata/y46/tac_DHF_Total_46.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_46.rtf,yes,83489,skip,
DHF Total,tac_DHF_Total_47.rtf,http://doe1.moph.go.th/surdata/y47/tac_DHF_Total_47.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_47.rtf,no,,download,HTTP 404
DHF Total,tac_DHF_Total_48.rtf,http://doe1.moph.go.th/surdata/y48/tac_DHF_Total_48.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_48.rtf,yes,81763,skip,
