"Disease","Cases","Deaths","Count","YearStart","YearEnd"
"Brucellosis",NA,1,145,2013,2026
"Chancroid",NA,0,217,2008,2026
"Chickenpox",NA,18,217,2008,2026
"Chikungunya",NA,1,217,2008,2026
"Cholera",NA,28,217,2008,2026
"Condyloma Acuminata",NA,0,217,2008,2026
"DHF Total",NA,1571,217,2008,2026
"Diphtheria",NA,78,217,2008,2026
"Dysentery,Amoebic",NA,4,217,2008,2026
"Dysentery,Bacillary",NA,1,217,2008,2026
"Encephalitis Total",NA,211,217,2008,2026
"Enterovirus Fever",NA,0,85,2019,2026
"Filariasis",244,0,216,2008,2025
"Genital Herpes Simplex",NA,1,217,2008,2026
"Gonorrhoea",NA,0,217,2008,2026
"HFM",NA,32,217,2008,2026
"HepatitisA",NA,1,217,2008,2026
"HepatitisB",135166,40,216,2008,2025
"HepatitisC",NA,7,217,2008,2026
"HepatitisD",NA,3,217,2008,2026
"HepatitisE",NA,0,217,2008,2026
"Influenza",4077519,842,216,2008,2025
"Japanese B encephalitis",NA,1,97,2018,2026
"Kala azar",23,1,216,2008,2025
"Leprosy",NA,1,217,2008,2026
"Leptospirosis",NA,880,217,2008,2026
"Liver fluke",NA,0,217,2008,2026
"Malaria",NA,155,217,2008,2026
"Measles Total",NA,56,217,2008,2026
"Melioidosis",NA,1102,217,2008,2026
"Meningitis,uns",NA,199,217,2008,2026
"Mumps",95688,0,216,2008,2025
"Paratyphoid",NA,1,217,2008,2026
"Pertussis",NA,15,217,2008,2026
"Pneumonia",NA,12374,217,2008,2026
"Rubella",NA,0,217,2008,2026
"Scarlet fever",28794,0,216,2008,2025
"Scrub Typhus",NA,102,217,2008,2026
"Streptococcus suis",NA,324,157,2013,2026
"Syphilis",NA,19,217,2008,2026
"Trichinosis",235,1,216,2008,2025
"Typhoid",NA,1,217,2008,2026
"Zika virus",NA,0,85,2019,2026
