"Disease","Age","Cases"
"Chancroid","0",4
"Chancroid","1-1",25
"Chancroid","10-14",286
"Chancroid","15-24",5556
"Chancroid","2-2",35
"Chancroid","25-34",3682
"Chancroid","3-3",24
"Chancroid","35-44",2551
"Chancroid","4-4",16
"Chancroid","45-54",1865
"Chancroid","5-5",11
"Chancroid","55-64",1102
"Chancroid","6-6",13
"Chancroid","65+",806
"Chancroid","7-9",29
"Chancroid","<1",13
"Chancroid","Unknown",18
"Chickenpox","0",1550
"Chickenpox","1-1",53555
"Chickenpox","10-14",195807
"Chickenpox","15-24",173945
"Chickenpox","2-2",48872
"Chickenpox","25-34",113031
"Chickenpox","3-3",58117
"Chickenpox","35-44",51727
"Chickenpox","4-4",66313
"Chickenpox","45-54",17902
"Chickenpox","5-5",69497
"Chickenpox","55-64",9386
"Chickenpox","6-6",69459
"Chickenpox","65+",9652
"Chickenpox","7-9",178346
"Chickenpox","<1",32457
"Chickenpox","Unknown",730
"Chikungunya","0",55
"Chikungunya","1-1",511
"Chikungunya","10-14",7616
"Chikungunya","15-24",13580
"Chikungunya","2-2",623
"Chikungunya","25-34",16504
"Chikungunya","3-3",642
"Chikungunya","35-44",16597
"Chikungunya","4-4",672
"Chikungunya","45-54",13446
"Chikungunya","5-5",706
"Chikungunya","55-64",7922
"Chikungunya","6-6",806
"Chikungunya","65+",5133
"Chikungunya","7-9",3285
"Chikungunya","<1",367
"Chikungunya","Unknown",26
"Cholera","0",21
"Cholera","1-1",234
"Cholera","10-14",287
"Cholera","15-24",1297
"Cholera","2-2",163
"Cholera","25-34",1378
"Cholera","3-3",118
"Cholera","35-44",975
"Cholera","4-4",106
"Cholera","45-54",751
"Cholera","5-5",84
"Cholera","55-64",533
"Cholera","6-6",64
"Cholera","65+",602
"Cholera","7-9",178
"Cholera","<1",223
"Cholera","Unknown",111
"Condyloma Acuminata","0",5
"Condyloma Acuminata","1-1",104
"Condyloma Acuminata","10-14",883
"Condyloma Acuminata","15-24",24160
"Condyloma Acuminata","2-2",184
"Condyloma Acuminata","25-34",12965
"Condyloma Acuminata","3-3",51
"Condyloma Acuminata","35-44",7088
"Condyloma Acuminata","4-4",34
"Condyloma Acuminata","45-54",3938
"Condyloma Acuminata","5-5",29
"Condyloma Acuminata","55-64",1740
"Condyloma Acuminata","6-6",36
"Condyloma Acuminata","65+",1069
"Condyloma Acuminata","7-9",125
"Condyloma Acuminata","<1",23
"Condyloma Acuminata","Unknown",11
"D.H.F","0",86
"D.H.F","1-1",7781
"D.H.F","10-14",160933
"D.H.F","15-24",202988
"D.H.F","2-2",9507
"D.H.F","25-34",99251
"D.H.F","3-3",11253
"D.H.F","35-44",58195
"D.H.F","4-4",12714
"D.H.F","45-54",30240
"D.H.F","5-5",14683
"D.H.F","55-64",16618
"D.H.F","6-6",19126
"D.H.F","65+",9824
"D.H.F","7-9",71989
"D.H.F","<1",6172
"D.H.F","Unknown",593
"D.H.F.shock syndrome","0",0
"D.H.F.shock syndrome","1-1",154
"D.H.F.shock syndrome","10-14",6670
"D.H.F.shock syndrome","15-24",4974
"D.H.F.shock syndrome","2-2",255
"D.H.F.shock syndrome","25-34",2091
"D.H.F.shock syndrome","3-3",404
"D.H.F.shock syndrome","35-44",1154
"D.H.F.shock syndrome","4-4",574
"D.H.F.shock syndrome","45-54",738
"D.H.F.shock syndrome","5-5",721
"D.H.F.shock syndrome","55-64",495
"D.H.F.shock syndrome","6-6",928
"D.H.F.shock syndrome","65+",361
"D.H.F.shock syndrome","7-9",3703
"D.H.F.shock syndrome","<1",264
"D.H.F.shock syndrome","Unknown",10
"Dengue fever","0",91
"Dengue fever","1-1",12638
"Dengue fever","10-14",211607
"Dengue fever","15-24",218157
"Dengue fever","2-2",15296
"Dengue fever","25-34",111008
"Dengue fever","3-3",18417
"Dengue fever","35-44",65560
"Dengue fever","4-4",20493
"Dengue fever","45-54",40401
"Dengue fever","5-5",24540
"Dengue fever","55-64",25329
"Dengue fever","6-6",29516
"Dengue fever","65+",16199
"Dengue fever","7-9",108951
"Dengue fever","<1",7200
"Dengue fever","Unknown",428
"Dysentery,Amoebic","0",94
"Dysentery,Amoebic","1-1",3776
"Dysentery,Amoebic","10-14",2305
"Dysentery,Amoebic","15-24",4188
"Dysentery,Amoebic","2-2",2202
"Dysentery,Amoebic","25-34",4879
"Dysentery,Amoebic","3-3",1592
"Dysentery,Amoebic","35-44",5180
"Dysentery,Amoebic","4-4",1200
"Dysentery,Amoebic","45-54",5484
"Dysentery,Amoebic","5-5",978
"Dysentery,Amoebic","55-64",5136
"Dysentery,Amoebic","6-6",876
"Dysentery,Amoebic","65+",6141
"Dysentery,Amoebic","7-9",2065
"Dysentery,Amoebic","<1",4302
"Dysentery,Amoebic","Unknown",25
"Dysentery,Bacillary","0",50
"Dysentery,Bacillary","1-1",5569
"Dysentery,Bacillary","10-14",1955
"Dysentery,Bacillary","15-24",3029
"Dysentery,Bacillary","2-2",3099
"Dysentery,Bacillary","25-34",3983
"Dysentery,Bacillary","3-3",1865
"Dysentery,Bacillary","35-44",5126
"Dysentery,Bacillary","4-4",1270
"Dysentery,Bacillary","45-54",4934
"Dysentery,Bacillary","5-5",928
"Dysentery,Bacillary","55-64",4176
"Dysentery,Bacillary","6-6",713
"Dysentery,Bacillary","65+",4721
"Dysentery,Bacillary","7-9",1666
"Dysentery,Bacillary","<1",5096
"Dysentery,Bacillary","Unknown",43
"Encephalitis uns","0",26
"Encephalitis uns","1-1",227
"Encephalitis uns","10-14",1016
"Encephalitis uns","15-24",1312
"Encephalitis uns","2-2",207
"Encephalitis uns","25-34",1305
"Encephalitis uns","3-3",162
"Encephalitis uns","35-44",1442
"Encephalitis uns","4-4",153
"Encephalitis uns","45-54",1515
"Encephalitis uns","5-5",194
"Encephalitis uns","55-64",1432
"Encephalitis uns","6-6",169
"Encephalitis uns","65+",1870
"Encephalitis uns","7-9",648
"Encephalitis uns","<1",302
"Encephalitis uns","Unknown",5
