Shortname,Group,PrimaryPhenotype,RP_Months,BP_Months,PI95_Months,Ratio100_Months,HalfDeficit_Months,BestModel,shift_vs_pre,shift_vs_pred,amplitude_ratio_vs_pre,PrimaryStatusProb,FrameworkPriority,InterruptionStable,ModelRuleMatches,StatusStability,SensitivityStable
Chickenpox,Respiratory IDs,Suppressed,NA,NA,48,NA,NA,Neural Network,-1,0,0.39769310403592084,0.282,High priority manual review,TRUE,3,Lower,Yes
Influenza,Respiratory IDs,Recovered but not balanced,43,NA,26,43,71,SARIMA,1,-3,0.9533640885310982,0.268,Recalibrate and monitor,TRUE,3,Lower,Yes
Mumps,Respiratory IDs,Recovered but not balanced,58,NA,31,58,NA,ETS,6,5,0.7408988044894508,0.829,Recalibrate and monitor,TRUE,3,Moderate,Yes
Pneumonia,Respiratory IDs,Balanced,34,61,26,34,54,TBATS,1,1,0.9729127311891197,0.785,Low priority routine review,TRUE,3,Moderate,Yes
Rubella,Respiratory IDs,Suppressed,NA,NA,6,NA,NA,TBATS,3,2,2.0170618854829385,0.708,High priority manual review,TRUE,3,Lower,Yes
Scarlet fever,Respiratory IDs,Recovered but not balanced,61,NA,0,61,68,TBATS,-1,-1,3.967671405752208,0.476,Cumulative review needed,TRUE,3,Lower,Yes
Dengue fever,Vector-borne and zoonotic IDs,Recovered but not balanced,35,NA,1,35,47,TBATS,0,0,1.100056239023972,0.383,Cumulative review needed,TRUE,3,Lower,Yes
Leptospirosis,Vector-borne and zoonotic IDs,Balanced,28,33,3,28,32,Hybrid,1,1,0.8094301631240352,1,Low priority routine review,TRUE,2,High,Yes
Malaria,Vector-borne and zoonotic IDs,No deficit,NA,NA,NA,NA,NA,SARIMA,0,0,1.5551654209836265,0.469,No deficit monitoring,FALSE,2,Lower,Partial
Melioidosis,Vector-borne and zoonotic IDs,Balanced,28,41,5,28,33,Hybrid,-2,-2,1.1304541049098176,1,Recovered but recalibrate seasonality,TRUE,2,High,Yes
S. suis,Vector-borne and zoonotic IDs,Balanced,5,6,4,5,5,ETS,0,0,0.8002863278453831,0.956,Low priority routine review,TRUE,2,High,Yes
Scrub Typhus,Vector-borne and zoonotic IDs,Balanced,27,32,5,27,30,Bayesian structural,0,0,1.012184381363846,0.481,Low priority routine review,TRUE,3,Lower,Yes
Amebiasis,Gastrointestinal IDs,Balanced,29,36,24,29,34,TBATS,0,0,1.0258809380637401,0.618,Low priority routine review,TRUE,3,Lower,Yes
HAV,Gastrointestinal IDs,Recovered but not balanced,46,NA,0,46,NA,Hybrid,-5,-5,0.37755641882189345,1,Recalibrate and monitor,TRUE,3,High,Yes
HFMD,Gastrointestinal IDs,Balanced,9,32,35,9,31,Hybrid,1,1,1.2254340330025548,1,Low priority routine review,TRUE,2,High,Yes
Shigellosis,Gastrointestinal IDs,Recovered but not balanced,31,NA,3,31,63,Bayesian structural,1,1,1.3213351877607789,0.297,Cumulative review needed,FALSE,3,Lower,Partial
Typhoid,Gastrointestinal IDs,Balanced,30,54,28,30,48,Hybrid,0,0,0.8071659121949362,1,Low priority routine review,TRUE,2,High,Yes
CA (HPV),Sexually IDs,Balanced,43,56,2,43,51,Bayesian structural,4,4,0.8505727962669511,0.666,Recovered but recalibrate seasonality,TRUE,2,Lower,Yes
Chancroid,Sexually IDs,Recovered but not balanced,48,NA,4,48,63,Hybrid,0,0,1.0648853361655741,0.984,Cumulative review needed,TRUE,0,High,Partial
Genital herpes,Sexually IDs,Balanced,36,51,31,36,48,Hybrid,2,2,1.0659308093471787,1,Recovered but recalibrate seasonality,TRUE,2,High,Yes
Gonorrhoea,Sexually IDs,Balanced,36,61,8,36,52,TBATS,0,1,1.0617193378480059,0.69,Low priority routine review,TRUE,3,Lower,Yes
HBV,Sexually IDs,Balanced,41,52,5,41,49,Hybrid,2,2,1.0092184225251708,1,Recovered but recalibrate seasonality,TRUE,1,High,Partial
HCV,Sexually IDs,Balanced,28,34,0,28,31,ETS,4,4,0.8699503702536633,0.864,Recovered but recalibrate seasonality,TRUE,3,Moderate,Yes
Syphilis,Sexually IDs,Suppressed,NA,NA,4,NA,NA,Bayesian structural,-2,-2,1.0218651196519217,0.395,High priority manual review,TRUE,2,Lower,Yes
