"Shortname","Group","Scenario","n_paths","bsts_niter","PrimaryStatus","Pr_RP","Pr_BP","PrimaryStatusProb","RP_MedianMonths","BP_MedianMonths","PrimaryStatus_ref","Pr_RP_ref","Pr_BP_ref","RP_MedianMonths_ref","BP_MedianMonths_ref","StatusChangedVsPrimary","Delta_Pr_RP","Delta_Pr_BP","Delta_RP_Months","Delta_BP_Months"
"Pneumonia","Respiratory IDs","primary",5000,1000,"Debt Repaid",1,0.835,0.835,34,59,"Debt Repaid",1,0.835,34,59,FALSE,0,0,0,0
"Influenza","Respiratory IDs","primary",5000,1000,"Recovered",1,0,1,44,NA,"Recovered",1,0,44,NA,FALSE,0,0,0,NA
"Chickenpox","Respiratory IDs","primary",5000,1000,"Recovered",0.889,0,0.889,54,NA,"Recovered",0.889,0,54,NA,FALSE,0,0,0,NA
"Mumps","Respiratory IDs","primary",5000,1000,"Recovered",1,0,1,68,NA,"Recovered",1,0,68,NA,FALSE,0,0,0,NA
"Scarlet fever","Respiratory IDs","primary",5000,1000,"Recovered",0.812,0.332,0.48,60,65,"Recovered",0.812,0.332,60,65,FALSE,0,0,0,0
"Rubella","Respiratory IDs","primary",5000,1000,"Suppressed",0,0,1,NA,NA,"Suppressed",0,0,NA,NA,FALSE,0,0,NA,NA
"Dengue fever","Vector-borne and zoonotic IDs","primary",5000,1000,"Recovered",0.723,0.339,0.383,30,42,"Recovered",0.723,0.339,30,42,FALSE,0,0,0,0
"Malaria","Vector-borne and zoonotic IDs","primary",5000,1000,"No Deficit",0.475,0.475,0.525,3,4,"No Deficit",0.475,0.475,3,4,FALSE,0,0,0,0
"Scrub Typhus","Vector-borne and zoonotic IDs","primary",5000,1000,"Debt Repaid",1,1,1,28,50,"Debt Repaid",1,1,28,50,FALSE,0,0,0,0
"Leptospirosis","Vector-borne and zoonotic IDs","primary",5000,1000,"Debt Repaid",0.858,0.773,0.773,11,32,"Debt Repaid",0.858,0.773,11,32,FALSE,0,0,0,0
"Melioidosis","Vector-borne and zoonotic IDs","primary",5000,1000,"Debt Repaid",1,1,1,28,41,"Debt Repaid",1,1,28,41,FALSE,0,0,0,0
"S. suis","Vector-borne and zoonotic IDs","primary",5000,1000,"Debt Repaid",1,1,1,5,7,"Debt Repaid",1,1,5,7,FALSE,0,0,0,0
"HFMD","Gastrointestinal IDs","primary",5000,1000,"Debt Repaid",1,1,1,9,37,"Debt Repaid",1,1,9,37,FALSE,0,0,0,0
"Amebiasis","Gastrointestinal IDs","primary",5000,1000,"Debt Repaid",0.707,0.628,0.628,29,38,"Debt Repaid",0.707,0.628,29,38,FALSE,0,0,0,0
"Shigellosis","Gastrointestinal IDs","primary",5000,1000,"Recovered",0.715,0.351,0.364,7,23,"Recovered",0.715,0.351,7,23,FALSE,0,0,0,0
"Typhoid","Gastrointestinal IDs","primary",5000,1000,"Debt Repaid",1,1,1,31,55,"Debt Repaid",1,1,31,55,FALSE,0,0,0,0
"HAV","Gastrointestinal IDs","primary",5000,1000,"Recovered",0.923,0,0.923,47,NA,"Recovered",0.923,0,47,NA,FALSE,0,0,0,NA
"Gonorrhoea","Sexually IDs","primary",5000,1000,"Debt Repaid",0.999,0.822,0.822,36,56,"Debt Repaid",0.999,0.822,36,56,FALSE,0,0,0,0
"Syphilis","Sexually IDs","primary",5000,1000,"Debt Repaid",0.429,0.3,0.3,34,41,"Debt Repaid",0.429,0.3,34,41,FALSE,0,0,0,0
"HBV","Sexually IDs","primary",5000,1000,"Debt Repaid",1,1,1,38,52,"Debt Repaid",1,1,38,52,FALSE,0,0,0,0
"CA (HPV)","Sexually IDs","primary",5000,1000,"Debt Repaid",0.956,0.773,0.773,41,52,"Debt Repaid",0.956,0.773,41,52,FALSE,0,0,0,0
"Genital herpes","Sexually IDs","primary",5000,1000,"Debt Repaid",1,1,1,36,52,"Debt Repaid",1,1,36,52,FALSE,0,0,0,0
"Chancroid","Sexually IDs","primary",5000,1000,"Recovered",0.996,0.224,0.772,48,66,"Recovered",0.996,0.224,48,66,FALSE,0,0,0,0
"HCV","Sexually IDs","primary",5000,1000,"Debt Repaid",0.955,0.947,0.947,25,38,"Debt Repaid",0.955,0.947,25,38,FALSE,0,0,0,0
