"Threshold","Persistence","Config","Status","Count","Pct"
0.9,2,"90% / 2 mo","Debt Repaid",13,54.2
0.9,2,"90% / 2 mo","No Deficit",1,4.2
0.9,2,"90% / 2 mo","Recovered",8,33.3
0.9,2,"90% / 2 mo","Suppressed",2,8.3
0.9,3,"90% / 3 mo","Debt Repaid",13,54.2
0.9,3,"90% / 3 mo","No Deficit",1,4.2
0.9,3,"90% / 3 mo","Recovered",7,29.2
0.9,3,"90% / 3 mo","Suppressed",3,12.5
0.9,4,"90% / 4 mo","Debt Repaid",13,54.2
0.9,4,"90% / 4 mo","No Deficit",1,4.2
0.9,4,"90% / 4 mo","Recovered",7,29.2
0.9,4,"90% / 4 mo","Suppressed",3,12.5
0.95,2,"95% / 2 mo","Debt Repaid",13,54.2
0.95,2,"95% / 2 mo","No Deficit",1,4.2
0.95,2,"95% / 2 mo","Recovered",8,33.3
0.95,2,"95% / 2 mo","Suppressed",2,8.3
0.95,3,"95% / 3 mo","Debt Repaid",13,54.2
0.95,3,"95% / 3 mo","No Deficit",1,4.2
0.95,3,"95% / 3 mo","Recovered",7,29.2
0.95,3,"95% / 3 mo","Suppressed",3,12.5
0.95,4,"95% / 4 mo","Debt Repaid",13,54.2
0.95,4,"95% / 4 mo","No Deficit",1,4.2
0.95,4,"95% / 4 mo","Recovered",7,29.2
0.95,4,"95% / 4 mo","Suppressed",3,12.5
