Shortname,Group,FreezeDate,ValidationEnd,WindowLabel,FrozenStatus,FrozenStatusLabel,FrozenPrRP,FrozenPrBP,FrozenFrameworkPriority,FrozenIncidenceOnly,RealizedStatus,RealizedStatusLabel,RealizedFrameworkPriority,LaterReviewNeed,FrameworkNeedsReview,IncidenceOnlyNeedsReview,FrameworkDecisionAcc,IncidenceDecisionAcc,AvertedUnderTriage,FrozenShiftVsPre,FrozenShiftVsPred,RealizedShiftVsPre,RealizedShiftVsPred,FrozenRPMonths,FrozenBPMonths,RealizedRPMonths,RealizedBPMonths,ProbabilityPathsUsed,FreezeDateLabel,PriorityRank
Shigellosis,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,0.608,0.268,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,31,NA,31,NA,400,2023-12,3
Typhoid,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,1,0,Cumulative review needed,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,-1,-2,30,NA,30,54,400,2023-12,3
HAV,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Suppressed,Suppressed,0.03,0,High priority manual review,Needs review by incidence only,Recovered,Recovered but not balanced,Recalibrate and monitor,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,5,-5,-5,NA,NA,47,NA,400,2023-12,1
Gonorrhoea,Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,0.932,0.06,Recalibrate and monitor,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,2,1,2,36,NA,36,58,400,2023-12,2
Syphilis,Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,0.352,0.185,Recovered but recalibrate seasonality,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-4,-4,-4,-5,34,40,34,40,400,2023-12,4
HBV,Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,1,0,Recalibrate and monitor,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,2,2,2,38,NA,38,52,400,2023-12,2
CA (HPV),Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,0.568,0.178,Recalibrate and monitor,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,5,5,5,5,40,NA,40,55,400,2023-12,2
Genital herpes,Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,1,0,Recalibrate and monitor,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,3,2,3,36,NA,36,52,400,2023-12,2
Chancroid,Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Suppressed,Suppressed,0.298,0,High priority manual review,Needs review by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,1,1,NA,NA,48,NA,400,2023-12,1
HCV,Sexually IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,0.94,0.738,Recovered but recalibrate seasonality,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,5,5,5,5,28,35,28,35,400,2023-12,4
