split,split_label,Group,DiseasesAssessed,FalseAlertRate,FalseAlertRateTempered,MeanCoverage95,MeanWIS
2017-2019,Pseudo interruption 2017,Respiratory IDs,6,0.8333333333333334,0.6666666666666666,0.5416666666666666,8595.682090727487
2017-2019,Pseudo interruption 2017,Vector-borne and zoonotic IDs,6,0.6666666666666666,0.5,0.6851851851851852,1451.2493597824816
2017-2019,Pseudo interruption 2017,Gastrointestinal IDs,5,0.6,0.6,0.9,662.7849799324543
2017-2019,Pseudo interruption 2017,Sexually IDs,7,0.42857142857142855,0.2857142857142857,0.9246031746031746,109.31325034988363
2018-2019,Pseudo interruption 2018,Respiratory IDs,6,0.8333333333333334,0.8333333333333334,0.5208333333333334,5942.685981966811
2018-2019,Pseudo interruption 2018,Vector-borne and zoonotic IDs,6,0.6666666666666666,0.3333333333333333,0.7291666666666666,788.6862579397392
2018-2019,Pseudo interruption 2018,Gastrointestinal IDs,5,0.8,0.4,0.9666666666666667,556.5443309919871
2018-2019,Pseudo interruption 2018,Sexually IDs,7,0.42857142857142855,0.14285714285714285,0.9523809523809524,82.60811670256199
2019,Pseudo interruption 2019,Respiratory IDs,6,0.8333333333333334,0.6666666666666666,0.4444444444444444,10366.566164524205
2019,Pseudo interruption 2019,Vector-borne and zoonotic IDs,6,0.5,0.5,0.75,959.0960931216147
2019,Pseudo interruption 2019,Gastrointestinal IDs,5,0.8,0.6,0.8833333333333333,550.6797214708192
2019,Pseudo interruption 2019,Sexually IDs,7,0.7142857142857143,0.42857142857142855,0.8333333333333334,71.70218859178608
