Raw disease name,Exclusion category
Anthrax,Zero reported incidence over the study period
Avian Influenza,Zero reported incidence over the study period
Poliomyelitis,Zero reported incidence over the study period
D.H.F,Overlapping surveillance categories
D.H.F.shock syndrome,Overlapping surveillance categories
Dengue fever,Overlapping surveillance categories
Encephalitis uns,Overlapping surveillance categories
Eosinophilic Meningitis,Overlapping surveillance categories
Measles,Overlapping surveillance categories
Measles c Complication,Overlapping surveillance categories
Pulmonary T.B,Overlapping surveillance categories
STI Total,Overlapping surveillance categories
T.B. other organs,Overlapping surveillance categories
T.B.meningitis,Overlapping surveillance categories
Botulism,Not aligned with the transmissible infectious-disease framework
Food_Poisoning,Not aligned with the transmissible infectious-disease framework
Mushroom poisoning,Not aligned with the transmissible infectious-disease framework
Rabies,Not aligned with the transmissible infectious-disease framework
Tetanus exc.Neo,Not aligned with the transmissible infectious-disease framework
Tetanus neonatorum,Not aligned with the transmissible infectious-disease framework
Genital Molluscum Contagiosum,Ill-defined or residual surveillance categories
Hepatitis_uns,Ill-defined or residual surveillance categories
L.G.V.&other&unsp.V.D,Ill-defined or residual surveillance categories
N.S.U._V,Ill-defined or residual surveillance categories
Other STI,Ill-defined or residual surveillance categories
Meningococcal Meningitis,Incomplete reporting in the most recent surveillance year
Pediculosis Pubis,Incomplete reporting in the most recent surveillance year
Vaginal trichomoniasis,Incomplete reporting in the most recent surveillance year
TB Total,Structural changes in surveillance definitions
