CountryCode,Country,Date,Year,Month,Week,Cases,URL,Cadence,CadenceLabel,ForecastMean,ForecastMedian,Lower95,Upper95,BestModel,NormalizationDate,BalanceDate,ReviewEndDate,Status,InDiscordanceWindow
AU,Australia,2020-01-01,2020,1,NA,871,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1030.5879460071355,1022.1127928719378,814.8495735785573,1281.5256573131235,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-02-01,2020,2,NA,762,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1009.8857885310251,982.2057980937868,748.9249501109622,1469.0843861459648,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-03-01,2020,3,NA,682,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1009.4696678621764,962.0247989746078,723.8815420218427,1559.0663443025205,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-04-01,2020,4,NA,371,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,990.057377147942,938.4527140836803,694.2514150140132,1579.356785781785,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-05-01,2020,5,NA,213,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1006.8728604132745,950.8408621101125,700.3922577779084,1666.1052817730363,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-06-01,2020,6,NA,194,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,997.3684178580044,933.1618669442018,685.6132466588168,1674.909158482756,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-07-01,2020,7,NA,127,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1004.7492180836891,945.4023728959573,692.9079023626172,1672.5439381152405,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-08-01,2020,8,NA,70,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1024.4621580265696,957.9338698908971,709.0782907695558,1746.064438889712,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-09-01,2020,9,NA,51,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1031.8805507321572,962.5267343082526,705.2037554884265,1760.1623801282144,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
AU,Australia,2020-10-01,2020,10,NA,24,https://nindss.health.gov.au/pbi-dashboard/,month,Monthly surveillance,1039.4832948828587,965.6233111772971,696.539227561016,1763.61131547544,Neural Network,2024-03-01,2024-12-01,2024-12-01,Balanced,FALSE
